3#apb#apb05#app0516/P  -0.131 0.669  -0.160 0.479  -0.211 0.294  -0.265 0.109  -0.316 -0.076  -0.373 -0.259  -0.430 -0.443  -0.460 -0.633  -0.493 -0.822  -0.535 -1.010  -0.586 -1.195  -0.639 -1.379  -0.639 -1.571  -0.643 -1.539  -0.615 -1.349  -0.586 -1.159  -0.558 -0.969  -0.529 -0.779  -0.500 -0.589  -0.472 -0.399  -0.443 -0.209  -0.415 -0.019  -0.386 0.171  -0.358 0.361  -0.329 0.551  -0.300 0.741  -0.272 0.931  -0.198 1.094  -0.040 1.203  0.139 1.247  0.331 1.251  0.523 1.264  0.708 1.216  0.886 1.146  1.047 1.047  1.171 0.902  1.219 0.717  1.208 0.525  1.149 0.351  1.035 0.196  0.938 0.031  0.825 -0.122  0.678 -0.245  0.509 -0.336  0.331 -0.409  0.150 -0.401  -0.023 -0.321  -0.180 -0.211  -0.316 -0.075  -0.446 0.020
3#apb#apb05#app0516/r  -0.282 1.126  -0.261 0.995  -0.239 0.865  -0.217 0.734  -0.195 0.603  -0.177 0.472  -0.158 0.341  -0.139 0.210  -0.120 0.079  -0.107 -0.052  -0.107 -0.184  -0.107 -0.317  -0.107 -0.449  -0.133 -0.579  -0.158 -0.709  -0.184 -0.839  -0.210 -0.968  -0.236 -1.098  -0.262 -1.228  -0.292 -1.357  -0.334 -1.482  -0.378 -1.576  -0.414 -1.453  -0.414 -1.320  -0.414 -1.188  -0.411 -1.056  -0.366 -0.931  -0.321 -0.807  -0.277 -0.682  -0.232 -0.558  -0.189 -0.433  -0.150 -0.306  -0.111 -0.180  -0.072 -0.053  -0.033 0.073  0.014 0.197  0.065 0.319  0.115 0.441  0.166 0.564  0.229 0.679  0.312 0.781  0.396 0.884  0.480 0.986  0.564 1.089  0.659 1.180  0.760 1.266  0.861 1.351  0.962 1.437  1.063 1.522  1.164 1.608
3#apb#apb05#app0516/o  -0.672 0.567  -0.728 0.466  -0.784 0.365  -0.826 0.257  -0.865 0.149  -0.904 0.040  -0.940 -0.070  -0.954 -0.182  -0.945 -0.297  -0.936 -0.412  -0.903 -0.522  -0.864 -0.631  -0.802 -0.722  -0.706 -0.786  -0.608 -0.846  -0.498 -0.880  -0.388 -0.914  -0.276 -0.942  -0.162 -0.958  -0.047 -0.974  0.065 -0.969  0.175 -0.932  0.284 -0.895  0.391 -0.854  0.485 -0.786  0.578 -0.718  0.662 -0.641  0.728 -0.547  0.794 -0.452  0.828 -0.343  0.854 -0.231  0.876 -0.118  0.848 -0.006  0.820 0.106  0.792 0.218  0.764 0.330  0.714 0.433  0.658 0.534  0.603 0.636  0.547 0.737  0.491 0.837  0.424 0.932  0.357 1.026  0.291 1.120  0.224 1.215  0.129 1.275  0.025 1.327  -0.084 1.354  -0.199 1.354  -0.315 1.354
3#apb#apb05#app0516/f  1.232 1.355  1.189 1.500  1.052 1.534  0.910 1.486  0.782 1.405  0.644 1.344  0.516 1.266  0.403 1.167  0.296 1.060  0.203 0.942  0.109 0.823  0.036 0.691  -0.037 0.558  -0.086 0.416  -0.129 0.271  -0.162 0.124  -0.175 -0.026  -0.186 -0.177  -0.179 -0.328  -0.171 -0.479  -0.163 -0.630  -0.153 -0.781  -0.134 -0.931  -0.114 -1.080  -0.098 -1.230  -0.127 -1.377  -0.261 -1.345  -0.358 -1.229  -0.444 -1.105  -0.522 -0.976  -0.600 -0.847  -0.679 -0.717  -0.757 -0.588  -0.835 -0.459  -0.914 -0.330  -0.993 -0.201  -0.911 -0.128  -0.763 -0.108  -0.612 -0.108  -0.461 -0.112  -0.310 -0.117  -0.159 -0.123  -0.009 -0.099  0.140 -0.075  0.289 -0.051  0.440 -0.056  0.591 -0.062  0.740 -0.044  0.889 -0.019  1.040 -0.005
3#apb#apb05#app0516/.  0.128 1.784  0.111 1.708  0.094 1.632  0.077 1.556  0.060 1.480  0.043 1.404  0.027 1.328  0.010 1.252  -0.007 1.176  -0.024 1.100  -0.041 1.024  -0.058 0.948  -0.075 0.872  -0.092 0.796  -0.109 0.720  -0.125 0.644  -0.132 0.567  -0.132 0.490  -0.132 0.412  -0.132 0.334  -0.132 0.256  -0.132 0.178  -0.132 0.100  -0.132 0.023  -0.132 -0.055  -0.132 -0.133  -0.132 -0.211  -0.132 -0.289  -0.132 -0.366  -0.132 -0.444  -0.132 -0.522  -0.132 -0.600  -0.132 -0.678  -0.132 -0.755  -0.132 -0.833  -0.132 -0.911  -0.084 -0.941  -0.006 -0.941  0.072 -0.941  0.128 -0.963  0.128 -1.041  0.128 -1.118  0.128 -1.196  0.128 -1.274  0.148 -1.324  0.222 -1.299  0.296 -1.275  0.369 -1.250  0.443 -1.225  0.517 -1.201
3#apb#apb05#app0516/D  -0.267 0.809  -0.204 0.885  -0.188 0.665  -0.200 0.443  -0.218 0.221  -0.274 0.006  -0.338 -0.207  -0.397 -0.422  -0.454 -0.637  -0.554 -0.836  -0.614 -0.907  -0.628 -0.685  -0.642 -0.463  -0.656 -0.241  -0.670 -0.018  -0.684 0.204  -0.698 0.426  -0.711 0.648  -0.725 0.870  -0.739 1.092  -0.753 1.303  -0.544 1.258  -0.326 1.211  -0.106 1.178  0.114 1.149  0.329 1.093  0.540 1.022  0.745 0.936  0.935 0.820  1.093 0.674  1.191 0.474  1.202 0.252  1.148 0.039  1.061 -0.165  0.948 -0.357  0.802 -0.523  0.644 -0.680  0.473 -0.822  0.294 -0.953  0.093 -1.048  -0.123 -1.068  -0.331 -1.002  -0.520 -0.888  -0.519 -0.748  -0.300 -0.751  -0.085 -0.810  0.134 -0.849  0.355 -0.876  0.577 -0.889  0.790 -0.834
3#apb#apb05#app0516/r  -0.462 1.038  -0.450 0.906  -0.438 0.775  -0.425 0.644  -0.409 0.513  -0.392 0.382  -0.376 0.252  -0.356 0.121  -0.326 -0.007  -0.295 -0.135  -0.265 -0.263  -0.235 -0.392  -0.220 -0.523  -0.207 -0.654  -0.193 -0.785  -0.179 -0.916  -0.166 -1.047  -0.155 -1.178  -0.144 -1.310  -0.124 -1.439  -0.075 -1.562  -0.077 -1.521  -0.087 -1.389  -0.097 -1.258  -0.108 -1.127  -0.121 -0.995  -0.133 -0.864  -0.146 -0.733  -0.158 -0.602  -0.165 -0.471  -0.148 -0.340  -0.131 -0.209  -0.114 -0.079  -0.097 0.052  -0.079 0.183  -0.046 0.309  0.007 0.430  0.059 0.551  0.112 0.671  0.169 0.790  0.253 0.892  0.336 0.994  0.420 1.096  0.525 1.169  0.645 1.225  0.764 1.280  0.885 1.334  1.013 1.366  1.140 1.397  1.268 1.429
3#apb#apb05#app0516/.  -0.670 1.594  -0.650 1.523  -0.629 1.452  -0.609 1.381  -0.589 1.310  -0.569 1.239  -0.548 1.169  -0.528 1.098  -0.508 1.027  -0.488 0.956  -0.467 0.885  -0.447 0.814  -0.427 0.743  -0.407 0.673  -0.386 0.602  -0.366 0.531  -0.346 0.460  -0.325 0.389  -0.301 0.319  -0.278 0.250  -0.255 0.180  -0.232 0.110  -0.208 0.040  -0.185 -0.030  -0.162 -0.100  -0.138 -0.170  -0.115 -0.240  -0.092 -0.310  -0.068 -0.380  -0.045 -0.450  -0.022 -0.520  0.002 -0.589  0.063 -0.622  0.132 -0.645  0.202 -0.668  0.272 -0.692  0.342 -0.715  0.412 -0.738  0.482 -0.761  0.547 -0.795  0.608 -0.835  0.670 -0.876  0.731 -0.917  0.792 -0.958  0.854 -0.999  0.915 -1.040  0.976 -1.081  1.020 -1.131  1.020 -1.205  1.020 -1.279
3#apb#apb05#app0516/S  0.730 1.448  0.598 1.514  0.473 1.451  0.344 1.382  0.202 1.340  0.061 1.296  -0.067 1.223  -0.196 1.151  -0.334 1.098  -0.475 1.058  -0.618 1.031  -0.535 0.928  -0.412 0.855  -0.276 0.797  -0.152 0.718  -0.029 0.636  0.087 0.545  0.198 0.447  0.309 0.350  0.413 0.246  0.518 0.141  0.613 0.030  0.693 -0.095  0.761 -0.224  0.803 -0.365  0.782 -0.512  0.742 -0.648  0.643 -0.758  0.527 -0.846  0.398 -0.918  0.264 -0.978  0.120 -1.010  -0.024 -1.041  -0.171 -1.033  -0.319 -1.025  -0.452 -0.967  -0.581 -0.895  -0.704 -0.816  -0.808 -0.711  -0.877 -0.584  -0.908 -0.445  -0.786 -0.384  -0.654 -0.450  -0.528 -0.527  -0.405 -0.608  -0.272 -0.673  -0.138 -0.734  0.002 -0.781  0.145 -0.816  0.291 -0.840
3#apb#apb05#app0516/i  0.135 1.628  0.174 1.569  0.212 1.511  0.251 1.453  0.290 1.395  0.311 1.333  0.299 1.264  0.286 1.195  0.274 1.126  0.261 1.057  0.249 0.988  0.236 0.920  0.223 0.851  0.206 0.783  0.189 0.715  0.172 0.647  0.155 0.579  0.138 0.511  0.121 0.443  0.104 0.375  0.087 0.308  0.068 0.240  0.048 0.173  0.029 0.106  0.010 0.038  -0.009 -0.029  -0.028 -0.096  -0.048 -0.163  -0.067 -0.231  -0.086 -0.298  -0.098 -0.367  -0.108 -0.436  -0.118 -0.505  -0.128 -0.575  -0.138 -0.644  -0.148 -0.713  -0.158 -0.783  -0.168 -0.852  -0.178 -0.921  -0.194 -0.989  -0.214 -1.056  -0.234 -1.123  -0.254 -1.190  -0.274 -1.257  -0.294 -1.324  -0.315 -1.391  -0.317 -1.461  -0.317 -1.531  -0.317 -1.601  -0.317 -1.671
3#apb#apb05#app0516/r  -0.823 -0.073  -0.809 -0.172  -0.795 -0.270  -0.781 -0.369  -0.767 -0.468  -0.744 -0.565  -0.722 -0.662  -0.700 -0.759  -0.678 -0.856  -0.659 -0.954  -0.639 -1.051  -0.595 -1.136  -0.625 -1.147  -0.593 -1.053  -0.565 -0.957  -0.543 -0.860  -0.520 -0.763  -0.498 -0.666  -0.474 -0.569  -0.450 -0.473  -0.426 -0.376  -0.402 -0.279  -0.378 -0.183  -0.357 -0.085  -0.336 0.012  -0.315 0.110  -0.294 0.207  -0.247 0.294  -0.199 0.382  -0.152 0.470  -0.105 0.558  -0.015 0.595  0.079 0.626  0.174 0.658  0.269 0.686  0.367 0.707  0.464 0.727  0.561 0.748  0.659 0.759  0.759 0.751  0.858 0.744  0.957 0.736  1.056 0.723  1.154 0.708  1.253 0.693  1.351 0.676  1.437 0.627  1.524 0.577  1.603 0.518  1.681 0.456
