3#apb#apb05#app0536/A  0.294 1.257  0.173 1.066  0.079 0.841  0.004 0.609  -0.068 0.375  -0.148 0.145  -0.242 -0.081  -0.334 -0.307  -0.422 -0.535  -0.512 -0.762  -0.612 -0.985  -0.709 -1.209  -0.776 -1.373  -0.745 -1.131  -0.703 -0.890  -0.650 -0.652  -0.587 -0.416  -0.525 -0.180  -0.466 0.057  -0.406 0.294  -0.333 0.527  -0.244 0.754  -0.156 0.982  -0.059 1.207  0.046 1.427  0.187 1.623  0.385 1.711  0.518 1.520  0.633 1.305  0.677 1.068  0.701 0.825  0.721 0.581  0.738 0.337  0.748 0.093  0.747 -0.150  0.719 -0.393  0.694 -0.636  0.683 -0.880  0.678 -1.124  0.603 -1.310  0.404 -1.172  0.230 -1.001  0.055 -0.830  -0.119 -0.659  -0.293 -0.488  -0.468 -0.317  -0.617 -0.309  -0.413 -0.323  -0.174 -0.271  0.064 -0.218
3#apb#apb05#app0536/B  -0.415 0.832  -0.439 0.648  -0.449 0.399  -0.448 0.149  -0.438 -0.100  -0.460 -0.348  -0.463 -0.597  -0.438 -0.845  -0.448 -1.095  -0.456 -1.331  -0.489 -1.083  -0.522 -0.836  -0.555 -0.588  -0.588 -0.340  -0.621 -0.092  -0.654 0.155  -0.686 0.403  -0.719 0.651  -0.752 0.898  -0.574 1.028  -0.344 1.126  -0.113 1.221  0.126 1.294  0.370 1.346  0.618 1.375  0.810 1.274  0.765 1.036  0.629 0.828  0.459 0.644  0.284 0.466  0.102 0.295  -0.096 0.144  -0.310 0.017  -0.348 -0.042  -0.122 0.064  0.101 0.176  0.346 0.217  0.595 0.241  0.839 0.211  1.024 0.057  1.071 -0.187  1.041 -0.435  0.968 -0.672  0.846 -0.886  0.677 -1.070  0.509 -1.255  0.296 -1.383  0.050 -1.398  -0.198 -1.394  -0.375 -1.217
3#apb#apb05#app0536/C  0.544 0.499  0.547 0.470  0.574 0.348  0.581 0.223  0.581 0.098  0.606 -0.012  0.669 0.040  0.692 0.158  0.692 0.283  0.692 0.408  0.692 0.533  0.692 0.658  0.689 0.783  0.640 0.898  0.591 1.013  0.510 1.106  0.417 1.187  0.296 1.217  0.175 1.189  0.062 1.144  -0.027 1.055  -0.115 0.967  -0.196 0.872  -0.260 0.765  -0.325 0.658  -0.389 0.551  -0.444 0.439  -0.498 0.326  -0.552 0.213  -0.604 0.099  -0.637 -0.021  -0.669 -0.142  -0.702 -0.263  -0.733 -0.384  -0.751 -0.508  -0.770 -0.631  -0.782 -0.755  -0.752 -0.876  -0.721 -0.997  -0.654 -1.099  -0.570 -1.192  -0.463 -1.249  -0.345 -1.291  -0.223 -1.308  -0.098 -1.302  0.027 -1.296  0.149 -1.273  0.268 -1.237  0.388 -1.200  0.507 -1.164
3#apb#apb05#app0536/D  -0.005 0.972  -0.100 0.856  -0.123 0.657  -0.137 0.458  -0.137 0.257  -0.137 0.057  -0.137 -0.143  -0.137 -0.343  -0.137 -0.544  -0.137 -0.744  -0.137 -0.944  -0.152 -1.144  -0.099 -1.326  -0.129 -1.178  -0.186 -0.986  -0.242 -0.794  -0.298 -0.602  -0.354 -0.410  -0.411 -0.218  -0.467 -0.026  -0.523 0.167  -0.579 0.359  -0.636 0.551  -0.692 0.743  -0.748 0.935  -0.804 1.127  -0.868 1.316  -0.767 1.273  -0.572 1.226  -0.379 1.172  -0.189 1.110  -0.003 1.036  0.183 0.963  0.371 0.894  0.546 0.801  0.707 0.682  0.833 0.529  0.946 0.364  0.998 0.172  1.024 -0.024  0.999 -0.223  0.935 -0.411  0.857 -0.595  0.735 -0.752  0.603 -0.903  0.459 -1.042  0.313 -1.179  0.149 -1.293  -0.022 -1.395  -0.212 -1.458
3#apb#apb05#app0536/E  -0.278 1.076  -0.447 0.843  -0.474 0.551  -0.465 0.256  -0.455 -0.040  -0.448 -0.335  -0.413 -0.628  -0.390 -0.919  -0.456 -0.926  -0.500 -0.634  -0.545 -0.342  -0.589 -0.049  -0.633 0.243  -0.678 0.535  -0.722 0.827  -0.536 1.004  -0.252 1.082  0.041 1.124  0.328 1.182  0.602 1.273  0.889 1.320  0.968 1.269  0.748 1.072  0.528 0.874  0.308 0.677  0.088 0.479  -0.132 0.282  -0.352 0.085  -0.519 -0.084  -0.232 -0.033  0.048 0.062  0.333 0.140  0.618 0.219  0.897 0.313  1.173 0.419  1.003 0.238  0.792 0.032  0.580 -0.175  0.369 -0.382  0.158 -0.589  -0.054 -0.795  -0.265 -1.002  -0.476 -1.209  -0.677 -1.425  -0.624 -1.505  -0.335 -1.450  -0.058 -1.349  0.224 -1.259  0.508 -1.182  0.803 -1.165
3#apb#apb05#app0536/F  -0.353 0.968  -0.302 0.879  -0.288 0.627  -0.278 0.374  -0.278 0.120  -0.278 -0.133  -0.278 -0.386  -0.278 -0.639  -0.281 -0.893  -0.296 -1.145  -0.303 -1.398  -0.338 -1.647  -0.452 -1.674  -0.466 -1.421  -0.479 -1.168  -0.492 -0.915  -0.505 -0.662  -0.519 -0.410  -0.532 -0.157  -0.545 0.096  -0.558 0.349  -0.571 0.602  -0.467 0.798  -0.244 0.914  -0.035 1.045  0.218 1.061  0.463 1.116  0.704 1.192  0.957 1.192  1.210 1.202  1.380 1.187  1.187 1.023  0.994 0.859  0.801 0.695  0.608 0.531  0.415 0.367  0.221 0.203  0.028 0.039  -0.165 -0.124  -0.358 -0.288  -0.551 -0.452  -0.732 -0.623  -0.579 -0.691  -0.334 -0.644  -0.105 -0.535  0.127 -0.436  0.370 -0.365  0.613 -0.294  0.853 -0.212  1.092 -0.128
3#apb#apb05#app0536/G  0.678 1.459  0.542 1.497  0.384 1.444  0.237 1.353  0.098 1.250  -0.034 1.136  -0.164 1.022  -0.294 0.907  -0.424 0.792  -0.551 0.674  -0.677 0.555  -0.803 0.436  -0.909 0.298  -1.013 0.160  -1.083 0.003  -1.141 -0.161  -1.174 -0.330  -1.178 -0.498  -1.089 -0.647  -0.976 -0.778  -0.842 -0.882  -0.683 -0.951  -0.523 -1.019  -0.362 -1.083  -0.192 -1.101  -0.020 -1.094  0.148 -1.049  0.308 -0.987  0.458 -0.900  0.574 -0.771  0.655 -0.622  0.714 -0.458  0.703 -0.286  0.689 -0.113  0.660 0.056  0.549 0.175  0.382 0.212  0.211 0.186  0.044 0.139  -0.105 0.054  -0.140 -0.063  0.024 -0.089  0.198 -0.089  0.371 -0.089  0.541 -0.062  0.708 -0.015  0.881 0.000  1.047 0.041  1.207 0.108  1.365 0.179
3#apb#apb05#app0536/H  -0.343 1.228  -0.387 1.012  -0.419 0.756  -0.441 0.499  -0.470 0.243  -0.513 -0.011  -0.547 -0.267  -0.576 -0.523  -0.605 -0.779  -0.634 -1.035  -0.650 -1.293  -0.638 -1.549  -0.546 -1.554  -0.461 -1.311  -0.377 -1.067  -0.292 -0.824  -0.207 -0.580  -0.123 -0.336  -0.038 -0.093  0.047 0.151  0.131 0.394  0.216 0.638  0.301 0.882  0.385 1.125  0.470 1.369  0.555 1.612  0.639 1.856  0.648 1.677  0.618 1.420  0.596 1.164  0.574 0.907  0.555 0.649  0.532 0.393  0.504 0.136  0.478 -0.120  0.456 -0.377  0.449 -0.635  0.449 -0.893  0.452 -1.150  0.340 -1.141  0.169 -0.948  -0.002 -0.755  -0.173 -0.562  -0.343 -0.368  -0.514 -0.175  -0.546 -0.091  -0.302 -0.015  -0.057 0.063  0.195 0.117  0.449 0.160
3#apb#apb05#app0536/I  0.151 0.983  0.230 0.965  0.220 0.736  0.189 0.510  0.152 0.284  0.165 0.055  0.142 -0.172  0.104 -0.398  0.079 -0.625  0.061 -0.853  0.078 -0.839  -0.006 -0.625  -0.090 -0.412  -0.174 -0.199  -0.258 0.014  -0.342 0.227  -0.426 0.440  -0.510 0.653  -0.594 0.866  -0.534 1.013  -0.306 1.030  -0.082 1.069  0.138 1.132  0.356 1.202  0.566 1.294  0.771 1.394  0.984 1.390  0.855 1.201  0.726 1.012  0.596 0.823  0.467 0.634  0.337 0.445  0.208 0.256  0.078 0.067  -0.051 -0.122  -0.181 -0.311  -0.310 -0.500  -0.440 -0.688  -0.569 -0.877  -0.698 -1.066  -0.828 -1.255  -0.957 -1.444  -0.779 -1.461  -0.561 -1.388  -0.357 -1.285  -0.154 -1.180  0.063 -1.107  0.280 -1.032  0.493 -0.949  0.718 -0.909
3#apb#apb05#app0536/J  0.513 0.656  0.454 0.793  0.354 0.862  0.281 0.735  0.237 0.592  0.225 0.442  0.220 0.292  0.228 0.141  0.235 -0.009  0.248 -0.159  0.263 -0.308  0.273 -0.458  0.280 -0.608  0.287 -0.759  0.287 -0.909  0.287 -1.059  0.280 -1.210  0.268 -1.359  0.202 -1.493  0.069 -1.520  -0.045 -1.422  -0.151 -1.316  -0.246 -1.201  -0.325 -1.073  -0.401 -0.943  -0.476 -0.812  -0.570 -0.696  -0.684 -0.601  -0.770 -0.491  -0.773 -0.340  -0.775 -0.190  -0.778 -0.040  -0.781 0.111  -0.783 0.261  -0.786 0.411  -0.777 0.560  -0.676 0.667  -0.540 0.725  -0.396 0.769  -0.250 0.805  -0.104 0.838  0.042 0.874  0.186 0.918  0.330 0.963  0.473 1.008  0.619 1.044  0.766 1.077  0.912 1.111  1.059 1.143  1.206 1.176
3#apb#apb05#app0536/K  -0.358 1.165  -0.344 1.239  -0.364 1.013  -0.391 0.788  -0.427 0.564  -0.462 0.340  -0.481 0.114  -0.501 -0.111  -0.534 -0.336  -0.567 -0.560  -0.605 -0.783  -0.645 -1.007  -0.685 -1.230  -0.719 -1.453  -0.648 -1.588  -0.505 -1.413  -0.403 -1.211  -0.302 -1.008  -0.200 -0.805  -0.099 -0.602  0.002 -0.400  0.104 -0.197  0.205 0.006  0.307 0.209  0.408 0.412  0.509 0.614  0.611 0.817  0.712 1.020  0.813 1.223  0.915 1.425  0.960 1.544  0.892 1.332  0.781 1.134  0.655 0.946  0.524 0.762  0.390 0.579  0.239 0.409  0.081 0.248  -0.108 0.122  -0.320 0.047  -0.546 0.042  -0.498 0.042  -0.304 -0.075  -0.159 -0.249  -0.019 -0.427  0.117 -0.609  0.245 -0.796  0.395 -0.964  0.565 -1.112  0.764 -1.221
