3#apb#apb05#app0579/O  0.377 0.781  0.413 0.950  0.409 1.067  0.274 0.963  0.147 0.847  0.032 0.718  -0.083 0.590  -0.192 0.456  -0.293 0.316  -0.394 0.177  -0.495 0.037  -0.594 -0.104  -0.693 -0.245  -0.792 -0.386  -0.882 -0.533  -0.957 -0.688  -1.033 -0.843  -1.069 -1.010  -1.086 -1.180  -1.001 -1.322  -0.829 -1.329  -0.661 -1.309  -0.504 -1.240  -0.346 -1.171  -0.201 -1.078  -0.059 -0.980  0.083 -0.882  0.211 -0.766  0.338 -0.650  0.466 -0.534  0.573 -0.399  0.678 -0.262  0.782 -0.125  0.856 0.030  0.923 0.189  0.990 0.348  1.027 0.516  1.060 0.685  1.025 0.843  0.918 0.957  0.746 0.964  0.578 0.943  0.415 0.887  0.251 0.831  0.099 0.751  -0.050 0.664  -0.195 0.572  -0.323 0.457  -0.432 0.328  -0.506 0.172
3#apb#apb05#app0579/l  0.914 1.429  0.870 1.375  0.826 1.322  0.782 1.268  0.742 1.212  0.705 1.153  0.668 1.094  0.631 1.036  0.594 0.977  0.558 0.918  0.521 0.860  0.484 0.801  0.448 0.742  0.413 0.682  0.378 0.622  0.343 0.562  0.307 0.503  0.272 0.443  0.237 0.383  0.202 0.323  0.167 0.264  0.132 0.204  0.095 0.145  0.058 0.087  0.021 0.028  -0.016 -0.031  -0.053 -0.090  -0.090 -0.148  -0.127 -0.207  -0.164 -0.266  -0.200 -0.324  -0.237 -0.383  -0.275 -0.441  -0.312 -0.500  -0.350 -0.558  -0.387 -0.616  -0.425 -0.675  -0.462 -0.733  -0.500 -0.791  -0.537 -0.849  -0.572 -0.909  -0.606 -0.970  -0.640 -1.030  -0.674 -1.090  -0.709 -1.151  -0.743 -1.211  -0.776 -1.272  -0.807 -1.334  -0.838 -1.396  -0.869 -1.458
3#apb#apb05#app0579/i  0.328 0.437  0.291 0.326  0.233 0.224  0.175 0.122  0.119 0.020  0.064 -0.084  0.010 -0.188  -0.045 -0.291  -0.099 -0.395  -0.153 -0.499  -0.207 -0.603  -0.261 -0.707  -0.323 -0.806  -0.393 -0.900  -0.463 -0.994  -0.530 -1.090  -0.586 -1.193  -0.641 -1.296  -0.685 -1.401  -0.635 -1.294  -0.586 -1.188  -0.537 -1.082  -0.488 -0.975  -0.439 -0.869  -0.390 -0.763  -0.340 -0.656  -0.291 -0.550  -0.242 -0.443  -0.193 -0.337  -0.144 -0.231  -0.094 -0.124  -0.045 -0.018  0.004 0.088  0.053 0.195  0.102 0.301  0.151 0.407  0.201 0.514  0.250 0.620  0.299 0.726  0.348 0.833  0.397 0.939  0.447 1.045  0.496 1.152  0.545 1.258  0.594 1.364  0.643 1.471  0.692 1.577  0.742 1.684  0.791 1.790  0.835 1.883
3#apb#apb05#app0579/v  -0.714 0.984  -0.758 0.900  -0.831 0.844  -0.808 0.840  -0.778 0.737  -0.761 0.631  -0.746 0.524  -0.733 0.417  -0.728 0.309  -0.723 0.202  -0.719 0.094  -0.714 -0.013  -0.708 -0.121  -0.703 -0.229  -0.697 -0.336  -0.691 -0.444  -0.685 -0.551  -0.678 -0.659  -0.661 -0.765  -0.633 -0.869  -0.593 -0.967  -0.533 -1.055  -0.425 -1.055  -0.333 -1.003  -0.242 -0.944  -0.151 -0.886  -0.067 -0.820  0.016 -0.751  0.100 -0.683  0.183 -0.614  0.252 -0.533  0.317 -0.446  0.382 -0.360  0.446 -0.274  0.510 -0.188  0.569 -0.097  0.628 -0.007  0.687 0.083  0.746 0.173  0.805 0.263  0.863 0.354  0.921 0.445  0.978 0.537  1.035 0.628  1.092 0.719  1.149 0.811  1.203 0.904  1.257 0.997  1.311 1.090  1.365 1.184
3#apb#apb05#app0579/i  0.443 0.575  0.427 0.462  0.380 0.349  0.315 0.244  0.248 0.141  0.180 0.038  0.113 -0.065  0.042 -0.165  -0.029 -0.266  -0.100 -0.366  -0.172 -0.467  -0.237 -0.571  -0.302 -0.675  -0.368 -0.780  -0.433 -0.884  -0.505 -0.984  -0.576 -1.085  -0.642 -1.188  -0.704 -1.295  -0.755 -1.407  -0.707 -1.312  -0.652 -1.202  -0.597 -1.092  -0.542 -0.982  -0.487 -0.872  -0.432 -0.762  -0.376 -0.652  -0.321 -0.541  -0.266 -0.431  -0.211 -0.321  -0.156 -0.211  -0.101 -0.101  -0.046 0.009  0.009 0.119  0.064 0.229  0.119 0.339  0.174 0.449  0.229 0.560  0.284 0.670  0.339 0.780  0.394 0.890  0.449 1.000  0.504 1.110  0.559 1.220  0.615 1.330  0.670 1.440  0.725 1.551  0.780 1.661  0.835 1.771  0.820 1.741
3#apb#apb05#app0579/e  -0.651 0.179  -0.558 0.068  -0.431 -0.023  -0.285 -0.075  -0.135 -0.121  0.019 -0.117  0.174 -0.100  0.330 -0.082  0.482 -0.048  0.635 -0.015  0.784 0.027  0.924 0.097  1.064 0.167  1.192 0.257  1.284 0.370  1.285 0.521  1.215 0.661  1.120 0.782  1.004 0.887  0.873 0.968  0.727 1.024  0.579 1.047  0.426 1.015  0.273 0.983  0.128 0.930  -0.004 0.846  -0.136 0.763  -0.268 0.679  -0.382 0.572  -0.495 0.465  -0.609 0.357  -0.722 0.250  -0.812 0.122  -0.903 -0.006  -0.993 -0.134  -1.036 -0.282  -1.070 -0.435  -1.101 -0.587  -1.040 -0.731  -0.978 -0.874  -0.861 -0.966  -0.721 -1.036  -0.582 -1.106  -0.426 -1.100  -0.270 -1.094  -0.113 -1.087  0.041 -1.069  0.191 -1.026  0.342 -0.983  0.492 -0.940
3#apb#apb05#app0579/r  0.398 1.048  0.338 0.929  0.268 0.816  0.197 0.704  0.126 0.591  0.055 0.478  -0.015 0.366  -0.086 0.253  -0.156 0.140  -0.227 0.027  -0.290 -0.090  -0.350 -0.209  -0.409 -0.328  -0.469 -0.447  -0.528 -0.566  -0.586 -0.686  -0.643 -0.806  -0.701 -0.926  -0.758 -1.046  -0.824 -1.161  -0.892 -1.275  -0.931 -1.326  -0.875 -1.205  -0.820 -1.084  -0.763 -0.964  -0.706 -0.844  -0.650 -0.723  -0.579 -0.610  -0.507 -0.499  -0.434 -0.387  -0.362 -0.276  -0.277 -0.173  -0.192 -0.070  -0.108 0.032  -0.023 0.135  0.064 0.235  0.168 0.318  0.272 0.401  0.376 0.484  0.480 0.567  0.596 0.633  0.712 0.698  0.828 0.762  0.950 0.815  1.075 0.859  1.201 0.903  1.331 0.918  1.464 0.918  1.583 0.882  1.677 0.788
3#apb#apb05#app0579/P  -0.241 0.088  -0.170 0.252  -0.097 0.414  -0.086 0.384  -0.150 0.218  -0.230 0.059  -0.310 -0.101  -0.392 -0.260  -0.473 -0.419  -0.558 -0.576  -0.660 -0.723  -0.761 -0.870  -0.861 -1.018  -0.960 -1.167  -1.065 -1.311  -1.153 -1.410  -1.090 -1.244  -1.007 -1.086  -0.915 -0.933  -0.812 -0.787  -0.709 -0.641  -0.599 -0.500  -0.489 -0.360  -0.379 -0.219  -0.269 -0.078  -0.161 0.064  -0.052 0.205  0.057 0.347  0.175 0.480  0.300 0.609  0.424 0.737  0.549 0.865  0.684 0.981  0.822 1.095  0.961 1.207  1.123 1.282  1.254 1.197  1.254 1.018  1.213 0.847  1.149 0.681  1.064 0.525  0.965 0.376  0.853 0.238  0.726 0.112  0.588 0.001  0.431 -0.084  0.265 -0.145  0.090 -0.174  -0.083 -0.143  -0.215 -0.030
3#apb#apb05#app0579/a  0.604 0.880  0.705 1.044  0.786 1.218  0.667 1.323  0.489 1.250  0.318 1.162  0.160 1.050  0.002 0.939  -0.148 0.818  -0.289 0.686  -0.431 0.555  -0.572 0.423  -0.700 0.279  -0.822 0.129  -0.944 -0.021  -1.056 -0.177  -1.139 -0.351  -1.222 -0.526  -1.260 -0.713  -1.264 -0.902  -1.170 -1.061  -0.976 -1.061  -0.790 -1.034  -0.618 -0.945  -0.447 -0.856  -0.282 -0.755  -0.124 -0.645  0.035 -0.535  0.185 -0.413  0.332 -0.288  0.471 -0.156  0.577 0.006  0.682 0.168  0.784 0.332  0.880 0.499  0.969 0.671  0.986 0.807  0.842 0.678  0.722 0.527  0.601 0.377  0.491 0.218  0.391 0.053  0.290 -0.112  0.215 -0.290  0.141 -0.468  0.091 -0.654  0.060 -0.844  0.109 -1.025  0.240 -1.124  0.433 -1.137
3#apb#apb05#app0579/b  0.859 2.002  0.807 1.831  0.708 1.682  0.609 1.533  0.511 1.384  0.413 1.235  0.315 1.085  0.216 0.936  0.122 0.784  0.027 0.632  -0.067 0.480  -0.162 0.329  -0.250 0.173  -0.335 0.016  -0.421 -0.141  -0.506 -0.298  -0.599 -0.451  -0.694 -0.602  -0.787 -0.755  -0.862 -0.917  -0.890 -1.001  -0.788 -0.854  -0.687 -0.707  -0.586 -0.559  -0.482 -0.414  -0.372 -0.273  -0.262 -0.132  -0.151 0.008  -0.022 0.131  0.108 0.255  0.244 0.369  0.397 0.461  0.551 0.552  0.729 0.568  0.814 0.417  0.824 0.241  0.806 0.066  0.729 -0.095  0.652 -0.256  0.550 -0.403  0.441 -0.544  0.330 -0.684  0.196 -0.802  0.062 -0.920  -0.096 -1.004  -0.255 -1.084  -0.432 -1.109  -0.609 -1.113  -0.785 -1.085  -0.920 -0.967
3#apb#apb05#app0579/l  0.770 1.499  0.770 1.430  0.760 1.363  0.729 1.301  0.698 1.239  0.667 1.177  0.636 1.115  0.604 1.052  0.573 0.991  0.541 0.929  0.509 0.867  0.477 0.806  0.445 0.744  0.413 0.682  0.381 0.621  0.349 0.559  0.317 0.498  0.284 0.436  0.252 0.375  0.219 0.314  0.187 0.252  0.155 0.191  0.122 0.129  0.090 0.068  0.057 0.007  0.022 -0.053  -0.016 -0.111  -0.053 -0.170  -0.090 -0.228  -0.127 -0.287  -0.165 -0.346  -0.202 -0.404  -0.239 -0.463  -0.276 -0.521  -0.315 -0.579  -0.355 -0.636  -0.395 -0.692  -0.435 -0.749  -0.476 -0.806  -0.516 -0.862  -0.556 -0.919  -0.596 -0.976  -0.636 -1.033  -0.675 -1.089  -0.715 -1.146  -0.755 -1.203  -0.795 -1.260  -0.837 -1.316  -0.879 -1.370  -0.922 -1.425
