3#apb#apb06#app0608/B  -0.151 0.488  -0.134 0.743  -0.158 0.872  -0.246 0.629  -0.328 0.383  -0.413 0.138  -0.504 -0.104  -0.599 -0.345  -0.741 -0.562  -0.890 -0.773  -1.056 -0.972  -1.243 -1.062  -1.210 -0.807  -1.125 -0.563  -1.018 -0.328  -0.899 -0.098  -0.762 0.122  -0.618 0.337  -0.464 0.545  -0.287 0.733  -0.109 0.922  0.089 1.088  0.294 1.245  0.521 1.366  0.762 1.449  0.984 1.348  1.055 1.107  1.023 0.850  0.899 0.625  0.750 0.415  0.577 0.222  0.367 0.070  0.142 -0.056  -0.030 -0.008  0.187 0.128  0.436 0.194  0.679 0.142  0.845 -0.049  0.885 -0.302  0.809 -0.547  0.684 -0.772  0.522 -0.971  0.316 -1.122  0.068 -1.189  -0.169 -1.117  -0.254 -0.880  -0.180 -0.658  0.022 -0.808  0.220 -0.975  0.449 -1.094
3#apb#apb06#app0608/l  0.659 1.545  0.667 1.484  0.653 1.416  0.638 1.347  0.623 1.279  0.601 1.213  0.578 1.147  0.555 1.081  0.532 1.015  0.509 0.949  0.486 0.883  0.458 0.819  0.430 0.756  0.401 0.692  0.373 0.628  0.344 0.564  0.315 0.501  0.287 0.437  0.258 0.373  0.227 0.311  0.194 0.250  0.161 0.188  0.128 0.126  0.095 0.065  0.063 0.003  0.030 -0.059  -0.003 -0.120  -0.036 -0.182  -0.075 -0.239  -0.120 -0.293  -0.165 -0.346  -0.209 -0.400  -0.254 -0.454  -0.299 -0.507  -0.343 -0.561  -0.388 -0.615  -0.422 -0.675  -0.451 -0.739  -0.479 -0.802  -0.507 -0.866  -0.536 -0.930  -0.564 -0.994  -0.592 -1.058  -0.620 -1.122  -0.644 -1.187  -0.668 -1.253  -0.692 -1.318  -0.717 -1.384  -0.740 -1.449  -0.740 -1.519
3#apb#apb06#app0608/u  -0.430 1.137  -0.324 1.018  -0.308 0.858  -0.351 0.697  -0.401 0.539  -0.475 0.390  -0.550 0.241  -0.636 0.099  -0.735 -0.035  -0.834 -0.169  -0.933 -0.303  -1.033 -0.436  -1.133 -0.570  -1.221 -0.711  -1.300 -0.857  -1.331 -1.011  -1.172 -0.963  -1.015 -0.906  -0.860 -0.845  -0.716 -0.765  -0.588 -0.659  -0.459 -0.553  -0.328 -0.450  -0.194 -0.351  -0.060 -0.252  0.071 -0.150  0.192 -0.035  0.313 0.079  0.433 0.194  0.551 0.312  0.665 0.433  0.779 0.554  0.889 0.679  0.988 0.814  1.086 0.948  1.209 1.059  1.159 0.982  1.088 0.831  1.023 0.678  0.959 0.524  0.878 0.379  0.794 0.235  0.711 0.090  0.642 -0.061  0.576 -0.214  0.522 -0.371  0.482 -0.533  0.448 -0.695  0.432 -0.861  0.498 -1.012
3#apb#apb06#app0608/e  -0.561 0.566  -0.503 0.423  -0.423 0.291  -0.304 0.193  -0.169 0.125  -0.013 0.125  0.141 0.137  0.290 0.180  0.440 0.222  0.582 0.284  0.721 0.353  0.855 0.430  0.980 0.523  1.060 0.647  1.081 0.797  1.039 0.946  0.913 1.035  0.782 1.116  0.629 1.087  0.477 1.059  0.327 1.023  0.191 0.946  0.056 0.870  -0.080 0.794  -0.198 0.694  -0.315 0.591  -0.431 0.488  -0.548 0.385  -0.630 0.254  -0.708 0.120  -0.786 -0.015  -0.864 -0.149  -0.916 -0.296  -0.967 -0.443  -1.019 -0.589  -0.990 -0.736  -0.941 -0.884  -0.839 -0.982  -0.695 -1.041  -0.552 -1.100  -0.405 -1.136  -0.250 -1.118  -0.096 -1.099  0.058 -1.081  0.213 -1.062  0.367 -1.040  0.520 -1.017  0.674 -0.995  0.828 -0.972  0.982 -0.949
3#apb#apb06#app0608/S  0.917 0.991  0.984 1.058  1.052 1.126  1.115 1.198  1.057 1.206  0.964 1.181  0.872 1.155  0.792 1.101  0.712 1.048  0.632 0.995  0.553 0.941  0.478 0.882  0.402 0.823  0.329 0.761  0.275 0.682  0.220 0.603  0.167 0.523  0.133 0.434  0.099 0.344  0.086 0.250  0.081 0.154  0.081 0.058  0.096 -0.037  0.111 -0.131  0.119 -0.227  0.123 -0.323  0.127 -0.419  0.115 -0.513  0.093 -0.607  0.061 -0.695  0.002 -0.771  -0.057 -0.846  -0.136 -0.900  -0.218 -0.950  -0.309 -0.978  -0.402 -0.999  -0.496 -1.002  -0.590 -0.982  -0.679 -0.948  -0.763 -0.903  -0.833 -0.840  -0.892 -0.764  -0.941 -0.683  -0.974 -0.593  -0.995 -0.501  -0.995 -0.405  -0.977 -0.312  -0.908 -0.311  -0.860 -0.392  -0.827 -0.482
3#apb#apb06#app0608/p  0.107 0.906  0.050 0.741  -0.032 0.585  -0.130 0.438  -0.228 0.290  -0.329 0.145  -0.433 0.002  -0.537 -0.141  -0.639 -0.286  -0.735 -0.434  -0.832 -0.583  -0.925 -0.733  -1.016 -0.884  -1.094 -1.043  -1.162 -1.206  -1.209 -1.280  -1.121 -1.126  -1.028 -0.976  -0.922 -0.834  -0.816 -0.693  -0.712 -0.550  -0.608 -0.406  -0.504 -0.263  -0.388 -0.130  -0.270 0.002  -0.153 0.134  -0.035 0.266  0.088 0.394  0.216 0.516  0.343 0.639  0.471 0.761  0.613 0.865  0.763 0.960  0.914 1.049  1.091 1.049  1.239 0.979  1.336 0.841  1.347 0.664  1.318 0.494  1.251 0.331  1.158 0.186  1.024 0.070  0.888 -0.043  0.736 -0.133  0.583 -0.223  0.413 -0.266  0.239 -0.298  0.063 -0.289  -0.112 -0.269  -0.281 -0.218
3#apb#apb06#app0608/r  0.262 1.039  0.242 0.904  0.208 0.772  0.162 0.643  0.115 0.515  0.068 0.386  0.021 0.257  -0.036 0.133  -0.097 0.010  -0.158 -0.112  -0.220 -0.235  -0.281 -0.357  -0.350 -0.475  -0.419 -0.594  -0.487 -0.712  -0.556 -0.831  -0.626 -0.948  -0.698 -1.065  -0.770 -1.182  -0.851 -1.291  -0.927 -1.392  -0.917 -1.256  -0.866 -1.129  -0.815 -1.002  -0.749 -0.883  -0.681 -0.763  -0.614 -0.644  -0.547 -0.525  -0.476 -0.407  -0.406 -0.290  -0.335 -0.172  -0.265 -0.055  -0.188 0.058  -0.099 0.162  -0.010 0.266  0.078 0.371  0.167 0.475  0.256 0.580  0.366 0.661  0.477 0.740  0.589 0.820  0.705 0.891  0.830 0.948  0.954 1.004  1.089 0.996  1.215 0.960  1.304 0.857  1.384 0.747  1.446 0.624  1.507 0.502
3#apb#apb06#app0608/i  -0.644 1.598  -0.600 1.537  -0.588 1.459  -0.576 1.382  -0.564 1.305  -0.522 1.240  -0.475 1.178  -0.427 1.116  -0.379 1.054  -0.331 0.992  -0.284 0.930  -0.236 0.868  -0.188 0.807  -0.140 0.745  -0.092 0.683  -0.045 0.621  0.003 0.559  0.051 0.497  0.099 0.435  0.146 0.373  0.194 0.311  0.242 0.249  0.290 0.187  0.338 0.125  0.385 0.063  0.433 0.001  0.481 -0.061  0.529 -0.122  0.505 -0.185  0.468 -0.254  0.431 -0.322  0.394 -0.391  0.357 -0.460  0.321 -0.530  0.284 -0.599  0.248 -0.668  0.212 -0.737  0.175 -0.806  0.145 -0.879  0.115 -0.951  0.085 -1.023  0.056 -1.095  0.024 -1.167  -0.017 -1.234  -0.058 -1.300  -0.099 -1.367  -0.138 -1.434  -0.171 -1.505  -0.203 -1.577  -0.235 -1.648
3#apb#apb06#app0608/n  -0.013 1.119  -0.120 1.003  -0.182 0.856  -0.243 0.710  -0.305 0.563  -0.386 0.427  -0.470 0.292  -0.553 0.157  -0.637 0.021  -0.718 -0.116  -0.798 -0.253  -0.879 -0.390  -0.973 -0.517  -1.068 -0.645  -1.138 -0.785  -1.140 -0.811  -1.069 -0.669  -0.989 -0.532  -0.901 -0.399  -0.809 -0.270  -0.706 -0.149  -0.602 -0.029  -0.498 0.091  -0.392 0.210  -0.286 0.328  -0.180 0.447  -0.068 0.559  0.055 0.660  0.178 0.761  0.301 0.862  0.447 0.922  0.595 0.980  0.737 0.938  0.866 0.852  0.923 0.704  0.980 0.555  0.983 0.397  0.983 0.238  0.983 0.079  0.955 -0.077  0.925 -0.233  0.895 -0.389  0.861 -0.545  0.825 -0.699  0.788 -0.854  0.726 -1.000  0.659 -1.144  0.573 -1.277  0.475 -1.402  0.410 -1.546
3#apb#apb06#app0608/g  0.664 1.036  0.575 1.084  0.442 1.063  0.312 1.020  0.186 0.968  0.070 0.895  -0.043 0.820  -0.132 0.716  -0.221 0.613  -0.271 0.486  -0.258 0.350  -0.159 0.261  -0.034 0.227  0.103 0.227  0.235 0.258  0.368 0.293  0.490 0.354  0.606 0.423  0.703 0.520  0.781 0.630  0.846 0.750  0.913 0.869  0.860 0.819  0.775 0.713  0.705 0.596  0.635 0.479  0.563 0.362  0.492 0.246  0.420 0.130  0.348 0.014  0.273 -0.101  0.198 -0.215  0.123 -0.330  0.049 -0.444  -0.026 -0.559  -0.101 -0.673  -0.180 -0.785  -0.265 -0.891  -0.351 -0.998  -0.441 -1.100  -0.537 -1.197  -0.645 -1.281  -0.767 -1.329  -0.902 -1.317  -1.024 -1.265  -1.123 -1.172  -1.197 -1.057  -1.269 -0.941  -1.341 -0.824  -1.448 -0.742
3#apb#apb06#app0608/s  0.738 0.902  0.776 1.003  0.790 1.097  0.709 1.167  0.621 1.219  0.513 1.219  0.406 1.219  0.299 1.219  0.193 1.201  0.088 1.180  -0.018 1.159  -0.120 1.126  -0.219 1.086  -0.288 1.021  -0.303 0.915  -0.283 0.810  -0.259 0.705  -0.233 0.601  -0.183 0.506  -0.132 0.412  -0.082 0.317  -0.029 0.223  0.025 0.131  0.080 0.038  0.134 -0.055  0.185 -0.149  0.228 -0.248  0.271 -0.346  0.314 -0.444  0.349 -0.546  0.378 -0.649  0.408 -0.752  0.409 -0.857  0.388 -0.962  0.340 -1.049  0.250 -1.109  0.159 -1.161  0.052 -1.161  -0.056 -1.161  -0.162 -1.155  -0.261 -1.112  -0.359 -1.070  -0.458 -1.028  -0.549 -0.971  -0.640 -0.913  -0.729 -0.854  -0.813 -0.786  -0.897 -0.719  -0.977 -0.648  -1.053 -0.572
