3#apb#apb08#app0866/9  0.388 0.178  0.424 0.334  0.420 0.496  0.362 0.647  0.272 0.777  0.153 0.887  0.018 0.972  -0.132 1.034  -0.284 1.081  -0.446 1.072  -0.607 1.064  -0.746 0.981  -0.885 0.897  -1.007 0.795  -1.102 0.663  -1.196 0.532  -1.236 0.376  -1.271 0.218  -1.217 0.070  -1.148 -0.077  -1.038 -0.193  -0.916 -0.300  -0.783 -0.389  -0.634 -0.453  -0.485 -0.517  -0.325 -0.527  -0.163 -0.527  -0.008 -0.484  0.146 -0.433  0.277 -0.342  0.399 -0.236  0.504 -0.115  0.592 0.021  0.673 0.161  0.731 0.312  0.811 0.452  0.817 0.361  0.772 0.205  0.732 0.048  0.696 -0.110  0.660 -0.268  0.645 -0.429  0.631 -0.591  0.623 -0.752  0.623 -0.914  0.623 -1.076  0.623 -1.238  0.629 -1.400  0.656 -1.560  0.731 -1.702
3#apb#apb08#app0866/0  -0.291 0.902  -0.399 0.830  -0.499 0.748  -0.595 0.661  -0.669 0.556  -0.738 0.446  -0.808 0.337  -0.861 0.220  -0.903 0.098  -0.946 -0.025  -0.963 -0.151  -0.963 -0.281  -0.963 -0.410  -0.939 -0.536  -0.902 -0.660  -0.862 -0.783  -0.770 -0.874  -0.678 -0.966  -0.565 -1.017  -0.438 -1.044  -0.312 -1.059  -0.185 -1.033  -0.058 -1.007  0.066 -0.972  0.176 -0.904  0.286 -0.837  0.396 -0.769  0.500 -0.692  0.594 -0.602  0.687 -0.513  0.781 -0.424  0.842 -0.311  0.896 -0.193  0.950 -0.075  0.978 0.049  0.988 0.178  0.998 0.307  0.992 0.435  0.958 0.560  0.924 0.685  0.857 0.790  0.761 0.877  0.650 0.936  0.525 0.969  0.399 0.996  0.272 0.973  0.144 0.949  0.019 0.920  -0.104 0.879  -0.227 0.838
3#apb#apb08#app0866/1  -0.103 1.669  -0.050 1.630  -0.035 1.562  -0.020 1.494  -0.005 1.425  -0.004 1.356  -0.004 1.286  -0.004 1.216  -0.004 1.146  -0.004 1.076  -0.007 1.006  -0.013 0.937  -0.019 0.867  -0.026 0.798  -0.032 0.728  -0.038 0.659  -0.045 0.589  -0.051 0.519  -0.054 0.450  -0.054 0.380  -0.054 0.310  -0.054 0.240  -0.054 0.170  -0.054 0.100  -0.054 0.031  -0.054 -0.039  -0.053 -0.109  -0.049 -0.179  -0.046 -0.249  -0.042 -0.318  -0.038 -0.388  -0.035 -0.458  -0.031 -0.528  -0.027 -0.597  -0.024 -0.667  -0.020 -0.737  -0.016 -0.807  -0.013 -0.876  -0.009 -0.946  -0.005 -1.016  0.017 -1.081  0.046 -1.145  0.076 -1.208  0.105 -1.271  0.134 -1.335  0.154 -1.401  0.170 -1.470  0.185 -1.538  0.201 -1.606  0.217 -1.674
3#apb#apb08#app0866/E  -0.778 0.771  -0.832 0.543  -0.854 0.309  -0.866 0.072  -0.877 -0.164  -0.877 -0.401  -0.877 -0.638  -0.843 -0.870  -0.754 -1.087  -0.600 -1.264  -0.397 -1.377  -0.169 -1.421  0.066 -1.402  0.297 -1.347  0.527 -1.293  0.742 -1.197  0.947 -1.093  0.918 -0.893  0.748 -0.728  0.578 -0.563  0.408 -0.398  0.239 -0.233  0.069 -0.068  -0.101 0.097  -0.271 0.262  -0.440 0.427  -0.610 0.592  -0.780 0.758  -0.636 0.869  -0.414 0.946  -0.179 0.978  0.051 1.033  0.279 1.097  0.513 1.128  0.748 1.157  0.982 1.192  0.911 1.076  0.742 0.911  0.573 0.745  0.403 0.580  0.234 0.414  0.064 0.249  -0.105 0.083  -0.274 -0.082  -0.311 -0.137  -0.094 -0.047  0.137 0.003  0.368 0.053  0.590 0.133  0.808 0.226
3#apb#apb08#app0866/l  -0.111 1.668  -0.060 1.630  -0.060 1.560  -0.060 1.491  -0.060 1.421  -0.060 1.352  -0.060 1.282  -0.060 1.213  -0.060 1.143  -0.060 1.074  -0.060 1.004  -0.060 0.935  -0.060 0.865  -0.060 0.796  -0.060 0.726  -0.060 0.657  -0.060 0.587  -0.060 0.518  -0.060 0.448  -0.060 0.379  -0.060 0.309  -0.060 0.240  -0.060 0.170  -0.060 0.101  -0.055 0.032  -0.046 -0.037  -0.037 -0.106  -0.028 -0.175  -0.019 -0.244  -0.010 -0.313  -0.000 -0.382  0.009 -0.451  0.018 -0.520  0.027 -0.588  0.036 -0.657  0.045 -0.726  0.054 -0.795  0.063 -0.864  0.071 -0.933  0.080 -1.002  0.088 -1.071  0.099 -1.140  0.111 -1.208  0.124 -1.276  0.136 -1.345  0.144 -1.414  0.144 -1.483  0.144 -1.553  0.144 -1.622  0.144 -1.692
3#apb#apb08#app0866/C  0.263 0.372  0.286 0.289  0.371 0.359  0.442 0.452  0.496 0.554  0.519 0.669  0.526 0.784  0.496 0.897  0.424 0.986  0.338 1.065  0.227 1.103  0.115 1.138  -0.001 1.124  -0.117 1.107  -0.223 1.058  -0.326 1.002  -0.428 0.944  -0.505 0.855  -0.582 0.767  -0.659 0.678  -0.710 0.572  -0.761 0.466  -0.812 0.361  -0.841 0.249  -0.852 0.132  -0.863 0.015  -0.857 -0.100  -0.814 -0.209  -0.770 -0.318  -0.725 -0.426  -0.653 -0.519  -0.581 -0.612  -0.502 -0.696  -0.402 -0.758  -0.302 -0.820  -0.199 -0.876  -0.087 -0.911  0.025 -0.946  0.138 -0.978  0.254 -0.996  0.370 -1.014  0.487 -1.015  0.603 -1.000  0.719 -0.983  0.833 -0.954  0.942 -0.912  1.046 -0.857  1.138 -0.786  1.219 -0.702  1.292 -0.609
3#apb#apb08#app0866/a  0.659 0.742  0.581 0.878  0.466 0.974  0.325 1.037  0.173 1.069  0.021 1.102  -0.131 1.072  -0.284 1.040  -0.430 0.990  -0.573 0.929  -0.714 0.864  -0.816 0.747  -0.918 0.629  -1.020 0.512  -1.065 0.367  -1.095 0.214  -1.124 0.061  -1.141 -0.092  -1.119 -0.246  -1.097 -0.400  -1.022 -0.535  -0.941 -0.668  -0.838 -0.775  -0.694 -0.836  -0.551 -0.897  -0.400 -0.888  -0.246 -0.864  -0.098 -0.820  0.048 -0.764  0.173 -0.683  0.262 -0.555  0.351 -0.427  0.428 -0.293  0.501 -0.155  0.574 -0.018  0.601 0.135  0.623 0.289  0.645 0.443  0.669 0.476  0.697 0.323  0.710 0.169  0.710 0.013  0.710 -0.143  0.728 -0.295  0.775 -0.444  0.821 -0.592  0.882 -0.735  0.951 -0.874  1.057 -0.986  1.174 -1.088
3#apb#apb08#app0866/m  -1.243 0.226  -1.275 0.086  -1.291 -0.055  -1.291 -0.199  -1.273 -0.340  -1.243 -0.480  -1.212 -0.620  -1.151 -0.749  -1.058 -0.661  -0.990 -0.535  -0.960 -0.395  -0.932 -0.254  -0.881 -0.121  -0.820 0.009  -0.752 0.134  -0.669 0.251  -0.586 0.369  -0.461 0.437  -0.329 0.483  -0.203 0.434  -0.130 0.312  -0.082 0.179  -0.065 0.037  -0.055 -0.106  -0.055 -0.249  -0.055 -0.393  -0.085 -0.531  -0.004 -0.474  0.061 -0.346  0.131 -0.221  0.201 -0.096  0.263 0.034  0.325 0.163  0.388 0.292  0.457 0.417  0.526 0.543  0.617 0.651  0.727 0.739  0.869 0.726  0.986 0.648  1.082 0.545  1.155 0.421  1.226 0.297  1.290 0.169  1.351 0.039  1.402 -0.095  1.449 -0.231  1.488 -0.368  1.544 -0.500  1.614 -0.625
3#apb#apb08#app0866/i  -0.247 1.462  -0.286 1.518  -0.265 1.572  -0.248 1.502  -0.231 1.432  -0.215 1.362  -0.198 1.292  -0.181 1.222  -0.164 1.151  -0.147 1.081  -0.130 1.011  -0.114 0.941  -0.097 0.871  -0.080 0.801  -0.063 0.731  -0.046 0.661  -0.030 0.591  -0.013 0.520  0.004 0.450  0.021 0.380  0.038 0.310  0.055 0.240  0.071 0.170  0.072 0.112  0.046 0.066  0.046 -0.006  0.046 -0.078  0.045 -0.150  0.035 -0.221  0.025 -0.293  0.014 -0.364  0.009 -0.435  0.017 -0.507  0.024 -0.579  0.032 -0.650  0.039 -0.722  0.047 -0.794  0.055 -0.866  0.063 -0.937  0.071 -1.009  0.079 -1.081  0.090 -1.151  0.118 -1.218  0.146 -1.284  0.173 -1.351  0.202 -1.417  0.231 -1.483  0.261 -1.549  0.281 -1.618  0.300 -1.687
3#apb#apb08#app0866/n  -1.135 0.210  -1.154 0.101  -1.147 -0.008  -1.130 -0.118  -1.113 -0.227  -1.112 -0.338  -1.112 -0.449  -1.097 -0.558  -1.073 -0.666  -1.041 -0.772  -0.983 -0.821  -0.891 -0.772  -0.838 -0.675  -0.785 -0.577  -0.731 -0.481  -0.677 -0.384  -0.623 -0.288  -0.569 -0.191  -0.508 -0.098  -0.446 -0.007  -0.383 0.085  -0.321 0.176  -0.258 0.267  -0.184 0.349  -0.108 0.430  -0.032 0.511  0.043 0.591  0.119 0.672  0.220 0.718  0.321 0.761  0.423 0.805  0.532 0.816  0.642 0.816  0.747 0.801  0.831 0.728  0.914 0.655  0.961 0.555  1.007 0.454  1.039 0.349  1.055 0.240  1.071 0.130  1.079 0.020  1.079 -0.091  1.079 -0.201  1.079 -0.312  1.065 -0.422  1.048 -0.531  1.033 -0.641  1.033 -0.751  1.033 -0.862
3#apb#apb08#app0866/o  -0.259 1.073  -0.369 1.033  -0.449 0.948  -0.512 0.846  -0.576 0.744  -0.639 0.642  -0.702 0.539  -0.765 0.436  -0.828 0.334  -0.873 0.225  -0.890 0.106  -0.907 -0.013  -0.924 -0.132  -0.912 -0.249  -0.876 -0.363  -0.840 -0.478  -0.790 -0.586  -0.727 -0.689  -0.664 -0.791  -0.584 -0.880  -0.499 -0.965  -0.406 -1.035  -0.287 -1.050  -0.168 -1.066  -0.051 -1.056  0.063 -1.018  0.177 -0.980  0.276 -0.915  0.367 -0.837  0.458 -0.758  0.547 -0.678  0.614 -0.578  0.681 -0.478  0.747 -0.378  0.808 -0.275  0.834 -0.158  0.861 -0.041  0.887 0.077  0.910 0.194  0.894 0.313  0.878 0.432  0.862 0.551  0.841 0.669  0.773 0.768  0.705 0.867  0.637 0.966  0.555 1.053  0.465 1.132  0.374 1.211  0.283 1.289
