3#apb#apb12#app1217/K  -0.791 1.111  -0.740 1.050  -0.676 0.869  -0.632 0.682  -0.599 0.493  -0.586 0.301  -0.577 0.109  -0.569 -0.084  -0.560 -0.276  -0.552 -0.468  -0.543 -0.660  -0.535 -0.853  -0.526 -1.045  -0.518 -1.237  -0.509 -1.429  -0.494 -1.585  -0.449 -1.404  -0.485 -1.215  -0.520 -1.026  -0.556 -0.837  -0.592 -0.648  -0.627 -0.458  -0.538 -0.326  -0.385 -0.209  -0.226 -0.100  -0.065 0.005  0.088 0.122  0.241 0.238  0.384 0.368  0.526 0.497  0.668 0.627  0.810 0.757  0.952 0.887  1.094 1.017  1.236 1.146  1.343 1.230  1.219 1.087  1.087 0.947  0.954 0.808  0.822 0.668  0.689 0.528  0.557 0.389  0.424 0.249  0.292 0.110  0.160 -0.030  0.027 -0.170  -0.060 -0.319  0.070 -0.450  0.110 -0.638  0.154 -0.825
3#apb#apb12#app1217/e  -0.837 -0.055  -0.947 -0.133  -0.817 -0.142  -0.657 -0.114  -0.496 -0.086  -0.336 -0.059  -0.176 -0.031  -0.015 -0.004  0.137 0.041  0.258 0.150  0.365 0.272  0.459 0.404  0.532 0.549  0.592 0.700  0.639 0.855  0.655 1.017  0.641 1.178  0.546 1.305  0.394 1.336  0.238 1.290  0.081 1.248  -0.065 1.185  -0.194 1.086  -0.310 0.972  -0.414 0.847  -0.502 0.711  -0.586 0.572  -0.628 0.416  -0.662 0.257  -0.697 0.098  -0.735 -0.060  -0.739 -0.222  -0.729 -0.384  -0.688 -0.541  -0.632 -0.692  -0.545 -0.830  -0.441 -0.954  -0.320 -1.061  -0.183 -1.148  -0.024 -1.183  0.135 -1.191  0.294 -1.157  0.447 -1.104  0.599 -1.045  0.737 -0.961  0.866 -0.863  0.995 -0.764  1.124 -0.665  1.255 -0.568  1.388 -0.474
3#apb#apb12#app1217/i  -0.318 0.352  -0.318 0.441  -0.318 0.530  -0.318 0.620  -0.318 0.709  -0.318 0.798  -0.318 0.887  -0.318 0.977  -0.318 1.066  -0.318 1.155  -0.318 1.244  -0.305 1.320  -0.216 1.320  -0.174 1.267  -0.164 1.178  -0.154 1.089  -0.144 1.001  -0.135 0.912  -0.125 0.823  -0.115 0.735  -0.105 0.646  -0.095 0.557  -0.085 0.469  -0.076 0.380  -0.066 0.291  -0.056 0.203  -0.046 0.114  -0.028 0.027  -0.003 -0.059  0.021 -0.145  0.046 -0.230  0.070 -0.316  0.095 -0.402  0.119 -0.488  0.144 -0.574  0.168 -0.659  0.193 -0.745  0.217 -0.831  0.242 -0.917  0.266 -1.002  0.291 -1.088  0.315 -1.174  0.340 -1.260  0.364 -1.346  0.389 -1.431  0.413 -1.517  0.438 -1.603  0.462 -1.689  0.487 -1.775  0.511 -1.860
3#apb#apb12#app1217/k  -1.000 0.626  -0.949 0.488  -0.939 0.342  -0.939 0.195  -0.933 0.048  -0.925 -0.100  -0.918 -0.247  -0.918 -0.394  -0.918 -0.541  -0.889 -0.686  -0.860 -0.830  -0.830 -0.975  -0.800 -1.119  -0.759 -1.239  -0.733 -1.108  -0.733 -0.960  -0.733 -0.813  -0.723 -0.667  -0.669 -0.531  -0.594 -0.405  -0.509 -0.284  -0.401 -0.184  -0.292 -0.085  -0.184 0.015  -0.075 0.114  0.038 0.209  0.153 0.301  0.268 0.393  0.397 0.464  0.527 0.534  0.649 0.614  0.766 0.704  0.886 0.789  1.016 0.859  1.142 0.936  1.275 0.994  1.345 0.943  1.272 0.821  1.181 0.706  1.089 0.590  0.998 0.474  0.907 0.359  0.815 0.243  0.724 0.128  0.633 0.012  0.541 -0.104  0.450 -0.219  0.358 -0.335  0.373 -0.469  0.419 -0.609
3#apb#apb12#app1217/o  -0.813 0.136  -0.892 0.241  -0.949 0.356  -0.848 0.428  -0.720 0.482  -0.591 0.536  -0.463 0.590  -0.335 0.644  -0.207 0.698  -0.078 0.753  0.050 0.807  0.178 0.861  0.307 0.915  0.435 0.969  0.549 0.949  0.647 0.851  0.746 0.752  0.826 0.639  0.905 0.524  0.972 0.403  1.018 0.272  1.064 0.141  1.094 0.006  1.103 -0.133  1.111 -0.272  1.071 -0.404  1.021 -0.534  0.939 -0.641  0.832 -0.731  0.726 -0.820  0.600 -0.876  0.468 -0.922  0.337 -0.968  0.199 -0.974  0.060 -0.974  -0.075 -0.956  -0.196 -0.888  -0.318 -0.820  -0.436 -0.748  -0.549 -0.665  -0.661 -0.583  -0.765 -0.492  -0.844 -0.377  -0.922 -0.263  -1.001 -0.148  -1.059 -0.023  -1.096 0.111  -1.133 0.245  -1.153 0.382  -1.153 0.521
3#apb#apb12#app1217/L  -0.762 1.152  -0.711 1.254  -0.661 1.357  -0.634 1.467  -0.625 1.466  -0.608 1.352  -0.592 1.239  -0.575 1.126  -0.558 1.013  -0.542 0.900  -0.525 0.787  -0.508 0.673  -0.491 0.560  -0.475 0.447  -0.458 0.334  -0.441 0.221  -0.425 0.107  -0.408 -0.006  -0.391 -0.119  -0.374 -0.232  -0.358 -0.345  -0.341 -0.458  -0.324 -0.572  -0.308 -0.685  -0.291 -0.798  -0.274 -0.911  -0.274 -0.961  -0.305 -0.851  -0.312 -0.739  -0.292 -0.626  -0.245 -0.522  -0.191 -0.423  -0.100 -0.354  -0.008 -0.287  0.098 -0.244  0.205 -0.206  0.320 -0.213  0.434 -0.220  0.543 -0.255  0.651 -0.291  0.752 -0.345  0.853 -0.399  0.953 -0.454  1.052 -0.511  1.151 -0.569  1.255 -0.615  1.368 -0.614  1.475 -0.574  1.582 -0.534  1.696 -0.520
3#apb#apb12#app1217/a  0.195 0.235  0.298 0.335  0.278 0.503  0.259 0.670  0.240 0.838  0.163 0.987  0.013 1.053  -0.153 1.084  -0.321 1.084  -0.482 1.049  -0.623 0.955  -0.759 0.855  -0.876 0.735  -0.982 0.603  -1.073 0.461  -1.149 0.312  -1.196 0.149  -1.229 -0.016  -1.233 -0.184  -1.193 -0.347  -1.126 -0.501  -1.007 -0.621  -0.881 -0.733  -0.746 -0.835  -0.597 -0.905  -0.430 -0.915  -0.272 -0.854  -0.128 -0.773  -0.008 -0.653  0.103 -0.527  0.201 -0.390  0.293 -0.248  0.357 -0.092  0.422 0.064  0.471 0.226  0.517 0.388  0.562 0.495  0.527 0.331  0.516 0.163  0.516 -0.006  0.516 -0.175  0.576 -0.332  0.661 -0.478  0.780 -0.584  0.939 -0.641  1.099 -0.678  1.260 -0.624  1.418 -0.567  1.567 -0.487  1.716 -0.408
3#apb#apb12#app1217/u  -1.059 1.047  -1.066 0.952  -1.073 0.817  -1.081 0.682  -1.089 0.547  -1.097 0.413  -1.104 0.278  -1.112 0.143  -1.120 0.008  -1.127 -0.127  -1.135 -0.261  -1.095 -0.386  -1.029 -0.504  -0.937 -0.597  -0.812 -0.623  -0.681 -0.592  -0.555 -0.544  -0.430 -0.494  -0.330 -0.403  -0.230 -0.312  -0.138 -0.214  -0.047 -0.114  0.032 -0.005  0.099 0.112  0.164 0.230  0.219 0.353  0.270 0.478  0.312 0.606  0.271 0.714  0.182 0.615  0.110 0.502  0.084 0.369  0.092 0.237  0.124 0.106  0.179 -0.017  0.253 -0.129  0.344 -0.227  0.456 -0.302  0.572 -0.370  0.694 -0.427  0.825 -0.457  0.959 -0.445  1.088 -0.413  1.211 -0.356  1.333 -0.300  1.456 -0.242  1.578 -0.185  1.696 -0.120  1.814 -0.054  1.932 0.011
3#apb#apb12#app1217/r  -0.573 0.437  -0.648 0.422  -0.691 0.254  -0.691 0.080  -0.691 -0.095  -0.691 -0.269  -0.686 -0.444  -0.680 -0.618  -0.674 -0.792  -0.668 -0.967  -0.686 -0.815  -0.707 -0.642  -0.737 -0.470  -0.773 -0.300  -0.809 -0.129  -0.798 0.045  -0.788 0.219  -0.760 0.391  -0.723 0.562  -0.700 0.734  -0.641 0.894  -0.547 1.041  -0.431 1.162  -0.266 1.215  -0.092 1.215  0.063 1.144  0.210 1.051  0.348 0.944  0.454 0.808  0.538 0.656  0.573 0.485  0.545 0.317  0.494 0.151  0.406 0.001  0.310 -0.145  0.203 -0.283  0.100 -0.423  -0.032 -0.506  0.080 -0.440  0.252 -0.421  0.426 -0.420  0.598 -0.441  0.762 -0.501  0.918 -0.578  1.065 -0.672  1.229 -0.727  1.397 -0.771  1.566 -0.813  1.739 -0.803  1.902 -0.742
3#apb#apb12#app1217/a  -0.880 0.329  -0.880 0.116  -0.857 -0.093  -0.801 -0.299  -0.745 -0.505  -0.690 -0.710  -0.639 -0.646  -0.600 -0.437  -0.579 -0.225  -0.559 -0.013  -0.542 0.199  -0.524 0.411  -0.442 0.608  -0.359 0.804  -0.278 1.001  -0.189 1.193  -0.056 1.360  0.089 1.512  0.247 1.393  0.378 1.230  0.473 1.040  0.569 0.849  0.664 0.659  0.759 0.468  0.854 0.278  0.950 0.087  0.996 -0.120  1.030 -0.330  1.045 -0.542  1.048 -0.755  1.048 -0.968  1.060 -1.179  1.098 -1.359  0.925 -1.234  0.753 -1.109  0.580 -0.983  0.408 -0.858  0.236 -0.733  0.063 -0.608  -0.109 -0.483  -0.282 -0.358  -0.454 -0.233  -0.626 -0.108  -0.799 0.017  -0.971 0.142  -0.903 0.255  -0.693 0.266  -0.480 0.266  -0.271 0.224  -0.063 0.183
3#apb#apb12#app1217/M  -1.316 0.473  -1.280 0.481  -1.187 0.333  -1.119 0.173  -1.070 0.005  -1.021 -0.164  -0.972 -0.332  -0.924 -0.501  -0.875 -0.669  -0.868 -0.703  -0.879 -0.528  -0.879 -0.352  -0.866 -0.178  -0.846 -0.003  -0.808 0.168  -0.759 0.336  -0.699 0.501  -0.624 0.659  -0.494 0.667  -0.382 0.532  -0.300 0.378  -0.229 0.218  -0.168 0.054  -0.106 -0.110  -0.044 -0.274  0.014 -0.440  0.076 -0.604  0.115 -0.701  0.116 -0.527  0.145 -0.354  0.182 -0.183  0.221 -0.012  0.276 0.155  0.335 0.320  0.407 0.479  0.485 0.637  0.563 0.794  0.718 0.842  0.851 0.734  0.954 0.593  1.043 0.442  1.127 0.288  1.185 0.123  1.241 -0.043  1.304 -0.207  1.359 -0.373  1.395 -0.545  1.447 -0.712  1.517 -0.872  1.639 -0.993
