3#apb#apb12#app1218/O  -0.472 0.548  -0.540 0.422  -0.591 0.505  -0.615 0.656  -0.573 0.793  -0.473 0.905  -0.336 0.975  -0.199 1.043  -0.046 1.057  0.104 1.027  0.248 0.977  0.383 0.904  0.494 0.799  0.598 0.686  0.695 0.566  0.790 0.445  0.853 0.306  0.912 0.164  0.946 0.014  0.977 -0.136  0.989 -0.289  0.989 -0.443  0.972 -0.594  0.926 -0.741  0.866 -0.881  0.786 -1.011  0.667 -1.109  0.531 -1.173  0.383 -1.213  0.231 -1.202  0.080 -1.176  -0.065 -1.125  -0.208 -1.068  -0.340 -0.989  -0.469 -0.906  -0.591 -0.813  -0.710 -0.716  -0.821 -0.610  -0.895 -0.479  -0.908 -0.328  -0.889 -0.176  -0.841 -0.030  -0.782 0.112  -0.709 0.247  -0.631 0.380  -0.548 0.509  -0.457 0.633  -0.355 0.747  -0.238 0.847  -0.115 0.939
3#apb#apb12#app1218/l  -0.548 1.323  -0.516 1.386  -0.476 1.444  -0.426 1.449  -0.376 1.399  -0.326 1.349  -0.292 1.290  -0.276 1.221  -0.259 1.152  -0.243 1.083  -0.227 1.014  -0.210 0.945  -0.194 0.876  -0.178 0.808  -0.161 0.739  -0.145 0.670  -0.129 0.601  -0.112 0.532  -0.096 0.463  -0.080 0.394  -0.063 0.325  -0.047 0.256  -0.031 0.187  -0.014 0.119  0.002 0.050  0.018 -0.019  0.035 -0.088  0.051 -0.157  0.067 -0.226  0.084 -0.295  0.100 -0.364  0.117 -0.433  0.133 -0.502  0.149 -0.570  0.166 -0.639  0.182 -0.708  0.198 -0.777  0.215 -0.846  0.231 -0.915  0.247 -0.984  0.264 -1.053  0.280 -1.122  0.296 -1.190  0.313 -1.259  0.329 -1.328  0.345 -1.397  0.362 -1.466  0.378 -1.535  0.397 -1.600  0.468 -1.600
3#apb#apb12#app1218/i  -0.351 1.485  -0.401 1.535  -0.422 1.516  -0.415 1.447  -0.401 1.379  -0.387 1.310  -0.374 1.241  -0.360 1.173  -0.346 1.104  -0.332 1.036  -0.319 0.967  -0.305 0.899  -0.291 0.830  -0.275 0.762  -0.252 0.696  -0.229 0.630  -0.206 0.564  -0.182 0.498  -0.159 0.432  -0.136 0.366  -0.113 0.300  -0.089 0.234  -0.066 0.168  -0.043 0.103  -0.019 0.037  0.004 -0.029  0.027 -0.095  0.050 -0.161  0.074 -0.227  0.097 -0.293  0.120 -0.359  0.143 -0.425  0.163 -0.492  0.183 -0.559  0.203 -0.626  0.223 -0.693  0.242 -0.760  0.262 -0.828  0.282 -0.895  0.301 -0.962  0.321 -1.029  0.341 -1.096  0.361 -1.163  0.380 -1.230  0.400 -1.297  0.420 -1.364  0.440 -1.431  0.459 -1.498  0.479 -1.566  0.499 -1.633
3#apb#apb12#app1218/v  -1.398 0.616  -1.360 0.664  -1.280 0.593  -1.200 0.523  -1.138 0.437  -1.079 0.348  -1.020 0.260  -0.958 0.173  -0.889 0.091  -0.821 0.010  -0.752 -0.071  -0.683 -0.153  -0.614 -0.234  -0.546 -0.316  -0.477 -0.397  -0.408 -0.479  -0.340 -0.560  -0.271 -0.641  -0.202 -0.723  -0.133 -0.804  -0.065 -0.886  0.004 -0.967  0.073 -1.049  0.141 -1.130  0.195 -1.081  0.242 -0.986  0.290 -0.891  0.338 -0.795  0.379 -0.698  0.409 -0.595  0.438 -0.493  0.467 -0.390  0.496 -0.288  0.526 -0.186  0.554 -0.083  0.582 0.020  0.610 0.123  0.637 0.226  0.665 0.329  0.692 0.432  0.718 0.535  0.744 0.638  0.770 0.742  0.793 0.846  0.806 0.951  0.820 1.057  0.833 1.163  0.820 1.269  0.801 1.373  0.791 1.479
3#apb#apb12#app1218/i  -0.464 1.633  -0.448 1.566  -0.431 1.498  -0.414 1.431  -0.397 1.364  -0.380 1.296  -0.363 1.229  -0.347 1.162  -0.330 1.095  -0.313 1.027  -0.296 0.960  -0.279 0.893  -0.262 0.825  -0.246 0.758  -0.229 0.691  -0.212 0.624  -0.190 0.558  -0.167 0.493  -0.144 0.427  -0.121 0.362  -0.098 0.296  -0.075 0.231  -0.052 0.166  -0.028 0.100  -0.005 0.035  0.018 -0.031  0.041 -0.096  0.064 -0.161  0.087 -0.227  0.108 -0.293  0.127 -0.360  0.146 -0.426  0.165 -0.493  0.184 -0.560  0.203 -0.626  0.222 -0.693  0.241 -0.760  0.260 -0.826  0.279 -0.893  0.298 -0.960  0.315 -1.027  0.330 -1.095  0.346 -1.162  0.361 -1.230  0.377 -1.298  0.393 -1.365  0.408 -1.433  0.424 -1.500  0.439 -1.568  0.455 -1.635
3#apb#apb12#app1218/e  -0.647 0.432  -0.644 0.399  -0.623 0.202  -0.602 0.005  -0.581 -0.191  -0.560 -0.388  -0.539 -0.584  -0.471 -0.770  -0.342 -0.912  -0.231 -1.075  -0.056 -1.093  0.138 -1.130  0.327 -1.084  0.517 -1.030  0.700 -0.960  0.888 -0.915  1.044 -0.815  1.218 -0.747  1.319 -0.595  1.319 -0.397  1.306 -0.319  1.330 -0.351  1.187 -0.338  0.998 -0.280  0.808 -0.222  0.619 -0.164  0.430 -0.106  0.241 -0.048  0.052 0.010  -0.137 0.067  -0.326 0.125  -0.515 0.183  -0.704 0.241  -0.818 0.344  -0.620 0.344  -0.422 0.344  -0.225 0.359  -0.030 0.388  0.166 0.410  0.293 0.431  0.126 0.538  -0.040 0.645  -0.207 0.751  -0.373 0.858  -0.539 0.965  -0.706 1.072  -0.872 1.179  -1.039 1.286  -1.155 1.419  -1.001 1.515
3#apb#apb12#app1218/r  -0.550 0.288  -0.535 0.114  -0.520 -0.059  -0.505 -0.233  -0.490 -0.406  -0.474 -0.580  -0.459 -0.753  -0.416 -0.921  -0.411 -1.095  -0.526 -0.998  -0.617 -0.849  -0.694 -0.696  -0.723 -0.524  -0.752 -0.352  -0.791 -0.182  -0.833 -0.013  -0.851 0.159  -0.843 0.332  -0.811 0.503  -0.766 0.671  -0.700 0.831  -0.611 0.981  -0.480 1.092  -0.330 1.180  -0.168 1.236  0.006 1.236  0.180 1.225  0.352 1.205  0.518 1.150  0.616 1.012  0.687 0.856  0.722 0.685  0.657 0.524  0.585 0.366  0.497 0.215  0.401 0.071  0.292 -0.065  0.184 -0.202  0.077 -0.339  -0.010 -0.475  0.147 -0.545  0.321 -0.564  0.488 -0.610  0.655 -0.661  0.826 -0.695  0.995 -0.736  1.163 -0.781  1.329 -0.832  1.497 -0.874  1.671 -0.892
3#apb#apb12#app1218/P  -0.465 0.747  -0.305 0.580  -0.168 0.393  -0.045 0.195  0.054 -0.014  0.128 -0.235  0.200 -0.456  0.268 -0.679  0.263 -0.771  0.108 -0.598  -0.048 -0.425  -0.203 -0.252  -0.359 -0.079  -0.514 0.095  -0.670 0.268  -0.825 0.441  -0.981 0.614  -1.157 0.764  -1.232 0.962  -1.156 1.181  -0.973 1.325  -0.769 1.438  -0.579 1.413  -0.401 1.263  -0.222 1.113  -0.044 0.964  0.134 0.814  0.312 0.664  0.490 0.514  0.669 0.365  0.847 0.215  1.025 0.065  1.203 -0.085  1.381 -0.234  1.218 -0.387  1.022 -0.508  0.806 -0.592  0.578 -0.640  0.351 -0.619  0.123 -0.570  -0.062 -0.462  -0.185 -0.264  -0.240 -0.326  -0.205 -0.552  -0.119 -0.768  -0.033 -0.985  0.053 -1.201  0.138 -1.417  0.224 -1.634  0.366 -1.642
3#apb#apb12#app1218/a  -0.106 -0.030  0.029 0.068  0.143 0.180  0.143 0.348  0.143 0.516  0.143 0.684  0.143 0.852  0.143 1.020  0.033 1.106  -0.130 1.125  -0.296 1.097  -0.459 1.058  -0.616 1.003  -0.763 0.920  -0.903 0.827  -1.003 0.696  -1.078 0.547  -1.124 0.385  -1.160 0.222  -1.186 0.055  -1.167 -0.111  -1.129 -0.273  -1.049 -0.420  -0.946 -0.552  -0.834 -0.677  -0.694 -0.770  -0.538 -0.828  -0.375 -0.863  -0.207 -0.861  -0.063 -0.775  0.074 -0.679  0.201 -0.570  0.300 -0.434  0.377 -0.287  0.430 -0.127  0.473 0.035  0.497 0.200  0.456 0.304  0.456 0.136  0.480 -0.028  0.531 -0.189  0.596 -0.342  0.700 -0.475  0.840 -0.560  1.000 -0.607  1.166 -0.634  1.332 -0.612  1.499 -0.589  1.664 -0.559  1.830 -0.530
3#apb#apb12#app1218/b  -0.890 1.531  -0.957 1.662  -0.923 1.589  -0.880 1.447  -0.838 1.305  -0.797 1.162  -0.748 1.022  -0.690 0.885  -0.633 0.749  -0.575 0.612  -0.517 0.475  -0.459 0.338  -0.402 0.202  -0.344 0.065  -0.286 -0.072  -0.228 -0.209  -0.171 -0.345  -0.169 -0.340  -0.207 -0.197  -0.242 -0.053  -0.240 0.095  -0.189 0.234  -0.092 0.342  0.042 0.400  0.188 0.413  0.336 0.402  0.482 0.375  0.624 0.339  0.746 0.254  0.854 0.156  0.940 0.035  1.010 -0.095  1.060 -0.234  1.061 -0.381  1.043 -0.527  0.998 -0.669  0.932 -0.798  0.827 -0.903  0.715 -1.000  0.600 -1.093  0.455 -1.121  0.309 -1.137  0.163 -1.109  0.021 -1.068  -0.113 -1.005  -0.243 -0.934  -0.365 -0.851  -0.447 -0.727  -0.450 -0.613  -0.309 -0.611
3#apb#apb12#app1218/l  -0.760 1.602  -0.738 1.524  -0.715 1.446  -0.693 1.368  -0.671 1.289  -0.649 1.211  -0.627 1.133  -0.605 1.055  -0.583 0.977  -0.561 0.899  -0.538 0.821  -0.516 0.743  -0.494 0.665  -0.472 0.587  -0.450 0.509  -0.428 0.430  -0.406 0.352  -0.383 0.274  -0.361 0.196  -0.339 0.118  -0.317 0.040  -0.295 -0.038  -0.273 -0.116  -0.251 -0.194  -0.228 -0.272  -0.206 -0.351  -0.183 -0.428  -0.161 -0.506  -0.138 -0.584  -0.106 -0.658  -0.065 -0.729  -0.004 -0.782  0.062 -0.824  0.143 -0.832  0.223 -0.829  0.300 -0.805  0.378 -0.781  0.457 -0.764  0.537 -0.749  0.617 -0.734  0.696 -0.716  0.774 -0.695  0.853 -0.674  0.932 -0.655  1.011 -0.638  1.090 -0.621  1.169 -0.600  1.247 -0.579  1.324 -0.554  1.401 -0.528
