3#apb#apb14#app1419/a  0.546 0.512  0.569 0.685  0.700 0.594  0.742 0.438  0.801 0.554  0.787 0.744  0.688 0.910  0.561 1.057  0.397 1.165  0.206 1.165  0.017 1.115  -0.162 1.033  -0.336 0.943  -0.506 0.843  -0.671 0.738  -0.807 0.598  -0.931 0.446  -1.060 0.298  -1.152 0.128  -1.219 -0.056  -1.292 -0.239  -1.330 -0.430  -1.283 -0.619  -1.179 -0.779  -1.009 -0.873  -0.812 -0.873  -0.634 -0.802  -0.461 -0.709  -0.283 -0.625  -0.107 -0.539  0.043 -0.412  0.193 -0.285  0.338 -0.153  0.483 -0.020  0.614 0.125  0.728 0.283  0.795 0.466  0.730 0.399  0.637 0.229  0.535 0.062  0.418 -0.095  0.313 -0.256  0.275 -0.448  0.219 -0.636  0.200 -0.830  0.203 -1.025  0.332 -1.170  0.527 -1.195  0.722 -1.219  0.917 -1.243
3#apb#apb14#app1419/b  0.126 1.527  0.088 1.705  0.126 1.738  0.115 1.558  0.064 1.383  0.012 1.208  -0.028 1.031  -0.067 0.853  -0.124 0.680  -0.182 0.507  -0.263 0.344  -0.344 0.182  -0.418 0.015  -0.491 -0.152  -0.578 -0.312  -0.671 -0.468  -0.758 -0.627  -0.824 -0.721  -0.750 -0.559  -0.669 -0.396  -0.556 -0.254  -0.447 -0.109  -0.343 0.041  -0.210 0.160  -0.056 0.258  0.086 0.371  0.228 0.484  0.403 0.536  0.572 0.603  0.744 0.648  0.887 0.535  0.984 0.392  1.017 0.213  1.029 0.032  1.025 -0.150  0.973 -0.324  0.893 -0.487  0.796 -0.640  0.691 -0.790  0.560 -0.912  0.397 -0.985  0.219 -1.020  0.040 -1.056  -0.141 -1.063  -0.323 -1.059  -0.502 -1.026  -0.683 -1.015  -0.847 -0.953  -0.974 -0.912  -0.824 -1.015
3#apb#apb14#app1419/c  0.794 0.459  0.877 0.677  0.966 0.767  0.747 0.564  0.529 0.361  0.310 0.157  0.091 -0.046  -0.127 -0.249  -0.346 -0.452  -0.564 -0.655  -0.783 -0.859  -0.944 -0.854  -1.098 -0.721  -1.074 -0.502  -0.998 -0.623  -1.000 -0.770  -0.756 -0.599  -0.512 -0.428  -0.267 -0.256  -0.023 -0.085  0.222 0.086  0.466 0.258  0.710 0.429  0.955 0.600  1.199 0.772  1.167 0.982  1.032 0.830  0.884 0.586  0.694 0.386  0.551 0.356  0.519 0.643  0.394 0.913  0.192 1.096  -0.102 1.064  -0.366 0.924  -0.631 0.791  -0.829 0.568  -0.994 0.321  -1.106 0.047  -1.142 -0.249  -1.118 -0.544  -0.957 -0.773  -0.705 -0.929  -0.408 -0.949  -0.115 -0.894  0.175 -0.825  0.463 -0.746  0.748 -0.659  1.033 -0.576  1.247 -0.394
3#apb#apb14#app1419/d  0.483 -0.165  0.566 -0.049  0.377 -0.049  0.190 -0.006  0.010 0.072  -0.162 0.166  -0.353 0.208  -0.548 0.209  -0.734 0.149  -0.906 0.058  -1.057 -0.067  -1.209 -0.191  -1.334 -0.339  -1.402 -0.523  -1.426 -0.714  -1.346 -0.892  -1.203 -1.022  -1.014 -1.067  -0.819 -1.064  -0.631 -1.019  -0.451 -0.942  -0.273 -0.860  -0.101 -0.764  0.055 -0.648  0.186 -0.502  0.271 -0.325  0.365 -0.154  0.457 0.018  0.508 0.207  0.550 0.399  0.580 0.592  0.580 0.788  0.580 0.984  0.575 1.180  0.543 1.374  0.496 1.559  0.430 1.481  0.380 1.292  0.367 1.097  0.367 0.901  0.374 0.705  0.406 0.512  0.436 0.318  0.476 0.126  0.527 -0.063  0.590 -0.249  0.664 -0.431  0.758 -0.601  0.854 -0.767  0.968 -0.921
3#apb#apb14#app1419/e  -0.881 0.051  -0.766 0.182  -0.699 0.193  -0.552 0.130  -0.374 0.093  -0.202 0.037  -0.025 -0.004  0.157 -0.019  0.338 -0.015  0.519 -0.001  0.696 0.040  0.875 0.071  1.053 0.107  1.227 0.162  1.272 0.322  1.167 0.470  1.066 0.621  0.943 0.754  0.784 0.840  0.611 0.893  0.437 0.947  0.259 0.968  0.085 0.916  -0.090 0.868  -0.267 0.825  -0.430 0.756  -0.572 0.642  -0.707 0.520  -0.857 0.418  -0.992 0.301  -1.106 0.159  -1.219 0.017  -1.284 -0.150  -1.275 -0.330  -1.255 -0.510  -1.114 -0.625  -0.939 -0.672  -0.761 -0.711  -0.582 -0.741  -0.402 -0.770  -0.223 -0.800  -0.042 -0.816  0.140 -0.825  0.321 -0.828  0.503 -0.827  0.685 -0.814  0.860 -0.772  1.038 -0.739  1.213 -0.697  1.365 -0.641
3#apb#apb14#app1419/f  0.505 0.604  0.707 0.631  0.897 0.685  0.975 0.676  0.898 0.867  0.798 1.047  0.664 1.204  0.533 1.364  0.351 1.442  0.145 1.442  -0.053 1.414  -0.163 1.242  -0.227 1.046  -0.269 0.848  -0.273 0.641  -0.290 0.435  -0.226 0.239  -0.185 0.037  -0.147 -0.165  -0.073 -0.358  -0.005 -0.553  0.055 -0.751  0.097 -0.952  0.087 -1.157  0.027 -1.353  -0.065 -1.528  -0.253 -1.479  -0.415 -1.361  -0.441 -1.160  -0.441 -0.953  -0.420 -0.751  -0.464 -0.598  -0.628 -0.473  -0.792 -0.348  -0.931 -0.239  -0.938 -0.244  -1.112 -0.173  -1.052 -0.137  -0.850 -0.112  -0.644 -0.106  -0.437 -0.106  -0.230 -0.106  -0.024 -0.106  0.183 -0.106  0.390 -0.106  0.596 -0.106  0.802 -0.101  1.003 -0.051  1.207 -0.020  1.128 -0.106
3#apb#apb14#app1419/g  0.481 0.795  0.419 0.902  0.270 1.054  0.098 1.160  -0.105 1.210  -0.310 1.157  -0.504 1.070  -0.643 0.935  -0.765 0.766  -0.780 0.554  -0.748 0.344  -0.590 0.208  -0.383 0.169  -0.176 0.218  0.022 0.297  0.211 0.394  0.349 0.547  0.411 0.750  0.329 0.654  0.251 0.458  0.207 0.250  0.150 0.045  0.103 -0.163  0.072 -0.373  0.057 -0.586  0.024 -0.796  -0.005 -1.008  -0.043 -1.217  -0.093 -1.424  -0.147 -1.628  -0.285 -1.791  -0.453 -1.735  -0.557 -1.559  -0.603 -1.351  -0.634 -1.140  -0.634 -0.927  -0.615 -0.715  -0.554 -0.514  -0.448 -0.330  -0.317 -0.162  -0.171 -0.005  0.005 0.110  0.192 0.213  0.381 0.312  0.579 0.389  0.787 0.434  0.996 0.474  1.201 0.531  1.408 0.569  1.563 0.456
3#apb#apb14#app1419/h  0.140 1.136  0.102 1.289  0.081 1.442  0.118 1.590  0.140 1.736  0.107 1.582  0.059 1.433  0.003 1.285  -0.045 1.134  -0.088 0.983  -0.132 0.831  -0.179 0.680  -0.225 0.529  -0.272 0.378  -0.317 0.227  -0.362 0.075  -0.410 -0.075  -0.473 -0.220  -0.536 -0.364  -0.602 -0.508  -0.668 -0.652  -0.738 -0.793  -0.815 -0.931  -0.896 -1.066  -0.892 -1.069  -0.816 -0.932  -0.727 -0.801  -0.634 -0.673  -0.534 -0.552  -0.417 -0.446  -0.305 -0.335  -0.199 -0.218  -0.081 -0.113  0.042 -0.015  0.154 0.097  0.291 0.168  0.447 0.187  0.600 0.168  0.750 0.131  0.876 0.062  0.941 -0.080  0.940 -0.234  0.906 -0.388  0.881 -0.544  0.831 -0.691  0.733 -0.815  0.654 -0.951  0.554 -1.072  0.509 -1.222  0.505 -1.379
3#apb#apb14#app1419/i  -0.404 -0.905  -0.469 -0.714  -0.442 -0.540  -0.305 -0.314  -0.168 -0.089  -0.031 0.137  0.106 0.363  0.057 0.462  0.067 0.450  -0.011 0.371  -0.179 0.167  -0.347 -0.036  -0.515 -0.240  -0.684 -0.443  -0.852 -0.647  -1.020 -0.850  -1.188 -1.054  -1.286 -0.987  -1.140 -0.841  -0.914 -0.748  -0.704 -0.596  -0.527 -0.401  -0.375 -0.185  -0.210 0.021  -0.091 0.257  0.052 0.477  0.086 0.544  -0.067 0.338  -0.204 0.122  -0.317 -0.115  -0.390 -0.368  -0.311 -0.606  -0.108 -0.773  0.153 -0.763  0.402 -0.717  0.651 -0.631  0.880 -0.500  1.119 -0.393  1.320 -0.226  1.488 -0.036  1.412 0.201  1.247 0.408  1.082 0.614  0.917 0.820  0.752 1.026  0.587 1.232  0.422 1.439  0.257 1.645  0.071 1.777  0.133 1.848
3#apb#apb14#app1419/j  -0.093 0.311  -0.032 0.458  -0.059 0.586  -0.044 0.716  -0.077 0.595  -0.093 0.423  -0.093 0.249  -0.093 0.075  -0.098 -0.099  -0.115 -0.272  -0.130 -0.446  -0.138 -0.619  -0.176 -0.789  -0.222 -0.956  -0.298 -1.112  -0.385 -1.263  -0.497 -1.393  -0.665 -1.435  -0.818 -1.420  -0.960 -1.327  -1.051 -1.180  -1.070 -1.012  -1.009 -0.849  -0.915 -0.709  -0.777 -0.605  -0.658 -0.477  -0.519 -0.374  -0.379 -0.272  -0.251 -0.154  -0.110 -0.051  0.039 0.038  0.183 0.135  0.327 0.233  0.474 0.326  0.623 0.416  0.789 0.458  0.961 0.465  1.087 0.368  1.114 0.200  1.035 0.279  0.941 0.425  0.846 0.571  0.752 0.717  0.657 0.863  0.563 1.010  0.468 1.156  0.374 1.302  0.279 1.448  0.200 1.550  0.115 1.440
3#apb#apb14#app1419/k  -0.295 0.020  -0.506 -0.195  -0.717 -0.411  -0.929 -0.626  -1.140 -0.842  -1.298 -0.928  -1.380 -0.844  -1.371 -0.794  -1.177 -0.637  -0.926 -0.488  -0.696 -0.295  -0.481 -0.086  -0.276 0.134  -0.118 0.390  0.054 0.636  0.176 0.912  0.257 1.201  0.257 1.502  0.230 1.227  0.188 0.929  0.108 0.643  0.026 0.356  -0.118 0.091  -0.281 -0.163  -0.452 -0.412  -0.652 -0.631  -0.621 -0.579  -0.468 -0.319  -0.300 -0.069  -0.136 0.184  0.058 0.415  0.271 0.628  0.496 0.828  0.726 1.023  1.008 1.089  1.206 0.938  1.239 0.642  1.224 0.345  1.039 0.120  0.761 0.020  0.459 0.020  0.158 0.020  -0.100 -0.041  -0.032 -0.311  0.160 -0.538  0.363 -0.761  0.598 -0.946  0.856 -1.099  1.126 -1.172  1.424 -1.126
