3#apb#apb14#app1427/3  -1.387 0.725  -1.497 0.799  -1.441 0.890  -1.298 0.911  -1.154 0.921  -1.010 0.928  -0.866 0.932  -0.722 0.932  -0.577 0.932  -0.434 0.917  -0.292 0.893  -0.150 0.868  -0.008 0.842  0.134 0.815  0.276 0.788  0.398 0.713  0.517 0.632  0.597 0.511  0.565 0.373  0.475 0.266  0.369 0.168  0.242 0.100  0.112 0.039  -0.017 -0.026  -0.095 -0.081  0.045 -0.116  0.186 -0.147  0.327 -0.176  0.468 -0.208  0.609 -0.239  0.745 -0.283  0.872 -0.351  0.999 -0.420  1.107 -0.507  1.123 -0.637  1.036 -0.742  0.906 -0.803  0.768 -0.842  0.626 -0.872  0.485 -0.903  0.342 -0.909  0.197 -0.909  0.053 -0.909  -0.090 -0.889  -0.232 -0.867  -0.375 -0.847  -0.519 -0.835  -0.663 -0.822  -0.804 -0.793  -0.945 -0.762
3#apb#apb14#app1427/M  -1.425 0.250  -1.344 0.307  -1.264 0.241  -1.210 0.146  -1.166 0.046  -1.127 -0.056  -1.086 -0.158  -1.042 -0.258  -0.998 -0.358  -0.952 -0.457  -0.914 -0.500  -0.907 -0.391  -0.893 -0.283  -0.876 -0.175  -0.842 -0.071  -0.801 0.030  -0.757 0.130  -0.710 0.229  -0.632 0.295  -0.532 0.289  -0.440 0.233  -0.367 0.151  -0.295 0.069  -0.231 -0.020  -0.169 -0.110  -0.123 -0.209  -0.055 -0.292  0.019 -0.353  0.121 -0.319  0.201 -0.244  0.272 -0.161  0.339 -0.075  0.409 0.009  0.479 0.093  0.554 0.173  0.631 0.250  0.713 0.321  0.815 0.361  0.919 0.387  1.028 0.381  1.131 0.351  1.227 0.300  1.315 0.235  1.397 0.163  1.466 0.079  1.529 -0.011  1.586 -0.104  1.638 -0.200  1.672 -0.304  1.697 -0.410
3#apb#apb14#app1427/A  -1.251 0.414  -1.251 0.598  -1.169 0.626  -1.061 0.478  -0.975 0.317  -0.893 0.152  -0.849 -0.026  -0.807 -0.205  -0.761 -0.382  -0.709 -0.558  -0.633 -0.725  -0.591 -0.903  -0.640 -0.821  -0.679 -0.641  -0.720 -0.463  -0.720 -0.279  -0.703 -0.097  -0.664 0.082  -0.634 0.263  -0.615 0.445  -0.566 0.620  -0.493 0.788  -0.423 0.958  -0.325 1.111  -0.144 1.097  0.016 1.011  0.168 0.909  0.298 0.779  0.427 0.650  0.507 0.485  0.583 0.318  0.670 0.157  0.772 0.004  0.874 -0.149  0.965 -0.308  1.054 -0.468  1.154 -0.622  1.258 -0.773  1.357 -0.928  1.391 -0.932  1.310 -0.767  1.201 -0.620  1.083 -0.480  0.953 -0.350  0.809 -0.241  0.641 -0.167  0.467 -0.113  0.287 -0.073  0.106 -0.075  -0.076 -0.098
3#apb#apb14#app1427/  -1.510 -0.217  -1.501 -0.285  -1.509 -0.278  -1.475 -0.238  -1.435 -0.187  -1.363 -0.187  -1.293 -0.171  -1.227 -0.147  -1.169 -0.104  -1.110 -0.067  -1.038 -0.067  -0.967 -0.067  -0.895 -0.065  -0.824 -0.057  -0.753 -0.048  -0.682 -0.039  -0.610 -0.037  -0.539 -0.037  -0.467 -0.037  -0.395 -0.037  -0.324 -0.034  -0.253 -0.021  -0.183 -0.009  -0.112 0.004  -0.042 0.017  0.029 0.027  0.100 0.035  0.172 0.043  0.243 0.051  0.313 0.063  0.384 0.075  0.455 0.088  0.525 0.101  0.596 0.113  0.667 0.121  0.738 0.129  0.809 0.137  0.881 0.142  0.952 0.142  1.024 0.142  1.096 0.142  1.167 0.142  1.239 0.142  1.309 0.131  1.377 0.115  1.447 0.133  1.487 0.112  1.545 0.099  1.545 0.027  1.575 -0.037
3#apb#apb14#app1427/1  -0.909 1.245  -0.837 1.245  -0.766 1.245  -0.695 1.245  -0.623 1.245  -0.555 1.231  -0.491 1.199  -0.427 1.167  -0.370 1.128  -0.329 1.070  -0.288 1.011  -0.247 0.953  -0.206 0.895  -0.181 0.828  -0.156 0.761  -0.132 0.694  -0.107 0.627  -0.082 0.560  -0.058 0.493  -0.033 0.426  -0.014 0.357  0.003 0.288  0.020 0.219  0.037 0.150  0.055 0.080  0.072 0.011  0.089 -0.058  0.109 -0.126  0.131 -0.195  0.152 -0.263  0.174 -0.331  0.195 -0.399  0.217 -0.467  0.238 -0.535  0.256 -0.604  0.271 -0.673  0.286 -0.743  0.301 -0.813  0.316 -0.883  0.332 -0.952  0.349 -1.021  0.366 -1.091  0.384 -1.160  0.401 -1.229  0.418 -1.298  0.436 -1.367  0.452 -1.437  0.466 -1.507  0.482 -1.576  0.499 -1.646
3#apb#apb14#app1427/P  -0.459 0.263  -0.407 0.242  -0.367 0.069  -0.322 -0.103  -0.269 -0.272  -0.215 -0.442  -0.171 -0.614  -0.130 -0.787  -0.089 -0.960  -0.049 -1.133  -0.010 -1.306  -0.005 -1.478  -0.143 -1.469  -0.294 -1.377  -0.396 -1.238  -0.475 -1.079  -0.546 -0.917  -0.599 -0.747  -0.651 -0.577  -0.678 -0.402  -0.706 -0.226  -0.702 -0.051  -0.667 0.123  -0.632 0.297  -0.594 0.471  -0.531 0.637  -0.468 0.803  -0.397 0.964  -0.272 1.090  -0.138 1.205  0.020 1.285  0.182 1.348  0.356 1.315  0.531 1.283  0.701 1.231  0.860 1.164  0.958 1.016  1.045 0.862  1.091 0.691  1.067 0.521  1.014 0.351  0.938 0.193  0.837 0.047  0.721 -0.085  0.580 -0.194  0.434 -0.294  0.268 -0.358  0.100 -0.414  -0.073 -0.454  -0.246 -0.495
3#apb#apb14#app1427/l  -0.543 1.220  -0.531 1.291  -0.513 1.359  -0.469 1.410  -0.404 1.388  -0.344 1.348  -0.294 1.299  -0.257 1.238  -0.220 1.176  -0.183 1.115  -0.147 1.053  -0.116 0.989  -0.104 0.918  -0.092 0.848  -0.079 0.777  -0.067 0.706  -0.055 0.635  -0.043 0.565  -0.031 0.494  -0.020 0.423  -0.009 0.352  0.002 0.281  0.013 0.210  0.024 0.139  0.035 0.068  0.046 -0.003  0.056 -0.074  0.066 -0.145  0.076 -0.216  0.086 -0.287  0.097 -0.358  0.107 -0.429  0.119 -0.500  0.135 -0.570  0.150 -0.640  0.166 -0.710  0.181 -0.780  0.197 -0.850  0.207 -0.921  0.217 -0.992  0.228 -1.063  0.238 -1.134  0.245 -1.205  0.252 -1.277  0.258 -1.348  0.266 -1.420  0.275 -1.491  0.280 -1.562  0.262 -1.632  0.240 -1.700
3#apb#apb14#app1427/u  -1.228 0.604  -1.137 0.595  -1.114 0.500  -1.090 0.405  -1.069 0.310  -1.050 0.214  -1.031 0.118  -1.009 0.023  -0.985 -0.072  -0.962 -0.167  -0.938 -0.262  -0.888 -0.345  -0.833 -0.426  -0.773 -0.503  -0.709 -0.577  -0.645 -0.651  -0.571 -0.714  -0.496 -0.777  -0.408 -0.810  -0.311 -0.824  -0.214 -0.831  -0.116 -0.831  -0.019 -0.827  0.066 -0.779  0.152 -0.732  0.237 -0.684  0.310 -0.619  0.383 -0.554  0.456 -0.489  0.528 -0.423  0.597 -0.354  0.666 -0.284  0.718 -0.205  0.746 -0.111  0.775 -0.018  0.804 0.075  0.828 0.170  0.843 0.267  0.857 0.363  0.872 0.460  0.878 0.557  0.870 0.654  0.861 0.751  0.853 0.849  0.823 0.941  0.786 1.032  0.750 1.122  0.702 1.207  0.645 1.286  0.588 1.366
3#apb#apb14#app1427/m  -1.450 0.677  -1.334 0.726  -1.255 0.590  -1.176 0.454  -1.139 0.302  -1.103 0.149  -1.065 -0.004  -1.022 -0.155  -0.979 -0.306  -0.918 -0.451  -0.867 -0.598  -0.847 -0.754  -0.789 -0.663  -0.758 -0.509  -0.721 -0.356  -0.681 -0.204  -0.637 -0.053  -0.581 0.093  -0.525 0.240  -0.463 0.385  -0.336 0.417  -0.225 0.305  -0.147 0.175  -0.102 0.024  -0.080 -0.131  -0.062 -0.288  -0.045 -0.444  0.016 -0.424  0.066 -0.275  0.152 -0.146  0.247 -0.022  0.317 0.118  0.389 0.258  0.485 0.383  0.581 0.507  0.675 0.633  0.771 0.754  0.919 0.754  1.042 0.661  1.101 0.515  1.148 0.365  1.177 0.211  1.206 0.056  1.229 -0.099  1.251 -0.255  1.269 -0.411  1.282 -0.568  1.299 -0.724  1.322 -0.879  1.362 -1.031
3#apb#apb14#app1427/b  -0.991 1.575  -0.892 1.549  -0.818 1.446  -0.783 1.324  -0.748 1.202  -0.732 1.077  -0.732 0.950  -0.732 0.823  -0.725 0.697  -0.717 0.570  -0.706 0.443  -0.688 0.318  -0.670 0.192  -0.654 0.066  -0.646 -0.060  -0.646 -0.187  -0.573 -0.096  -0.499 0.007  -0.412 0.099  -0.318 0.184  -0.219 0.262  -0.110 0.327  0.006 0.364  0.132 0.354  0.258 0.340  0.378 0.300  0.498 0.259  0.599 0.182  0.700 0.104  0.794 0.021  0.869 -0.082  0.944 -0.184  1.002 -0.297  1.059 -0.410  1.095 -0.531  1.120 -0.655  1.066 -0.767  0.982 -0.859  0.881 -0.935  0.761 -0.971  0.637 -1.000  0.512 -1.000  0.387 -0.980  0.261 -0.965  0.135 -0.956  0.010 -0.941  -0.104 -0.884  -0.218 -0.827  -0.324 -0.759  -0.430 -0.689
3#apb#apb14#app1427/i  -0.363 -0.048  -0.290 -0.120  -0.242 -0.214  -0.215 -0.316  -0.194 -0.420  -0.173 -0.524  -0.155 -0.628  -0.136 -0.732  -0.118 -0.837  -0.115 -0.942  -0.115 -1.048  -0.115 -1.154  -0.115 -1.260  -0.115 -1.366  -0.115 -1.472  -0.107 -1.420  -0.096 -1.315  -0.085 -1.209  -0.074 -1.104  -0.063 -0.999  -0.052 -0.893  -0.041 -0.788  -0.030 -0.683  -0.018 -0.577  -0.007 -0.472  0.004 -0.367  0.015 -0.261  0.026 -0.156  0.037 -0.051  0.048 0.054  0.059 0.160  0.070 0.265  0.081 0.370  0.092 0.476  0.104 0.581  0.115 0.686  0.126 0.792  0.137 0.897  0.148 1.002  0.159 1.108  0.170 1.213  0.181 1.318  0.192 1.424  0.203 1.529  0.214 1.634  0.225 1.740  0.228 1.683  0.208 1.580  0.174 1.480  0.133 1.383
