3#apb#apb14#app1445/O  -0.805 -0.005  -0.881 0.116  -0.927 0.248  -0.892 0.385  -0.798 0.483  -0.674 0.552  -0.540 0.598  -0.404 0.641  -0.266 0.674  -0.127 0.707  0.014 0.715  0.157 0.715  0.299 0.715  0.439 0.691  0.579 0.664  0.719 0.637  0.844 0.570  0.968 0.499  1.090 0.427  1.187 0.323  1.285 0.219  1.354 0.100  1.393 -0.037  1.384 -0.166  1.302 -0.283  1.204 -0.381  1.075 -0.442  0.947 -0.504  0.818 -0.565  0.679 -0.595  0.540 -0.625  0.401 -0.655  0.261 -0.681  0.119 -0.686  -0.024 -0.691  -0.166 -0.697  -0.307 -0.682  -0.448 -0.663  -0.590 -0.644  -0.729 -0.617  -0.867 -0.582  -0.998 -0.534  -1.107 -0.441  -1.171 -0.324  -1.192 -0.183  -1.159 -0.047  -1.114 0.088  -1.049 0.212  -0.958 0.321  -0.867 0.431
3#apb#apb14#app1445/l  -0.464 1.035  -0.485 1.106  -0.492 1.180  -0.492 1.254  -0.492 1.328  -0.480 1.381  -0.420 1.340  -0.387 1.274  -0.353 1.207  -0.320 1.141  -0.289 1.074  -0.261 1.005  -0.232 0.936  -0.204 0.868  -0.176 0.799  -0.147 0.731  -0.124 0.660  -0.103 0.589  -0.081 0.518  -0.060 0.447  -0.039 0.376  -0.018 0.305  0.003 0.234  0.024 0.162  0.045 0.091  0.066 0.020  0.087 -0.051  0.107 -0.123  0.128 -0.194  0.149 -0.265  0.170 -0.336  0.189 -0.408  0.207 -0.480  0.225 -0.552  0.243 -0.624  0.261 -0.696  0.279 -0.768  0.297 -0.840  0.306 -0.914  0.314 -0.987  0.323 -1.061  0.332 -1.135  0.338 -1.209  0.338 -1.283  0.338 -1.357  0.332 -1.430  0.311 -1.502  0.286 -1.571  0.248 -1.631  0.175 -1.643
3#apb#apb14#app1445/i  -0.835 0.446  -0.772 0.554  -0.647 0.516  -0.546 0.442  -0.461 0.341  -0.377 0.241  -0.294 0.140  -0.222 0.030  -0.150 -0.080  -0.079 -0.190  -0.011 -0.302  0.042 -0.421  0.096 -0.541  0.149 -0.661  0.196 -0.783  0.244 -0.905  0.293 -1.027  0.343 -1.148  0.362 -1.275  0.362 -1.406  0.338 -1.535  0.316 -1.534  0.298 -1.404  0.280 -1.274  0.262 -1.144  0.244 -1.014  0.226 -0.885  0.207 -0.755  0.189 -0.625  0.171 -0.495  0.153 -0.365  0.135 -0.235  0.117 -0.106  0.099 0.024  0.080 0.154  0.062 0.284  0.044 0.414  0.026 0.544  0.008 0.673  -0.010 0.803  -0.028 0.933  -0.047 1.063  -0.065 1.193  -0.083 1.323  -0.101 1.452  -0.119 1.582  -0.137 1.712  -0.138 1.827  -0.068 1.759  -0.153 1.661
3#apb#apb14#app1445/v  -1.084 0.742  -0.977 0.684  -0.871 0.626  -0.790 0.538  -0.720 0.439  -0.650 0.340  -0.580 0.241  -0.537 0.127  -0.498 0.012  -0.458 -0.102  -0.418 -0.217  -0.378 -0.332  -0.341 -0.448  -0.304 -0.563  -0.268 -0.679  -0.231 -0.795  -0.203 -0.913  -0.181 -1.033  -0.159 -1.152  -0.119 -1.266  -0.085 -1.381  -0.074 -1.458  -0.029 -1.346  0.003 -1.228  0.034 -1.111  0.061 -0.993  0.085 -0.873  0.109 -0.754  0.133 -0.635  0.162 -0.517  0.192 -0.400  0.223 -0.282  0.253 -0.165  0.284 -0.047  0.314 0.071  0.343 0.189  0.373 0.307  0.402 0.424  0.431 0.542  0.461 0.660  0.492 0.778  0.523 0.895  0.555 1.012  0.587 1.130  0.618 1.247  0.647 1.365  0.674 1.483  0.692 1.603  0.680 1.672  0.626 1.564
3#apb#apb14#app1445/i  0.023 1.594  0.059 1.537  0.113 1.503  0.107 1.434  0.053 1.390  -0.004 1.348  -0.055 1.297  -0.087 1.238  -0.088 1.166  -0.090 1.094  -0.092 1.021  -0.094 0.949  -0.095 0.877  -0.097 0.805  -0.099 0.733  -0.100 0.661  -0.102 0.589  -0.104 0.517  -0.059 0.483  -0.031 0.416  -0.009 0.348  0.004 0.277  0.016 0.206  0.028 0.135  0.041 0.064  0.053 -0.007  0.057 -0.078  0.051 -0.150  0.045 -0.222  0.039 -0.294  0.034 -0.366  0.028 -0.438  0.022 -0.510  0.015 -0.582  0.009 -0.653  0.002 -0.725  -0.004 -0.797  -0.011 -0.869  -0.009 -0.941  -0.001 -1.012  0.007 -1.084  0.015 -1.156  0.023 -1.227  0.023 -1.299  0.023 -1.372  0.023 -1.444  0.042 -1.512  0.067 -1.580  0.091 -1.648  0.114 -1.716
3#apb#apb14#app1445/e  -0.548 -0.154  -0.567 0.016  -0.585 0.186  -0.577 0.356  -0.558 0.526  -0.513 0.688  -0.436 0.841  -0.351 0.989  -0.237 1.116  -0.093 1.183  0.078 1.196  0.249 1.188  0.419 1.176  0.570 1.094  0.684 0.979  0.699 0.817  0.581 0.695  0.449 0.587  0.300 0.503  0.150 0.421  -0.009 0.357  -0.168 0.294  -0.328 0.235  -0.491 0.183  -0.655 0.131  -0.811 0.062  -0.966 -0.011  -0.879 0.038  -0.728 0.119  -0.577 0.200  -0.427 0.281  -0.336 0.173  -0.264 0.018  -0.227 -0.149  -0.190 -0.316  -0.183 -0.487  -0.183 -0.658  -0.183 -0.829  -0.183 -1.000  -0.101 -1.138  0.060 -1.194  0.229 -1.206  0.400 -1.206  0.571 -1.206  0.742 -1.206  0.913 -1.196  1.084 -1.185  1.255 -1.171  1.425 -1.151  1.492 -1.185
3#apb#apb14#app1445/r  -0.736 -0.524  -0.669 -0.600  -0.602 -0.677  -0.535 -0.754  -0.467 -0.831  -0.402 -0.909  -0.338 -0.988  -0.274 -1.068  -0.223 -1.156  -0.177 -1.247  -0.161 -1.288  -0.218 -1.203  -0.268 -1.115  -0.317 -1.025  -0.365 -0.935  -0.385 -0.835  -0.405 -0.735  -0.425 -0.635  -0.443 -0.534  -0.460 -0.434  -0.478 -0.333  -0.495 -0.233  -0.513 -0.132  -0.498 -0.033  -0.474 0.066  -0.449 0.165  -0.424 0.264  -0.391 0.360  -0.340 0.448  -0.290 0.537  -0.239 0.625  -0.164 0.693  -0.085 0.758  -0.006 0.822  0.082 0.874  0.172 0.922  0.261 0.971  0.359 0.984  0.461 0.978  0.563 0.972  0.665 0.966  0.759 0.928  0.854 0.890  0.949 0.853  1.042 0.812  1.135 0.769  1.228 0.727  1.315 0.675  1.396 0.612  1.476 0.550
3#apb#apb14#app1445/P  -0.824 0.510  -0.703 0.460  -0.586 0.331  -0.493 0.181  -0.400 0.031  -0.313 -0.122  -0.227 -0.275  -0.141 -0.429  -0.062 -0.586  0.017 -0.744  0.095 -0.901  0.151 -1.068  0.202 -1.237  0.223 -1.411  0.151 -1.551  -0.008 -1.496  -0.132 -1.372  -0.243 -1.236  -0.342 -1.091  -0.424 -0.935  -0.492 -0.773  -0.548 -0.606  -0.590 -0.436  -0.633 -0.265  -0.656 -0.090  -0.674 0.085  -0.691 0.260  -0.663 0.433  -0.625 0.605  -0.566 0.768  -0.477 0.920  -0.363 1.045  -0.207 1.127  -0.044 1.183  0.132 1.183  0.308 1.183  0.482 1.159  0.654 1.123  0.821 1.078  0.946 0.953  1.070 0.829  1.120 0.664  1.122 0.495  1.056 0.331  0.952 0.191  0.835 0.060  0.686 -0.033  0.535 -0.124  0.367 -0.176  0.199 -0.228
3#apb#apb14#app1445/a  0.529 0.909  0.403 0.963  0.278 1.017  0.151 1.023  0.023 0.976  -0.105 0.928  -0.231 0.876  -0.329 0.782  -0.428 0.687  -0.527 0.592  -0.625 0.498  -0.724 0.403  -0.808 0.297  -0.883 0.183  -0.957 0.068  -1.032 -0.047  -1.096 -0.167  -1.153 -0.291  -1.193 -0.418  -1.178 -0.554  -1.103 -0.661  -0.994 -0.718  -0.859 -0.693  -0.736 -0.643  -0.624 -0.564  -0.513 -0.484  -0.413 -0.392  -0.321 -0.291  -0.229 -0.190  -0.147 -0.081  -0.066 0.029  0.015 0.139  0.099 0.247  0.185 0.353  0.301 0.416  0.417 0.380  0.527 0.298  0.632 0.212  0.717 0.105  0.801 -0.003  0.882 -0.113  0.946 -0.233  1.010 -0.354  1.080 -0.472  1.157 -0.584  1.235 -0.696  1.314 -0.808  1.406 -0.906  1.524 -0.973  1.642 -1.044
3#apb#apb14#app1445/b  -0.857 1.912  -0.816 1.773  -0.775 1.633  -0.741 1.492  -0.709 1.350  -0.677 1.208  -0.645 1.066  -0.624 0.923  -0.603 0.779  -0.582 0.635  -0.562 0.491  -0.539 0.348  -0.514 0.204  -0.490 0.061  -0.465 -0.082  -0.437 -0.225  -0.409 -0.367  -0.391 -0.511  -0.391 -0.656  -0.385 -0.722  -0.353 -0.580  -0.305 -0.443  -0.252 -0.308  -0.179 -0.183  -0.106 -0.057  -0.020 0.058  0.083 0.161  0.193 0.250  0.334 0.286  0.476 0.310  0.617 0.279  0.759 0.247  0.870 0.156  0.976 0.057  1.054 -0.062  1.105 -0.198  1.123 -0.337  1.096 -0.479  1.044 -0.611  0.956 -0.726  0.848 -0.816  0.711 -0.864  0.574 -0.912  0.432 -0.939  0.288 -0.961  0.144 -0.972  -0.000 -0.956  -0.145 -0.939  -0.286 -0.904  -0.427 -0.869
3#apb#apb14#app1445/l  -0.314 1.482  -0.249 1.510  -0.184 1.537  -0.139 1.494  -0.098 1.437  -0.068 1.375  -0.054 1.305  -0.040 1.236  -0.027 1.167  -0.013 1.098  0.001 1.029  0.005 0.959  0.003 0.889  0.001 0.818  -0.001 0.748  -0.004 0.678  -0.006 0.607  -0.008 0.537  -0.010 0.466  -0.012 0.396  -0.012 0.325  -0.010 0.255  -0.008 0.185  -0.006 0.114  -0.004 0.044  -0.001 -0.027  0.001 -0.097  0.003 -0.168  0.005 -0.238  0.009 -0.308  0.014 -0.379  0.020 -0.449  0.026 -0.519  0.031 -0.589  0.037 -0.660  0.043 -0.730  0.047 -0.800  0.047 -0.871  0.047 -0.941  0.047 -1.012  0.047 -1.082  0.048 -1.152  0.059 -1.222  0.070 -1.292  0.081 -1.361  0.087 -1.431  0.087 -1.502  0.094 -1.571  0.124 -1.630  0.187 -1.661
3#apb#apb14#app1445/o  -1.141 0.686  -1.097 0.803  -0.968 0.833  -0.829 0.826  -0.692 0.803  -0.554 0.787  -0.415 0.777  -0.278 0.761  -0.145 0.719  -0.013 0.678  0.118 0.632  0.243 0.569  0.367 0.507  0.492 0.445  0.607 0.369  0.714 0.280  0.821 0.191  0.928 0.102  1.022 0.000  1.117 -0.102  1.205 -0.207  1.239 -0.342  1.272 -0.477  1.239 -0.602  1.168 -0.721  1.053 -0.796  0.932 -0.864  0.808 -0.922  0.671 -0.903  0.533 -0.884  0.395 -0.866  0.258 -0.844  0.120 -0.821  -0.017 -0.798  -0.152 -0.771  -0.278 -0.711  -0.404 -0.652  -0.530 -0.592  -0.633 -0.499  -0.735 -0.405  -0.820 -0.299  -0.867 -0.168  -0.913 -0.037  -0.924 0.098  -0.909 0.236  -0.894 0.375  -0.854 0.507  -0.803 0.636  -0.753 0.766  -0.702 0.895
3#apb#apb14#app1445/P  -0.669 0.088  -0.519 0.083  -0.394 -0.029  -0.297 -0.168  -0.204 -0.310  -0.124 -0.460  -0.044 -0.610  0.021 -0.766  0.085 -0.924  0.125 -1.089  0.100 -1.252  0.019 -1.397  -0.140 -1.402  -0.290 -1.323  -0.397 -1.191  -0.501 -1.057  -0.603 -0.921  -0.670 -0.766  -0.731 -0.607  -0.770 -0.443  -0.798 -0.275  -0.824 -0.108  -0.798 0.060  -0.772 0.228  -0.738 0.394  -0.682 0.554  -0.625 0.714  -0.526 0.847  -0.408 0.970  -0.275 1.068  -0.113 1.120  0.048 1.172  0.216 1.181  0.386 1.181  0.554 1.170  0.715 1.116  0.876 1.063  0.995 0.949  1.099 0.814  1.141 0.654  1.166 0.486  1.101 0.333  1.021 0.184  0.898 0.070  0.763 -0.033  0.621 -0.124  0.472 -0.206  0.323 -0.287  0.163 -0.346  0.004 -0.405
3#apb#apb14#app1445/i  -0.700 0.117  -0.590 0.107  -0.526 0.036  -0.491 -0.068  -0.456 -0.173  -0.419 -0.276  -0.383 -0.380  -0.356 -0.487  -0.345 -0.596  -0.333 -0.706  -0.324 -0.815  -0.316 -0.925  -0.316 -1.035  -0.334 -1.144  -0.350 -1.253  -0.365 -1.362  -0.369 -1.412  -0.335 -1.307  -0.301 -1.202  -0.267 -1.097  -0.234 -0.992  -0.200 -0.887  -0.166 -0.782  -0.132 -0.677  -0.098 -0.573  -0.065 -0.468  -0.031 -0.363  0.003 -0.258  0.037 -0.153  0.071 -0.048  0.104 0.057  0.138 0.162  0.172 0.266  0.206 0.371  0.240 0.476  0.273 0.581  0.307 0.686  0.341 0.791  0.375 0.896  0.409 1.000  0.442 1.105  0.476 1.210  0.510 1.315  0.544 1.420  0.577 1.525  0.625 1.593  0.720 1.538  0.807 1.477  0.754 1.391  0.671 1.318
3#apb#apb14#app1445/n  -1.181 0.507  -1.096 0.415  -1.012 0.323  -0.931 0.228  -0.881 0.113  -0.830 -0.001  -0.779 -0.116  -0.739 -0.234  -0.706 -0.355  -0.672 -0.476  -0.651 -0.598  -0.651 -0.723  -0.651 -0.849  -0.675 -0.966  -0.738 -0.931  -0.758 -0.810  -0.750 -0.685  -0.742 -0.560  -0.714 -0.439  -0.672 -0.321  -0.631 -0.202  -0.581 -0.088  -0.521 0.022  -0.461 0.132  -0.401 0.242  -0.341 0.352  -0.253 0.441  -0.164 0.529  -0.076 0.618  0.025 0.689  0.139 0.742  0.252 0.795  0.368 0.792  0.486 0.749  0.603 0.705  0.721 0.662  0.831 0.602  0.941 0.543  1.036 0.466  1.107 0.363  1.178 0.260  1.249 0.156  1.280 0.035  1.310 -0.086  1.339 -0.208  1.339 -0.333  1.336 -0.458  1.308 -0.581  1.251 -0.686  1.162 -0.775
3#apb#apb14#app1445/g  -0.456 0.917  -0.370 1.056  -0.448 1.161  -0.597 1.113  -0.732 1.015  -0.850 0.897  -0.992 0.807  -1.003 0.692  -0.843 0.642  -0.681 0.600  -0.518 0.559  -0.374 0.475  -0.230 0.388  -0.121 0.263  -0.017 0.131  0.087 -0.001  0.156 -0.153  0.226 -0.306  0.285 -0.462  0.310 -0.627  0.319 -0.792  0.264 -0.950  0.181 -1.088  0.045 -1.186  -0.106 -1.254  -0.267 -1.296  -0.432 -1.265  -0.564 -1.166  -0.668 -1.041  -0.726 -0.884  -0.690 -0.720  -0.644 -0.560  -0.559 -0.415  -0.474 -0.271  -0.374 -0.137  -0.265 -0.010  -0.155 0.117  -0.015 0.203  0.139 0.269  0.295 0.329  0.461 0.352  0.627 0.376  0.793 0.389  0.961 0.389  1.129 0.387  1.293 0.352  1.456 0.313  1.613 0.255  1.736 0.143  1.799 -0.010
3#apb#apb14#app1445/Q  -0.152 0.117  -0.300 0.053  -0.369 -0.119  -0.400 -0.300  -0.413 -0.484  -0.407 -0.669  -0.371 -0.849  -0.292 -1.014  -0.151 -1.126  0.030 -1.136  0.185 -1.039  0.324 -0.917  0.443 -0.777  0.535 -0.616  0.586 -0.439  0.621 -0.259  0.604 -0.074  0.587 0.110  0.527 0.285  0.465 0.460  0.391 0.629  0.299 0.789  0.206 0.949  0.078 1.081  -0.061 1.203  -0.216 1.299  -0.389 1.365  -0.569 1.377  -0.751 1.351  -0.917 1.268  -1.035 1.135  -1.070 0.961  -1.039 0.782  -0.950 0.619  -0.844 0.469  -0.717 0.334  -0.588 0.202  -0.448 0.081  -0.308 -0.041  -0.158 -0.148  -0.003 -0.250  0.153 -0.351  0.311 -0.446  0.470 -0.541  0.629 -0.636  0.786 -0.734  0.944 -0.832  1.100 -0.930  1.252 -1.036  1.390 -1.154
3#apb#apb14#app1445/u  -1.259 0.418  -1.310 0.506  -1.307 0.532  -1.273 0.436  -1.240 0.340  -1.212 0.242  -1.185 0.144  -1.146 0.051  -1.098 -0.039  -1.049 -0.128  -0.998 -0.216  -0.945 -0.303  -0.889 -0.387  -0.817 -0.458  -0.734 -0.515  -0.634 -0.523  -0.532 -0.523  -0.432 -0.508  -0.331 -0.498  -0.230 -0.509  -0.131 -0.532  -0.033 -0.557  0.061 -0.595  0.161 -0.608  0.261 -0.617  0.356 -0.652  0.456 -0.660  0.557 -0.653  0.655 -0.628  0.750 -0.592  0.826 -0.532  0.856 -0.435  0.881 -0.336  0.893 -0.235  0.905 -0.134  0.898 -0.033  0.890 0.068  0.882 0.170  0.865 0.270  0.842 0.369  0.819 0.468  0.796 0.567  0.772 0.666  0.742 0.763  0.713 0.861  0.681 0.957  0.642 1.051  0.600 1.143  0.545 1.225  0.479 1.158
3#apb#apb14#app1445/i  -0.050 1.495  -0.082 1.562  -0.052 1.519  -0.014 1.453  0.011 1.382  0.022 1.307  0.009 1.232  -0.029 1.170  -0.083 1.116  -0.129 1.057  -0.152 0.984  -0.175 0.911  -0.198 0.839  -0.221 0.766  -0.244 0.693  -0.267 0.620  -0.290 0.547  -0.313 0.475  -0.336 0.402  -0.291 0.409  -0.236 0.380  -0.187 0.321  -0.153 0.253  -0.123 0.183  -0.093 0.113  -0.066 0.042  -0.052 -0.033  -0.039 -0.108  -0.025 -0.183  -0.011 -0.258  0.002 -0.334  0.021 -0.408  0.040 -0.481  0.059 -0.555  0.078 -0.629  0.098 -0.703  0.117 -0.777  0.136 -0.851  0.156 -0.924  0.175 -0.998  0.195 -1.072  0.218 -1.145  0.244 -1.216  0.271 -1.288  0.298 -1.359  0.320 -1.432  0.335 -1.507  0.350 -1.582  0.368 -1.656  0.387 -1.730
