3#apb#apb14#app1468/.  -1.138 0.690  -1.036 0.803  -1.036 0.958  -1.036 1.113  -1.036 1.268  -0.954 1.225  -0.844 1.115  -0.734 1.005  -0.657 0.872  -0.582 0.736  -0.506 0.601  -0.431 0.465  -0.356 0.330  -0.281 0.194  -0.206 0.059  -0.137 -0.080  -0.068 -0.219  0.002 -0.357  0.071 -0.496  0.140 -0.634  0.206 -0.775  0.255 -0.922  0.304 -1.069  0.353 -1.216  0.402 -1.363  0.402 -1.517  0.402 -1.672  0.365 -1.521  0.327 -1.371  0.300 -1.219  0.300 -1.065  0.300 -0.910  0.300 -0.755  0.293 -0.600  0.271 -0.447  0.249 -0.293  0.228 -0.140  0.206 0.013  0.232 0.161  0.289 0.305  0.347 0.449  0.402 0.593  0.402 0.748  0.402 0.903  0.462 0.998  0.532 0.890  0.570 0.740  0.607 0.589  0.608 0.434  0.505 0.382
3#apb#apb14#app1468/,  -0.342 -0.004  -0.342 0.156  -0.285 0.258  -0.327 0.277  -0.425 0.156  -0.541 0.058  -0.640 0.028  -0.683 0.180  -0.633 0.331  -0.547 0.439  -0.398 0.494  -0.271 0.442  -0.227 0.301  -0.272 0.149  -0.338 0.004  -0.493 -0.004  -0.652 -0.004  -0.812 -0.004  -0.962 0.027  -1.090 0.119  -1.129 0.273  -1.131 0.427  -1.053 0.566  -0.958 0.689  -0.804 0.728  -0.646 0.743  -0.487 0.743  -0.329 0.729  -0.172 0.697  -0.020 0.651  0.129 0.595  0.278 0.539  0.415 0.460  0.541 0.362  0.667 0.265  0.792 0.167  0.907 0.057  1.006 -0.067  1.098 -0.196  1.137 -0.350  1.176 -0.505  1.205 -0.660  1.188 -0.819  1.170 -0.977  1.152 -1.136  1.065 -1.266  0.966 -1.391  0.836 -1.483  0.706 -1.576  0.577 -1.669
3#apb#apb14#app1468/;  -0.308 1.034  -0.285 1.149  -0.238 1.251  -0.234 1.292  -0.300 1.197  -0.308 1.082  -0.286 1.174  -0.249 1.285  -0.212 1.396  -0.160 1.406  -0.184 1.293  -0.259 1.209  -0.343 1.135  -0.327 1.019  -0.311 0.903  -0.294 0.787  -0.278 0.671  -0.262 0.555  -0.246 0.439  -0.229 0.323  -0.213 0.207  -0.197 0.091  -0.181 -0.025  -0.164 -0.141  -0.148 -0.257  -0.132 -0.373  -0.116 -0.489  -0.100 -0.605  -0.086 -0.679  -0.086 -0.562  -0.036 -0.465  0.053 -0.391  0.157 -0.338  0.273 -0.331  0.390 -0.331  0.495 -0.359  0.578 -0.442  0.615 -0.544  0.615 -0.661  0.614 -0.778  0.585 -0.892  0.557 -1.005  0.510 -1.110  0.438 -1.202  0.366 -1.294  0.294 -1.387  0.202 -1.458  0.106 -1.525  0.010 -1.592  -0.086 -1.659
3#apb#apb14#app1468/:  -0.325 1.065  -0.271 1.174  -0.205 1.274  -0.147 1.203  -0.147 1.081  -0.114 0.970  -0.058 0.865  -0.058 0.941  -0.058 1.063  -0.045 1.181  0.010 1.290  0.031 1.406  0.031 1.403  -0.005 1.296  -0.091 1.210  -0.144 1.112  -0.135 0.990  -0.127 0.869  -0.118 0.748  -0.109 0.626  -0.100 0.505  -0.091 0.384  -0.082 0.263  -0.074 0.141  -0.065 0.020  -0.056 -0.101  -0.047 -0.223  -0.038 -0.344  -0.030 -0.465  -0.021 -0.587  -0.012 -0.708  -0.003 -0.829  0.006 -0.951  0.015 -1.072  0.023 -1.193  0.042 -1.279  0.109 -1.177  0.152 -1.064  0.191 -0.992  0.120 -1.070  0.150 -1.161  0.127 -1.254  0.179 -1.295  0.140 -1.235  0.178 -1.120  0.220 -1.006  0.253 -0.892  0.298 -0.910  0.295 -1.031  0.209 -1.117
3#apb#apb14#app1468/$  1.071 0.699  0.996 0.768  0.644 0.702  0.293 0.627  -0.053 0.534  -0.374 0.379  -0.446 0.127  -0.101 0.043  0.228 -0.098  0.510 -0.314  0.653 -0.632  0.463 -0.908  0.129 -1.034  -0.228 -1.039  -0.582 -0.992  -0.933 -0.916  -1.283 -0.839  -1.628 -0.743  -1.495 -0.490  -1.273 -0.209  -1.050 0.072  -0.828 0.353  -0.605 0.634  -0.383 0.915  -0.161 1.196  0.062 1.478  0.229 1.295  0.214 0.938  0.147 0.586  0.093 0.233  0.054 -0.123  -0.028 -0.472  -0.108 -0.822  -0.270 -1.140  -0.453 -1.237  -0.307 -0.909  -0.160 -0.582  -0.014 -0.255  0.133 0.072  0.279 0.400  0.426 0.727  0.572 1.054  0.755 1.227  0.800 0.875  0.800 0.517  0.800 0.158  0.730 -0.193  0.669 -0.547  0.579 -0.893  0.432 -1.219
3#apb#apb14#app1468/#  -0.439 1.215  -0.330 1.161  -0.347 0.759  -0.414 0.361  -0.493 -0.035  -0.569 -0.431  -0.706 -0.806  -0.718 -0.635  -0.492 -0.301  -0.266 0.033  -0.040 0.368  0.186 0.702  0.412 1.037  0.692 0.966  0.636 0.571  0.568 0.174  0.567 -0.230  0.437 -0.611  0.335 -1.001  0.327 -1.090  0.608 -0.799  0.888 -0.509  1.169 -0.218  1.449 0.072  1.729 0.363  1.390 0.508  0.997 0.438  0.606 0.344  0.206 0.285  -0.193 0.225  -0.591 0.157  -0.992 0.127  -1.396 0.127  -1.800 0.127  -1.615 0.095  -1.214 0.051  -0.812 0.007  -0.411 -0.037  -0.010 -0.081  0.392 -0.125  0.793 -0.169  1.194 -0.212  1.176 -0.146  0.781 -0.222  0.382 -0.287  -0.016 -0.354  -0.415 -0.418  -0.814 -0.475  -1.216 -0.499  -1.609 -0.581
3#apb#apb14#app1468/&  -0.004 1.391  0.081 1.553  0.067 1.722  0.170 1.591  0.223 1.407  0.270 1.220  0.273 1.027  0.273 0.835  0.273 0.642  0.273 0.449  0.273 0.256  0.273 0.063  0.273 -0.130  0.273 -0.323  0.273 -0.516  0.273 -0.708  0.273 -0.901  0.273 -1.094  0.273 -1.287  0.265 -1.232  0.212 -1.047  0.125 -0.874  0.035 -0.704  -0.072 -0.544  -0.193 -0.395  -0.330 -0.259  -0.497 -0.173  -0.678 -0.107  -0.847 -0.013  -1.027 0.045  -1.218 0.064  -1.411 0.064  -1.509 0.056  -1.364 -0.065  -1.175 -0.103  -0.985 -0.129  -0.792 -0.143  -0.600 -0.157  -0.407 -0.170  -0.215 -0.183  -0.022 -0.195  0.170 -0.207  0.362 -0.202  0.553 -0.176  0.744 -0.151  0.936 -0.134  1.127 -0.108  1.314 -0.061  1.476 0.043  1.662 0.064
3#apb#apb14#app1468/!  -0.344 1.193  -0.311 1.271  -0.289 1.353  -0.242 1.423  -0.197 1.473  -0.172 1.490  -0.104 1.443  -0.046 1.394  -0.019 1.314  0.006 1.233  0.029 1.151  0.052 1.070  0.076 0.989  0.099 0.907  0.104 0.823  0.110 0.738  0.115 0.653  0.120 0.569  0.125 0.484  0.119 0.400  0.114 0.315  0.109 0.231  0.103 0.146  0.097 0.062  0.087 -0.022  0.076 -0.106  0.066 -0.190  0.055 -0.274  0.042 -0.358  0.015 -0.438  -0.012 -0.519  -0.034 -0.600  -0.046 -0.684  -0.063 -0.765  -0.123 -0.825  -0.196 -0.867  -0.275 -0.898  -0.285 -0.936  -0.213 -0.981  -0.141 -1.025  -0.069 -1.070  0.003 -1.115  0.074 -1.160  0.138 -1.136  0.164 -1.182  0.203 -1.243  0.203 -1.328  0.219 -1.407  0.255 -1.481  0.203 -1.514
3#apb#apb14#app1468/?  -0.584 0.400  -0.610 0.502  -0.673 0.586  -0.685 0.688  -0.675 0.786  -0.580 0.834  -0.481 0.867  -0.381 0.897  -0.291 0.952  -0.187 0.959  -0.082 0.959  0.013 1.003  0.111 1.039  0.215 1.052  0.320 1.060  0.426 1.060  0.510 1.009  0.584 0.934  0.665 0.868  0.687 0.776  0.677 0.672  0.648 0.570  0.593 0.484  0.518 0.409  0.452 0.328  0.394 0.240  0.323 0.163  0.240 0.100  0.145 0.053  0.089 -0.033  0.015 -0.104  -0.043 -0.187  -0.080 -0.285  -0.101 -0.387  -0.101 -0.492  -0.101 -0.598  -0.092 -0.702  -0.076 -0.806  -0.076 -0.911  -0.088 -1.016  -0.105 -1.120  -0.123 -1.224  -0.141 -1.327  -0.159 -1.431  -0.177 -1.535  -0.195 -1.639  -0.203 -1.623  -0.157 -1.537  -0.173 -1.608  -0.203 -1.684
3#apb#apb14#app1468/  0.618 1.260  0.688 1.263  0.738 1.313  0.775 1.279  0.784 1.210  0.784 1.139  0.768 1.070  0.747 1.002  0.727 0.933  0.706 0.865  0.686 0.797  0.646 0.738  0.605 0.680  0.563 0.622  0.522 0.563  0.481 0.505  0.440 0.447  0.399 0.389  0.358 0.330  0.317 0.272  0.275 0.214  0.230 0.159  0.185 0.104  0.140 0.048  0.095 -0.007  0.050 -0.062  0.005 -0.118  -0.040 -0.173  -0.085 -0.228  -0.130 -0.283  -0.178 -0.336  -0.228 -0.386  -0.279 -0.437  -0.329 -0.487  -0.379 -0.538  -0.430 -0.588  -0.480 -0.638  -0.531 -0.689  -0.581 -0.739  -0.629 -0.792  -0.676 -0.845  -0.724 -0.898  -0.772 -0.951  -0.819 -1.004  -0.867 -1.057  -0.921 -1.103  -0.978 -1.146  -1.035 -1.189  -1.092 -1.231  -1.149 -1.274
3#apb#apb14#app1468/'  -0.514 0.649  -0.514 0.741  -0.545 0.825  -0.586 0.907  -0.627 0.988  -0.678 1.055  -0.637 1.137  -0.622 1.204  -0.581 1.123  -0.540 1.041  -0.514 0.955  -0.514 0.864  -0.493 0.777  -0.465 0.714  -0.491 0.762  -0.400 0.761  -0.332 0.702  -0.245 0.673  -0.159 0.642  -0.078 0.601  0.004 0.560  0.086 0.519  0.167 0.477  0.220 0.402  0.273 0.328  0.326 0.253  0.380 0.179  0.433 0.104  0.458 0.018  0.473 -0.072  0.488 -0.162  0.503 -0.252  0.504 -0.344  0.504 -0.435  0.504 -0.527  0.504 -0.618  0.503 -0.710  0.469 -0.795  0.435 -0.880  0.401 -0.965  0.367 -1.049  0.333 -1.134  0.299 -1.219  0.262 -1.303  0.217 -1.382  0.173 -1.462  0.128 -1.542  0.084 -1.622  0.039 -1.702  -0.005 -1.782
