3#apb#apb15#app1542/I  0.050 0.856  0.050 0.831  0.020 0.603  -0.013 0.375  -0.035 0.146  -0.057 -0.083  -0.083 -0.312  -0.100 -0.542  -0.102 -0.772  -0.068 -1.000  -0.133 -0.855  -0.239 -0.650  -0.345 -0.446  -0.451 -0.241  -0.556 -0.036  -0.662 0.169  -0.768 0.373  -0.873 0.578  -0.996 0.741  -0.766 0.749  -0.538 0.777  -0.308 0.784  -0.077 0.784  0.152 0.800  0.381 0.826  0.610 0.849  0.840 0.869  1.070 0.889  1.299 0.907  1.530 0.914  1.482 0.817  1.301 0.675  1.120 0.532  0.939 0.389  0.758 0.247  0.577 0.104  0.397 -0.038  0.216 -0.181  0.035 -0.324  -0.146 -0.466  -0.327 -0.609  -0.508 -0.752  -0.689 -0.894  -0.870 -1.037  -1.041 -1.183  -0.868 -1.287  -0.641 -1.284  -0.413 -1.250  -0.189 -1.197  0.036 -1.145
3#apb#apb15#app1542/'  1.147 1.221  1.084 1.190  1.022 1.159  0.960 1.128  0.897 1.096  0.835 1.065  0.774 1.032  0.730 0.978  0.686 0.924  0.642 0.870  0.598 0.816  0.554 0.762  0.510 0.708  0.465 0.654  0.421 0.600  0.377 0.546  0.333 0.492  0.289 0.438  0.245 0.384  0.201 0.330  0.158 0.275  0.115 0.220  0.072 0.165  0.029 0.111  -0.014 0.056  -0.057 0.001  -0.100 -0.054  -0.143 -0.109  -0.186 -0.164  -0.230 -0.218  -0.273 -0.273  -0.316 -0.328  -0.359 -0.383  -0.402 -0.438  -0.445 -0.492  -0.478 -0.554  -0.511 -0.615  -0.544 -0.677  -0.577 -0.738  -0.610 -0.800  -0.642 -0.861  -0.675 -0.923  -0.708 -0.984  -0.741 -1.046  -0.774 -1.107  -0.806 -1.169  -0.839 -1.230  -0.872 -1.292  -0.905 -1.353  -0.938 -1.415
3#apb#apb15#app1542/l  0.505 1.524  0.482 1.563  0.455 1.499  0.427 1.434  0.399 1.370  0.370 1.307  0.342 1.243  0.313 1.179  0.285 1.115  0.257 1.051  0.228 0.987  0.208 0.920  0.187 0.853  0.167 0.786  0.146 0.720  0.126 0.653  0.106 0.586  0.085 0.519  0.065 0.452  0.044 0.385  0.026 0.318  0.009 0.250  -0.008 0.182  -0.025 0.114  -0.042 0.046  -0.059 -0.022  -0.076 -0.089  -0.093 -0.157  -0.110 -0.225  -0.127 -0.293  -0.142 -0.361  -0.156 -0.430  -0.170 -0.498  -0.183 -0.567  -0.197 -0.635  -0.211 -0.704  -0.224 -0.773  -0.238 -0.841  -0.252 -0.910  -0.261 -0.979  -0.266 -1.049  -0.271 -1.118  -0.276 -1.188  -0.281 -1.258  -0.286 -1.328  -0.292 -1.397  -0.281 -1.466  -0.269 -1.535  -0.251 -1.600  -0.188 -1.631
3#apb#apb15#app1542/l  0.459 1.635  0.439 1.569  0.419 1.502  0.399 1.436  0.381 1.369  0.364 1.302  0.346 1.235  0.329 1.167  0.311 1.100  0.294 1.033  0.276 0.966  0.256 0.900  0.236 0.834  0.215 0.767  0.195 0.701  0.175 0.634  0.155 0.568  0.135 0.502  0.115 0.435  0.095 0.369  0.075 0.303  0.055 0.236  0.035 0.170  0.015 0.103  -0.005 0.037  -0.025 -0.030  -0.045 -0.096  -0.065 -0.163  -0.085 -0.229  -0.105 -0.295  -0.125 -0.362  -0.145 -0.428  -0.163 -0.495  -0.180 -0.562  -0.196 -0.630  -0.213 -0.697  -0.229 -0.765  -0.245 -0.832  -0.262 -0.899  -0.278 -0.967  -0.294 -1.034  -0.311 -1.102  -0.323 -1.170  -0.330 -1.239  -0.338 -1.308  -0.346 -1.376  -0.354 -1.445  -0.362 -1.514  -0.370 -1.583  -0.378 -1.652
3#apb#apb15#app1542/g  0.438 0.807  0.428 0.930  0.308 0.993  0.176 1.027  0.038 1.019  -0.097 0.990  -0.223 0.934  -0.334 0.858  -0.423 0.752  -0.483 0.629  -0.464 0.498  -0.362 0.414  -0.231 0.407  -0.094 0.427  0.034 0.477  0.160 0.535  0.275 0.608  0.382 0.695  0.466 0.802  0.532 0.923  0.576 1.054  0.528 1.065  0.484 0.934  0.441 0.803  0.403 0.671  0.377 0.535  0.350 0.400  0.324 0.264  0.305 0.127  0.288 -0.010  0.270 -0.147  0.252 -0.283  0.233 -0.420  0.214 -0.557  0.195 -0.694  0.157 -0.826  0.113 -0.957  0.069 -1.088  0.023 -1.218  -0.029 -1.345  -0.118 -1.450  -0.231 -1.520  -0.363 -1.541  -0.498 -1.509  -0.613 -1.440  -0.717 -1.349  -0.801 -1.241  -0.880 -1.127  -0.921 -0.995  -0.961 -0.863
3#apb#apb15#app1542/o  0.226 0.841  0.126 0.940  0.058 1.040  -0.067 0.994  -0.179 0.910  -0.287 0.822  -0.379 0.716  -0.470 0.609  -0.561 0.503  -0.652 0.396  -0.729 0.279  -0.802 0.160  -0.876 0.041  -0.942 -0.082  -0.984 -0.216  -1.025 -0.350  -1.066 -0.484  -1.038 -0.621  -1.011 -0.759  -0.929 -0.857  -0.808 -0.930  -0.688 -1.002  -0.552 -1.006  -0.412 -0.997  -0.272 -0.989  -0.132 -0.979  0.003 -0.941  0.138 -0.904  0.273 -0.866  0.408 -0.829  0.534 -0.770  0.655 -0.699  0.776 -0.629  0.880 -0.541  0.952 -0.421  1.024 -0.300  1.047 -0.169  1.036 -0.029  1.026 0.111  0.986 0.242  0.920 0.366  0.853 0.489  0.786 0.611  0.669 0.689  0.552 0.767  0.436 0.844  0.319 0.922  0.191 0.977  0.059 1.025  -0.072 1.073
3#apb#apb15#app1542/t  0.442 1.670  0.433 1.514  0.415 1.358  0.395 1.203  0.370 1.048  0.344 0.894  0.318 0.739  0.293 0.585  0.274 0.429  0.256 0.274  0.237 0.118  0.218 -0.037  0.193 -0.192  0.165 -0.346  0.137 -0.500  0.109 -0.654  0.082 -0.809  0.059 -0.964  0.036 -1.119  0.013 -1.274  0.002 -1.429  0.002 -1.586  0.017 -1.741  -0.013 -1.639  -0.056 -1.488  -0.098 -1.337  -0.141 -1.187  -0.184 -1.036  -0.226 -0.885  -0.269 -0.734  -0.312 -0.584  -0.355 -0.433  -0.397 -0.282  -0.440 -0.132  -0.483 0.019  -0.525 0.170  -0.568 0.321  -0.611 0.471  -0.654 0.622  -0.689 0.774  -0.576 0.849  -0.424 0.874  -0.267 0.874  -0.111 0.864  0.044 0.843  0.199 0.822  0.354 0.799  0.509 0.775  0.664 0.751  0.819 0.727
3#apb#apb15#app1542/o  -1.217 0.202  -1.340 0.184  -1.421 0.123  -1.436 0.000  -1.363 -0.101  -1.288 -0.200  -1.191 -0.279  -1.094 -0.359  -0.997 -0.438  -0.875 -0.464  -0.752 -0.487  -0.630 -0.511  -0.507 -0.534  -0.383 -0.554  -0.258 -0.559  -0.133 -0.564  -0.008 -0.569  0.117 -0.574  0.242 -0.579  0.366 -0.575  0.491 -0.564  0.616 -0.553  0.740 -0.543  0.865 -0.532  0.983 -0.500  1.093 -0.441  1.203 -0.381  1.268 -0.284  1.304 -0.164  1.309 -0.049  1.237 0.052  1.164 0.154  1.091 0.256  1.000 0.335  0.885 0.383  0.769 0.431  0.654 0.479  0.538 0.527  0.423 0.575  0.303 0.608  0.180 0.631  0.057 0.653  -0.066 0.676  -0.189 0.699  -0.312 0.722  -0.436 0.734  -0.561 0.734  -0.687 0.734  -0.812 0.734  -0.937 0.734
3#apb#apb15#app1542/N  -1.050 -1.442  -1.077 -1.317  -1.045 -1.169  -0.991 -1.027  -0.935 -0.886  -0.878 -0.746  -0.838 -0.599  -0.800 -0.452  -0.759 -0.306  -0.715 -0.161  -0.671 -0.016  -0.626 0.129  -0.578 0.273  -0.530 0.417  -0.482 0.561  -0.447 0.709  -0.413 0.857  -0.380 1.005  -0.350 1.153  -0.308 1.050  -0.289 0.899  -0.264 0.749  -0.238 0.600  -0.206 0.452  -0.167 0.305  -0.128 0.158  -0.084 0.013  -0.029 -0.128  0.026 -0.270  0.085 -0.409  0.153 -0.545  0.224 -0.679  0.310 -0.804  0.416 -0.907  0.557 -0.902  0.656 -0.797  0.721 -0.660  0.765 -0.515  0.798 -0.368  0.814 -0.217  0.831 -0.066  0.860 0.083  0.889 0.232  0.918 0.381  0.950 0.529  0.984 0.677  1.018 0.825  1.055 0.972  1.095 1.119  1.157 1.239
3#apb#apb15#app1542/o  0.340 0.707  0.219 0.766  0.086 0.751  -0.043 0.708  -0.170 0.662  -0.297 0.616  -0.404 0.543  -0.481 0.432  -0.558 0.321  -0.635 0.209  -0.714 0.099  -0.792 -0.011  -0.871 -0.121  -0.944 -0.234  -0.987 -0.363  -1.029 -0.491  -1.056 -0.622  -1.056 -0.758  -1.035 -0.883  -0.926 -0.964  -0.818 -1.045  -0.684 -1.027  -0.550 -1.009  -0.416 -0.991  -0.285 -0.958  -0.156 -0.917  -0.027 -0.875  0.102 -0.834  0.231 -0.793  0.353 -0.736  0.470 -0.667  0.586 -0.599  0.683 -0.508  0.764 -0.400  0.845 -0.292  0.909 -0.176  0.929 -0.042  0.948 0.092  0.957 0.225  0.922 0.356  0.888 0.487  0.853 0.618  0.782 0.731  0.701 0.839  0.620 0.948  0.537 1.055  0.452 1.160  0.368 1.266  0.256 1.337  0.132 1.390
3#apb#apb15#app1542/r  -0.338 0.629  -0.338 0.506  -0.338 0.382  -0.338 0.259  -0.338 0.136  -0.312 0.016  -0.279 -0.103  -0.247 -0.222  -0.226 -0.343  -0.210 -0.465  -0.195 -0.588  -0.180 -0.710  -0.163 -0.832  -0.141 -0.953  -0.119 -1.075  -0.098 -1.196  -0.098 -1.319  -0.098 -1.443  -0.113 -1.509  -0.174 -1.402  -0.235 -1.295  -0.253 -1.173  -0.270 -1.051  -0.288 -0.929  -0.303 -0.807  -0.286 -0.685  -0.270 -0.563  -0.253 -0.441  -0.236 -0.319  -0.220 -0.196  -0.203 -0.074  -0.167 0.043  -0.128 0.160  -0.089 0.277  -0.050 0.394  -0.011 0.511  0.028 0.628  0.082 0.739  0.142 0.846  0.203 0.953  0.263 1.061  0.324 1.168  0.414 1.243  0.527 1.294  0.639 1.345  0.753 1.388  0.875 1.405  0.998 1.421  1.120 1.437  1.242 1.453
