3#apb#apb15#app1545/F  -0.698 0.910  -0.606 0.793  -0.568 0.588  -0.550 0.378  -0.536 0.167  -0.522 -0.044  -0.515 -0.255  -0.515 -0.466  -0.515 -0.677  -0.509 -0.889  -0.502 -1.100  -0.493 -1.311  -0.481 -1.522  -0.419 -1.724  -0.425 -1.539  -0.436 -1.328  -0.446 -1.117  -0.457 -0.906  -0.468 -0.695  -0.478 -0.484  -0.489 -0.273  -0.500 -0.062  -0.510 0.149  -0.521 0.360  -0.532 0.571  -0.542 0.782  -0.522 0.864  -0.320 0.809  -0.111 0.776  0.098 0.749  0.309 0.744  0.521 0.744  0.732 0.744  0.943 0.744  1.154 0.744  1.366 0.744  1.573 0.713  1.532 0.632  1.345 0.533  1.158 0.435  0.971 0.336  0.785 0.238  0.598 0.139  0.411 0.040  0.224 -0.058  0.037 -0.157  -0.150 -0.255  -0.015 -0.223  0.191 -0.184  0.401 -0.155
3#apb#apb15#app1545/l  0.123 1.691  0.109 1.623  0.094 1.555  0.080 1.486  0.066 1.418  0.052 1.350  0.038 1.282  0.024 1.214  0.013 1.146  0.013 1.076  0.013 1.007  0.013 0.937  0.013 0.868  0.013 0.798  0.013 0.729  0.013 0.659  0.013 0.590  0.013 0.520  0.012 0.451  0.010 0.381  0.008 0.312  0.006 0.242  0.004 0.173  0.002 0.103  -0.001 0.034  -0.003 -0.036  -0.005 -0.105  -0.007 -0.174  -0.009 -0.244  -0.016 -0.313  -0.023 -0.382  -0.030 -0.451  -0.037 -0.521  -0.044 -0.590  -0.051 -0.659  -0.058 -0.728  -0.064 -0.797  -0.071 -0.866  -0.072 -0.936  -0.065 -1.005  -0.059 -1.074  -0.053 -1.143  -0.046 -1.213  -0.040 -1.282  -0.034 -1.351  -0.023 -1.420  -0.009 -1.487  0.006 -1.555  0.020 -1.623  0.035 -1.691
3#apb#apb15#app1545/i  -0.233 -0.450  -0.263 -0.511  -0.241 -0.598  -0.207 -0.683  -0.171 -0.767  -0.133 -0.850  -0.096 -0.934  -0.047 -1.009  0.013 -1.079  0.072 -1.148  0.131 -1.218  0.190 -1.288  0.248 -1.358  0.248 -1.294  0.236 -1.203  0.224 -1.112  0.212 -1.022  0.200 -0.931  0.188 -0.841  0.176 -0.750  0.164 -0.659  0.152 -0.569  0.140 -0.478  0.129 -0.388  0.117 -0.297  0.105 -0.206  0.093 -0.116  0.081 -0.025  0.069 0.065  0.057 0.156  0.045 0.247  0.033 0.337  0.021 0.428  0.010 0.518  -0.002 0.609  -0.014 0.700  -0.026 0.790  -0.038 0.881  -0.050 0.971  -0.062 1.062  -0.074 1.153  -0.086 1.243  -0.097 1.334  -0.109 1.424  -0.121 1.515  -0.133 1.605  -0.173 1.664  -0.265 1.664  -0.355 1.665  -0.355 1.756
3#apb#apb15#app1545/g  0.365 1.177  0.258 1.177  0.151 1.177  0.045 1.170  -0.060 1.146  -0.164 1.122  -0.267 1.094  -0.370 1.062  -0.472 1.031  -0.559 0.972  -0.641 0.902  -0.644 0.803  -0.611 0.705  -0.541 0.624  -0.458 0.562  -0.357 0.526  -0.256 0.491  -0.155 0.455  -0.050 0.440  0.057 0.435  0.164 0.430  0.271 0.424  0.374 0.399  0.472 0.357  0.571 0.315  0.672 0.288  0.735 0.232  0.710 0.133  0.662 0.037  0.614 -0.058  0.554 -0.147  0.492 -0.234  0.430 -0.322  0.368 -0.409  0.304 -0.495  0.238 -0.580  0.172 -0.664  0.107 -0.749  0.041 -0.833  -0.017 -0.924  -0.073 -1.015  -0.130 -1.106  -0.186 -1.197  -0.242 -1.288  -0.292 -1.383  -0.340 -1.478  -0.388 -1.574  -0.447 -1.663  -0.517 -1.744  -0.590 -1.822
3#apb#apb15#app1545/h  -0.311 1.973  -0.311 1.865  -0.311 1.756  -0.311 1.647  -0.311 1.539  -0.311 1.430  -0.318 1.321  -0.326 1.213  -0.334 1.105  -0.343 0.996  -0.351 0.888  -0.359 0.779  -0.366 0.671  -0.373 0.562  -0.380 0.454  -0.387 0.345  -0.395 0.237  -0.395 0.128  -0.395 0.019  -0.395 -0.089  -0.395 -0.198  -0.395 -0.307  -0.382 -0.415  -0.366 -0.522  -0.350 -0.630  -0.333 -0.737  -0.308 -0.843  -0.282 -0.948  -0.229 -1.039  -0.130 -1.062  -0.047 -0.994  0.034 -0.921  0.108 -0.842  0.170 -0.753  0.231 -0.663  0.293 -0.574  0.359 -0.487  0.428 -0.403  0.496 -0.319  0.552 -0.226  0.624 -0.162  0.660 -0.242  0.671 -0.350  0.682 -0.458  0.692 -0.566  0.717 -0.672  0.753 -0.773  0.813 -0.864  0.908 -0.913  1.008 -0.957
3#apb#apb15#app1545/t  0.479 1.711  0.387 1.582  0.341 1.436  0.325 1.278  0.308 1.120  0.297 0.962  0.290 0.804  0.284 0.645  0.277 0.487  0.271 0.329  0.265 0.170  0.259 0.012  0.253 -0.147  0.255 -0.305  0.268 -0.463  0.280 -0.621  0.292 -0.779  0.306 -0.937  0.325 -1.095  0.343 -1.252  0.370 -1.408  0.402 -1.563  0.381 -1.646  0.297 -1.511  0.214 -1.376  0.130 -1.242  0.046 -1.107  -0.037 -0.972  -0.121 -0.838  -0.204 -0.703  -0.288 -0.568  -0.372 -0.434  -0.455 -0.299  -0.539 -0.164  -0.622 -0.029  -0.706 0.105  -0.790 0.240  -0.873 0.375  -0.957 0.509  -0.958 0.567  -0.810 0.620  -0.653 0.644  -0.496 0.667  -0.339 0.691  -0.182 0.708  -0.024 0.725  0.134 0.742  0.291 0.759  0.449 0.776  0.607 0.793
3#apb#apb15#app1545/#  -0.022 1.457  -0.161 1.174  -0.269 0.778  -0.343 0.375  -0.407 -0.031  -0.447 -0.440  -0.480 -0.849  -0.498 -1.258  -0.484 -1.669  -0.404 -1.453  -0.298 -1.056  -0.192 -0.659  -0.086 -0.263  0.020 0.134  0.126 0.531  0.232 0.927  0.307 1.091  0.319 0.681  0.367 0.273  0.384 -0.136  0.360 -0.546  0.340 -0.955  0.196 -1.179  -0.113 -0.909  -0.422 -0.638  -0.731 -0.368  -1.039 -0.097  -1.348 0.173  -1.578 0.430  -1.191 0.540  -0.785 0.596  -0.378 0.650  0.031 0.684  0.441 0.709  0.850 0.737  1.260 0.763  1.670 0.737  1.497 0.606  1.123 0.437  0.749 0.268  0.374 0.100  0.000 -0.069  -0.374 -0.238  -0.749 -0.406  -0.657 -0.408  -0.255 -0.325  0.153 -0.280  0.561 -0.233  0.969 -0.193  1.379 -0.193
3#apb#apb15#app1545/3  -0.307 0.921  -0.402 0.985  -0.318 1.097  -0.187 1.144  -0.048 1.171  0.094 1.181  0.236 1.187  0.378 1.187  0.520 1.185  0.660 1.157  0.797 1.126  0.883 1.012  0.908 0.879  0.885 0.742  0.822 0.615  0.724 0.520  0.601 0.449  0.473 0.387  0.341 0.335  0.208 0.283  0.076 0.232  -0.059 0.187  -0.194 0.142  -0.329 0.096  -0.462 0.046  -0.595 -0.004  -0.735 -0.015  -0.670 -0.085  -0.535 -0.128  -0.396 -0.161  -0.258 -0.193  -0.129 -0.253  -0.004 -0.319  0.122 -0.385  0.236 -0.471  0.349 -0.558  0.407 -0.681  0.411 -0.814  0.348 -0.942  0.234 -1.022  0.112 -1.095  -0.019 -1.148  -0.157 -1.183  -0.295 -1.217  -0.434 -1.247  -0.575 -1.260  -0.717 -1.273  -0.859 -1.280  -1.001 -1.271  -1.142 -1.263
3#apb#apb15#app1545/4  -0.535 1.179  -0.633 1.042  -0.745 0.917  -0.852 0.789  -0.951 0.654  -1.046 0.516  -1.118 0.364  -1.189 0.213  -1.231 0.051  -1.244 -0.112  -1.152 -0.233  -0.991 -0.265  -0.824 -0.265  -0.659 -0.237  -0.496 -0.198  -0.333 -0.159  -0.167 -0.140  0.000 -0.133  0.168 -0.126  0.334 -0.110  0.501 -0.094  0.667 -0.072  0.833 -0.044  0.934 0.023  0.886 0.184  0.838 0.344  0.790 0.505  0.742 0.665  0.693 0.826  0.645 0.987  0.597 1.147  0.547 1.050  0.496 0.890  0.446 0.730  0.419 0.565  0.391 0.400  0.365 0.234  0.345 0.067  0.326 -0.099  0.307 -0.266  0.281 -0.431  0.256 -0.597  0.230 -0.763  0.206 -0.928  0.181 -1.094  0.157 -1.260  0.146 -1.427  0.146 -1.595  0.146 -1.762  0.146 -1.930
3#apb#apb15#app1545/5  -0.107 0.757  -0.056 0.627  -0.109 0.483  -0.172 0.344  -0.247 0.210  -0.273 0.065  -0.174 -0.046  -0.040 -0.120  0.095 -0.193  0.230 -0.265  0.365 -0.337  0.491 -0.422  0.604 -0.526  0.678 -0.656  0.696 -0.802  0.643 -0.939  0.530 -1.042  0.389 -1.090  0.238 -1.116  0.088 -1.142  -0.066 -1.142  -0.219 -1.142  -0.371 -1.131  -0.520 -1.098  -0.665 -1.054  -0.793 -0.969  -0.899 -0.878  -0.842 -0.736  -0.785 -0.594  -0.727 -0.452  -0.670 -0.310  -0.613 -0.168  -0.555 -0.026  -0.498 0.117  -0.441 0.259  -0.383 0.401  -0.326 0.543  -0.269 0.685  -0.211 0.827  -0.154 0.969  -0.056 1.072  0.083 1.137  0.232 1.165  0.384 1.187  0.536 1.209  0.687 1.229  0.839 1.249  0.991 1.268  1.143 1.288  1.295 1.307
3#apb#apb15#app1545/l  0.431 1.591  0.395 1.576  0.358 1.519  0.332 1.454  0.306 1.389  0.280 1.325  0.254 1.260  0.233 1.194  0.211 1.127  0.190 1.061  0.169 0.995  0.148 0.928  0.126 0.862  0.105 0.795  0.088 0.728  0.075 0.660  0.062 0.591  0.049 0.523  0.037 0.454  0.024 0.386  0.011 0.317  -0.001 0.249  -0.015 0.180  -0.029 0.112  -0.043 0.044  -0.057 -0.025  -0.071 -0.093  -0.085 -0.161  -0.100 -0.229  -0.114 -0.298  -0.127 -0.366  -0.134 -0.435  -0.141 -0.505  -0.148 -0.574  -0.154 -0.643  -0.161 -0.713  -0.168 -0.782  -0.175 -0.851  -0.182 -0.921  -0.185 -0.990  -0.185 -1.060  -0.185 -1.130  -0.185 -1.199  -0.185 -1.269  -0.185 -1.339  -0.182 -1.408  -0.178 -1.478  -0.174 -1.547  -0.169 -1.617  -0.165 -1.686
