3#apb#apb16#app1617/A  -0.059 1.123  -0.109 1.164  -0.141 0.926  -0.239 0.693  -0.326 0.454  -0.403 0.211  -0.488 -0.030  -0.576 -0.269  -0.678 -0.503  -0.808 -0.721  -0.943 -0.936  -1.023 -1.178  -1.009 -1.016  -0.914 -0.785  -0.780 -0.568  -0.654 -0.347  -0.540 -0.119  -0.423 0.108  -0.299 0.331  -0.179 0.556  -0.065 0.784  0.079 0.995  0.204 1.216  0.324 1.440  0.481 1.640  0.632 1.511  0.667 1.259  0.667 1.004  0.667 0.749  0.659 0.494  0.646 0.239  0.634 -0.016  0.621 -0.270  0.590 -0.524  0.566 -0.777  0.550 -1.032  0.504 -1.283  0.454 -1.532  0.323 -1.498  0.206 -1.271  0.088 -1.045  -0.029 -0.818  -0.146 -0.592  -0.264 -0.365  -0.306 -0.181  -0.096 -0.037  0.133 0.066  0.379 0.127  0.588 0.274  0.831 0.350
3#apb#apb16#app1617/B  -0.321 0.928  -0.275 0.835  -0.296 0.601  -0.381 0.379  -0.429 0.147  -0.485 -0.084  -0.564 -0.308  -0.630 -0.536  -0.688 -0.767  -0.750 -0.996  -0.821 -1.222  -0.748 -1.039  -0.687 -0.809  -0.627 -0.579  -0.567 -0.349  -0.507 -0.119  -0.446 0.111  -0.386 0.341  -0.326 0.571  -0.265 0.801  -0.205 1.031  -0.195 1.215  -0.036 1.350  0.148 1.447  0.386 1.453  0.612 1.408  0.772 1.233  0.912 1.059  0.895 0.823  0.852 0.589  0.760 0.377  0.584 0.219  0.388 0.085  0.184 -0.031  -0.054 -0.038  -0.274 -0.008  -0.039 0.019  0.193 0.052  0.428 0.020  0.657 -0.041  0.813 -0.199  0.861 -0.428  0.787 -0.647  0.658 -0.846  0.502 -1.023  0.318 -1.174  0.134 -1.324  -0.061 -1.460  -0.276 -1.549  -0.504 -1.516
3#apb#apb16#app1617/C  0.846 1.151  0.799 1.223  0.767 1.302  0.705 1.324  0.622 1.305  0.538 1.286  0.454 1.267  0.397 1.204  0.341 1.139  0.284 1.075  0.229 1.009  0.173 0.944  0.118 0.878  0.062 0.813  0.006 0.748  -0.050 0.683  -0.107 0.618  -0.163 0.554  -0.220 0.489  -0.276 0.425  -0.317 0.350  -0.354 0.272  -0.390 0.194  -0.427 0.117  -0.463 0.039  -0.483 -0.044  -0.496 -0.129  -0.509 -0.213  -0.521 -0.298  -0.534 -0.383  -0.539 -0.468  -0.520 -0.551  -0.500 -0.635  -0.481 -0.719  -0.448 -0.797  -0.407 -0.873  -0.366 -0.948  -0.326 -1.024  -0.255 -1.057  -0.171 -1.070  -0.086 -1.083  -0.001 -1.096  0.084 -1.108  0.169 -1.119  0.255 -1.123  0.341 -1.127  0.426 -1.130  0.512 -1.134  0.598 -1.138  0.684 -1.142
3#apb#apb16#app1617/D  -0.055 1.128  0.031 1.097  0.009 0.907  -0.049 0.722  -0.098 0.535  -0.139 0.346  -0.180 0.157  -0.254 -0.021  -0.330 -0.199  -0.413 -0.373  -0.506 -0.543  -0.600 -0.712  -0.680 -0.888  -0.781 -1.052  -0.811 -1.118  -0.753 -0.933  -0.695 -0.749  -0.636 -0.564  -0.578 -0.380  -0.520 -0.195  -0.462 -0.011  -0.404 0.173  -0.346 0.358  -0.287 0.542  -0.229 0.727  -0.171 0.911  -0.113 1.096  -0.072 1.281  0.088 1.256  0.280 1.251  0.462 1.184  0.634 1.098  0.794 0.991  0.925 0.853  1.006 0.677  1.035 0.490  1.024 0.298  0.970 0.113  0.908 -0.070  0.825 -0.245  0.742 -0.419  0.620 -0.568  0.494 -0.715  0.358 -0.853  0.222 -0.990  0.066 -1.104  -0.092 -1.215  -0.245 -1.333  -0.407 -1.438  -0.589 -1.501
3#apb#apb16#app1617/E  1.167 1.097  1.216 1.210  1.136 1.285  0.972 1.233  0.797 1.213  0.624 1.185  0.460 1.123  0.286 1.097  0.112 1.073  -0.059 1.046  -0.090 1.021  -0.132 0.907  -0.274 0.807  -0.398 0.688  -0.502 0.554  -0.589 0.401  -0.686 0.254  -0.758 0.094  -0.787 -0.078  -0.808 -0.253  -0.818 -0.429  -0.811 -0.604  -0.777 -0.775  -0.704 -0.935  -0.616 -1.079  -0.468 -1.173  -0.302 -1.186  -0.129 -1.157  0.047 -1.157  0.219 -1.132  0.387 -1.079  0.552 -1.021  0.701 -0.928  0.857 -0.846  0.836 -0.756  0.690 -0.657  0.545 -0.559  0.399 -0.460  0.253 -0.361  0.108 -0.263  -0.038 -0.164  -0.184 -0.065  -0.329 0.033  -0.475 0.132  -0.617 0.235  -0.518 0.149  -0.384 0.075  -0.210 0.048  -0.036 0.066  0.138 0.092
3#apb#apb16#app1617/F  1.518 1.236  1.437 1.128  1.347 1.092  1.221 1.056  1.085 1.056  0.949 1.055  0.814 1.040  0.681 1.019  0.550 0.983  0.418 0.953  0.282 0.953  0.147 0.944  0.013 0.922  -0.116 0.879  -0.126 0.751  -0.059 0.650  -0.049 0.515  -0.068 0.383  -0.111 0.254  -0.145 0.123  -0.174 -0.010  -0.228 -0.134  -0.284 -0.258  -0.326 -0.386  -0.359 -0.518  -0.392 -0.650  -0.440 -0.775  -0.505 -0.895  -0.568 -1.015  -0.611 -1.144  -0.656 -1.272  -0.691 -1.401  -0.678 -1.389  -0.643 -1.258  -0.608 -1.127  -0.573 -0.995  -0.538 -0.864  -0.503 -0.733  -0.468 -0.602  -0.432 -0.471  -0.397 -0.340  -0.362 -0.209  -0.327 -0.077  -0.253 0.002  -0.133 -0.054  0.002 -0.071  0.137 -0.087  0.272 -0.099  0.407 -0.087  0.542 -0.075
3#apb#apb16#app1617/G  0.341 1.286  0.406 1.380  0.270 1.391  0.138 1.318  0.007 1.243  -0.118 1.159  -0.227 1.056  -0.321 0.938  -0.430 0.835  -0.553 0.748  -0.654 0.638  -0.746 0.518  -0.827 0.392  -0.891 0.255  -0.955 0.119  -1.012 -0.021  -1.066 -0.162  -1.092 -0.309  -1.098 -0.459  -1.062 -0.605  -1.009 -0.747  -0.890 -0.819  -0.746 -0.864  -0.600 -0.903  -0.450 -0.913  -0.300 -0.913  -0.149 -0.907  0.002 -0.898  0.150 -0.875  0.292 -0.824  0.435 -0.777  0.582 -0.745  0.722 -0.688  0.826 -0.586  0.885 -0.447  0.945 -0.311  0.945 -0.161  0.988 -0.020  1.051 0.104  1.090 0.205  1.105 0.242  0.998 0.153  0.888 0.063  0.741 0.036  0.593 0.023  0.453 -0.031  0.303 -0.048  0.152 -0.051  0.001 -0.051  -0.112 0.036
3#apb#apb16#app1617/H  -0.353 1.068  -0.289 1.304  -0.246 1.318  -0.298 1.073  -0.334 0.824  -0.380 0.577  -0.437 0.332  -0.501 0.088  -0.587 -0.148  -0.688 -0.379  -0.780 -0.613  -0.864 -0.850  -0.952 -1.086  -1.039 -1.322  -1.084 -1.415  -0.936 -1.211  -0.789 -1.007  -0.643 -0.802  -0.496 -0.597  -0.349 -0.393  -0.202 -0.188  -0.055 0.016  0.091 0.221  0.238 0.425  0.385 0.630  0.532 0.835  0.679 1.039  0.825 1.244  0.972 1.448  1.063 1.266  0.957 1.042  0.901 0.797  0.821 0.558  0.777 0.311  0.710 0.070  0.623 -0.167  0.550 -0.407  0.480 -0.649  0.419 -0.893  0.366 -1.127  0.278 -1.101  0.148 -0.886  0.018 -0.670  -0.112 -0.454  -0.242 -0.239  -0.322 -0.084  -0.082 -0.020  0.167 0.012  0.406 0.083  0.655 0.124
3#apb#apb16#app1617/I  0.249 1.025  0.297 1.084  0.344 1.144  0.400 1.186  0.475 1.187  0.517 1.250  0.512 1.282  0.497 1.268  0.455 1.205  0.405 1.149  0.352 1.095  0.309 1.035  0.294 0.961  0.280 0.886  0.265 0.812  0.250 0.737  0.211 0.672  0.172 0.607  0.133 0.542  0.094 0.477  0.056 0.411  0.039 0.337  0.022 0.263  0.005 0.189  -0.012 0.115  -0.029 0.041  -0.049 -0.032  -0.071 -0.104  -0.094 -0.177  -0.117 -0.249  -0.139 -0.322  -0.162 -0.394  -0.185 -0.467  -0.204 -0.540  -0.218 -0.615  -0.231 -0.689  -0.244 -0.764  -0.257 -0.839  -0.270 -0.914  -0.284 -0.988  -0.297 -1.063  -0.321 -1.135  -0.345 -1.207  -0.369 -1.279  -0.393 -1.351  -0.417 -1.423  -0.442 -1.495  -0.469 -1.566  -0.496 -1.637  -0.522 -1.708
3#apb#apb16#app1617/J  0.396 0.393  0.478 0.452  0.518 0.417  0.507 0.286  0.512 0.149  0.525 0.013  0.520 -0.124  0.507 -0.260  0.494 -0.397  0.480 -0.533  0.459 -0.669  0.434 -0.803  0.383 -0.930  0.325 -1.054  0.253 -1.170  0.165 -1.269  0.054 -1.255  -0.073 -1.202  -0.197 -1.144  -0.320 -1.083  -0.415 -0.987  -0.507 -0.884  -0.603 -0.787  -0.717 -0.712  -0.826 -0.630  -0.938 -0.560  -1.003 -0.496  -0.950 -0.372  -0.895 -0.246  -0.839 -0.121  -0.784 0.005  -0.729 0.131  -0.674 0.256  -0.619 0.382  -0.564 0.507  -0.509 0.633  -0.454 0.759  -0.352 0.848  -0.238 0.911  -0.103 0.932  0.024 0.984  0.151 1.037  0.287 1.048  0.424 1.059  0.561 1.060  0.698 1.060  0.835 1.060  0.971 1.079  1.106 1.103  1.241 1.126
3#apb#apb16#app1617/K  -0.404 1.210  -0.377 1.417  -0.377 1.249  -0.458 1.045  -0.501 0.829  -0.575 0.621  -0.657 0.417  -0.709 0.203  -0.757 -0.013  -0.820 -0.224  -0.884 -0.435  -0.935 -0.650  -0.962 -0.868  -0.962 -1.088  -0.980 -1.307  -0.857 -1.224  -0.715 -1.056  -0.572 -0.887  -0.430 -0.719  -0.288 -0.550  -0.145 -0.382  -0.003 -0.213  0.139 -0.044  0.282 0.124  0.424 0.293  0.567 0.461  0.709 0.630  0.851 0.798  0.994 0.967  1.043 1.013  0.936 0.999  0.839 0.803  0.677 0.654  0.489 0.539  0.287 0.449  0.085 0.360  -0.120 0.279  -0.320 0.187  -0.505 0.071  -0.331 0.020  -0.186 -0.145  -0.046 -0.316  0.125 -0.455  0.295 -0.595  0.474 -0.710  0.694 -0.729  0.914 -0.744  1.134 -0.759  1.353 -0.738  1.565 -0.786
