3#apb#apb21#app2174/O  0.037 0.536  0.043 0.645  -0.100 0.612  -0.229 0.509  -0.345 0.389  -0.450 0.261  -0.536 0.118  -0.582 -0.041  -0.643 -0.195  -0.702 -0.350  -0.747 -0.510  -0.778 -0.673  -0.811 -0.836  -0.808 -1.001  -0.746 -1.155  -0.644 -1.285  -0.511 -1.385  -0.357 -1.446  -0.196 -1.474  -0.045 -1.413  0.090 -1.318  0.202 -1.196  0.314 -1.073  0.407 -0.936  0.494 -0.794  0.581 -0.652  0.637 -0.497  0.689 -0.338  0.740 -0.180  0.760 -0.016  0.769 0.150  0.778 0.316  0.759 0.480  0.733 0.645  0.693 0.803  0.598 0.940  0.503 1.076  0.373 1.179  0.237 1.272  0.076 1.312  -0.084 1.307  -0.234 1.244  -0.336 1.117  -0.345 0.951  -0.299 0.796  -0.225 0.647  -0.130 0.511  -0.027 0.381  0.118 0.310  0.275 0.257
3#apb#apb21#app2174/l  -1.089 -0.927  -1.140 -0.961  -1.017 -0.844  -0.888 -0.734  -0.749 -0.639  -0.602 -0.554  -0.468 -0.453  -0.360 -0.322  -0.252 -0.192  -0.139 -0.065  -0.026 0.062  0.070 0.201  0.157 0.346  0.241 0.493  0.317 0.645  0.394 0.796  0.478 0.944  0.549 1.097  0.602 1.258  0.632 1.424  0.512 1.500  0.358 1.429  0.214 1.345  0.089 1.231  -0.022 1.103  -0.127 0.970  -0.214 0.824  -0.301 0.679  -0.370 0.524  -0.436 0.368  -0.503 0.212  -0.527 0.044  -0.550 -0.124  -0.572 -0.292  -0.545 -0.460  -0.519 -0.627  -0.457 -0.779  -0.351 -0.912  -0.214 -0.991  -0.046 -1.016  0.118 -1.006  0.279 -0.953  0.440 -0.899  0.596 -0.836  0.738 -0.742  0.879 -0.648  1.020 -0.554  1.144 -0.438  1.267 -0.321  1.389 -0.204
3#apb#apb21#app2174/i  -1.049 -0.964  -1.094 -0.941  -1.015 -0.824  -0.923 -0.716  -0.822 -0.616  -0.732 -0.505  -0.648 -0.391  -0.566 -0.275  -0.487 -0.156  -0.409 -0.038  -0.333 0.082  -0.260 0.205  -0.236 0.336  -0.336 0.245  -0.405 0.120  -0.473 -0.005  -0.519 -0.139  -0.556 -0.276  -0.573 -0.417  -0.563 -0.555  -0.508 -0.687  -0.397 -0.761  -0.266 -0.815  -0.129 -0.847  0.013 -0.854  0.155 -0.855  0.293 -0.822  0.431 -0.789  0.565 -0.742  0.695 -0.684  0.825 -0.625  0.817 -0.498  0.786 -0.359  0.756 -0.220  0.725 -0.081  0.695 0.058  0.665 0.197  0.634 0.336  0.604 0.475  0.574 0.614  0.543 0.753  0.513 0.892  0.482 1.031  0.452 1.170  0.422 1.309  0.391 1.448  0.361 1.587  0.331 1.726  0.300 1.865  0.270 2.004
3#apb#apb21#app2174/v  -1.309 -0.819  -1.288 -0.694  -1.186 -0.580  -1.086 -0.463  -1.005 -0.333  -0.924 -0.203  -0.838 -0.076  -0.749 0.049  -0.663 0.175  -0.590 0.311  -0.519 0.446  -0.462 0.589  -0.425 0.737  -0.388 0.886  -0.415 0.802  -0.470 0.659  -0.514 0.513  -0.536 0.362  -0.559 0.210  -0.576 0.058  -0.589 -0.095  -0.569 -0.247  -0.549 -0.399  -0.482 -0.537  -0.410 -0.672  -0.312 -0.789  -0.209 -0.903  -0.070 -0.967  0.073 -1.000  0.223 -0.967  0.360 -0.910  0.473 -0.806  0.586 -0.702  0.672 -0.576  0.755 -0.446  0.802 -0.304  0.826 -0.152  0.850 -0.001  0.839 0.152  0.821 0.304  0.769 0.448  0.708 0.588  0.621 0.705  0.737 0.718  0.888 0.743  1.039 0.769  1.190 0.796  1.340 0.830  1.487 0.873  1.634 0.917
3#apb#apb21#app2174/i  -1.216 -1.037  -1.152 -0.941  -1.067 -0.815  -0.965 -0.701  -0.863 -0.588  -0.765 -0.472  -0.666 -0.356  -0.570 -0.238  -0.476 -0.118  -0.392 0.009  -0.309 0.137  -0.227 0.265  -0.168 0.405  -0.184 0.345  -0.270 0.219  -0.357 0.094  -0.444 -0.031  -0.503 -0.171  -0.557 -0.313  -0.583 -0.462  -0.564 -0.605  -0.477 -0.730  -0.345 -0.797  -0.202 -0.851  -0.054 -0.853  0.097 -0.832  0.248 -0.812  0.396 -0.774  0.543 -0.736  0.691 -0.698  0.829 -0.633  0.967 -0.568  0.978 -0.451  0.926 -0.308  0.873 -0.165  0.821 -0.022  0.768 0.121  0.716 0.264  0.664 0.407  0.611 0.550  0.559 0.693  0.506 0.836  0.454 0.979  0.401 1.123  0.349 1.266  0.297 1.409  0.244 1.552  0.192 1.695  0.139 1.838  0.106 1.871
3#apb#apb21#app2174/e  -1.519 -1.000  -1.371 -0.970  -1.250 -0.868  -1.104 -0.801  -0.958 -0.735  -0.820 -0.654  -0.681 -0.573  -0.544 -0.490  -0.409 -0.404  -0.274 -0.316  -0.161 -0.203  -0.047 -0.089  0.066 0.024  0.180 0.137  0.273 0.267  0.354 0.405  0.435 0.543  0.527 0.675  0.619 0.806  0.682 0.953  0.724 1.106  0.724 1.266  0.691 1.420  0.533 1.399  0.384 1.347  0.263 1.241  0.143 1.134  0.030 1.021  -0.084 0.907  -0.167 0.774  -0.228 0.626  -0.289 0.477  -0.345 0.327  -0.378 0.170  -0.411 0.013  -0.444 -0.144  -0.434 -0.300  -0.398 -0.457  -0.345 -0.601  -0.209 -0.685  -0.072 -0.769  0.073 -0.826  0.233 -0.833  0.393 -0.841  0.554 -0.848  0.711 -0.836  0.862 -0.781  1.013 -0.726  1.163 -0.672  1.314 -0.617
3#apb#apb21#app2174/r  -1.393 -0.684  -1.326 -0.603  -1.269 -0.492  -1.204 -0.384  -1.139 -0.277  -1.073 -0.170  -1.009 -0.062  -0.948 0.048  -0.887 0.158  -0.824 0.266  -0.750 0.368  -0.677 0.469  -0.603 0.571  -0.533 0.675  -0.463 0.779  -0.396 0.886  -0.330 0.992  -0.233 1.060  -0.141 0.993  -0.044 0.918  -0.005 0.799  -0.005 0.673  -0.005 0.548  -0.037 0.427  -0.077 0.308  -0.113 0.188  -0.147 0.067  -0.172 -0.056  -0.189 -0.180  -0.199 -0.304  -0.164 -0.425  -0.130 -0.545  -0.029 -0.610  0.085 -0.663  0.201 -0.703  0.326 -0.698  0.452 -0.692  0.577 -0.687  0.694 -0.650  0.806 -0.592  0.917 -0.534  1.028 -0.476  1.131 -0.406  1.225 -0.322  1.318 -0.238  1.412 -0.154  1.491 -0.059  1.554 0.050  1.617 0.158  1.680 0.267
3#apb#apb21#app2174/P  -0.071 0.355  0.055 0.395  0.037 0.208  -0.002 0.024  -0.059 -0.156  -0.125 -0.332  -0.194 -0.508  -0.251 -0.687  -0.304 -0.868  -0.365 -1.046  -0.433 -1.223  -0.483 -1.404  -0.521 -1.508  -0.562 -1.324  -0.603 -1.140  -0.644 -0.956  -0.686 -0.772  -0.727 -0.588  -0.768 -0.404  -0.809 -0.220  -0.850 -0.036  -0.892 0.148  -0.933 0.332  -0.926 0.512  -0.807 0.651  -0.647 0.751  -0.477 0.832  -0.303 0.903  -0.120 0.949  0.064 0.990  0.251 1.015  0.438 1.040  0.623 1.023  0.808 0.987  0.988 0.934  1.163 0.863  1.296 0.745  1.389 0.580  1.371 0.394  1.308 0.223  1.183 0.087  1.011 0.010  0.836 -0.058  0.654 -0.111  0.473 -0.163  0.291 -0.211  0.108 -0.257  -0.076 -0.298  -0.262 -0.329  -0.449 -0.353
3#apb#apb21#app2174/a  0.109 0.062  0.273 0.131  0.415 0.249  0.531 0.392  0.630 0.547  0.704 0.716  0.713 0.896  0.668 1.076  0.504 1.153  0.323 1.176  0.141 1.158  -0.036 1.105  -0.199 1.022  -0.353 0.920  -0.500 0.810  -0.616 0.665  -0.731 0.521  -0.847 0.376  -0.948 0.221  -1.048 0.066  -1.149 -0.089  -1.227 -0.255  -1.290 -0.429  -1.344 -0.604  -1.307 -0.783  -1.176 -0.914  -1.010 -0.960  -0.825 -0.960  -0.647 -0.925  -0.478 -0.851  -0.308 -0.777  -0.148 -0.686  0.004 -0.581  0.156 -0.475  0.261 -0.325  0.361 -0.169  0.460 -0.013  0.550 0.149  0.604 0.320  0.522 0.280  0.464 0.104  0.422 -0.076  0.393 -0.256  0.501 -0.406  0.644 -0.515  0.809 -0.598  0.981 -0.644  1.165 -0.625  1.349 -0.607  1.533 -0.589
3#apb#apb21#app2174/b  -1.320 -0.858  -1.234 -0.932  -1.071 -0.834  -0.921 -0.715  -0.770 -0.598  -0.621 -0.479  -0.481 -0.348  -0.342 -0.217  -0.221 -0.069  -0.101 0.080  0.021 0.228  0.142 0.375  0.248 0.534  0.344 0.699  0.436 0.867  0.522 1.038  0.600 1.212  0.655 1.393  0.646 1.581  0.466 1.540  0.293 1.457  0.164 1.319  0.047 1.168  -0.049 1.003  -0.147 0.838  -0.246 0.675  -0.346 0.512  -0.430 0.341  -0.490 0.160  -0.551 -0.021  -0.607 -0.204  -0.623 -0.394  -0.638 -0.585  -0.602 -0.768  -0.531 -0.945  -0.370 -1.043  -0.187 -1.077  0.004 -1.077  0.172 -0.992  0.335 -0.893  0.485 -0.774  0.624 -0.646  0.715 -0.478  0.776 -0.298  0.745 -0.124  0.626 -0.207  0.673 -0.382  0.864 -0.382  1.053 -0.356  1.241 -0.322
3#apb#apb21#app2174/l  -1.315 -1.183  -1.218 -1.099  -1.077 -1.023  -0.945 -0.932  -0.813 -0.840  -0.690 -0.738  -0.566 -0.635  -0.448 -0.526  -0.334 -0.413  -0.221 -0.299  -0.110 -0.183  -0.008 -0.059  0.094 0.065  0.196 0.189  0.284 0.323  0.372 0.458  0.460 0.592  0.542 0.730  0.625 0.868  0.705 1.007  0.781 1.149  0.840 1.298  0.810 1.445  0.663 1.470  0.530 1.395  0.402 1.297  0.279 1.196  0.178 1.071  0.078 0.945  -0.019 0.817  -0.117 0.690  -0.190 0.548  -0.257 0.402  -0.324 0.256  -0.365 0.101  -0.402 -0.056  -0.437 -0.212  -0.437 -0.373  -0.437 -0.533  -0.398 -0.686  -0.330 -0.831  -0.203 -0.918  -0.058 -0.986  0.101 -0.970  0.260 -0.949  0.414 -0.911  0.562 -0.847  0.710 -0.784  0.848 -0.703  0.986 -0.620
