3#apb#apb25#app2570/a  0.547 -0.184  0.572 -0.045  0.611 0.128  0.645 0.304  0.693 0.476  0.652 0.649  0.607 0.822  0.556 0.993  0.476 1.154  0.340 1.270  0.187 1.362  0.013 1.384  -0.156 1.343  -0.315 1.260  -0.468 1.168  -0.585 1.038  -0.682 0.887  -0.768 0.731  -0.832 0.564  -0.883 0.393  -0.914 0.216  -0.946 0.040  -0.957 -0.139  -0.969 -0.317  -0.947 -0.495  -0.922 -0.672  -0.855 -0.838  -0.778 -0.998  -0.651 -1.125  -0.490 -1.193  -0.319 -1.210  -0.149 -1.153  -0.014 -1.036  0.102 -0.901  0.200 -0.752  0.271 -0.587  0.291 -0.409  0.298 -0.231  0.298 -0.051  0.298 0.128  0.283 0.299  0.338 0.164  0.392 -0.007  0.443 -0.178  0.495 -0.350  0.574 -0.511  0.662 -0.666  0.776 -0.802  0.914 -0.916  1.069 -1.004
3#apb#apb25#app2570/b  -0.558 1.647  -0.620 1.792  -0.624 1.651  -0.624 1.493  -0.594 1.339  -0.553 1.187  -0.527 1.032  -0.510 0.875  -0.494 0.718  -0.484 0.561  -0.476 0.403  -0.466 0.246  -0.457 0.088  -0.449 -0.069  -0.449 -0.227  -0.449 -0.385  -0.449 -0.542  -0.455 -0.674  -0.471 -0.520  -0.471 -0.362  -0.433 -0.211  -0.378 -0.063  -0.314 0.081  -0.226 0.211  -0.121 0.324  0.028 0.376  0.176 0.427  0.334 0.438  0.489 0.439  0.637 0.383  0.777 0.315  0.894 0.209  0.994 0.091  1.065 -0.050  1.114 -0.199  1.142 -0.354  1.106 -0.507  1.052 -0.652  0.954 -0.775  0.834 -0.873  0.693 -0.944  0.548 -0.999  0.392 -1.024  0.236 -1.049  0.079 -1.051  -0.078 -1.042  -0.234 -1.026  -0.383 -0.973  -0.530 -0.917  -0.667 -0.839
3#apb#apb25#app2570/c  0.581 0.113  0.555 0.016  0.609 0.089  0.685 0.181  0.685 0.303  0.685 0.426  0.679 0.548  0.661 0.669  0.601 0.773  0.533 0.875  0.447 0.960  0.347 1.030  0.247 1.100  0.128 1.127  0.008 1.151  -0.113 1.144  -0.234 1.126  -0.338 1.062  -0.441 0.995  -0.522 0.904  -0.603 0.812  -0.663 0.709  -0.699 0.592  -0.735 0.475  -0.758 0.355  -0.772 0.233  -0.787 0.112  -0.801 -0.010  -0.787 -0.131  -0.771 -0.253  -0.754 -0.374  -0.724 -0.492  -0.688 -0.609  -0.652 -0.726  -0.567 -0.809  -0.470 -0.884  -0.367 -0.948  -0.253 -0.994  -0.140 -1.039  -0.026 -1.085  0.096 -1.081  0.218 -1.074  0.340 -1.067  0.461 -1.056  0.572 -1.004  0.683 -0.952  0.794 -0.899  0.905 -0.848  1.017 -0.798  1.128 -0.748
3#apb#apb25#app2570/d  -0.095 -0.429  0.042 -0.269  0.169 -0.087  0.222 0.130  0.211 0.350  0.066 0.516  -0.124 0.628  -0.341 0.679  -0.564 0.695  -0.769 0.613  -0.936 0.469  -1.071 0.293  -1.181 0.098  -1.232 -0.119  -1.248 -0.338  -1.211 -0.558  -1.132 -0.767  -1.005 -0.943  -0.832 -1.080  -0.624 -1.163  -0.405 -1.187  -0.183 -1.173  0.036 -1.132  0.231 -1.026  0.407 -0.890  0.543 -0.718  0.626 -0.511  0.654 -0.291  0.656 -0.068  0.636 0.154  0.603 0.374  0.541 0.589  0.487 0.806  0.448 1.026  0.379 1.237  0.279 1.435  0.191 1.611  0.172 1.389  0.172 1.166  0.211 0.947  0.259 0.729  0.303 0.510  0.347 0.291  0.391 0.071  0.442 -0.146  0.505 -0.360  0.561 -0.576  0.624 -0.790  0.711 -0.996  0.827 -1.187
3#apb#apb25#app2570/e  -0.788 0.202  -0.726 0.055  -0.593 -0.034  -0.447 -0.098  -0.296 -0.152  -0.142 -0.196  0.015 -0.174  0.173 -0.145  0.313 -0.070  0.445 0.021  0.564 0.126  0.636 0.269  0.697 0.417  0.748 0.569  0.746 0.726  0.722 0.884  0.666 1.034  0.574 1.161  0.455 1.264  0.296 1.280  0.138 1.277  -0.017 1.235  -0.163 1.177  -0.288 1.077  -0.413 0.977  -0.501 0.843  -0.587 0.708  -0.674 0.574  -0.725 0.422  -0.775 0.270  -0.815 0.116  -0.805 -0.043  -0.795 -0.203  -0.775 -0.361  -0.731 -0.515  -0.687 -0.669  -0.599 -0.799  -0.493 -0.919  -0.365 -1.010  -0.220 -1.077  -0.074 -1.144  0.086 -1.146  0.246 -1.146  0.405 -1.138  0.553 -1.079  0.702 -1.019  0.852 -0.963  1.005 -0.917  1.157 -0.865  1.304 -0.802
3#apb#apb25#app2570/f  0.600 0.668  0.631 0.699  0.656 0.868  0.611 1.034  0.502 1.170  0.370 1.280  0.227 1.379  0.062 1.432  -0.106 1.478  -0.275 1.513  -0.441 1.491  -0.552 1.366  -0.578 1.194  -0.568 1.021  -0.548 0.848  -0.485 0.687  -0.419 0.526  -0.352 0.365  -0.284 0.205  -0.215 0.046  -0.149 -0.115  -0.083 -0.276  -0.005 -0.430  0.098 -0.570  0.201 -0.710  0.294 -0.857  0.385 -1.005  0.483 -1.148  0.589 -1.286  0.689 -1.429  0.699 -1.424  0.561 -1.318  0.426 -1.209  0.290 -1.100  0.155 -0.991  0.020 -0.882  -0.115 -0.772  -0.251 -0.663  -0.386 -0.554  -0.521 -0.444  -0.656 -0.335  -0.792 -0.226  -0.702 -0.208  -0.528 -0.215  -0.354 -0.215  -0.180 -0.215  -0.006 -0.215  0.164 -0.186  0.334 -0.150  0.506 -0.121
3#apb#apb25#app2570/g  0.248 0.750  0.262 0.920  0.195 1.077  0.123 1.231  -0.003 1.347  -0.170 1.339  -0.320 1.258  -0.429 1.129  -0.493 0.971  -0.486 0.806  -0.400 0.658  -0.253 0.584  -0.082 0.574  0.067 0.649  0.192 0.764  0.235 0.928  0.254 0.822  0.324 0.665  0.393 0.507  0.461 0.349  0.527 0.190  0.588 0.028  0.647 -0.133  0.698 -0.298  0.743 -0.464  0.774 -0.634  0.782 -0.805  0.772 -0.977  0.711 -1.138  0.602 -1.267  0.461 -1.356  0.294 -1.400  0.122 -1.398  -0.049 -1.382  -0.214 -1.335  -0.369 -1.262  -0.513 -1.168  -0.635 -1.048  -0.743 -0.915  -0.803 -0.754  -0.829 -0.586  -0.829 -0.413  -0.771 -0.255  -0.691 -0.102  -0.589 0.034  -0.471 0.160  -0.323 0.242  -0.163 0.305  -0.003 0.369  0.156 0.435
3#apb#apb25#app2570/h  -0.566 1.512  -0.630 1.640  -0.664 1.757  -0.701 1.621  -0.679 1.479  -0.656 1.338  -0.617 1.199  -0.579 1.061  -0.541 0.922  -0.508 0.782  -0.474 0.642  -0.441 0.503  -0.410 0.362  -0.380 0.222  -0.350 0.081  -0.321 -0.060  -0.293 -0.201  -0.265 -0.342  -0.236 -0.482  -0.199 -0.621  -0.162 -0.760  -0.137 -0.901  -0.120 -1.044  -0.100 -1.186  -0.100 -1.095  -0.139 -0.957  -0.173 -0.818  -0.206 -0.678  -0.235 -0.537  -0.263 -0.396  -0.249 -0.253  -0.223 -0.112  -0.177 0.024  -0.107 0.141  0.012 0.221  0.132 0.301  0.276 0.301  0.403 0.239  0.527 0.166  0.632 0.071  0.725 -0.039  0.817 -0.148  0.889 -0.272  0.957 -0.399  1.012 -0.531  1.052 -0.669  1.089 -0.808  1.113 -0.950  1.134 -1.092  1.134 -1.235
3#apb#apb25#app2570/i  -0.259 0.526  -0.239 0.525  -0.192 0.411  -0.142 0.298  -0.102 0.182  -0.079 0.061  -0.056 -0.060  -0.034 -0.182  -0.009 -0.303  0.019 -0.423  0.047 -0.543  0.068 -0.664  0.068 -0.788  0.068 -0.911  0.095 -1.030  0.141 -1.144  0.187 -1.259  0.268 -1.352  0.350 -1.444  0.424 -1.520  0.398 -1.399  0.372 -1.279  0.346 -1.158  0.320 -1.037  0.294 -0.916  0.269 -0.796  0.243 -0.675  0.217 -0.554  0.191 -0.433  0.165 -0.313  0.139 -0.192  0.113 -0.071  0.087 0.050  0.062 0.170  0.036 0.291  0.010 0.412  -0.016 0.533  -0.042 0.653  -0.068 0.774  -0.094 0.895  -0.120 1.016  -0.145 1.136  -0.171 1.257  -0.197 1.378  -0.261 1.482  -0.338 1.575  -0.450 1.624  -0.556 1.687  -0.661 1.732  -0.766 1.777
3#apb#apb25#app2570/j  -0.058 0.735  0.019 0.713  0.109 0.626  0.201 0.540  0.293 0.455  0.384 0.369  0.475 0.283  0.562 0.194  0.648 0.103  0.734 0.012  0.801 -0.094  0.865 -0.201  0.919 -0.313  0.955 -0.433  0.964 -0.554  0.933 -0.675  0.869 -0.778  0.781 -0.866  0.679 -0.936  0.567 -0.992  0.454 -1.046  0.334 -1.079  0.213 -1.112  0.091 -1.111  -0.031 -1.085  -0.152 -1.051  -0.269 -1.007  -0.367 -0.935  -0.451 -0.843  -0.465 -0.720  -0.473 -0.595  -0.482 -0.470  -0.490 -0.345  -0.498 -0.220  -0.506 -0.096  -0.515 0.029  -0.523 0.154  -0.531 0.279  -0.539 0.404  -0.548 0.529  -0.556 0.654  -0.564 0.779  -0.573 0.904  -0.581 1.029  -0.589 1.153  -0.597 1.278  -0.606 1.403  -0.614 1.528  -0.622 1.653  -0.650 1.754
3#apb#apb25#app2570/k  -0.997 1.496  -0.917 1.552  -0.837 1.357  -0.785 1.148  -0.723 0.942  -0.659 0.737  -0.602 0.530  -0.557 0.319  -0.511 0.109  -0.474 -0.103  -0.441 -0.315  -0.417 -0.529  -0.403 -0.744  -0.374 -0.956  -0.361 -1.168  -0.325 -1.218  -0.236 -1.023  -0.147 -0.827  -0.058 -0.631  0.031 -0.435  0.120 -0.239  0.209 -0.043  0.298 0.153  0.387 0.348  0.476 0.544  0.565 0.740  0.654 0.936  0.743 1.132  0.669 1.097  0.507 0.955  0.367 0.792  0.228 0.628  0.058 0.496  -0.113 0.366  -0.289 0.242  -0.471 0.127  -0.672 0.051  -0.695 -0.118  -0.515 -0.236  -0.333 -0.351  -0.145 -0.455  0.045 -0.556  0.246 -0.632  0.449 -0.703  0.652 -0.774  0.855 -0.845  1.058 -0.917  1.269 -0.958  1.481 -0.997  1.694 -1.021
