3#apb#apb27#app2741/a  0.097 0.847  0.272 0.948  0.402 1.092  0.535 1.209  0.414 1.234  0.260 1.103  0.100 0.981  -0.071 0.872  -0.220 0.737  -0.363 0.594  -0.506 0.451  -0.649 0.308  -0.790 0.164  -0.911 0.002  -1.032 -0.159  -1.131 -0.334  -1.209 -0.520  -1.254 -0.717  -1.236 -0.911  -1.152 -1.093  -0.994 -1.214  -0.796 -1.203  -0.608 -1.128  -0.457 -0.998  -0.314 -0.855  -0.175 -0.709  -0.037 -0.561  0.101 -0.413  0.231 -0.258  0.361 -0.104  0.491 0.051  0.604 0.218  0.714 0.388  0.825 0.557  0.931 0.729  1.037 0.901  1.020 0.930  0.894 0.772  0.777 0.607  0.663 0.441  0.557 0.269  0.466 0.089  0.376 -0.092  0.290 -0.275  0.209 -0.460  0.136 -0.648  0.097 -0.845  0.165 -1.014  0.344 -1.024  0.536 -0.960
3#apb#apb27#app2741/b  -0.875 -0.867  -1.019 -0.908  -0.970 -0.739  -0.874 -0.588  -0.758 -0.451  -0.638 -0.317  -0.514 -0.187  -0.394 -0.054  -0.281 0.086  -0.168 0.226  -0.046 0.357  0.084 0.481  0.215 0.605  0.333 0.739  0.444 0.880  0.555 1.021  0.664 1.164  0.773 1.307  0.865 1.461  0.856 1.595  0.719 1.482  0.596 1.350  0.485 1.210  0.383 1.062  0.281 0.914  0.179 0.766  0.076 0.619  -0.021 0.468  -0.108 0.311  -0.195 0.154  -0.278 -0.005  -0.350 -0.170  -0.421 -0.335  -0.493 -0.500  -0.546 -0.671  -0.598 -0.843  -0.614 -1.019  -0.583 -1.193  -0.456 -1.292  -0.277 -1.291  -0.118 -1.226  0.021 -1.112  0.159 -0.997  0.284 -0.869  0.394 -0.727  0.497 -0.580  0.510 -0.419  0.578 -0.379  0.743 -0.308  0.897 -0.216
3#apb#apb27#app2741/c  0.696 0.723  0.767 0.794  0.850 0.847  0.885 0.937  0.820 0.995  0.744 1.038  0.644 1.038  0.545 1.031  0.450 1.002  0.354 0.974  0.258 0.945  0.165 0.911  0.071 0.877  -0.023 0.843  -0.114 0.804  -0.200 0.753  -0.286 0.702  -0.371 0.650  -0.459 0.603  -0.548 0.558  -0.637 0.514  -0.693 0.435  -0.738 0.346  -0.782 0.257  -0.827 0.168  -0.830 0.077  -0.793 -0.016  -0.756 -0.108  -0.717 -0.200  -0.666 -0.286  -0.614 -0.371  -0.563 -0.457  -0.505 -0.538  -0.439 -0.612  -0.373 -0.687  -0.307 -0.762  -0.229 -0.823  -0.144 -0.876  -0.060 -0.928  0.026 -0.979  0.114 -1.027  0.201 -1.075  0.292 -1.113  0.390 -1.132  0.488 -1.152  0.586 -1.166  0.684 -1.151  0.783 -1.136  0.881 -1.121  0.980 -1.105
3#apb#apb27#app2741/d  0.724 1.818  0.755 1.924  0.707 1.772  0.680 1.611  0.659 1.450  0.649 1.287  0.623 1.127  0.586 0.969  0.552 0.809  0.524 0.649  0.494 0.489  0.460 0.329  0.427 0.170  0.375 0.016  0.321 -0.138  0.301 -0.300  0.280 -0.461  0.251 -0.622  0.242 -0.784  0.245 -0.922  0.284 -0.764  0.312 -0.604  0.322 -0.442  0.319 -0.279  0.276 -0.122  0.198 0.019  0.091 0.141  -0.050 0.200  -0.213 0.207  -0.375 0.194  -0.535 0.168  -0.695 0.136  -0.843 0.070  -0.989 -0.003  -1.129 -0.085  -1.253 -0.188  -1.285 -0.330  -1.216 -0.473  -1.114 -0.600  -0.971 -0.674  -0.821 -0.739  -0.663 -0.778  -0.505 -0.814  -0.342 -0.814  -0.179 -0.814  -0.016 -0.806  0.146 -0.796  0.304 -0.757  0.463 -0.733  0.624 -0.713
3#apb#apb27#app2741/e  -1.078 -1.001  -1.047 -0.878  -0.931 -0.767  -0.796 -0.666  -0.657 -0.571  -0.511 -0.488  -0.388 -0.373  -0.269 -0.254  -0.135 -0.153  0.003 -0.057  0.142 0.038  0.282 0.132  0.422 0.225  0.536 0.348  0.648 0.474  0.758 0.601  0.867 0.730  0.942 0.881  0.968 1.035  0.900 1.185  0.758 1.250  0.590 1.244  0.423 1.228  0.264 1.181  0.113 1.106  -0.037 1.029  -0.170 0.926  -0.304 0.823  -0.436 0.720  -0.549 0.594  -0.661 0.469  -0.742 0.325  -0.799 0.166  -0.831 0.004  -0.831 -0.165  -0.825 -0.331  -0.726 -0.467  -0.627 -0.604  -0.497 -0.702  -0.344 -0.771  -0.187 -0.830  -0.023 -0.868  0.142 -0.906  0.310 -0.909  0.478 -0.909  0.644 -0.889  0.808 -0.851  0.972 -0.812  1.135 -0.768  1.297 -0.724
3#apb#apb27#app2741/f  -0.351 -0.244  -0.243 -0.130  -0.145 -0.007  -0.039 0.109  0.065 0.227  0.166 0.347  0.257 0.476  0.349 0.604  0.449 0.725  0.548 0.847  0.631 0.981  0.713 1.115  0.790 1.252  0.840 1.399  0.867 1.554  0.767 1.488  0.668 1.366  0.572 1.241  0.484 1.111  0.397 0.980  0.309 0.849  0.222 0.718  0.135 0.587  0.049 0.455  -0.026 0.317  -0.101 0.178  -0.176 0.040  -0.249 -0.099  -0.319 -0.240  -0.390 -0.381  -0.460 -0.521  -0.529 -0.663  -0.597 -0.805  -0.663 -0.948  -0.703 -1.100  -0.733 -1.253  -0.728 -1.410  -0.653 -1.522  -0.499 -1.496  -0.385 -1.401  -0.293 -1.274  -0.182 -1.162  -0.092 -1.034  -0.023 -0.893  0.020 -0.742  0.021 -0.586  -0.032 -0.441  -0.125 -0.316  -0.233 -0.201  -0.351 -0.098
3#apb#apb27#app2741/g  0.600 0.920  0.526 1.044  0.395 1.106  0.258 1.155  0.115 1.164  -0.030 1.159  -0.174 1.140  -0.309 1.097  -0.434 1.022  -0.558 0.947  -0.651 0.841  -0.721 0.714  -0.760 0.577  -0.729 0.439  -0.624 0.347  -0.480 0.329  -0.336 0.339  -0.198 0.378  -0.066 0.437  0.071 0.487  0.197 0.556  0.320 0.635  0.441 0.713  0.489 0.804  0.408 0.686  0.408 0.541  0.408 0.396  0.408 0.251  0.408 0.105  0.408 -0.040  0.408 -0.185  0.408 -0.330  0.408 -0.475  0.399 -0.620  0.381 -0.764  0.368 -0.908  0.359 -1.053  0.328 -1.194  0.282 -1.332  0.224 -1.464  0.123 -1.567  -0.004 -1.560  -0.131 -1.492  -0.246 -1.407  -0.349 -1.305  -0.436 -1.189  -0.514 -1.067  -0.569 -0.933  -0.606 -0.793  -0.621 -0.649
3#apb#apb27#app2741/h  0.242 2.051  0.175 1.938  0.152 1.785  0.135 1.631  0.114 1.477  0.083 1.325  0.041 1.176  -0.008 1.029  -0.060 0.883  -0.114 0.737  -0.167 0.591  -0.223 0.447  -0.290 0.306  -0.356 0.166  -0.422 0.026  -0.486 -0.116  -0.550 -0.257  -0.610 -0.400  -0.663 -0.546  -0.717 -0.692  -0.764 -0.839  -0.806 -0.988  -0.806 -1.143  -0.749 -1.273  -0.628 -1.194  -0.541 -1.065  -0.450 -0.940  -0.364 -0.811  -0.287 -0.676  -0.212 -0.540  -0.143 -0.401  -0.073 -0.262  0.005 -0.129  0.088 0.003  0.175 0.131  0.273 0.251  0.383 0.359  0.517 0.437  0.656 0.390  0.750 0.270  0.808 0.127  0.824 -0.021  0.788 -0.171  0.731 -0.315  0.662 -0.454  0.580 -0.586  0.534 -0.732  0.519 -0.886  0.555 -1.023  0.697 -1.076
3#apb#apb27#app2741/i  0.098 0.139  0.133 0.263  0.166 0.387  0.133 0.296  0.082 0.178  0.034 0.059  -0.014 -0.060  -0.057 -0.182  -0.099 -0.303  -0.142 -0.424  -0.180 -0.547  -0.216 -0.671  -0.252 -0.794  -0.283 -0.919  -0.312 -1.044  -0.336 -1.170  -0.352 -1.298  -0.353 -1.427  -0.330 -1.546  -0.257 -1.541  -0.233 -1.414  -0.209 -1.288  -0.185 -1.162  -0.161 -1.035  -0.137 -0.909  -0.113 -0.783  -0.089 -0.656  -0.065 -0.530  -0.041 -0.403  -0.017 -0.277  0.006 -0.151  0.030 -0.024  0.054 0.102  0.078 0.229  0.102 0.355  0.126 0.481  0.150 0.608  0.174 0.734  0.198 0.861  0.222 0.987  0.246 1.113  0.270 1.240  0.293 1.366  0.317 1.492  0.341 1.619  0.365 1.745  0.278 1.724  0.205 1.648  0.165 1.530  0.165 1.402
3#apb#apb27#app2741/j  0.462 0.898  0.431 0.963  0.387 0.832  0.351 0.699  0.323 0.564  0.293 0.429  0.262 0.295  0.236 0.160  0.222 0.022  0.208 -0.115  0.189 -0.252  0.169 -0.388  0.146 -0.524  0.121 -0.660  0.107 -0.797  0.098 -0.935  0.088 -1.072  0.073 -1.209  0.049 -1.345  0.034 -1.483  -0.022 -1.485  -0.120 -1.387  -0.212 -1.284  -0.309 -1.186  -0.411 -1.093  -0.502 -0.990  -0.585 -0.880  -0.660 -0.764  -0.692 -0.680  -0.600 -0.600  -0.543 -0.475  -0.485 -0.349  -0.428 -0.223  -0.371 -0.098  -0.314 0.028  -0.257 0.153  -0.200 0.279  -0.142 0.405  -0.085 0.530  -0.028 0.656  0.029 0.782  0.086 0.907  0.144 1.033  0.201 1.159  0.258 1.284  0.315 1.410  0.372 1.535  0.429 1.661  0.487 1.787  0.398 1.801
3#apb#apb27#app2741/k  -0.069 2.181  -0.081 1.978  -0.112 1.778  -0.167 1.582  -0.221 1.387  -0.244 1.185  -0.264 0.983  -0.286 0.781  -0.310 0.579  -0.333 0.377  -0.351 0.175  -0.369 -0.027  -0.395 -0.229  -0.439 -0.427  -0.483 -0.625  -0.526 -0.824  -0.567 -1.023  -0.592 -1.224  -0.566 -1.424  -0.412 -1.403  -0.306 -1.245  -0.314 -1.042  -0.322 -0.839  -0.331 -0.636  -0.339 -0.433  -0.347 -0.230  -0.355 -0.027  -0.221 0.106  -0.045 0.206  0.144 0.279  0.333 0.349  0.502 0.461  0.695 0.518  0.883 0.592  1.074 0.656  0.962 0.578  0.788 0.473  0.614 0.369  0.440 0.264  0.265 0.160  0.091 0.055  -0.069 -0.057  -0.068 -0.261  -0.041 -0.462  0.072 -0.631  0.196 -0.791  0.348 -0.921  0.530 -1.010  0.712 -1.097  0.898 -1.165
