3#apb#apb28#app2814/B  -0.095 0.673  -0.107 0.665  -0.193 0.481  -0.266 0.291  -0.336 0.100  -0.406 -0.091  -0.484 -0.278  -0.564 -0.465  -0.644 -0.652  -0.716 -0.842  -0.816 -1.010  -0.824 -0.937  -0.775 -0.741  -0.715 -0.547  -0.655 -0.353  -0.592 -0.159  -0.530 0.034  -0.467 0.227  -0.386 0.414  -0.302 0.599  -0.217 0.784  -0.130 0.967  -0.039 1.149  0.061 1.323  0.222 1.447  0.405 1.527  0.600 1.528  0.712 1.392  0.706 1.193  0.664 0.994  0.611 0.798  0.551 0.604  0.460 0.422  0.341 0.263  0.388 0.132  0.536 -0.008  0.691 -0.139  0.832 -0.280  0.922 -0.462  0.939 -0.665  0.861 -0.849  0.721 -0.994  0.553 -1.102  0.360 -1.164  0.162 -1.205  -0.039 -1.172  -0.233 -1.118  -0.412 -1.023  -0.591 -0.926  -0.767 -0.823
3#apb#apb28#app2814/O  0.674 1.476  0.560 1.401  0.463 1.307  0.379 1.200  0.294 1.093  0.209 0.986  0.125 0.879  0.041 0.771  -0.042 0.662  -0.125 0.554  -0.209 0.446  -0.292 0.338  -0.375 0.230  -0.453 0.118  -0.514 -0.004  -0.575 -0.126  -0.636 -0.248  -0.698 -0.370  -0.759 -0.492  -0.803 -0.619  -0.827 -0.754  -0.851 -0.888  -0.875 -1.023  -0.861 -1.159  -0.847 -1.294  -0.711 -1.295  -0.579 -1.272  -0.454 -1.218  -0.329 -1.163  -0.204 -1.108  -0.115 -1.006  -0.029 -0.900  0.058 -0.795  0.144 -0.689  0.231 -0.584  0.311 -0.474  0.376 -0.354  0.441 -0.234  0.506 -0.114  0.571 0.006  0.636 0.126  0.687 0.253  0.735 0.381  0.783 0.508  0.810 0.640  0.810 0.777  0.737 0.888  0.646 0.989  0.533 1.059  0.402 1.096
3#apb#apb28#app2814/I  0.033 1.235  0.108 1.240  0.184 1.246  0.259 1.252  0.335 1.258  0.407 1.251  0.473 1.213  0.539 1.176  0.577 1.123  0.574 1.048  0.570 0.972  0.566 0.896  0.562 0.821  0.558 0.745  0.555 0.670  0.545 0.596  0.506 0.531  0.467 0.466  0.428 0.401  0.389 0.336  0.350 0.271  0.311 0.207  0.272 0.142  0.234 0.077  0.195 0.012  0.156 -0.053  0.114 -0.116  0.071 -0.178  0.027 -0.240  -0.016 -0.303  -0.059 -0.365  -0.102 -0.427  -0.145 -0.489  -0.189 -0.551  -0.232 -0.613  -0.275 -0.675  -0.323 -0.734  -0.375 -0.789  -0.427 -0.844  -0.479 -0.899  -0.531 -0.954  -0.582 -1.009  -0.634 -1.064  -0.686 -1.119  -0.739 -1.174  -0.797 -1.222  -0.856 -1.270  -0.915 -1.317  -0.973 -1.365  -1.032 -1.413
3#apb#apb28#app2814/S  0.496 1.716  0.414 1.658  0.344 1.576  0.273 1.494  0.197 1.417  0.120 1.340  0.044 1.264  -0.033 1.187  -0.109 1.110  -0.189 1.037  -0.272 0.968  -0.356 0.899  -0.440 0.831  -0.520 0.760  -0.540 0.653  -0.559 0.547  -0.578 0.440  -0.563 0.336  -0.531 0.232  -0.499 0.128  -0.467 0.025  -0.397 -0.046  -0.299 -0.091  -0.201 -0.136  -0.102 -0.182  -0.003 -0.224  0.100 -0.259  0.203 -0.293  0.303 -0.334  0.398 -0.386  0.493 -0.438  0.588 -0.490  0.678 -0.549  0.766 -0.613  0.797 -0.677  0.732 -0.763  0.643 -0.822  0.550 -0.878  0.457 -0.934  0.359 -0.977  0.253 -0.998  0.147 -1.020  0.040 -1.041  -0.066 -1.062  -0.174 -1.068  -0.282 -1.068  -0.390 -1.068  -0.499 -1.068  -0.607 -1.068  -0.715 -1.068
3#apb#apb28#app2814/E  0.057 0.929  -0.074 0.763  -0.206 0.597  -0.338 0.430  -0.462 0.259  -0.567 0.074  -0.671 -0.110  -0.775 -0.295  -0.852 -0.493  -0.929 -0.691  -1.005 -0.888  -0.973 -1.098  -0.905 -1.293  -0.783 -1.467  -0.579 -1.470  -0.367 -1.457  -0.171 -1.377  0.024 -1.293  0.218 -1.208  0.410 -1.118  0.602 -1.028  0.543 -0.852  0.446 -0.664  0.348 -0.475  0.251 -0.287  0.154 -0.098  0.056 0.090  -0.041 0.279  -0.139 0.467  -0.293 0.366  -0.287 0.178  -0.105 0.093  0.102 0.101  0.310 0.141  0.519 0.179  0.728 0.217  0.937 0.255  0.748 0.342  0.555 0.430  0.362 0.518  0.169 0.605  -0.025 0.693  -0.202 0.791  -0.084 0.948  0.080 1.082  0.261 1.193  0.442 1.304  0.632 1.392  0.838 1.446  1.043 1.500
3#apb#apb28#app2814/D  -0.566 0.004  -0.639 -0.131  -0.712 -0.266  -0.784 -0.401  -0.853 -0.538  -0.922 -0.675  -0.973 -0.818  -0.996 -0.969  -0.958 -1.104  -0.849 -1.004  -0.789 -0.863  -0.729 -0.722  -0.667 -0.582  -0.605 -0.441  -0.543 -0.301  -0.488 -0.158  -0.435 -0.014  -0.381 0.129  -0.346 0.278  -0.317 0.428  -0.288 0.579  -0.255 0.729  -0.221 0.878  -0.201 1.029  -0.201 1.182  -0.135 1.297  0.018 1.296  0.161 1.239  0.297 1.171  0.416 1.074  0.534 0.977  0.647 0.873  0.759 0.769  0.852 0.647  0.946 0.525  1.027 0.396  1.102 0.262  1.142 0.116  1.149 -0.034  1.106 -0.181  1.035 -0.315  0.947 -0.440  0.832 -0.542  0.701 -0.620  0.561 -0.680  0.413 -0.722  0.265 -0.759  0.117 -0.799  -0.025 -0.856  -0.151 -0.942
3#apb#apb28#app2814/E  0.031 0.821  -0.069 0.720  -0.170 0.619  -0.270 0.519  -0.361 0.410  -0.439 0.291  -0.516 0.171  -0.593 0.051  -0.628 -0.084  -0.650 -0.225  -0.673 -0.365  -0.688 -0.507  -0.688 -0.649  -0.688 -0.791  -0.688 -0.934  -0.646 -1.069  -0.598 -1.202  -0.490 -1.283  -0.363 -1.347  -0.230 -1.390  -0.088 -1.390  0.054 -1.390  0.092 -1.277  0.104 -1.135  0.116 -0.993  0.127 -0.851  0.139 -0.709  0.151 -0.567  0.162 -0.425  0.174 -0.284  0.185 -0.142  0.197 0.000  0.209 0.142  0.220 0.284  0.232 0.426  0.180 0.429  0.190 0.328  0.244 0.356  0.258 0.497  0.271 0.639  0.285 0.781  0.254 0.896  0.336 1.013  0.418 1.130  0.523 1.225  0.628 1.321  0.742 1.403  0.874 1.458  1.005 1.512  1.137 1.566
3#apb#apb28#app2814/T  0.461 -0.256  0.420 -0.365  0.380 -0.475  0.339 -0.585  0.299 -0.694  0.259 -0.804  0.218 -0.913  0.173 -1.021  0.127 -1.129  0.081 -1.236  0.035 -1.344  -0.011 -1.419  -0.057 -1.312  -0.103 -1.204  -0.149 -1.097  -0.195 -0.990  -0.241 -0.882  -0.287 -0.775  -0.333 -0.667  -0.379 -0.560  -0.425 -0.453  -0.471 -0.345  -0.517 -0.238  -0.563 -0.130  -0.609 -0.023  -0.655 0.085  -0.701 0.192  -0.748 0.299  -0.794 0.407  -0.840 0.514  -0.805 0.586  -0.694 0.622  -0.583 0.659  -0.472 0.695  -0.360 0.729  -0.248 0.763  -0.137 0.797  -0.025 0.831  0.087 0.865  0.199 0.899  0.312 0.928  0.427 0.943  0.543 0.959  0.659 0.974  0.775 0.990  0.891 1.005  1.007 1.021  1.122 1.036  1.238 1.052  1.354 1.067
3#apb#apb28#app2814/R  -0.745 -0.491  -0.757 -0.624  -0.782 -0.754  -0.842 -0.873  -0.881 -1.001  -0.987 -1.047  -1.057 -0.956  -1.057 -0.823  -1.030 -0.694  -0.980 -0.570  -0.931 -0.446  -0.878 -0.324  -0.812 -0.207  -0.746 -0.091  -0.681 0.025  -0.614 0.141  -0.539 0.252  -0.464 0.362  -0.388 0.473  -0.313 0.583  -0.223 0.681  -0.131 0.778  -0.039 0.876  0.060 0.963  0.177 1.027  0.295 1.090  0.429 1.090  0.562 1.090  0.696 1.090  0.801 1.022  0.888 0.923  0.942 0.800  0.995 0.678  1.034 0.551  1.056 0.419  1.048 0.289  1.015 0.159  0.956 0.041  0.860 -0.047  0.747 -0.117  0.640 -0.197  0.522 -0.259  0.408 -0.323  0.334 -0.434  0.270 -0.551  0.215 -0.673  0.182 -0.802  0.181 -0.934  0.222 -1.049  0.338 -1.116
3#apb#apb28#app2814/O  0.804 1.168  0.670 1.164  0.552 1.100  0.433 1.035  0.317 0.968  0.215 0.880  0.114 0.791  0.012 0.702  -0.089 0.613  -0.189 0.523  -0.269 0.415  -0.349 0.306  -0.429 0.198  -0.509 0.089  -0.589 -0.019  -0.666 -0.129  -0.741 -0.242  -0.816 -0.354  -0.891 -0.466  -0.965 -0.578  -1.029 -0.696  -1.071 -0.824  -1.105 -0.952  -1.059 -1.072  -0.935 -1.125  -0.811 -1.142  -0.686 -1.091  -0.562 -1.039  -0.437 -0.988  -0.313 -0.937  -0.208 -0.851  -0.104 -0.766  -0.000 -0.680  0.104 -0.594  0.208 -0.509  0.302 -0.413  0.394 -0.314  0.486 -0.216  0.578 -0.117  0.670 -0.019  0.755 0.086  0.839 0.191  0.923 0.297  0.965 0.424  0.995 0.554  0.995 0.689  0.992 0.823  0.922 0.938  0.836 1.040  0.740 1.136
3#apb#apb28#app2814/I  0.960 1.400  0.923 1.342  0.885 1.283  0.847 1.224  0.810 1.166  0.772 1.107  0.734 1.049  0.697 0.990  0.659 0.932  0.625 0.871  0.592 0.810  0.558 0.749  0.525 0.688  0.491 0.627  0.457 0.566  0.424 0.505  0.390 0.444  0.357 0.383  0.323 0.321  0.290 0.260  0.248 0.205  0.205 0.150  0.162 0.095  0.119 0.040  0.076 -0.014  0.033 -0.069  -0.010 -0.124  -0.053 -0.179  -0.096 -0.234  -0.139 -0.289  -0.182 -0.343  -0.224 -0.398  -0.267 -0.453  -0.310 -0.508  -0.359 -0.557  -0.410 -0.605  -0.461 -0.652  -0.512 -0.700  -0.563 -0.747  -0.614 -0.795  -0.665 -0.842  -0.716 -0.890  -0.767 -0.937  -0.818 -0.985  -0.869 -1.031  -0.921 -1.078  -0.973 -1.124  -1.026 -1.170  -1.078 -1.216  -1.130 -1.263
