3#apb#apb32#app3225/D  0.112 1.115  0.289 1.264  0.232 1.153  0.111 0.957  0.017 0.745  -0.066 0.528  -0.166 0.320  -0.250 0.103  -0.330 -0.114  -0.434 -0.322  -0.536 -0.530  -0.633 -0.741  -0.738 -0.948  -0.857 -1.147  -1.021 -1.309  -1.147 -1.156  -1.170 -0.926  -1.153 -0.694  -1.122 -0.464  -1.056 -0.242  -0.961 -0.077  -0.831 -0.268  -0.684 -0.447  -0.525 -0.613  -0.339 -0.751  -0.115 -0.802  0.107 -0.743  0.316 -0.642  0.521 -0.534  0.716 -0.408  0.870 -0.235  0.999 -0.044  1.056 0.179  1.057 0.411  1.027 0.640  0.953 0.859  0.847 1.065  0.688 1.230  0.466 1.256  0.260 1.158  0.104 0.991  0.010 0.780  -0.009 0.552  0.037 0.325  0.127 0.112  0.263 -0.075  0.430 -0.235  0.622 -0.364  0.839 -0.445  1.067 -0.467
3#apb#apb32#app3225/o  0.038 0.772  0.060 0.951  0.045 1.086  -0.135 1.089  -0.294 1.026  -0.434 0.912  -0.562 0.785  -0.668 0.638  -0.770 0.490  -0.870 0.339  -0.931 0.169  -0.988 -0.003  -1.023 -0.180  -1.062 -0.356  -1.073 -0.536  -1.056 -0.715  -1.015 -0.891  -0.968 -1.065  -0.886 -1.224  -0.745 -1.314  -0.575 -1.269  -0.413 -1.189  -0.252 -1.108  -0.083 -1.045  0.083 -0.978  0.222 -0.862  0.356 -0.741  0.470 -0.602  0.568 -0.451  0.643 -0.287  0.723 -0.125  0.763 0.046  0.755 0.227  0.741 0.407  0.674 0.575  0.576 0.724  0.459 0.862  0.311 0.936  0.155 0.889  0.108 0.721  0.138 0.543  0.197 0.374  0.284 0.217  0.400 0.082  0.567 0.013  0.739 -0.044  0.919 -0.039  1.092 0.013  1.270 0.044  1.444 0.092
3#apb#apb32#app3225/r  -1.254 -0.437  -1.293 -0.537  -1.293 -0.661  -1.230 -0.766  -1.181 -0.873  -1.084 -0.924  -1.073 -0.805  -1.044 -0.687  -0.976 -0.584  -0.925 -0.472  -0.891 -0.353  -0.854 -0.235  -0.806 -0.121  -0.758 -0.007  -0.706 0.106  -0.654 0.218  -0.584 0.320  -0.513 0.421  -0.425 0.509  -0.338 0.596  -0.250 0.684  -0.157 0.765  -0.052 0.826  0.066 0.865  0.188 0.883  0.311 0.899  0.429 0.878  0.540 0.823  0.572 0.707  0.555 0.585  0.529 0.465  0.469 0.356  0.401 0.253  0.325 0.156  0.259 0.051  0.218 -0.063  0.190 -0.180  0.292 -0.234  0.406 -0.282  0.529 -0.282  0.653 -0.282  0.777 -0.282  0.901 -0.282  1.025 -0.280  1.148 -0.271  1.272 -0.263  1.395 -0.273  1.518 -0.282  1.632 -0.308  1.742 -0.340
3#apb#apb32#app3225/o  0.073 0.671  0.048 0.797  -0.125 0.819  -0.300 0.759  -0.465 0.654  -0.594 0.513  -0.736 0.381  -0.863 0.232  -0.990 0.083  -1.078 -0.090  -1.151 -0.272  -1.219 -0.455  -1.240 -0.648  -1.215 -0.840  -1.107 -0.975  -0.972 -1.115  -0.790 -1.162  -0.594 -1.162  -0.398 -1.162  -0.206 -1.125  -0.017 -1.075  0.148 -0.974  0.293 -0.843  0.448 -0.724  0.585 -0.585  0.696 -0.425  0.770 -0.245  0.849 -0.067  0.931 0.109  0.988 0.296  0.998 0.487  0.989 0.682  0.913 0.846  0.786 0.994  0.602 1.060  0.420 1.102  0.229 1.060  0.048 1.013  -0.079 0.864  -0.193 0.705  -0.244 0.517  -0.184 0.334  -0.086 0.167  0.039 0.017  0.207 -0.083  0.381 -0.172  0.561 -0.248  0.755 -0.269  0.950 -0.250  1.138 -0.196
3#apb#apb32#app3225/t  -1.107 -1.100  -1.155 -1.135  -0.955 -0.956  -0.771 -0.762  -0.585 -0.568  -0.385 -0.389  -0.221 -0.178  -0.043 0.024  0.127 0.231  0.288 0.445  0.420 0.679  0.564 0.905  0.693 1.140  0.829 1.369  0.871 1.381  0.732 1.228  0.589 1.008  0.452 0.780  0.303 0.557  0.170 0.324  0.025 0.099  -0.111 -0.132  -0.194 -0.387  -0.214 -0.650  -0.105 -0.891  0.100 -1.055  0.354 -1.141  0.608 -1.226  0.838 -1.268  0.626 -1.102  0.415 -0.936  0.204 -0.771  -0.007 -0.605  -0.218 -0.440  -0.429 -0.274  -0.641 -0.109  -0.852 0.057  -1.063 0.222  -1.274 0.388  -1.238 0.491  -0.969 0.500  -0.702 0.495  -0.434 0.472  -0.167 0.451  0.101 0.457  0.370 0.462  0.638 0.464  0.906 0.464  1.174 0.479  1.441 0.504
3#apb#apb32#app3225/h  -1.197 -0.859  -1.264 -0.787  -1.101 -0.657  -0.933 -0.532  -0.761 -0.413  -0.590 -0.293  -0.433 -0.155  -0.273 -0.020  -0.119 0.121  0.022 0.275  0.159 0.433  0.289 0.598  0.408 0.769  0.518 0.947  0.634 1.121  0.745 1.297  0.846 1.480  0.909 1.663  0.734 1.631  0.585 1.486  0.476 1.308  0.367 1.130  0.271 0.944  0.180 0.756  0.076 0.575  -0.025 0.391  -0.124 0.207  -0.225 0.024  -0.320 -0.163  -0.414 -0.350  -0.502 -0.539  -0.585 -0.731  -0.660 -0.925  -0.707 -1.026  -0.613 -0.840  -0.489 -0.672  -0.379 -0.494  -0.254 -0.327  -0.119 -0.167  0.023 -0.014  0.214 0.005  0.239 -0.192  0.209 -0.399  0.238 -0.606  0.286 -0.809  0.370 -0.999  0.524 -1.126  0.729 -1.103  0.923 -1.027  1.112 -0.936
3#apb#apb32#app3225/y  -0.349 1.139  -0.477 1.215  -0.582 1.051  -0.678 0.883  -0.712 0.691  -0.698 0.495  -0.591 0.347  -0.409 0.291  -0.221 0.343  -0.053 0.447  0.119 0.542  0.291 0.638  0.452 0.752  0.593 0.890  0.728 1.033  0.840 1.194  0.830 1.136  0.762 0.951  0.693 0.766  0.622 0.582  0.550 0.398  0.480 0.214  0.410 0.030  0.335 -0.152  0.250 -0.330  0.163 -0.507  0.070 -0.680  -0.024 -0.854  -0.156 -1.000  -0.302 -1.129  -0.473 -1.228  -0.653 -1.305  -0.840 -1.365  -1.029 -1.368  -1.157 -1.225  -1.062 -1.059  -0.935 -0.911  -0.784 -0.784  -0.630 -0.661  -0.464 -0.555  -0.298 -0.449  -0.132 -0.343  0.048 -0.263  0.228 -0.183  0.409 -0.104  0.597 -0.046  0.785 0.013  0.970 0.082  1.154 0.151  1.335 0.224
3#apb#apb32#app3225/E  0.744 0.371  0.824 0.499  0.951 0.598  1.032 0.755  1.088 0.920  1.046 1.087  0.922 1.210  0.755 1.254  0.581 1.261  0.410 1.220  0.241 1.169  0.078 1.101  -0.086 1.035  -0.233 0.937  -0.380 0.839  -0.491 0.704  -0.592 0.559  -0.670 0.402  -0.718 0.233  -0.721 0.058  -0.689 -0.115  -0.562 -0.234  -0.390 -0.202  -0.229 -0.130  -0.068 -0.058  0.091 0.020  0.257 0.076  0.306 0.113  0.136 0.065  -0.032 0.013  -0.196 -0.054  -0.351 -0.138  -0.504 -0.227  -0.658 -0.313  -0.806 -0.408  -0.909 -0.548  -0.939 -0.719  -0.871 -0.882  -0.754 -1.006  -0.609 -1.107  -0.451 -1.185  -0.281 -1.220  -0.106 -1.208  0.068 -1.175  0.240 -1.138  0.397 -1.059  0.554 -0.977  0.706 -0.888  0.854 -0.790  1.014 -0.718
3#apb#apb32#app3225/m  -1.729 0.376  -1.657 0.430  -1.461 0.501  -1.274 0.598  -1.073 0.668  -0.867 0.722  -0.660 0.777  -0.447 0.773  -0.271 0.670  -0.243 0.465  -0.274 0.255  -0.372 0.070  -0.501 -0.101  -0.635 -0.267  -0.781 -0.422  -0.913 -0.589  -1.011 -0.707  -0.937 -0.527  -0.808 -0.356  -0.682 -0.183  -0.552 -0.013  -0.420 0.154  -0.275 0.311  -0.123 0.461  0.074 0.545  0.260 0.576  0.302 0.376  0.284 0.165  0.236 -0.044  0.179 -0.250  0.138 -0.459  0.091 -0.667  0.067 -0.800  0.166 -0.613  0.276 -0.430  0.387 -0.247  0.494 -0.062  0.619 0.111  0.752 0.279  0.905 0.427  1.084 0.536  1.234 0.451  1.261 0.239  1.261 0.025  1.261 -0.188  1.261 -0.402  1.261 -0.616  1.275 -0.829  1.344 -1.030  1.495 -1.160
3#apb#apb32#app3225/m  -1.743 0.222  -1.694 0.295  -1.549 0.400  -1.374 0.461  -1.193 0.492  -1.007 0.492  -0.828 0.538  -0.644 0.534  -0.490 0.443  -0.475 0.263  -0.531 0.086  -0.600 -0.086  -0.691 -0.247  -0.789 -0.404  -0.875 -0.568  -0.972 -0.708  -0.856 -0.573  -0.735 -0.432  -0.617 -0.289  -0.501 -0.144  -0.386 0.002  -0.272 0.148  -0.148 0.284  -0.013 0.411  0.131 0.529  0.293 0.612  0.327 0.444  0.272 0.269  0.213 0.094  0.166 -0.086  0.141 -0.269  0.123 -0.454  0.092 -0.607  0.188 -0.449  0.281 -0.289  0.386 -0.137  0.489 0.018  0.599 0.166  0.737 0.289  0.882 0.404  1.044 0.479  1.195 0.395  1.270 0.231  1.316 0.051  1.353 -0.131  1.377 -0.314  1.402 -0.498  1.440 -0.679  1.547 -0.824  1.720 -0.861
3#apb#apb32#app3225/a  0.081 0.644  0.188 0.753  0.272 0.867  0.204 0.992  0.058 1.010  -0.094 0.987  -0.241 0.940  -0.394 0.911  -0.530 0.845  -0.654 0.751  -0.772 0.651  -0.882 0.541  -0.991 0.430  -1.082 0.304  -1.173 0.178  -1.229 0.035  -1.273 -0.114  -1.273 -0.270  -1.253 -0.418  -1.159 -0.543  -1.030 -0.620  -0.885 -0.674  -0.732 -0.652  -0.580 -0.624  -0.431 -0.579  -0.286 -0.525  -0.140 -0.470  -0.009 -0.386  0.122 -0.303  0.244 -0.209  0.351 -0.096  0.455 0.019  0.537 0.151  0.615 0.285  0.667 0.432  0.683 0.577  0.598 0.450  0.563 0.299  0.551 0.144  0.543 -0.011  0.606 -0.153  0.672 -0.293  0.753 -0.426  0.835 -0.558  0.932 -0.679  1.032 -0.797  1.162 -0.884  1.304 -0.940  1.456 -0.973  1.609 -0.996
