3#apb#apb38#app3815/K  -0.441 1.467  -0.445 1.334  -0.441 1.124  -0.435 0.915  -0.421 0.705  -0.416 0.496  -0.421 0.286  -0.426 0.076  -0.428 -0.134  -0.428 -0.344  -0.428 -0.553  -0.428 -0.763  -0.428 -0.973  -0.428 -1.183  -0.428 -1.393  -0.421 -1.602  -0.405 -1.609  -0.388 -1.400  -0.371 -1.191  -0.353 -0.981  -0.336 -0.772  -0.318 -0.563  -0.301 -0.354  -0.283 -0.145  -0.214 0.012  -0.100 0.187  0.037 0.345  0.174 0.505  0.309 0.665  0.442 0.827  0.586 0.980  0.742 1.119  0.882 1.276  1.037 1.411  0.904 1.249  0.771 1.086  0.639 0.924  0.506 0.761  0.373 0.599  0.240 0.436  0.107 0.274  -0.025 0.111  -0.122 -0.062  -0.071 -0.261  0.042 -0.437  0.166 -0.606  0.309 -0.759  0.456 -0.909  0.619 -1.038  0.805 -1.135
3#apb#apb38#app3815/l  0.325 1.629  0.274 1.602  0.251 1.537  0.227 1.472  0.202 1.407  0.183 1.340  0.163 1.273  0.144 1.206  0.125 1.139  0.108 1.072  0.093 1.004  0.078 0.936  0.063 0.868  0.048 0.800  0.033 0.732  0.025 0.663  0.018 0.594  0.011 0.525  0.003 0.456  -0.004 0.386  -0.011 0.317  -0.019 0.248  -0.027 0.179  -0.035 0.110  -0.043 0.041  -0.051 -0.028  -0.059 -0.097  -0.067 -0.166  -0.073 -0.236  -0.076 -0.305  -0.078 -0.375  -0.080 -0.444  -0.083 -0.514  -0.085 -0.583  -0.088 -0.653  -0.090 -0.722  -0.092 -0.792  -0.093 -0.861  -0.093 -0.931  -0.093 -1.001  -0.093 -1.070  -0.093 -1.140  -0.093 -1.209  -0.093 -1.279  -0.099 -1.348  -0.104 -1.417  -0.109 -1.487  -0.114 -1.556  -0.114 -1.626  -0.114 -1.695
3#apb#apb38#app3815/e  -0.530 0.130  -0.593 0.061  -0.465 -0.007  -0.315 -0.020  -0.166 -0.040  -0.018 -0.063  0.130 -0.050  0.278 -0.024  0.424 0.007  0.563 0.063  0.703 0.119  0.829 0.198  0.952 0.284  1.064 0.382  1.163 0.495  1.248 0.618  1.234 0.761  1.157 0.878  1.032 0.961  0.885 0.962  0.736 0.954  0.587 0.938  0.439 0.910  0.292 0.881  0.147 0.845  0.013 0.777  -0.121 0.710  -0.255 0.643  -0.383 0.565  -0.510 0.485  -0.634 0.401  -0.735 0.291  -0.837 0.180  -0.908 0.052  -0.952 -0.091  -0.990 -0.236  -1.024 -0.382  -1.008 -0.525  -0.954 -0.665  -0.873 -0.788  -0.767 -0.894  -0.649 -0.984  -0.517 -1.054  -0.384 -1.125  -0.245 -1.179  -0.101 -1.222  0.043 -1.265  0.189 -1.295  0.338 -1.312  0.487 -1.330
3#apb#apb38#app3815/i  0.065 0.259  0.034 0.153  0.002 0.047  -0.029 -0.059  -0.059 -0.165  -0.081 -0.273  -0.104 -0.381  -0.127 -0.489  -0.149 -0.596  -0.157 -0.706  -0.164 -0.816  -0.171 -0.926  -0.175 -1.037  -0.175 -1.147  -0.175 -1.257  -0.165 -1.367  -0.141 -1.466  -0.054 -1.442  -0.046 -1.332  -0.039 -1.222  -0.031 -1.112  -0.024 -1.002  -0.016 -0.892  -0.009 -0.782  -0.001 -0.672  0.006 -0.562  0.013 -0.452  0.021 -0.342  0.028 -0.232  0.036 -0.122  0.043 -0.012  0.051 0.098  0.058 0.208  0.066 0.318  0.073 0.428  0.080 0.538  0.088 0.648  0.095 0.758  0.103 0.868  0.110 0.978  0.118 1.088  0.125 1.198  0.133 1.308  0.140 1.418  0.147 1.528  0.155 1.638  0.141 1.739  0.063 1.817  0.011 1.881  0.089 1.959
3#apb#apb38#app3815/n  -1.158 0.354  -1.158 0.243  -1.110 0.148  -1.050 0.055  -0.996 -0.042  -0.960 -0.146  -0.928 -0.252  -0.898 -0.357  -0.898 -0.468  -0.898 -0.579  -0.879 -0.478  -0.852 -0.371  -0.820 -0.265  -0.799 -0.156  -0.782 -0.047  -0.766 0.062  -0.749 0.172  -0.705 0.271  -0.644 0.363  -0.572 0.447  -0.496 0.527  -0.409 0.596  -0.320 0.662  -0.223 0.715  -0.121 0.755  -0.015 0.787  0.096 0.788  0.206 0.781  0.309 0.750  0.398 0.683  0.483 0.613  0.567 0.541  0.651 0.469  0.720 0.382  0.780 0.290  0.825 0.189  0.876 0.091  0.928 -0.007  0.965 -0.109  0.982 -0.219  0.996 -0.329  1.005 -0.439  1.013 -0.549  1.022 -0.660  1.030 -0.770  1.038 -0.881  1.050 -0.991  1.072 -1.099  1.080 -1.209  1.114 -1.312
3#apb#apb38#app3815/L  0.268 1.688  0.257 1.754  0.208 1.666  0.163 1.576  0.119 1.486  0.087 1.390  0.055 1.295  0.023 1.199  -0.007 1.103  -0.036 1.007  -0.064 0.910  -0.093 0.814  -0.121 0.717  -0.155 0.622  -0.189 0.528  -0.223 0.433  -0.256 0.338  -0.291 0.244  -0.330 0.151  -0.369 0.058  -0.408 -0.035  -0.448 -0.127  -0.485 -0.220  -0.522 -0.314  -0.558 -0.408  -0.597 -0.501  -0.639 -0.592  -0.680 -0.684  -0.692 -0.784  -0.695 -0.885  -0.602 -0.901  -0.504 -0.883  -0.405 -0.864  -0.306 -0.844  -0.208 -0.822  -0.110 -0.800  -0.012 -0.774  0.084 -0.747  0.181 -0.719  0.278 -0.693  0.378 -0.678  0.477 -0.663  0.577 -0.648  0.677 -0.641  0.778 -0.636  0.878 -0.630  0.979 -0.623  1.079 -0.616  1.179 -0.619  1.279 -0.629
3#apb#apb38#app3815/u  -1.185 0.540  -1.202 0.460  -1.219 0.380  -1.236 0.300  -1.254 0.220  -1.236 0.141  -1.212 0.062  -1.189 -0.016  -1.152 -0.089  -1.112 -0.161  -1.072 -0.232  -1.009 -0.283  -0.942 -0.330  -0.875 -0.377  -0.804 -0.418  -0.727 -0.446  -0.650 -0.474  -0.573 -0.502  -0.492 -0.498  -0.410 -0.492  -0.328 -0.486  -0.246 -0.481  -0.168 -0.456  -0.091 -0.429  -0.014 -0.402  0.063 -0.374  0.141 -0.347  0.220 -0.325  0.300 -0.307  0.380 -0.289  0.459 -0.270  0.519 -0.218  0.574 -0.157  0.629 -0.096  0.684 -0.035  0.745 0.019  0.807 0.073  0.868 0.127  0.927 0.185  0.985 0.243  1.043 0.301  1.086 0.370  1.128 0.441  1.170 0.511  1.211 0.582  1.251 0.654  1.290 0.725  1.306 0.803  1.306 0.885  1.306 0.967
3#apb#apb38#app3815/n  -0.974 0.675  -1.022 0.577  -1.022 0.464  -1.018 0.352  -0.991 0.243  -0.964 0.134  -0.941 0.024  -0.922 -0.087  -0.904 -0.198  -0.876 -0.307  -0.847 -0.416  -0.818 -0.525  -0.769 -0.625  -0.710 -0.721  -0.651 -0.817  -0.588 -0.909  -0.519 -0.998  -0.461 -0.985  -0.425 -0.879  -0.398 -0.770  -0.381 -0.659  -0.364 -0.547  -0.341 -0.437  -0.314 -0.328  -0.287 -0.219  -0.261 -0.109  -0.236 0.000  -0.209 0.109  -0.151 0.206  -0.093 0.302  -0.017 0.383  0.071 0.454  0.159 0.524  0.265 0.556  0.374 0.583  0.485 0.603  0.597 0.603  0.710 0.603  0.820 0.585  0.930 0.560  1.039 0.534  1.133 0.474  1.225 0.409  1.315 0.342  1.400 0.267  1.483 0.192  1.538 0.094  1.592 -0.005  1.643 -0.105  1.693 -0.206
3#apb#apb38#app3815/d  -0.972 -0.453  -1.108 -0.521  -1.209 -0.626  -1.283 -0.758  -1.231 -0.873  -1.111 -0.967  -0.962 -0.976  -0.811 -0.976  -0.659 -0.976  -0.507 -0.972  -0.357 -0.957  -0.206 -0.942  -0.055 -0.924  0.093 -0.895  0.237 -0.847  0.279 -0.726  0.279 -0.574  0.279 -0.422  0.279 -0.271  0.279 -0.119  0.279 0.033  0.279 0.184  0.279 0.336  0.279 0.488  0.279 0.640  0.279 0.791  0.279 0.943  0.279 1.095  0.279 1.246  0.279 1.398  0.279 1.550  0.247 1.669  0.246 1.524  0.269 1.374  0.293 1.225  0.309 1.074  0.324 0.923  0.327 0.771  0.327 0.620  0.327 0.468  0.305 0.318  0.281 0.168  0.257 0.018  0.254 -0.132  0.265 -0.284  0.275 -0.435  0.296 -0.585  0.321 -0.735  0.349 -0.884  0.406 -1.023
3#apb#apb38#app3815/M  -1.026 -1.621  -1.078 -1.605  -1.071 -1.453  -1.048 -1.302  -1.021 -1.152  -0.992 -1.002  -0.954 -0.854  -0.914 -0.707  -0.886 -0.557  -0.860 -0.406  -0.807 -0.263  -0.753 -0.121  -0.698 0.022  -0.643 0.164  -0.584 0.305  -0.510 0.439  -0.433 0.570  -0.346 0.696  -0.242 0.806  -0.134 0.903  -0.061 0.785  -0.052 0.633  -0.047 0.480  -0.052 0.327  -0.058 0.175  -0.064 0.022  -0.071 -0.130  -0.030 -0.212  0.049 -0.083  0.121 0.051  0.198 0.183  0.274 0.316  0.351 0.448  0.432 0.576  0.520 0.701  0.612 0.823  0.716 0.932  0.853 0.971  0.924 0.846  0.953 0.697  0.968 0.545  0.973 0.393  0.973 0.240  0.972 0.087  0.962 -0.065  0.951 -0.217  0.939 -0.370  0.926 -0.522  0.901 -0.672  0.869 -0.821
3#apb#apb38#app3815/a  -0.622 0.990  -0.723 0.906  -0.825 0.822  -0.900 0.715  -0.970 0.603  -1.038 0.490  -1.097 0.372  -1.116 0.243  -1.130 0.112  -1.126 -0.018  -1.092 -0.145  -1.057 -0.272  -1.021 -0.399  -0.979 -0.524  -0.938 -0.649  -0.858 -0.743  -0.743 -0.809  -0.629 -0.875  -0.516 -0.942  -0.391 -0.968  -0.260 -0.968  -0.140 -0.922  -0.028 -0.854  0.065 -0.760  0.159 -0.667  0.227 -0.557  0.282 -0.437  0.337 -0.317  0.393 -0.198  0.441 -0.075  0.486 0.049  0.531 0.173  0.565 0.299  0.578 0.430  0.591 0.561  0.597 0.693  0.597 0.825  0.597 0.950  0.597 0.818  0.617 0.691  0.676 0.573  0.735 0.456  0.794 0.338  0.881 0.244  0.988 0.167  1.095 0.090  1.198 0.007  1.297 -0.079  1.390 -0.172  1.484 -0.266
