3#apb#apb40#app4080/R  -0.031 0.707  -0.142 0.534  -0.197 0.337  -0.252 0.139  -0.309 -0.058  -0.370 -0.254  -0.432 -0.450  -0.501 -0.643  -0.585 -0.830  -0.669 -1.018  -0.747 -1.207  -0.818 -1.400  -0.771 -1.240  -0.708 -1.045  -0.645 -0.850  -0.583 -0.654  -0.522 -0.458  -0.461 -0.262  -0.396 -0.067  -0.330 0.128  -0.264 0.322  -0.199 0.516  -0.134 0.711  -0.069 0.906  -0.003 1.100  0.117 1.267  0.238 1.433  0.379 1.572  0.570 1.648  0.723 1.573  0.850 1.414  0.861 1.209  0.872 1.004  0.838 0.803  0.790 0.604  0.742 0.404  0.653 0.220  0.557 0.039  0.454 -0.138  0.328 -0.300  0.197 -0.458  0.043 -0.593  -0.134 -0.696  -0.310 -0.627  -0.170 -0.581  0.010 -0.670  0.164 -0.806  0.313 -0.947  0.457 -1.094  0.598 -1.242
3#apb#apb40#app4080/i  -0.037 0.136  -0.047 0.030  -0.057 -0.075  -0.066 -0.181  -0.076 -0.286  -0.085 -0.392  -0.094 -0.497  -0.103 -0.603  -0.117 -0.708  -0.135 -0.812  -0.152 -0.917  -0.159 -1.022  -0.159 -1.128  -0.156 -1.234  -0.126 -1.335  -0.075 -1.423  -0.019 -1.433  -0.014 -1.327  -0.010 -1.221  -0.005 -1.115  -0.001 -1.009  0.003 -0.903  0.008 -0.797  0.012 -0.692  0.017 -0.586  0.021 -0.480  0.025 -0.374  0.030 -0.268  0.034 -0.162  0.038 -0.056  0.043 0.049  0.047 0.155  0.052 0.261  0.056 0.367  0.060 0.473  0.065 0.579  0.069 0.685  0.074 0.790  0.078 0.896  0.082 1.002  0.087 1.108  0.091 1.214  0.095 1.320  0.100 1.426  0.104 1.531  0.109 1.637  0.113 1.743  0.117 1.849  0.066 1.922  -0.003 1.861
3#apb#apb40#app4080/v  -0.797 0.479  -0.765 0.375  -0.733 0.270  -0.704 0.165  -0.680 0.059  -0.655 -0.048  -0.652 -0.157  -0.652 -0.266  -0.652 -0.376  -0.646 -0.484  -0.622 -0.591  -0.598 -0.698  -0.575 -0.804  -0.543 -0.909  -0.508 -1.013  -0.474 -1.116  -0.407 -1.200  -0.326 -1.268  -0.216 -1.268  -0.145 -1.185  -0.074 -1.102  -0.002 -1.019  0.061 -0.931  0.115 -0.836  0.170 -0.741  0.225 -0.647  0.279 -0.552  0.334 -0.457  0.365 -0.353  0.389 -0.247  0.413 -0.140  0.437 -0.033  0.461 0.073  0.485 0.180  0.494 0.289  0.498 0.398  0.501 0.507  0.504 0.616  0.508 0.726  0.511 0.835  0.511 0.944  0.507 1.054  0.503 1.163  0.499 1.272  0.495 1.381  0.484 1.490  0.457 1.596  0.424 1.631  0.406 1.523  0.388 1.415
3#apb#apb40#app4080/e  -0.710 -0.353  -0.592 -0.282  -0.478 -0.206  -0.364 -0.130  -0.250 -0.054  -0.137 0.024  -0.023 0.102  0.090 0.180  0.199 0.263  0.306 0.348  0.413 0.434  0.521 0.520  0.625 0.609  0.722 0.707  0.819 0.804  0.903 0.908  0.936 1.041  0.878 1.157  0.780 1.219  0.646 1.188  0.513 1.156  0.387 1.107  0.273 1.030  0.160 0.953  0.046 0.876  -0.067 0.798  -0.175 0.714  -0.263 0.609  -0.352 0.505  -0.441 0.400  -0.530 0.296  -0.578 0.169  -0.615 0.037  -0.653 -0.095  -0.685 -0.228  -0.663 -0.363  -0.642 -0.499  -0.620 -0.635  -0.553 -0.752  -0.477 -0.866  -0.400 -0.981  -0.324 -1.095  -0.229 -1.190  -0.118 -1.272  -0.008 -1.353  0.103 -1.435  0.221 -1.503  0.345 -1.562  0.469 -1.621  0.593 -1.680
3#apb#apb40#app4080/r  -0.780 -0.005  -0.790 -0.096  -0.800 -0.187  -0.796 -0.277  -0.783 -0.367  -0.771 -0.457  -0.758 -0.547  -0.756 -0.638  -0.756 -0.729  -0.756 -0.821  -0.728 -0.907  -0.689 -0.988  -0.631 -1.058  -0.565 -1.104  -0.476 -1.082  -0.390 -1.056  -0.320 -0.997  -0.251 -0.938  -0.181 -0.880  -0.112 -0.821  -0.054 -0.751  -0.004 -0.675  0.045 -0.598  0.095 -0.522  0.145 -0.446  0.194 -0.369  0.235 -0.289  0.258 -0.201  0.281 -0.113  0.304 -0.025  0.327 0.064  0.349 0.152  0.372 0.240  0.395 0.328  0.410 0.418  0.424 0.508  0.439 0.598  0.453 0.688  0.468 0.778  0.482 0.868  0.497 0.958  0.511 1.047  0.541 1.133  0.576 1.217  0.611 1.301  0.647 1.385  0.682 1.469  0.728 1.545  0.802 1.598  0.876 1.651
3#apb#apb40#app4080/s  0.848 0.856  0.806 0.968  0.737 1.057  0.635 1.118  0.528 1.153  0.411 1.134  0.294 1.114  0.176 1.095  0.059 1.075  -0.052 1.033  -0.162 0.988  -0.272 0.943  -0.382 0.898  -0.487 0.843  -0.589 0.781  -0.690 0.718  -0.741 0.616  -0.773 0.505  -0.698 0.413  -0.600 0.345  -0.503 0.277  -0.389 0.245  -0.273 0.216  -0.158 0.187  -0.044 0.155  0.064 0.104  0.171 0.053  0.279 0.003  0.386 -0.050  0.492 -0.103  0.582 -0.172  0.636 -0.279  0.668 -0.388  0.643 -0.504  0.618 -0.621  0.556 -0.718  0.475 -0.805  0.395 -0.893  0.302 -0.963  0.193 -1.011  0.084 -1.059  -0.024 -1.108  -0.136 -1.148  -0.249 -1.188  -0.361 -1.227  -0.473 -1.266  -0.582 -1.313  -0.692 -1.360  -0.801 -1.385  -0.907 -1.332
3#apb#apb40#app4080/i  -0.066 0.467  -0.126 0.410  -0.133 0.294  -0.149 0.177  -0.164 0.061  -0.180 -0.055  -0.194 -0.171  -0.207 -0.287  -0.220 -0.404  -0.233 -0.520  -0.246 -0.637  -0.254 -0.753  -0.263 -0.870  -0.271 -0.987  -0.265 -1.102  -0.222 -1.210  -0.178 -1.319  -0.099 -1.379  0.018 -1.390  0.135 -1.400  0.173 -1.328  0.168 -1.211  0.164 -1.094  0.160 -0.977  0.155 -0.860  0.151 -0.743  0.147 -0.626  0.143 -0.509  0.138 -0.392  0.134 -0.275  0.130 -0.157  0.125 -0.040  0.121 0.077  0.117 0.194  0.112 0.311  0.108 0.428  0.104 0.545  0.100 0.662  0.095 0.779  0.091 0.896  0.087 1.013  0.082 1.130  0.078 1.247  0.074 1.364  0.070 1.481  0.065 1.598  0.061 1.715  0.057 1.832  0.055 1.949  0.055 2.066
3#apb#apb40#app4080/d  -0.147 -0.309  -0.210 -0.216  -0.366 -0.264  -0.512 -0.332  -0.642 -0.430  -0.772 -0.528  -0.891 -0.640  -1.009 -0.752  -1.108 -0.880  -1.176 -1.022  -1.109 -1.152  -0.954 -1.200  -0.796 -1.162  -0.639 -1.119  -0.494 -1.046  -0.354 -0.964  -0.214 -0.880  -0.089 -0.776  0.036 -0.672  0.160 -0.566  0.265 -0.441  0.370 -0.317  0.475 -0.193  0.535 -0.043  0.584 0.112  0.633 0.268  0.674 0.425  0.693 0.587  0.713 0.748  0.733 0.910  0.741 1.072  0.725 1.234  0.708 1.396  0.663 1.550  0.545 1.553  0.401 1.476  0.325 1.332  0.248 1.188  0.172 1.044  0.121 0.892  0.094 0.731  0.066 0.570  0.039 0.410  0.031 0.248  0.040 0.085  0.049 -0.077  0.061 -0.239  0.128 -0.388  0.194 -0.537  0.261 -0.685
3#apb#apb40#app4080/e  -0.673 -0.645  -0.625 -0.512  -0.517 -0.404  -0.409 -0.296  -0.288 -0.203  -0.163 -0.114  -0.039 -0.025  0.094 0.049  0.233 0.114  0.371 0.178  0.497 0.263  0.610 0.366  0.723 0.469  0.790 0.602  0.842 0.746  0.893 0.890  0.827 1.027  0.759 1.164  0.620 1.215  0.472 1.255  0.332 1.213  0.194 1.148  0.056 1.082  -0.082 1.016  -0.211 0.936  -0.328 0.837  -0.444 0.738  -0.561 0.639  -0.677 0.540  -0.764 0.418  -0.825 0.278  -0.886 0.138  -0.915 -0.003  -0.864 -0.148  -0.813 -0.292  -0.762 -0.436  -0.661 -0.550  -0.557 -0.662  -0.452 -0.774  -0.344 -0.879  -0.201 -0.933  -0.057 -0.986  0.086 -1.040  0.229 -1.094  0.374 -1.140  0.524 -1.172  0.673 -1.204  0.823 -1.236  0.973 -1.269  1.122 -1.301
3#apb#apb40#app4080/D  0.096 1.445  0.008 1.262  -0.017 1.059  -0.042 0.857  -0.072 0.656  -0.107 0.455  -0.142 0.254  -0.177 0.054  -0.217 -0.146  -0.257 -0.346  -0.297 -0.546  -0.343 -0.745  -0.389 -0.943  -0.424 -1.144  -0.439 -1.136  -0.435 -0.932  -0.429 -0.729  -0.429 -0.525  -0.429 -0.321  -0.429 -0.117  -0.429 0.086  -0.429 0.290  -0.423 0.494  -0.414 0.697  -0.405 0.901  -0.346 1.095  -0.278 1.287  -0.115 1.395  0.064 1.373  0.242 1.274  0.385 1.131  0.521 0.979  0.640 0.816  0.727 0.632  0.815 0.448  0.876 0.254  0.923 0.056  0.953 -0.143  0.932 -0.346  0.878 -0.539  0.787 -0.721  0.634 -0.851  0.468 -0.968  0.286 -1.061  0.105 -1.155  -0.092 -1.197  -0.294 -1.221  -0.496 -1.207  -0.693 -1.167  -0.853 -1.041
3#apb#apb40#app4080/u  -0.601 1.649  -0.695 1.556  -0.696 1.405  -0.696 1.254  -0.651 1.110  -0.608 0.990  -0.660 0.850  -0.690 0.701  -0.743 0.560  -0.801 0.420  -0.831 0.273  -0.853 0.123  -0.875 -0.027  -0.898 -0.176  -0.910 -0.327  -0.910 -0.478  -0.878 -0.625  -0.826 -0.764  -0.693 -0.831  -0.544 -0.847  -0.409 -0.779  -0.273 -0.712  -0.148 -0.628  -0.029 -0.535  0.090 -0.441  0.200 -0.337  0.307 -0.230  0.389 -0.106  0.452 0.032  0.504 0.173  0.531 0.322  0.567 0.469  0.611 0.614  0.591 0.763  0.499 0.680  0.473 0.531  0.450 0.382  0.447 0.231  0.447 0.079  0.461 -0.070  0.500 -0.216  0.539 -0.363  0.608 -0.497  0.680 -0.630  0.776 -0.745  0.888 -0.846  1.013 -0.929  1.151 -0.991  1.296 -1.018  1.448 -1.018
