3#apb#apb41#app4137/A  -0.038 0.852  0.090 1.073  0.152 1.163  0.080 0.916  -0.013 0.677  -0.109 0.439  -0.204 0.200  -0.298 -0.039  -0.391 -0.279  -0.488 -0.517  -0.584 -0.755  -0.685 -0.991  -0.790 -1.226  -0.783 -1.178  -0.705 -0.933  -0.627 -0.688  -0.551 -0.443  -0.476 -0.197  -0.402 0.049  -0.323 0.294  -0.243 0.538  -0.161 0.782  -0.074 1.023  0.014 1.265  0.132 1.492  0.265 1.712  0.447 1.702  0.530 1.462  0.579 1.212  0.591 0.955  0.601 0.698  0.559 0.445  0.517 0.191  0.476 -0.063  0.428 -0.315  0.380 -0.567  0.331 -0.820  0.306 -1.075  0.286 -1.331  0.304 -1.587  0.385 -1.556  0.434 -1.304  0.453 -1.048  0.400 -0.798  0.311 -0.559  0.190 -0.332  0.014 -0.149  -0.210 -0.044  -0.450 -0.095  -0.650 -0.254
3#apb#apb41#app4137/g  0.318 0.702  0.392 0.872  0.454 1.044  0.477 1.228  0.377 1.361  0.197 1.389  0.019 1.336  -0.142 1.248  -0.292 1.140  -0.427 1.016  -0.534 0.865  -0.641 0.713  -0.689 0.535  -0.732 0.354  -0.705 0.176  -0.653 -0.002  -0.498 -0.094  -0.328 -0.149  -0.144 -0.123  0.038 -0.092  0.203 -0.009  0.365 0.081  0.500 0.208  0.619 0.348  0.715 0.507  0.785 0.678  0.790 0.822  0.733 0.646  0.669 0.472  0.606 0.298  0.537 0.125  0.468 -0.047  0.399 -0.219  0.333 -0.392  0.267 -0.566  0.202 -0.739  0.139 -0.914  0.081 -1.090  0.024 -1.266  -0.047 -1.437  -0.136 -1.599  -0.285 -1.691  -0.437 -1.587  -0.524 -1.423  -0.573 -1.246  -0.604 -1.064  -0.608 -0.878  -0.608 -0.693  -0.573 -0.512  -0.526 -0.332
3#apb#apb41#app4137/o  0.289 0.586  0.289 0.737  0.234 0.872  0.100 0.929  -0.051 0.918  -0.176 0.844  -0.292 0.746  -0.407 0.648  -0.512 0.540  -0.609 0.424  -0.706 0.307  -0.803 0.191  -0.860 0.052  -0.905 -0.092  -0.949 -0.237  -0.987 -0.382  -0.968 -0.533  -0.950 -0.683  -0.925 -0.831  -0.829 -0.948  -0.733 -1.064  -0.613 -1.138  -0.462 -1.155  -0.312 -1.171  -0.162 -1.179  -0.015 -1.143  0.132 -1.106  0.279 -1.069  0.405 -0.991  0.520 -0.893  0.635 -0.794  0.726 -0.677  0.794 -0.541  0.862 -0.406  0.912 -0.264  0.949 -0.117  0.981 0.030  0.942 0.176  0.904 0.323  0.855 0.465  0.765 0.586  0.675 0.708  0.585 0.830  0.462 0.913  0.328 0.984  0.186 1.020  0.035 1.011  -0.099 0.964  -0.206 0.857  -0.313 0.750
3#apb#apb41#app4137/u  -0.820 0.514  -0.789 0.630  -0.747 0.742  -0.686 0.845  -0.660 0.958  -0.629 1.047  -0.639 0.931  -0.654 0.811  -0.670 0.692  -0.687 0.573  -0.704 0.454  -0.722 0.335  -0.732 0.215  -0.732 0.095  -0.732 -0.025  -0.732 -0.146  -0.732 -0.266  -0.710 -0.383  -0.679 -0.500  -0.648 -0.616  -0.616 -0.732  -0.549 -0.828  -0.466 -0.916  -0.384 -1.004  -0.284 -1.050  -0.164 -1.050  -0.043 -1.050  0.069 -1.020  0.175 -0.963  0.281 -0.906  0.387 -0.848  0.478 -0.774  0.555 -0.681  0.632 -0.588  0.708 -0.496  0.783 -0.402  0.835 -0.293  0.886 -0.184  0.938 -0.076  0.959 0.040  0.964 0.161  0.969 0.281  0.974 0.401  0.949 0.519  0.923 0.636  0.897 0.754  0.871 0.871  0.835 0.986  0.796 1.100  0.743 1.206
3#apb#apb41#app4137/r  -0.844 -0.035  -0.757 0.052  -0.669 0.140  -0.590 0.176  -0.594 0.053  -0.603 -0.070  -0.620 -0.193  -0.639 -0.316  -0.658 -0.438  -0.677 -0.561  -0.702 -0.682  -0.729 -0.803  -0.755 -0.924  -0.778 -1.046  -0.797 -1.169  -0.774 -1.238  -0.714 -1.131  -0.655 -1.022  -0.602 -0.910  -0.551 -0.796  -0.500 -0.683  -0.455 -0.568  -0.414 -0.451  -0.373 -0.334  -0.332 -0.217  -0.280 -0.104  -0.227 0.007  -0.173 0.119  -0.119 0.231  -0.051 0.334  0.023 0.434  0.096 0.533  0.170 0.633  0.258 0.717  0.362 0.785  0.466 0.853  0.570 0.920  0.689 0.952  0.810 0.980  0.930 0.986  1.046 0.944  1.146 0.875  1.234 0.788  1.272 0.676  1.286 0.553  1.298 0.429  1.290 0.306  1.283 0.182  1.233 0.071  1.170 -0.035
3#apb#apb41#app4137/a  0.376 0.622  0.354 0.793  0.222 0.883  0.047 0.908  -0.129 0.910  -0.306 0.900  -0.476 0.870  -0.626 0.776  -0.776 0.682  -0.910 0.567  -1.040 0.447  -1.154 0.313  -1.257 0.169  -1.328 0.013  -1.336 -0.161  -1.238 -0.308  -1.086 -0.375  -0.912 -0.407  -0.741 -0.386  -0.572 -0.333  -0.405 -0.277  -0.255 -0.183  -0.105 -0.089  0.039 0.014  0.179 0.122  0.292 0.254  0.385 0.405  0.429 0.572  0.441 0.748  0.475 0.922  0.434 0.884  0.357 0.725  0.301 0.558  0.246 0.390  0.194 0.221  0.183 0.044  0.172 -0.132  0.160 -0.309  0.149 -0.486  0.198 -0.656  0.246 -0.826  0.316 -0.980  0.470 -1.067  0.624 -1.153  0.798 -1.166  0.975 -1.166  1.152 -1.164  1.315 -1.097  1.479 -1.030  1.643 -0.963
3#apb#apb41#app4137/H  -0.295 0.903  -0.240 1.148  -0.245 1.210  -0.329 0.973  -0.411 0.735  -0.479 0.493  -0.547 0.250  -0.615 0.008  -0.684 -0.234  -0.749 -0.477  -0.811 -0.721  -0.843 -0.970  -0.773 -1.176  -0.595 -1.036  -0.451 -0.829  -0.308 -0.622  -0.165 -0.415  -0.022 -0.208  0.121 -0.001  0.264 0.206  0.407 0.413  0.550 0.620  0.694 0.827  0.837 1.034  0.980 1.241  1.123 1.448  1.163 1.549  1.037 1.331  0.906 1.116  0.795 0.890  0.685 0.664  0.594 0.429  0.511 0.192  0.427 -0.046  0.359 -0.288  0.293 -0.531  0.230 -0.774  0.169 -1.018  0.133 -1.267  0.094 -1.297  -0.062 -1.102  -0.247 -0.931  -0.432 -0.760  -0.617 -0.589  -0.855 -0.519  -0.812 -0.472  -0.567 -0.416  -0.319 -0.377  -0.071 -0.330  0.174 -0.275
3#apb#apb41#app4137/i  0.522 0.311  0.454 0.379  0.386 0.448  0.317 0.516  0.249 0.584  0.181 0.653  0.112 0.721  0.044 0.789  -0.024 0.857  -0.090 0.926  -0.060 1.018  -0.029 1.110  0.001 1.201  0.032 1.293  0.062 1.384  0.052 1.288  0.041 1.192  0.030 1.096  0.020 1.000  0.009 0.904  -0.002 0.808  -0.012 0.712  -0.023 0.616  -0.034 0.520  -0.044 0.424  -0.055 0.328  -0.066 0.232  -0.076 0.136  -0.087 0.040  -0.091 -0.057  -0.091 -0.153  -0.091 -0.250  -0.091 -0.347  -0.091 -0.443  -0.091 -0.540  -0.091 -0.637  -0.091 -0.733  -0.091 -0.830  -0.091 -0.926  -0.091 -1.023  -0.091 -1.120  -0.091 -1.216  -0.091 -1.313  -0.091 -1.409  -0.091 -1.506  -0.091 -1.603  -0.091 -1.699  -0.091 -1.796  -0.091 -1.893  -0.091 -1.989
3#apb#apb41#app4137/l  0.451 1.570  0.413 1.571  0.372 1.515  0.340 1.453  0.311 1.390  0.286 1.325  0.260 1.260  0.235 1.195  0.213 1.129  0.201 1.061  0.188 0.992  0.176 0.923  0.164 0.855  0.152 0.786  0.140 0.717  0.133 0.648  0.126 0.579  0.118 0.510  0.111 0.440  0.104 0.371  0.097 0.302  0.089 0.232  0.081 0.163  0.063 0.096  0.046 0.028  0.029 -0.039  0.011 -0.107  -0.006 -0.174  -0.023 -0.242  -0.040 -0.309  -0.058 -0.377  -0.075 -0.444  -0.094 -0.511  -0.115 -0.578  -0.135 -0.644  -0.155 -0.711  -0.176 -0.777  -0.196 -0.844  -0.216 -0.911  -0.236 -0.977  -0.257 -1.044  -0.277 -1.111  -0.295 -1.178  -0.313 -1.245  -0.330 -1.313  -0.348 -1.380  -0.365 -1.448  -0.382 -1.515  -0.400 -1.583  -0.417 -1.650
3#apb#apb41#app4137/l  0.382 1.434  0.417 1.495  0.454 1.514  0.454 1.444  0.440 1.375  0.423 1.307  0.407 1.239  0.391 1.170  0.373 1.102  0.354 1.035  0.335 0.967  0.316 0.900  0.297 0.832  0.278 0.764  0.258 0.697  0.239 0.629  0.219 0.562  0.194 0.497  0.169 0.431  0.144 0.365  0.120 0.299  0.095 0.234  0.070 0.168  0.045 0.102  0.020 0.037  -0.004 -0.029  -0.029 -0.095  -0.053 -0.161  -0.078 -0.227  -0.102 -0.292  -0.126 -0.358  -0.151 -0.424  -0.175 -0.490  -0.199 -0.556  -0.224 -0.622  -0.249 -0.687  -0.273 -0.753  -0.298 -0.819  -0.323 -0.884  -0.348 -0.950  -0.373 -1.016  -0.393 -1.083  -0.405 -1.152  -0.418 -1.221  -0.430 -1.290  -0.442 -1.359  -0.451 -1.429  -0.457 -1.499  -0.456 -1.568  -0.437 -1.636
3#apb#apb41#app4137/s  0.563 0.261  0.609 0.387  0.656 0.512  0.700 0.639  0.731 0.769  0.761 0.899  0.753 1.030  0.695 1.141  0.584 1.215  0.455 1.216  0.322 1.200  0.192 1.172  0.067 1.123  -0.057 1.074  -0.182 1.026  -0.292 0.949  -0.400 0.870  -0.507 0.791  -0.598 0.694  -0.674 0.584  -0.733 0.468  -0.754 0.335  -0.727 0.216  -0.636 0.119  -0.523 0.046  -0.411 -0.026  -0.285 -0.066  -0.154 -0.097  -0.026 -0.134  0.098 -0.185  0.222 -0.236  0.341 -0.296  0.459 -0.360  0.527 -0.473  0.590 -0.591  0.569 -0.717  0.529 -0.845  0.440 -0.943  0.345 -1.038  0.242 -1.119  0.117 -1.168  -0.008 -1.216  -0.137 -1.248  -0.270 -1.265  -0.400 -1.259  -0.528 -1.219  -0.655 -1.178  -0.765 -1.101  -0.872 -1.021  -0.974 -0.934
