3#app#app06#app0634/[  0.097 1.260  0.129 1.260  0.037 1.260  -0.054 1.260  -0.145 1.260  -0.211 1.199  -0.302 1.199  -0.393 1.199  -0.454 1.168  -0.514 1.138  -0.544 1.076  -0.517 1.076  -0.515 0.987  -0.474 0.913  -0.453 0.831  -0.413 0.749  -0.393 0.663  -0.358 0.580  -0.331 0.495  -0.289 0.421  -0.270 0.338  -0.246 0.257  -0.197 0.183  -0.168 0.096  -0.129 0.016  -0.086 -0.057  -0.043 -0.130  -0.022 -0.213  0.036 -0.280  0.036 -0.371  0.044 -0.454  0.097 -0.492  0.097 -0.583  0.123 -0.664  0.159 -0.740  0.159 -0.831  0.159 -0.923  0.220 -0.952  0.220 -1.044  0.220 -1.135  0.257 -1.189  0.286 -1.250  0.378 -1.250  0.408 -1.189  0.499 -1.189  0.590 -1.189  0.681 -1.189  0.772 -1.189  0.863 -1.189  0.954 -1.189
3#app#app06#app0634/O  -0.688 0.109  -0.764 0.180  -0.717 0.308  -0.688 0.442  -0.616 0.559  -0.537 0.673  -0.462 0.789  -0.358 0.892  -0.255 0.996  -0.117 1.016  0.018 1.067  0.132 1.156  0.274 1.167  0.406 1.131  0.521 1.076  0.604 1.009  0.708 0.905  0.788 0.784  0.823 0.646  0.885 0.514  0.899 0.371  0.899 0.224  0.899 0.077  0.899 -0.069  0.855 -0.205  0.823 -0.345  0.741 -0.467  0.662 -0.590  0.597 -0.721  0.503 -0.832  0.434 -0.960  0.330 -1.064  0.226 -1.167  0.123 -1.271  -0.001 -1.326  -0.148 -1.326  -0.255 -1.231  -0.358 -1.127  -0.462 -1.023  -0.527 -0.892  -0.593 -0.761  -0.659 -0.630  -0.724 -0.498  -0.764 -0.361  -0.764 -0.215  -0.764 -0.068  -0.764 0.079  -0.764 0.225  -0.688 0.341  -0.613 0.412
3#app#app06#app0634/R  -0.568 0.890  -0.497 0.747  -0.444 0.555  -0.367 0.358  -0.286 0.175  -0.226 -0.014  -0.175 -0.207  -0.075 -0.392  0.037 -0.559  0.112 -0.750  0.206 -0.929  0.277 -1.114  0.347 -1.298  0.347 -1.351  0.223 -1.221  0.116 -1.060  -0.035 -0.909  -0.186 -0.758  -0.337 -0.607  -0.447 -0.426  -0.561 -0.248  -0.657 -0.057  -0.708 0.145  -0.779 0.342  -0.779 0.556  -0.779 0.769  -0.713 0.956  -0.661 1.148  -0.568 1.323  -0.442 1.453  -0.245 1.523  -0.031 1.523  0.128 1.391  0.206 1.209  0.206 0.996  0.206 0.782  0.206 0.568  0.126 0.388  -0.005 0.228  0.027 0.046  0.136 -0.059  0.227 -0.236  0.417 -0.313  0.538 -0.447  0.654 -0.613  0.821 -0.728  1.003 -0.810  1.131 -0.944  1.329 -1.010  1.543 -1.010
3#app#app06#app0634/E  -0.628 0.730  -0.496 0.638  -0.360 0.423  -0.245 0.193  -0.181 -0.049  -0.066 -0.279  0.024 -0.515  0.065 -0.761  0.171 -0.975  0.171 -1.039  0.014 -0.839  -0.143 -0.639  -0.279 -0.424  -0.379 -0.188  -0.485 0.046  -0.592 0.280  -0.681 0.521  -0.784 0.757  -0.873 0.993  -0.913 1.241  -0.829 1.300  -0.572 1.300  -0.338 1.357  -0.104 1.414  0.129 1.471  0.386 1.471  0.296 1.250  0.187 1.017  0.078 0.783  -0.031 0.550  -0.140 0.317  -0.248 0.084  -0.357 -0.149  -0.456 -0.373  -0.236 -0.411  -0.003 -0.354  0.245 -0.297  0.489 -0.240  0.711 -0.155  0.956 -0.126  0.821 -0.320  0.665 -0.524  0.509 -0.728  0.352 -0.933  0.228 -1.148  0.286 -1.380  0.544 -1.380  0.801 -1.380  1.034 -1.323  1.255 -1.209
3#app#app06#app0634/L  -0.618 1.576  -0.618 1.504  -0.610 1.435  -0.559 1.385  -0.551 1.316  -0.551 1.244  -0.501 1.193  -0.484 1.128  -0.484 1.056  -0.458 0.991  -0.426 0.926  -0.401 0.859  -0.378 0.791  -0.355 0.723  -0.325 0.658  -0.293 0.593  -0.268 0.526  -0.245 0.458  -0.222 0.390  -0.199 0.322  -0.177 0.254  -0.154 0.185  -0.108 0.132  -0.057 0.081  -0.011 0.027  0.016 -0.040  0.042 -0.107  0.069 -0.173  0.096 -0.240  0.123 -0.306  0.156 -0.371  0.188 -0.435  0.220 -0.499  0.250 -0.564  0.250 -0.636  0.261 -0.703  0.311 -0.754  0.362 -0.805  0.383 -0.868  0.383 -0.940  0.420 -0.997  0.450 -1.056  0.475 -1.118  0.526 -1.169  0.576 -1.219  0.584 -1.288  0.643 -1.323  0.708 -1.355  0.779 -1.360  0.784 -1.427
3#app#app06#app0634/S  -0.406 1.419  -0.406 1.506  -0.406 1.465  -0.406 1.378  -0.419 1.296  -0.461 1.227  -0.461 1.140  -0.486 1.063  -0.530 0.991  -0.558 0.909  -0.571 0.824  -0.605 0.745  -0.626 0.663  -0.626 0.576  -0.626 0.489  -0.626 0.402  -0.622 0.319  -0.535 0.319  -0.452 0.310  -0.384 0.264  -0.297 0.264  -0.219 0.242  -0.145 0.209  -0.064 0.197  -0.002 0.135  0.066 0.083  0.144 0.044  0.205 -0.017  0.267 -0.079  0.328 -0.140  0.390 -0.202  0.419 -0.277  0.454 -0.355  0.504 -0.425  0.565 -0.487  0.584 -0.566  0.596 -0.651  0.623 -0.734  0.639 -0.818  0.639 -0.905  0.639 -0.992  0.639 -1.079  0.600 -1.150  0.577 -1.227  0.516 -1.289  0.454 -1.350  0.393 -1.412  0.318 -1.441  0.231 -1.441  0.144 -1.441
3#app#app06#app0634/E  -0.484 1.189  -0.484 0.918  -0.420 0.673  -0.364 0.413  -0.293 0.156  -0.204 -0.096  -0.103 -0.346  -0.010 -0.583  0.088 -0.831  0.151 -1.076  0.215 -1.283  0.033 -1.169  -0.103 -0.943  -0.192 -0.703  -0.296 -0.453  -0.392 -0.201  -0.486 0.053  -0.572 0.310  -0.646 0.570  -0.674 0.838  -0.738 1.082  -0.738 1.353  -0.611 1.497  -0.349 1.506  -0.086 1.458  0.156 1.377  0.392 1.266  0.595 1.191  0.417 0.988  0.237 0.785  0.057 0.583  -0.123 0.380  -0.303 0.178  -0.420 -0.049  -0.308 -0.208  -0.053 -0.144  0.218 -0.144  0.474 -0.081  0.730 -0.017  0.862 -0.090  0.707 -0.312  0.551 -0.533  0.396 -0.755  0.241 -0.977  0.085 -1.199  0.088 -1.387  0.332 -1.414  0.577 -1.350  0.811 -1.262  1.040 -1.160
3#app#app06#app0634/{  -0.201 1.620  -0.261 1.592  -0.261 1.504  -0.278 1.422  -0.321 1.352  -0.360 1.280  -0.381 1.201  -0.400 1.120  -0.442 1.049  -0.482 0.977  -0.502 0.897  -0.502 0.809  -0.502 0.721  -0.478 0.656  -0.405 0.620  -0.327 0.596  -0.239 0.596  -0.165 0.560  -0.103 0.498  -0.040 0.436  -0.020 0.356  -0.020 0.267  -0.020 0.179  -0.020 0.091  -0.043 0.008  -0.080 -0.071  -0.080 -0.160  -0.020 -0.187  0.069 -0.187  0.100 -0.244  0.125 -0.308  0.161 -0.360  0.161 -0.448  0.161 -0.536  0.161 -0.625  0.161 -0.713  0.161 -0.801  0.161 -0.889  0.161 -0.978  0.161 -1.066  0.206 -1.136  0.268 -1.198  0.330 -1.260  0.414 -1.271  0.462 -1.312  0.530 -1.331  0.619 -1.331  0.707 -1.331  0.795 -1.331  0.883 -1.331
3#app#app06#app0634/y  0.491 1.378  0.491 1.206  0.388 1.137  0.388 0.965  0.388 0.792  0.388 0.620  0.388 0.448  0.388 0.276  0.388 0.104  0.388 -0.068  0.388 -0.241  0.388 -0.413  0.388 -0.585  0.388 -0.757  0.388 -0.929  0.386 -1.101  0.332 -1.264  0.285 -1.429  0.285 -1.601  0.285 -1.773  0.246 -1.693  0.193 -1.529  0.140 -1.366  0.087 -1.202  0.034 -1.038  -0.019 -0.874  -0.071 -0.710  -0.124 -0.546  -0.177 -0.382  -0.230 -0.219  -0.283 -0.055  -0.336 0.109  -0.389 0.273  -0.441 0.437  -0.494 0.601  -0.547 0.765  -0.600 0.928  -0.653 1.092  -0.706 1.256  -0.745 1.334  -0.665 1.195  -0.616 1.043  -0.539 0.903  -0.446 0.769  -0.324 0.648  -0.202 0.526  -0.080 0.404  -0.024 0.255  0.120 0.172  0.285 0.141
3#app#app06#app0634/o  -0.587 1.225  -0.497 1.225  -0.407 1.225  -0.317 1.225  -0.227 1.225  -0.137 1.225  -0.110 1.163  -0.110 1.073  -0.026 1.066  0.064 1.066  0.154 1.066  0.233 1.041  0.297 0.978  0.361 0.914  0.367 0.827  0.367 0.737  0.367 0.647  0.390 0.566  0.454 0.503  0.517 0.439  0.526 0.353  0.526 0.263  0.526 0.173  0.526 0.083  0.526 -0.007  0.504 -0.092  0.464 -0.172  0.423 -0.253  0.383 -0.333  0.367 -0.420  0.367 -0.510  0.314 -0.578  0.250 -0.641  0.187 -0.705  0.123 -0.768  0.060 -0.832  -0.026 -0.842  -0.114 -0.847  -0.178 -0.911  -0.242 -0.974  -0.305 -1.038  -0.369 -1.101  -0.434 -1.161  -0.524 -1.161  -0.614 -1.161  -0.704 -1.161  -0.794 -1.161  -0.884 -1.161  -0.974 -1.161  -1.064 -1.161
3#app#app06#app0634/u  -1.366 1.156  -1.366 1.014  -1.366 0.872  -1.287 0.763  -1.208 0.654  -1.198 0.516  -1.097 0.416  -1.051 0.293  -1.008 0.169  -0.908 0.069  -0.894 -0.067  -0.818 -0.178  -0.737 -0.286  -0.729 -0.424  -0.629 -0.525  -0.579 -0.646  -0.523 -0.731  -0.381 -0.731  -0.246 -0.713  -0.146 -0.612  -0.069 -0.496  -0.005 -0.369  0.050 -0.240  0.050 -0.098  0.050 0.044  0.142 0.147  0.207 0.262  0.231 0.394  0.332 0.494  0.364 0.623  0.364 0.765  0.429 0.841  0.521 0.792  0.521 0.650  0.521 0.508  0.525 0.370  0.667 0.370  0.679 0.240  0.760 0.131  0.836 0.021  0.836 -0.121  0.837 -0.262  0.901 -0.389  0.964 -0.516  0.993 -0.651  1.055 -0.731  1.151 -0.777  1.151 -0.919  1.166 -1.046  1.308 -1.046
