3#app#app06#app0679/a  0.512 0.784  0.493 0.784  0.314 0.784  0.169 0.704  0.023 0.623  -0.124 0.548  -0.235 0.410  -0.338 0.271  -0.487 0.171  -0.572 0.042  -0.710 -0.059  -0.803 -0.210  -0.900 -0.358  -0.952 -0.520  -1.022 -0.670  -1.092 -0.820  -1.169 -0.966  -1.169 -1.145  -1.143 -1.297  -0.964 -1.297  -0.849 -1.233  -0.734 -1.102  -0.608 -0.976  -0.529 -0.830  -0.412 -0.700  -0.316 -0.551  -0.207 -0.413  -0.126 -0.254  -0.049 -0.107  0.027 0.054  0.129 0.196  0.185 0.365  0.271 0.510  0.351 0.656  0.431 0.801  0.431 0.980  0.512 1.078  0.512 1.110  0.512 0.932  0.512 0.753  0.546 0.589  0.592 0.429  0.651 0.264  0.709 0.106  0.837 -0.017  1.013 -0.028  1.176 -0.097  1.355 -0.097  1.533 -0.097  1.712 -0.097
3#app#app06#app0679/b  0.278 1.853  0.278 2.046  0.147 1.950  0.104 1.767  0.082 1.579  0.079 1.386  0.018 1.203  0.017 1.010  -0.048 0.832  -0.048 0.639  -0.095 0.456  -0.123 0.270  -0.179 0.090  -0.179 -0.104  -0.244 -0.270  -0.244 -0.463  -0.244 -0.656  -0.244 -0.850  -0.244 -1.043  -0.319 -0.947  -0.413 -0.778  -0.507 -0.609  -0.598 -0.439  -0.635 -0.254  -0.635 -0.061  -0.607 0.121  -0.502 0.257  -0.343 0.353  -0.178 0.419  -0.011 0.483  0.182 0.483  0.374 0.473  0.553 0.404  0.708 0.314  0.760 0.157  0.839 0.013  0.865 -0.175  0.799 -0.341  0.782 -0.530  0.673 -0.687  0.536 -0.823  0.403 -0.962  0.283 -1.082  0.126 -1.168  -0.049 -1.212  -0.242 -1.212  -0.374 -1.113  -0.505 -1.012  -0.570 -0.884  -0.505 -0.886
3#app#app06#app0679/c  0.816 1.227  0.895 1.251  0.848 1.306  0.746 1.306  0.643 1.306  0.579 1.268  0.524 1.200  0.432 1.154  0.357 1.085  0.269 1.033  0.179 0.985  0.106 0.913  0.034 0.840  -0.039 0.768  -0.111 0.695  -0.184 0.623  -0.256 0.550  -0.329 0.478  -0.390 0.397  -0.435 0.305  -0.481 0.214  -0.527 0.122  -0.599 0.049  -0.648 -0.040  -0.692 -0.133  -0.724 -0.230  -0.756 -0.328  -0.765 -0.429  -0.765 -0.531  -0.765 -0.634  -0.765 -0.736  -0.702 -0.813  -0.614 -0.864  -0.522 -0.907  -0.419 -0.907  -0.317 -0.907  -0.214 -0.907  -0.112 -0.907  -0.009 -0.907  0.073 -0.859  0.163 -0.828  0.266 -0.828  0.368 -0.828  0.471 -0.828  0.500 -0.755  0.597 -0.749  0.699 -0.749  0.802 -0.749  0.879 -0.812  0.895 -0.907
3#app#app06#app0679/d  0.104 0.128  -0.076 0.128  -0.241 0.067  -0.368 -0.060  -0.496 -0.188  -0.590 -0.339  -0.718 -0.466  -0.809 -0.620  -0.889 -0.781  -0.970 -0.942  -1.055 -1.087  -1.087 -1.254  -0.998 -1.346  -0.847 -1.276  -0.720 -1.149  -0.623 -1.001  -0.474 -0.903  -0.369 -0.760  -0.252 -0.625  -0.142 -0.483  -0.049 -0.331  0.029 -0.173  0.157 -0.046  0.247 0.104  0.304 0.275  0.361 0.446  0.431 0.612  0.492 0.781  0.501 0.960  0.516 1.137  0.558 1.311  0.558 1.491  0.558 1.671  0.501 1.638  0.461 1.467  0.435 1.292  0.387 1.120  0.375 0.942  0.331 0.769  0.315 0.591  0.274 0.418  0.274 0.238  0.274 0.058  0.274 -0.123  0.274 -0.303  0.331 -0.459  0.392 -0.614  0.536 -0.701  0.684 -0.779  0.841 -0.836
3#app#app06#app0679/e  -0.389 -0.450  -0.296 -0.391  -0.158 -0.335  -0.074 -0.254  0.051 -0.189  0.164 -0.096  0.288 -0.024  0.414 0.057  0.525 0.159  0.651 0.243  0.762 0.346  0.828 0.470  0.893 0.595  0.912 0.738  0.868 0.879  0.853 1.027  0.729 1.093  0.658 1.205  0.522 1.241  0.380 1.264  0.228 1.264  0.096 1.217  -0.042 1.171  -0.160 1.079  -0.247 0.957  -0.314 0.821  -0.413 0.708  -0.480 0.576  -0.537 0.436  -0.598 0.297  -0.654 0.157  -0.684 0.011  -0.731 -0.130  -0.799 -0.265  -0.802 -0.416  -0.802 -0.568  -0.802 -0.719  -0.798 -0.869  -0.702 -0.985  -0.616 -1.110  -0.492 -1.175  -0.358 -1.219  -0.207 -1.219  -0.055 -1.219  0.094 -1.212  0.221 -1.128  0.364 -1.101  0.451 -1.030  0.583 -0.982  0.676 -0.923
3#app#app06#app0679/f  0.775 1.521  0.818 1.621  0.659 1.621  0.519 1.561  0.423 1.445  0.309 1.341  0.220 1.213  0.173 1.066  0.124 0.920  0.059 0.776  0.023 0.623  0.023 0.465  -0.008 0.310  -0.027 0.154  -0.027 -0.004  0.023 -0.150  0.023 -0.308  0.073 -0.455  0.086 -0.610  0.123 -0.759  0.123 -0.917  0.123 -1.075  0.073 -1.222  0.073 -1.380  0.073 -1.538  0.070 -1.681  0.003 -1.538  -0.065 -1.395  -0.132 -1.252  -0.199 -1.109  -0.267 -0.966  -0.334 -0.823  -0.401 -0.680  -0.469 -0.536  -0.536 -0.393  -0.603 -0.250  -0.671 -0.107  -0.744 0.032  -0.829 0.125  -0.720 0.196  -0.573 0.245  -0.426 0.301  -0.271 0.321  -0.125 0.378  0.030 0.409  0.186 0.424  0.333 0.468  0.480 0.518  0.634 0.527  0.775 0.568
3#app#app06#app0679/g  0.389 1.034  0.451 1.160  0.259 1.159  0.078 1.099  -0.077 1.010  -0.221 0.887  -0.350 0.758  -0.458 0.604  -0.567 0.449  -0.625 0.271  -0.724 0.110  -0.720 -0.041  -0.592 -0.105  -0.410 -0.082  -0.243 -0.010  -0.085 0.085  0.059 0.198  0.195 0.334  0.263 0.497  0.331 0.660  0.389 0.827  0.452 0.993  0.516 1.169  0.516 1.339  0.516 1.148  0.516 0.957  0.520 0.766  0.579 0.584  0.579 0.393  0.579 0.201  0.579 0.010  0.579 -0.182  0.579 -0.373  0.516 -0.538  0.450 -0.710  0.389 -0.883  0.322 -1.057  0.214 -1.213  0.061 -1.318  -0.074 -1.453  -0.222 -1.559  -0.398 -1.623  -0.544 -1.512  -0.653 -1.403  -0.686 -1.225  -0.686 -1.034  -0.686 -0.842  -0.686 -0.651  -0.669 -0.467  -0.496 -0.421
3#app#app06#app0679/h  0.225 1.908  0.225 2.053  0.152 1.986  0.104 1.861  0.079 1.727  0.079 1.583  0.032 1.449  -0.032 1.320  -0.068 1.184  -0.068 1.040  -0.087 0.899  -0.133 0.762  -0.141 0.618  -0.141 0.474  -0.141 0.330  -0.191 0.197  -0.214 0.058  -0.214 -0.086  -0.214 -0.231  -0.214 -0.375  -0.214 -0.519  -0.214 -0.664  -0.272 -0.784  -0.287 -0.922  -0.287 -1.067  -0.360 -1.181  -0.434 -1.226  -0.434 -1.081  -0.376 -0.961  -0.360 -0.823  -0.287 -0.709  -0.276 -0.569  -0.214 -0.450  -0.141 -0.379  -0.052 -0.272  0.050 -0.170  0.106 -0.054  0.225 0.017  0.308 0.079  0.379 0.005  0.445 -0.073  0.445 -0.218  0.445 -0.362  0.445 -0.506  0.395 -0.630  0.371 -0.765  0.371 -0.909  0.371 -1.054  0.371 -1.198  0.445 -1.312
3#app#app06#app0679/i  0.054 0.515  0.019 0.402  -0.025 0.292  -0.106 0.198  -0.191 0.104  -0.248 -0.010  -0.305 -0.125  -0.340 -0.244  -0.340 -0.372  -0.340 -0.500  -0.340 -0.627  -0.340 -0.755  -0.340 -0.883  -0.310 -0.981  -0.261 -1.060  -0.171 -1.150  -0.080 -1.240  0.025 -1.296  0.152 -1.296  0.280 -1.296  0.408 -1.296  0.526 -1.287  0.512 -1.161  0.480 -1.037  0.448 -0.913  0.416 -0.789  0.385 -0.666  0.353 -0.542  0.321 -0.418  0.289 -0.294  0.257 -0.171  0.225 -0.047  0.194 0.077  0.162 0.201  0.130 0.324  0.098 0.448  0.066 0.572  0.035 0.696  0.003 0.819  -0.029 0.943  -0.061 1.067  -0.093 1.191  -0.125 1.314  -0.156 1.438  -0.182 1.563  -0.255 1.618  -0.261 1.739  -0.340 1.762  -0.340 1.634  -0.261 1.539
3#app#app06#app0679/j  0.241 0.781  0.198 0.776  0.198 0.642  0.198 0.508  0.198 0.373  0.198 0.239  0.241 0.115  0.241 -0.019  0.241 -0.153  0.241 -0.287  0.241 -0.421  0.241 -0.556  0.198 -0.680  0.198 -0.814  0.174 -0.942  0.152 -1.071  0.077 -1.180  0.021 -1.293  -0.053 -1.404  -0.184 -1.411  -0.300 -1.368  -0.373 -1.282  -0.474 -1.228  -0.533 -1.116  -0.576 -0.999  -0.576 -0.865  -0.583 -0.810  -0.503 -0.731  -0.456 -0.606  -0.409 -0.480  -0.361 -0.355  -0.314 -0.229  -0.267 -0.103  -0.219 0.022  -0.172 0.148  -0.125 0.273  -0.077 0.399  -0.030 0.524  0.017 0.650  0.065 0.775  0.112 0.901  0.159 1.026  0.207 1.152  0.254 1.277  0.301 1.403  0.349 1.529  0.396 1.654  0.443 1.780  0.417 1.731  0.370 1.727
3#app#app06#app0679/k  0.091 1.865  0.045 1.957  0.022 1.762  -0.052 1.575  -0.117 1.380  -0.181 1.186  -0.232 0.988  -0.255 0.786  -0.281 0.585  -0.332 0.387  -0.394 0.192  -0.394 -0.012  -0.422 -0.214  -0.462 -0.415  -0.463 -0.619  -0.463 -0.824  -0.463 -1.029  -0.463 -1.233  -0.463 -1.438  -0.592 -1.330  -0.671 -1.199  -0.740 -1.064  -0.740 -0.859  -0.660 -0.687  -0.547 -0.520  -0.411 -0.369  -0.267 -0.224  -0.105 -0.103  0.052 0.025  0.224 0.131  0.389 0.248  0.543 0.345  0.685 0.483  0.865 0.561  1.030 0.656  1.181 0.677  1.002 0.577  0.824 0.477  0.646 0.376  0.467 0.276  0.289 0.176  0.111 0.075  0.022 -0.089  0.022 -0.294  0.077 -0.476  0.091 -0.674  0.180 -0.805  0.295 -0.971  0.441 -1.113  0.576 -1.183
