3#app#app06#app0688/v  -0.478 1.217  -0.478 1.338  -0.478 1.207  -0.478 1.076  -0.478 0.945  -0.478 0.814  -0.478 0.683  -0.478 0.552  -0.478 0.421  -0.478 0.290  -0.478 0.159  -0.478 0.028  -0.478 -0.103  -0.478 -0.234  -0.478 -0.365  -0.478 -0.496  -0.443 -0.618  -0.384 -0.735  -0.352 -0.859  -0.352 -0.990  -0.352 -1.121  -0.299 -1.230  -0.226 -1.331  -0.194 -1.429  -0.100 -1.392  -0.058 -1.303  0.026 -1.256  0.042 -1.127  0.084 -1.003  0.125 -0.879  0.185 -0.766  0.278 -0.673  0.278 -0.542  0.282 -0.412  0.341 -0.295  0.399 -0.178  0.458 -0.061  0.516 0.056  0.530 0.184  0.530 0.315  0.530 0.446  0.582 0.565  0.640 0.682  0.656 0.809  0.656 0.940  0.656 1.071  0.656 1.202  0.656 1.333  0.656 1.464  0.656 1.595
3#app#app06#app0688/e  -0.207 -0.394  -0.053 -0.389  0.058 -0.279  0.093 -0.136  0.207 -0.094  0.242 0.027  0.370 0.056  0.392 0.190  0.392 0.347  0.541 0.355  0.652 0.465  0.692 0.605  0.692 0.761  0.692 0.918  0.692 1.074  0.602 1.194  0.471 1.254  0.314 1.254  0.158 1.254  0.028 1.190  -0.083 1.079  -0.194 0.968  -0.345 0.955  -0.459 0.853  -0.547 0.725  -0.617 0.585  -0.704 0.458  -0.815 0.347  -0.925 0.236  -0.956 0.093  -0.956 -0.064  -0.956 -0.220  -0.956 -0.377  -0.956 -0.534  -0.810 -0.544  -0.738 -0.681  -0.668 -0.821  -0.526 -0.844  -0.409 -0.941  -0.274 -0.993  -0.118 -0.993  0.039 -0.993  0.195 -0.993  0.352 -0.993  0.508 -0.993  0.665 -0.993  0.822 -0.993  0.978 -0.993  1.135 -0.993  1.291 -0.993
3#app#app06#app0688/x  -1.280 0.328  -1.151 0.512  -1.036 0.702  -0.868 0.870  -0.674 0.977  -0.491 1.106  -0.253 1.106  -0.016 1.106  0.146 0.954  0.238 0.755  0.405 0.587  0.405 0.349  0.343 0.137  0.176 -0.031  0.080 -0.190  -0.107 -0.313  -0.275 -0.481  -0.461 -0.623  -0.665 -0.742  -0.862 -0.838  -1.046 -0.968  -1.284 -0.968  -1.298 -0.968  -1.111 -0.829  -0.927 -0.678  -0.744 -0.527  -0.561 -0.376  -0.377 -0.225  -0.194 -0.074  -0.011 0.077  0.173 0.228  0.356 0.379  0.539 0.530  0.723 0.681  0.906 0.832  0.839 0.717  0.658 0.581  0.535 0.394  0.375 0.299  0.233 0.113  0.146 -0.104  0.168 -0.320  0.276 -0.450  0.482 -0.526  0.697 -0.579  0.894 -0.679  1.119 -0.709  1.356 -0.709  1.594 -0.709  1.831 -0.709
3#app#app06#app0688/i  -0.156 0.668  -0.065 0.652  -0.158 0.559  -0.251 0.466  -0.343 0.373  -0.436 0.280  -0.480 0.167  -0.546 0.062  -0.639 -0.031  -0.696 -0.138  -0.696 -0.270  -0.765 -0.373  -0.804 -0.488  -0.804 -0.619  -0.717 -0.715  -0.696 -0.838  -0.608 -0.933  -0.484 -0.952  -0.390 -1.042  -0.266 -1.060  -0.135 -1.060  -0.016 -1.092  0.083 -1.168  0.215 -1.168  0.346 -1.168  0.384 -1.075  0.492 -1.051  0.482 -0.920  0.472 -0.789  0.462 -0.658  0.453 -0.527  0.443 -0.396  0.433 -0.264  0.424 -0.133  0.414 -0.002  0.404 0.129  0.394 0.260  0.385 0.391  0.375 0.522  0.365 0.653  0.356 0.785  0.346 0.916  0.336 1.047  0.326 1.178  0.317 1.309  0.307 1.440  0.297 1.571  0.288 1.702  0.278 1.834  0.276 1.965
3#app#app06#app0688/n  -0.832 -0.609  -0.832 -0.761  -0.832 -0.913  -0.981 -0.916  -0.986 -0.769  -0.986 -0.618  -0.843 -0.609  -0.832 -0.467  -0.733 -0.357  -0.645 -0.235  -0.578 -0.099  -0.501 0.030  -0.393 0.137  -0.286 0.245  -0.218 0.368  -0.218 0.520  -0.181 0.657  -0.074 0.764  0.034 0.871  0.089 1.000  0.140 1.131  0.247 1.239  0.355 1.346  0.462 1.453  0.550 1.514  0.550 1.362  0.533 1.217  0.426 1.110  0.397 0.970  0.397 0.819  0.349 0.678  0.281 0.542  0.243 0.399  0.243 0.247  0.243 0.096  0.243 -0.056  0.243 -0.208  0.202 -0.343  0.094 -0.450  0.089 -0.600  0.089 -0.752  0.089 -0.904  0.089 -1.056  0.227 -1.070  0.339 -1.166  0.467 -1.223  0.619 -1.223  0.751 -1.176  0.859 -1.070  1.011 -1.070
3#app#app06#app0688/g  0.471 1.199  0.392 1.128  0.275 1.054  0.195 0.951  0.084 0.874  -0.017 0.773  -0.086 0.695  -0.148 0.578  -0.126 0.456  0.005 0.485  0.106 0.586  0.225 0.643  0.285 0.761  0.339 0.881  0.440 0.982  0.471 1.113  0.471 1.255  0.471 1.247  0.471 1.104  0.471 0.961  0.471 0.818  0.471 0.675  0.436 0.538  0.409 0.400  0.409 0.257  0.397 0.116  0.344 -0.016  0.291 -0.149  0.245 -0.284  0.200 -0.420  0.151 -0.554  0.087 -0.682  0.028 -0.811  -0.017 -0.947  -0.079 -1.075  -0.142 -1.203  -0.265 -1.272  -0.332 -1.397  -0.448 -1.461  -0.576 -1.521  -0.696 -1.469  -0.766 -1.355  -0.766 -1.212  -0.766 -1.069  -0.766 -0.926  -0.737 -0.787  -0.701 -0.649  -0.642 -0.520  -0.576 -0.405  -0.457 -0.348
3#app#app06#app0688/d  -0.029 -0.000  -0.123 0.073  -0.276 -0.000  -0.430 -0.067  -0.567 -0.185  -0.723 -0.276  -0.852 -0.405  -0.981 -0.534  -1.051 -0.687  -1.180 -0.816  -1.250 -0.970  -1.284 -1.138  -1.135 -1.171  -0.970 -1.098  -0.878 -0.945  -0.728 -0.851  -0.593 -0.731  -0.464 -0.602  -0.335 -0.473  -0.206 -0.344  -0.077 -0.215  0.052 -0.086  0.193 0.027  0.339 0.129  0.449 0.275  0.558 0.421  0.639 0.584  0.721 0.747  0.802 0.910  0.884 1.073  0.996 1.214  1.059 1.382  1.000 1.506  0.905 1.366  0.784 1.231  0.655 1.102  0.568 0.943  0.445 0.809  0.357 0.655  0.296 0.483  0.215 0.320  0.135 0.156  0.077 -0.017  0.055 -0.195  0.055 -0.378  0.096 -0.543  0.177 -0.669  0.359 -0.669  0.541 -0.669  0.724 -0.669
3#app#app06#app0688/a  0.956 1.329  0.771 1.308  0.634 1.171  0.497 1.034  0.333 0.935  0.160 0.849  0.018 0.719  -0.119 0.582  -0.256 0.445  -0.393 0.308  -0.532 0.175  -0.705 0.088  -0.864 -0.013  -0.950 -0.186  -1.037 -0.359  -1.123 -0.532  -1.177 -0.713  -1.250 -0.877  -1.341 -1.033  -1.248 -1.132  -1.054 -1.132  -0.860 -1.132  -0.720 -1.003  -0.583 -0.867  -0.446 -0.730  -0.310 -0.593  -0.173 -0.456  -0.036 -0.319  0.101 -0.182  0.135 -0.003  0.307 0.024  0.444 0.160  0.464 0.346  0.495 0.509  0.628 0.569  0.628 0.763  0.628 0.956  0.479 1.001  0.464 0.822  0.464 0.629  0.464 0.435  0.464 0.242  0.464 0.048  0.464 -0.146  0.483 -0.331  0.620 -0.468  0.757 -0.605  0.792 -0.784  0.947 -0.882  1.120 -0.968
3#app#app06#app0688/f  0.872 1.871  0.830 1.749  0.732 1.650  0.662 1.531  0.599 1.406  0.534 1.284  0.457 1.168  0.383 1.050  0.331 0.920  0.279 0.791  0.226 0.662  0.128 0.564  0.050 0.452  0.006 0.320  -0.038 0.188  -0.082 0.055  -0.126 -0.077  -0.170 -0.209  -0.174 -0.348  -0.221 -0.476  -0.255 -0.608  -0.274 -0.743  -0.335 -0.868  -0.335 -1.007  -0.335 -1.146  -0.335 -1.286  -0.335 -1.425  -0.335 -1.565  -0.258 -1.554  -0.272 -1.415  -0.286 -1.277  -0.300 -1.138  -0.313 -0.999  -0.327 -0.861  -0.341 -0.722  -0.355 -0.583  -0.369 -0.445  -0.383 -0.306  -0.397 -0.167  -0.411 -0.028  -0.409 0.108  -0.300 0.181  -0.188 0.248  -0.066 0.290  0.045 0.371  0.172 0.423  0.303 0.460  0.432 0.503  0.572 0.503  0.711 0.503
3#app#app06#app0688/t  0.488 1.828  0.488 1.669  0.400 1.546  0.290 1.432  0.218 1.290  0.131 1.158  0.035 1.031  -0.060 0.904  -0.140 0.767  -0.223 0.633  -0.335 0.520  -0.425 0.391  -0.496 0.249  -0.567 0.107  -0.579 -0.049  -0.622 -0.198  -0.676 -0.344  -0.676 -0.504  -0.676 -0.663  -0.676 -0.822  -0.609 -0.953  -0.527 -1.087  -0.423 -1.177  -0.299 -1.262  -0.145 -1.274  0.014 -1.274  0.173 -1.274  0.332 -1.274  0.462 -1.203  0.602 -1.159  0.729 -1.080  0.719 -0.988  0.632 -0.854  0.546 -0.721  0.460 -0.587  0.373 -0.454  0.287 -0.320  0.200 -0.187  0.114 -0.053  0.028 0.080  -0.059 0.214  -0.145 0.347  -0.232 0.481  -0.288 0.623  -0.177 0.679  -0.052 0.762  0.107 0.762  0.266 0.762  0.425 0.762  0.584 0.762
3#app#app06#app0688/j  0.282 0.749  0.282 0.620  0.282 0.492  0.282 0.364  0.268 0.237  0.237 0.112  0.217 -0.014  0.217 -0.142  0.217 -0.271  0.217 -0.399  0.217 -0.528  0.217 -0.656  0.217 -0.785  0.217 -0.913  0.217 -1.042  0.149 -1.142  0.091 -1.257  0.049 -1.369  -0.069 -1.395  -0.197 -1.395  -0.300 -1.333  -0.391 -1.242  -0.435 -1.132  -0.492 -1.017  -0.534 -0.905  -0.563 -0.788  -0.563 -0.660  -0.563 -0.531  -0.550 -0.408  -0.498 -0.301  -0.498 -0.173  -0.396 -0.124  -0.332 -0.015  -0.280 0.102  -0.228 0.219  -0.176 0.337  -0.123 0.454  -0.071 0.571  -0.019 0.689  0.033 0.806  0.085 0.924  0.137 1.041  0.190 1.158  0.242 1.276  0.294 1.393  0.346 1.511  0.398 1.628  0.507 1.659  0.562 1.744  0.607 1.854
