3#app#app06#app0689/f  0.839 1.881  0.743 1.785  0.668 1.679  0.595 1.588  0.497 1.512  0.442 1.398  0.370 1.284  0.299 1.169  0.240 1.057  0.227 0.926  0.146 0.821  0.113 0.688  0.080 0.556  0.069 0.421  0.029 0.301  -0.016 0.183  -0.016 0.047  -0.016 -0.090  -0.016 -0.226  -0.016 -0.363  -0.016 -0.499  -0.016 -0.636  -0.016 -0.772  -0.016 -0.909  -0.016 -1.045  -0.016 -1.182  -0.016 -1.318  -0.016 -1.455  0.033 -1.542  0.022 -1.453  -0.042 -1.333  -0.107 -1.212  -0.171 -1.092  -0.235 -0.971  -0.299 -0.851  -0.363 -0.731  -0.428 -0.610  -0.492 -0.490  -0.556 -0.369  -0.615 -0.248  -0.615 -0.111  -0.530 -0.060  -0.475 0.054  -0.353 0.089  -0.257 0.186  -0.160 0.283  -0.064 0.379  0.053 0.426  0.189 0.426  0.326 0.426
3#app#app06#app0689/e  -0.812 -0.607  -0.656 -0.590  -0.622 -0.451  -0.463 -0.414  -0.339 -0.295  -0.173 -0.279  -0.050 -0.157  0.116 -0.139  0.241 -0.022  0.364 0.101  0.486 0.223  0.609 0.346  0.731 0.469  0.854 0.591  0.904 0.744  0.904 0.917  0.767 0.953  0.748 1.108  0.592 1.125  0.559 1.265  0.385 1.265  0.280 1.197  0.195 1.109  0.021 1.109  -0.117 1.024  -0.240 0.902  -0.362 0.779  -0.485 0.657  -0.568 0.506  -0.646 0.351  -0.762 0.223  -0.812 0.071  -0.897 -0.067  -0.968 -0.211  -0.968 -0.385  -0.968 -0.558  -0.880 -0.695  -0.758 -0.818  -0.627 -0.919  -0.453 -0.919  -0.280 -0.919  -0.106 -0.919  0.067 -0.919  0.240 -0.919  0.414 -0.919  0.587 -0.919  0.761 -0.919  0.925 -0.940  1.048 -1.063  1.216 -1.075
3#app#app06#app0689/w  -1.308 -0.026  -1.193 -0.026  -1.179 -0.127  -1.241 -0.217  -1.308 -0.304  -1.308 -0.419  -1.308 -0.534  -1.231 -0.464  -1.138 -0.412  -1.031 -0.392  -0.950 -0.311  -0.922 -0.208  -0.860 -0.155  -0.759 -0.121  -0.678 -0.039  -0.665 0.070  -0.582 0.102  -0.488 0.151  -0.406 0.231  -0.291 0.231  -0.279 0.128  -0.279 0.013  -0.279 -0.102  -0.279 -0.217  -0.231 -0.283  -0.126 -0.308  -0.045 -0.389  0.061 -0.412  0.176 -0.412  0.291 -0.412  0.406 -0.412  0.512 -0.392  0.593 -0.311  0.697 -0.283  0.794 -0.239  0.875 -0.158  0.956 -0.076  1.026 0.013  1.077 0.116  1.129 0.219  1.236 0.231  1.264 0.318  1.264 0.433  1.264 0.548  1.231 0.650  1.150 0.731  1.135 0.840  1.135 0.955  1.088 1.050  1.007 1.131
3#app#app06#app0689/q  0.197 0.949  -0.003 0.919  -0.146 0.806  -0.309 0.643  -0.472 0.480  -0.635 0.317  -0.799 0.154  -0.962 -0.009  -1.102 -0.182  -1.202 -0.371  -1.150 -0.550  -0.944 -0.491  -0.802 -0.319  -0.658 -0.178  -0.491 -0.026  -0.379 0.174  -0.286 0.366  -0.140 0.543  -0.012 0.735  0.077 0.930  0.100 1.149  0.197 1.283  0.297 1.426  0.297 1.195  0.259 0.974  0.197 0.758  0.197 0.527  0.129 0.313  0.097 0.090  0.012 -0.121  -0.003 -0.348  -0.058 -0.572  -0.103 -0.797  -0.158 -1.005  -0.203 -1.217  -0.203 -1.447  -0.174 -1.649  -0.061 -1.507  0.032 -1.315  0.159 -1.126  0.300 -0.947  0.438 -0.766  0.542 -0.560  0.673 -0.374  0.836 -0.211  0.998 -0.047  1.126 0.145  1.270 0.323  1.433 0.486  1.596 0.450
3#app#app06#app0689/u  -0.050 1.469  -0.084 1.295  -0.189 1.151  -0.251 0.989  -0.363 0.842  -0.447 0.674  -0.567 0.533  -0.666 0.376  -0.750 0.209  -0.854 0.053  -0.958 -0.103  -1.093 -0.202  -1.164 -0.319  -1.190 -0.481  -1.303 -0.555  -1.303 -0.743  -1.132 -0.759  -0.944 -0.759  -0.757 -0.759  -0.621 -0.634  -0.488 -0.502  -0.356 -0.369  -0.223 -0.236  -0.050 -0.202  0.090 -0.154  0.133 0.023  0.217 0.191  0.383 0.230  0.512 0.365  0.596 0.533  0.646 0.708  0.734 0.860  0.786 1.026  0.671 0.936  0.640 0.760  0.556 0.592  0.452 0.439  0.368 0.287  0.368 0.099  0.368 -0.088  0.368 -0.276  0.368 -0.463  0.488 -0.601  0.529 -0.759  0.709 -0.790  0.877 -0.874  1.059 -0.898  1.107 -1.038  1.294 -1.038  1.482 -1.038
3#app#app06#app0689/i  -0.123 -0.696  -0.123 -0.780  -0.123 -0.864  -0.123 -0.948  -0.155 -0.999  -0.239 -0.999  -0.275 -1.048  -0.275 -1.131  -0.275 -1.215  -0.275 -1.299  -0.194 -1.302  -0.122 -1.289  -0.112 -1.206  -0.103 -1.123  -0.094 -1.039  -0.085 -0.956  -0.075 -0.873  -0.066 -0.789  -0.057 -0.706  -0.047 -0.622  -0.038 -0.539  -0.029 -0.456  -0.020 -0.372  -0.010 -0.289  -0.001 -0.206  0.008 -0.122  0.017 -0.039  0.027 0.045  0.036 0.128  0.045 0.211  0.054 0.295  0.064 0.378  0.073 0.461  0.082 0.545  0.091 0.628  0.101 0.711  0.110 0.795  0.119 0.878  0.129 0.962  0.138 1.045  0.147 1.128  0.156 1.212  0.166 1.295  0.175 1.378  0.180 1.462  0.180 1.546  0.180 1.630  0.180 1.714  0.248 1.730  0.332 1.730
3#app#app06#app0689/p  0.171 1.215  0.167 1.029  0.084 0.861  0.082 0.674  0.079 0.487  0.042 0.304  0.006 0.120  -0.007 -0.066  -0.007 -0.253  -0.030 -0.435  -0.096 -0.607  -0.096 -0.794  -0.096 -0.982  -0.096 -1.169  -0.169 -1.339  -0.185 -1.522  -0.217 -1.702  -0.275 -1.876  -0.280 -1.749  -0.286 -1.562  -0.293 -1.375  -0.299 -1.187  -0.306 -1.000  -0.312 -0.813  -0.319 -0.626  -0.325 -0.438  -0.332 -0.251  -0.338 -0.064  -0.345 0.123  -0.351 0.310  -0.357 0.498  -0.361 0.683  -0.275 0.835  -0.159 0.974  -0.026 1.107  0.106 1.239  0.239 1.372  0.417 1.394  0.604 1.394  0.706 1.256  0.706 1.069  0.706 0.882  0.633 0.712  0.589 0.535  0.492 0.377  0.360 0.244  0.227 0.112  0.095 -0.021  -0.087 -0.033  -0.185 0.056
3#app#app06#app0689/s  1.009 1.457  0.998 1.315  0.847 1.315  0.704 1.294  0.597 1.187  0.489 1.079  0.357 1.032  0.205 1.032  0.112 0.938  0.044 0.802  -0.065 0.708  -0.201 0.640  -0.345 0.607  -0.471 0.544  -0.585 0.448  -0.721 0.380  -0.860 0.324  -0.974 0.287  -0.974 0.135  -0.917 0.041  -0.766 0.041  -0.614 0.041  -0.462 0.041  -0.310 0.041  -0.159 0.041  -0.007 0.041  0.145 0.041  0.297 0.041  0.448 0.041  0.595 0.029  0.703 -0.078  0.845 -0.101  0.867 -0.231  0.867 -0.383  0.725 -0.393  0.712 -0.539  0.605 -0.646  0.498 -0.754  0.377 -0.842  0.241 -0.910  0.099 -0.951  -0.046 -0.982  -0.181 -1.050  -0.323 -1.093  -0.455 -1.140  -0.568 -1.234  -0.720 -1.234  -0.860 -1.207  -0.967 -1.100  -0.833 -1.093
3#app#app06#app0689/g  0.553 0.951  0.553 1.117  0.445 1.174  0.315 1.086  0.198 0.968  0.081 0.851  -0.037 0.733  -0.154 0.616  -0.272 0.499  -0.342 0.361  -0.363 0.279  -0.197 0.279  -0.048 0.352  0.056 0.478  0.155 0.602  0.293 0.690  0.411 0.808  0.479 0.946  0.517 1.103  0.553 1.238  0.521 1.077  0.479 0.917  0.479 0.751  0.479 0.585  0.479 0.419  0.479 0.253  0.479 0.087  0.452 -0.073  0.404 -0.227  0.404 -0.394  0.404 -0.560  0.377 -0.722  0.337 -0.884  0.269 -1.034  0.168 -1.163  0.086 -1.307  -0.031 -1.424  -0.192 -1.436  -0.359 -1.436  -0.513 -1.388  -0.663 -1.338  -0.781 -1.221  -0.864 -1.089  -0.938 -0.954  -0.938 -0.788  -0.938 -0.622  -0.938 -0.455  -0.919 -0.298  -0.775 -0.243  -0.640 -0.168
3#app#app06#app0689/a  0.883 1.301  0.698 1.268  0.557 1.127  0.416 0.986  0.275 0.845  0.134 0.704  -0.007 0.564  -0.147 0.423  -0.302 0.298  -0.461 0.178  -0.621 0.058  -0.780 -0.061  -0.923 -0.200  -1.021 -0.372  -1.116 -0.546  -1.257 -0.687  -1.398 -0.828  -1.405 -1.024  -1.322 -1.140  -1.123 -1.140  -0.931 -1.123  -0.790 -0.982  -0.649 -0.842  -0.463 -0.808  -0.322 -0.668  -0.181 -0.527  -0.041 -0.386  0.100 -0.245  0.241 -0.104  0.274 0.082  0.415 0.222  0.448 0.408  0.578 0.553  0.578 0.753  0.578 0.952  0.578 1.146  0.556 0.952  0.467 0.774  0.350 0.615  0.273 0.448  0.273 0.249  0.273 0.050  0.351 -0.072  0.426 -0.196  0.578 -0.243  0.637 -0.406  0.815 -0.495  1.006 -0.530  1.156 -0.649  1.341 -0.682
3#app#app06#app0689/l  -1.126 -1.354  -1.043 -1.283  -0.984 -1.188  -0.926 -1.072  -0.802 -0.984  -0.673 -0.902  -0.547 -0.815  -0.420 -0.732  -0.311 -0.623  -0.202 -0.513  -0.093 -0.404  0.033 -0.317  0.147 -0.224  0.225 -0.096  0.363 -0.027  0.468 0.084  0.537 0.223  0.636 0.339  0.705 0.477  0.737 0.623  0.789 0.766  0.789 0.920  0.789 1.074  0.789 1.229  0.789 1.383  0.727 1.476  0.573 1.476  0.454 1.390  0.385 1.252  0.284 1.138  0.181 1.023  0.096 0.894  0.010 0.766  -0.075 0.638  -0.154 0.505  -0.227 0.369  -0.312 0.241  -0.394 0.110  -0.460 -0.029  -0.460 -0.183  -0.460 -0.338  -0.460 -0.492  -0.460 -0.646  -0.377 -0.717  -0.287 -0.816  -0.149 -0.885  -0.007 -0.938  0.147 -0.938  0.301 -0.938  0.456 -0.938
