3#app#app07#app0719/O  0.257 0.651  0.332 0.731  0.273 0.861  0.155 0.951  0.032 0.876  -0.107 0.807  -0.218 0.701  -0.328 0.591  -0.462 0.516  -0.547 0.393  -0.616 0.255  -0.710 0.134  -0.782 -0.002  -0.793 -0.154  -0.793 -0.309  -0.793 -0.464  -0.793 -0.619  -0.769 -0.770  -0.720 -0.916  -0.685 -1.063  -0.601 -1.190  -0.469 -1.247  -0.338 -1.303  -0.212 -1.374  -0.058 -1.374  0.062 -1.284  0.203 -1.224  0.328 -1.153  0.438 -1.043  0.547 -0.934  0.587 -0.790  0.632 -0.646  0.692 -0.506  0.707 -0.355  0.707 -0.200  0.707 -0.045  0.707 0.110  0.707 0.264  0.707 0.419  0.675 0.566  0.606 0.705  0.537 0.843  0.459 0.975  0.349 1.085  0.232 1.176  0.078 1.176  -0.077 1.176  -0.201 1.101  -0.307 1.023  -0.343 0.876
3#app#app07#app0719/v  -0.324 1.530  -0.324 1.393  -0.324 1.257  -0.324 1.120  -0.324 0.983  -0.324 0.846  -0.324 0.709  -0.324 0.572  -0.324 0.436  -0.324 0.299  -0.324 0.162  -0.324 0.025  -0.324 -0.112  -0.324 -0.249  -0.324 -0.386  -0.324 -0.522  -0.324 -0.659  -0.324 -0.796  -0.324 -0.933  -0.324 -1.070  -0.324 -1.207  -0.300 -1.319  -0.163 -1.319  -0.146 -1.439  -0.067 -1.497  0.032 -1.460  0.032 -1.323  0.032 -1.186  0.032 -1.050  0.068 -0.927  0.165 -0.831  0.210 -0.713  0.224 -0.579  0.285 -0.457  0.347 -0.334  0.389 -0.207  0.389 -0.071  0.389 0.066  0.389 0.203  0.389 0.340  0.389 0.477  0.389 0.614  0.389 0.750  0.389 0.887  0.389 1.024  0.389 1.161  0.389 1.298  0.389 1.435  0.430 1.530  0.567 1.530
3#app#app07#app0719/e  -0.079 -0.440  0.025 -0.335  0.152 -0.285  0.231 -0.215  0.293 -0.130  0.424 -0.091  0.529 0.014  0.541 0.157  0.628 0.268  0.748 0.335  0.851 0.381  0.851 0.529  0.851 0.676  0.851 0.824  0.851 0.972  0.841 1.110  0.693 1.110  0.545 1.110  0.398 1.110  0.250 1.110  0.102 1.110  -0.046 1.110  -0.160 1.030  -0.265 0.925  -0.369 0.820  -0.474 0.716  -0.578 0.611  -0.683 0.507  -0.787 0.402  -0.854 0.282  -0.854 0.135  -0.854 -0.013  -0.854 -0.161  -0.854 -0.309  -0.854 -0.457  -0.854 -0.605  -0.854 -0.752  -0.854 -0.900  -0.753 -1.006  -0.627 -1.060  -0.480 -1.060  -0.332 -1.060  -0.184 -1.060  -0.036 -1.060  0.112 -1.060  0.259 -1.060  0.407 -1.060  0.555 -1.060  0.703 -1.060  0.851 -1.060
3#app#app07#app0719/r  -0.595 -1.298  -0.595 -1.391  -0.595 -1.484  -0.595 -1.525  -0.595 -1.433  -0.595 -1.340  -0.595 -1.248  -0.595 -1.155  -0.595 -1.062  -0.541 -0.992  -0.476 -0.926  -0.469 -0.837  -0.469 -0.744  -0.462 -0.653  -0.420 -0.570  -0.379 -0.487  -0.343 -0.403  -0.343 -0.311  -0.343 -0.218  -0.316 -0.136  -0.251 -0.071  -0.216 0.008  -0.216 0.100  -0.216 0.193  -0.216 0.286  -0.216 0.378  -0.215 0.471  -0.174 0.553  -0.133 0.636  -0.091 0.719  -0.090 0.812  -0.050 0.888  0.015 0.953  0.099 0.974  0.192 0.974  0.285 0.974  0.351 0.911  0.417 0.846  0.482 0.780  0.551 0.721  0.643 0.721  0.736 0.721  0.794 0.686  0.795 0.595  0.888 0.595  0.980 0.595  1.073 0.595  1.166 0.595  1.233 0.534  1.299 0.469
3#app#app07#app0719/T  0.335 0.303  0.284 0.195  0.250 0.076  0.192 -0.039  0.165 -0.161  0.128 -0.282  0.070 -0.397  0.051 -0.521  -0.006 -0.626  -0.006 -0.755  -0.006 -0.883  -0.006 -1.012  -0.006 -1.141  -0.006 -1.270  -0.006 -1.398  -0.041 -1.400  -0.107 -1.290  -0.174 -1.179  -0.240 -1.069  -0.306 -0.959  -0.372 -0.848  -0.439 -0.738  -0.505 -0.627  -0.571 -0.517  -0.637 -0.407  -0.703 -0.296  -0.770 -0.186  -0.836 -0.076  -0.858 0.047  -0.828 0.163  -0.737 0.254  -0.635 0.330  -0.525 0.397  -0.422 0.474  -0.318 0.549  -0.211 0.621  -0.099 0.683  -0.000 0.764  0.104 0.832  0.225 0.875  0.316 0.966  0.432 1.017  0.554 1.058  0.676 1.099  0.791 1.156  0.907 1.212  1.035 1.217  1.160 1.248  1.286 1.269  1.415 1.269
3#app#app07#app0719/h  0.770 1.996  0.690 1.910  0.676 1.793  0.638 1.680  0.597 1.569  0.544 1.462  0.502 1.351  0.464 1.238  0.417 1.129  0.362 1.023  0.296 0.924  0.230 0.825  0.173 0.720  0.113 0.618  0.029 0.534  -0.044 0.442  -0.088 0.331  -0.132 0.220  -0.176 0.110  -0.227 0.002  -0.277 -0.106  -0.315 -0.219  -0.355 -0.331  -0.436 -0.417  -0.490 -0.524  -0.511 -0.638  -0.511 -0.757  -0.511 -0.876  -0.511 -0.939  -0.444 -0.887  -0.412 -0.788  -0.351 -0.695  -0.300 -0.596  -0.236 -0.498  -0.191 -0.389  -0.165 -0.276  -0.112 -0.169  -0.030 -0.202  -0.030 -0.321  -0.030 -0.440  -0.063 -0.552  -0.111 -0.660  -0.111 -0.779  -0.111 -0.898  -0.075 -1.003  -0.030 -1.103  0.063 -1.134  0.170 -1.187  0.284 -1.207  0.370 -1.288
3#app#app07#app0719/e  -0.333 -0.406  -0.199 -0.393  -0.180 -0.254  -0.076 -0.150  0.028 -0.045  0.069 0.085  0.142 0.202  0.263 0.263  0.389 0.315  0.471 0.429  0.502 0.563  0.604 0.667  0.616 0.810  0.720 0.914  0.738 1.053  0.738 1.200  0.634 1.305  0.499 1.334  0.352 1.334  0.243 1.241  0.139 1.137  0.035 1.033  -0.070 0.930  -0.201 0.864  -0.333 0.798  -0.342 0.655  -0.446 0.551  -0.550 0.447  -0.600 0.320  -0.664 0.199  -0.734 0.081  -0.734 -0.066  -0.734 -0.213  -0.734 -0.360  -0.734 -0.507  -0.734 -0.654  -0.734 -0.801  -0.635 -0.907  -0.531 -1.011  -0.410 -1.076  -0.263 -1.076  -0.140 -1.134  -0.024 -1.209  0.123 -1.209  0.270 -1.209  0.417 -1.209  0.565 -1.209  0.712 -1.209  0.859 -1.209  1.006 -1.209
3#app#app07#app0719/L  0.751 1.702  0.751 1.725  0.717 1.634  0.670 1.547  0.619 1.463  0.569 1.378  0.518 1.293  0.464 1.211  0.409 1.128  0.360 1.043  0.316 0.954  0.272 0.866  0.219 0.783  0.165 0.701  0.110 0.619  0.055 0.536  0.000 0.454  -0.054 0.372  -0.106 0.288  -0.137 0.195  -0.173 0.103  -0.228 0.021  -0.282 -0.061  -0.314 -0.154  -0.346 -0.248  -0.401 -0.330  -0.456 -0.412  -0.502 -0.499  -0.546 -0.587  -0.589 -0.676  -0.613 -0.772  -0.637 -0.868  -0.649 -0.965  -0.649 -1.063  -0.588 -1.096  -0.552 -1.019  -0.464 -0.974  -0.392 -0.909  -0.303 -0.865  -0.230 -0.800  -0.159 -0.733  -0.060 -0.733  0.016 -0.677  0.112 -0.672  0.191 -0.721  0.278 -0.748  0.358 -0.794  0.436 -0.845  0.507 -0.878  0.568 -0.916
3#app#app07#app0719/a  0.649 1.192  0.610 1.344  0.441 1.288  0.320 1.142  0.235 0.971  0.123 0.818  -0.027 0.703  -0.198 0.617  -0.316 0.478  -0.402 0.307  -0.505 0.145  -0.611 -0.014  -0.717 -0.173  -0.852 -0.309  -0.988 -0.445  -1.123 -0.580  -1.175 -0.750  -1.175 -0.942  -1.175 -1.134  -1.089 -1.239  -0.897 -1.239  -0.858 -1.087  -0.666 -1.087  -0.502 -1.022  -0.366 -0.887  -0.231 -0.751  -0.111 -0.609  -0.067 -0.436  0.068 -0.300  0.193 -0.161  0.193 0.031  0.260 0.195  0.377 0.344  0.462 0.515  0.497 0.698  0.497 0.890  0.497 1.082  0.497 1.112  0.497 0.920  0.497 0.729  0.497 0.537  0.497 0.345  0.497 0.154  0.615 0.011  0.649 -0.166  0.671 -0.349  0.801 -0.487  0.834 -0.664  0.970 -0.800  1.105 -0.935
3#app#app07#app0719/z  0.011 1.191  0.051 1.271  0.091 1.350  0.209 1.350  0.327 1.350  0.446 1.350  0.565 1.350  0.646 1.313  0.646 1.194  0.567 1.108  0.537 1.002  0.453 0.918  0.369 0.834  0.301 0.739  0.246 0.634  0.140 0.581  0.038 0.521  -0.061 0.455  -0.158 0.387  -0.242 0.303  -0.326 0.219  -0.386 0.125  -0.386 0.006  -0.273 0.001  -0.154 0.001  -0.035 0.001  0.011 -0.072  0.123 -0.079  0.241 -0.079  0.272 -0.180  0.329 -0.276  0.329 -0.394  0.329 -0.513  0.329 -0.632  0.292 -0.714  0.249 -0.790  0.168 -0.875  0.082 -0.956  -0.024 -1.010  -0.068 -1.101  -0.177 -1.111  -0.275 -1.160  -0.381 -1.190  -0.500 -1.190  -0.597 -1.243  -0.705 -1.270  -0.823 -1.270  -0.942 -1.269  -0.942 -1.150  -0.942 -1.032
3#app#app07#app0719/y  -0.116 1.302  -0.116 1.169  -0.116 1.036  -0.116 0.902  -0.096 0.778  -0.002 0.684  0.109 0.629  0.158 0.713  0.220 0.784  0.327 0.851  0.434 0.927  0.528 1.021  0.563 1.140  0.664 1.218  0.724 1.145  0.724 1.012  0.724 0.879  0.724 0.746  0.713 0.618  0.640 0.515  0.640 0.382  0.640 0.249  0.599 0.126  0.529 0.014  0.460 -0.094  0.427 -0.223  0.395 -0.352  0.341 -0.473  0.269 -0.583  0.191 -0.689  0.129 -0.806  0.035 -0.900  -0.059 -0.994  -0.153 -1.088  -0.247 -1.182  -0.365 -1.219  -0.498 -1.219  -0.631 -1.219  -0.704 -1.159  -0.788 -1.110  -0.862 -1.051  -0.900 -0.940  -0.956 -0.830  -0.956 -0.697  -0.926 -0.571  -0.864 -0.454  -0.769 -0.360  -0.668 -0.277  -0.549 -0.217  -0.452 -0.127
