3#app#app07#app0725/A  -0.002 0.277  -0.120 0.082  -0.243 -0.127  -0.310 -0.356  -0.392 -0.581  -0.491 -0.804  -0.542 -1.041  -0.610 -1.257  -0.619 -1.342  -0.619 -1.098  -0.619 -0.853  -0.619 -0.609  -0.561 -0.378  -0.509 -0.140  -0.468 0.101  -0.465 0.345  -0.390 0.577  -0.290 0.800  -0.213 1.032  -0.127 1.261  -0.036 1.487  0.059 1.711  0.197 1.910  0.319 1.885  0.418 1.676  0.461 1.441  0.488 1.201  0.538 0.965  0.538 0.720  0.538 0.476  0.538 0.231  0.538 -0.013  0.538 -0.258  0.538 -0.502  0.553 -0.741  0.616 -0.960  0.708 -1.111  0.603 -1.037  0.379 -0.938  0.156 -0.838  -0.068 -0.739  -0.291 -0.640  -0.515 -0.540  -0.619 -0.364  -0.413 -0.276  -0.190 -0.185  0.040 -0.126  0.281 -0.108  0.525 -0.108  0.770 -0.108
3#app#app07#app0725/c  1.014 1.016  1.014 1.120  0.929 1.140  0.825 1.140  0.720 1.140  0.616 1.140  0.513 1.136  0.419 1.089  0.326 1.043  0.236 0.991  0.149 0.933  0.062 0.875  -0.025 0.817  -0.112 0.761  -0.206 0.715  -0.299 0.668  -0.368 0.597  -0.415 0.504  -0.462 0.411  -0.532 0.335  -0.605 0.261  -0.679 0.187  -0.715 0.097  -0.715 -0.007  -0.726 -0.107  -0.800 -0.180  -0.838 -0.269  -0.838 -0.373  -0.838 -0.477  -0.838 -0.581  -0.742 -0.589  -0.660 -0.644  -0.586 -0.718  -0.513 -0.791  -0.427 -0.836  -0.322 -0.836  -0.218 -0.836  -0.114 -0.836  -0.010 -0.836  0.095 -0.836  0.199 -0.836  0.303 -0.836  0.408 -0.836  0.512 -0.836  0.616 -0.836  0.720 -0.836  0.825 -0.836  0.929 -0.836  1.033 -0.836  1.138 -0.836
3#app#app07#app0725/q  -0.210 0.994  -0.401 0.975  -0.513 0.807  -0.662 0.713  -0.757 0.536  -0.899 0.394  -1.002 0.281  -1.002 0.094  -0.923 -0.075  -0.722 -0.075  -0.534 -0.043  -0.392 0.099  -0.286 0.205  -0.168 0.365  -0.053 0.527  -0.032 0.719  -0.032 0.920  -0.032 0.866  -0.032 0.664  -0.032 0.463  -0.032 0.262  -0.032 0.061  -0.078 -0.122  -0.121 -0.305  -0.121 -0.506  -0.165 -0.697  -0.210 -0.888  -0.210 -1.089  -0.210 -1.291  -0.299 -1.403  -0.345 -1.593  -0.376 -1.578  -0.299 -1.409  -0.218 -1.241  -0.125 -1.063  -0.035 -0.883  0.088 -0.727  0.178 -0.547  0.287 -0.380  0.424 -0.234  0.520 -0.058  0.662 0.084  0.792 0.236  0.882 0.416  0.986 0.586  1.127 0.729  1.219 0.908  1.361 1.050  1.460 1.172  1.572 1.083
3#app#app07#app0725/u  -0.293 1.203  -0.300 1.048  -0.412 0.936  -0.524 0.824  -0.636 0.712  -0.751 0.608  -0.895 0.588  -0.945 0.438  -0.995 0.288  -1.037 0.136  -1.072 0.013  -1.186 -0.032  -1.186 -0.190  -1.186 -0.348  -1.186 -0.507  -1.186 -0.665  -1.094 -0.732  -0.936 -0.732  -0.777 -0.732  -0.619 -0.732  -0.461 -0.732  -0.343 -0.633  -0.231 -0.521  -0.109 -0.434  0.036 -0.402  0.148 -0.290  0.155 -0.135  0.267 -0.023  0.411 0.013  0.451 0.131  0.451 0.289  0.548 0.407  0.600 0.544  0.600 0.702  0.600 0.861  0.600 0.792  0.600 0.634  0.600 0.476  0.600 0.317  0.602 0.160  0.714 0.048  0.749 -0.096  0.833 -0.220  0.945 -0.332  1.047 -0.448  1.070 -0.583  1.229 -0.583  1.374 -0.613  1.486 -0.725  1.642 -0.732
3#app#app07#app0725/i  -0.276 -0.592  -0.276 -0.680  -0.332 -0.713  -0.398 -0.735  -0.398 -0.824  -0.398 -0.912  -0.398 -1.001  -0.390 -1.086  -0.328 -1.149  -0.276 -1.216  -0.276 -1.305  -0.205 -1.322  -0.149 -1.285  -0.137 -1.197  -0.124 -1.109  -0.112 -1.022  -0.099 -0.934  -0.087 -0.846  -0.074 -0.759  -0.061 -0.671  -0.049 -0.584  -0.036 -0.496  -0.024 -0.408  -0.011 -0.321  0.001 -0.233  0.014 -0.145  0.026 -0.058  0.039 0.030  0.051 0.118  0.064 0.205  0.076 0.293  0.089 0.381  0.101 0.468  0.114 0.556  0.126 0.644  0.139 0.731  0.151 0.819  0.164 0.906  0.176 0.994  0.189 1.082  0.201 1.169  0.233 1.235  0.322 1.235  0.333 1.313  0.333 1.401  0.333 1.490  0.333 1.578  0.399 1.600  0.454 1.634  0.454 1.722
3#app#app07#app0725/r  -0.125 -0.870  -0.125 -0.980  -0.172 -1.070  -0.250 -1.148  -0.279 -1.246  -0.279 -1.356  -0.279 -1.466  -0.371 -1.483  -0.432 -1.434  -0.432 -1.324  -0.432 -1.214  -0.432 -1.104  -0.432 -0.994  -0.432 -0.884  -0.432 -0.774  -0.432 -0.664  -0.432 -0.555  -0.432 -0.445  -0.432 -0.335  -0.432 -0.225  -0.432 -0.115  -0.388 -0.016  -0.339 0.083  -0.290 0.181  -0.279 0.288  -0.260 0.394  -0.211 0.492  -0.162 0.590  -0.125 0.692  -0.125 0.802  -0.125 0.911  -0.125 1.021  -0.117 1.123  -0.007 1.123  0.103 1.123  0.213 1.123  0.323 1.123  0.334 1.025  0.389 0.969  0.488 0.958  0.488 0.848  0.565 0.816  0.665 0.792  0.743 0.714  0.821 0.637  0.898 0.559  0.948 0.469  0.948 0.359  1.023 0.281  1.101 0.203
3#app#app07#app0725/e  -1.155 -0.589  -0.988 -0.589  -0.820 -0.589  -0.740 -0.501  -0.624 -0.450  -0.472 -0.385  -0.321 -0.312  -0.164 -0.289  -0.045 -0.170  0.073 -0.052  0.192 0.067  0.310 0.185  0.366 0.329  0.449 0.463  0.567 0.581  0.643 0.717  0.643 0.885  0.643 1.052  0.537 1.176  0.504 1.330  0.355 1.348  0.187 1.348  0.040 1.298  -0.091 1.209  -0.219 1.146  -0.294 0.996  -0.394 0.864  -0.512 0.746  -0.602 0.616  -0.602 0.448  -0.646 0.291  -0.721 0.141  -0.740 -0.022  -0.730 -0.185  -0.611 -0.303  -0.591 -0.462  -0.472 -0.580  -0.354 -0.699  -0.198 -0.727  -0.076 -0.838  0.080 -0.865  0.201 -0.977  0.357 -1.004  0.525 -1.004  0.692 -1.004  0.860 -1.004  1.027 -1.004  1.155 -0.907  1.305 -0.865  1.472 -0.865
3#app#app07#app0725/2  -0.449 0.421  -0.449 0.543  -0.449 0.664  -0.449 0.785  -0.399 0.894  -0.374 1.010  -0.274 1.045  -0.188 1.131  -0.082 1.169  0.033 1.205  0.148 1.244  0.269 1.244  0.390 1.244  0.493 1.200  0.598 1.166  0.598 1.045  0.598 0.924  0.598 0.803  0.548 0.693  0.493 0.585  0.439 0.477  0.385 0.368  0.305 0.278  0.219 0.193  0.118 0.126  0.017 0.059  -0.045 -0.043  -0.113 -0.141  -0.199 -0.226  -0.285 -0.312  -0.370 -0.398  -0.426 -0.505  -0.480 -0.614  -0.541 -0.718  -0.626 -0.803  -0.673 -0.905  -0.673 -1.026  -0.601 -1.075  -0.492 -1.106  -0.389 -1.150  -0.268 -1.150  -0.147 -1.150  -0.026 -1.150  0.096 -1.150  0.217 -1.150  0.338 -1.150  0.459 -1.150  0.580 -1.150  0.702 -1.150  0.823 -1.150
3#app#app07#app0725/%  1.005 1.098  0.857 0.950  0.703 0.746  0.588 0.515  0.381 0.372  0.235 0.160  0.052 -0.023  -0.131 -0.206  -0.292 -0.404  -0.448 -0.607  -0.585 -0.822  -0.716 -1.042  -0.809 -1.271  -0.842 -1.522  -0.829 -1.564  -0.797 -1.308  -0.766 -1.051  -0.735 -0.795  -0.704 -0.538  -0.673 -0.282  -0.642 -0.025  -0.611 0.231  -0.580 0.488  -0.549 0.745  -0.518 1.001  -0.620 0.984  -0.659 0.762  -0.485 0.846  -0.422 1.041  -0.506 1.216  -0.558 1.156  -0.359 0.991  -0.159 0.827  0.040 0.663  0.240 0.499  0.439 0.334  0.639 0.170  0.836 0.007  0.669 -0.134  0.535 -0.346  0.417 -0.513  0.433 -0.765  0.663 -0.833  0.838 -0.749  1.045 -0.625  1.089 -0.384  1.064 -0.136  0.881 0.046  0.676 0.175  0.669 -0.077
3#app#app07#app0725/M  -0.803 0.098  -0.835 -0.136  -0.873 -0.370  -0.971 -0.587  -1.048 -0.809  -1.151 -0.971  -1.207 -1.155  -1.221 -1.069  -1.168 -0.841  -1.081 -0.634  -0.978 -0.425  -0.832 -0.238  -0.706 -0.034  -0.612 0.184  -0.464 0.368  -0.381 0.591  -0.237 0.783  -0.078 0.962  0.112 1.064  0.172 0.849  0.172 0.610  0.169 0.370  0.062 0.156  0.017 -0.074  -0.091 -0.288  -0.136 -0.518  -0.233 -0.725  -0.187 -0.819  -0.067 -0.629  -0.011 -0.407  0.116 -0.209  0.201 0.016  0.346 0.203  0.462 0.410  0.559 0.624  0.691 0.817  0.834 0.987  0.980 1.171  1.078 1.331  1.078 1.091  1.061 0.852  1.014 0.617  0.939 0.394  0.890 0.162  0.799 -0.058  0.778 -0.293  0.730 -0.522  0.719 -0.759  0.660 -0.985  0.730 -1.155
3#app#app07#app0725/I  0.479 1.379  0.479 1.455  0.479 1.531  0.479 1.457  0.479 1.382  0.479 1.306  0.479 1.230  0.479 1.154  0.479 1.078  0.447 1.010  0.413 0.942  0.379 0.874  0.345 0.806  0.303 0.744  0.249 0.690  0.195 0.637  0.173 0.570  0.173 0.494  0.173 0.419  0.173 0.343  0.143 0.279  0.090 0.225  0.036 0.172  -0.018 0.118  -0.071 0.064  -0.125 0.011  -0.133 -0.062  -0.133 -0.138  -0.133 -0.214  -0.133 -0.290  -0.177 -0.347  -0.230 -0.401  -0.284 -0.455  -0.286 -0.530  -0.286 -0.606  -0.286 -0.682  -0.286 -0.757  -0.286 -0.833  -0.286 -0.909  -0.335 -0.965  -0.389 -1.018  -0.439 -1.073  -0.439 -1.149  -0.439 -1.225  -0.439 -1.301  -0.439 -1.377  -0.439 -1.453  -0.438 -1.528  -0.362 -1.528  -0.286 -1.528
