3#app#app07#app0781/i  -0.216 -0.299  -0.321 -0.299  -0.335 -0.389  -0.410 -0.418  -0.455 -0.478  -0.455 -0.583  -0.455 -0.688  -0.444 -0.788  -0.370 -0.862  -0.280 -0.896  -0.216 -0.937  -0.190 -1.015  -0.089 -1.023  -0.015 -1.097  0.074 -1.135  0.179 -1.135  0.262 -1.157  0.261 -1.247  0.252 -1.143  0.244 -1.039  0.235 -0.935  0.226 -0.830  0.218 -0.726  0.209 -0.622  0.200 -0.518  0.191 -0.414  0.183 -0.309  0.174 -0.205  0.165 -0.101  0.157 0.003  0.148 0.108  0.139 0.212  0.131 0.316  0.122 0.420  0.113 0.524  0.105 0.629  0.096 0.733  0.087 0.837  0.079 0.941  0.070 1.045  0.061 1.150  0.053 1.254  0.044 1.358  0.035 1.462  0.026 1.566  0.023 1.671  -0.022 1.731  -0.097 1.761  -0.097 1.836  -0.097 1.731
3#app#app07#app0781/n  -1.181 -0.705  -1.181 -0.824  -1.159 -0.920  -1.040 -0.920  -0.967 -0.965  -0.967 -1.083  -0.967 -1.067  -0.967 -0.948  -0.876 -0.920  -0.758 -0.920  -0.752 -0.807  -0.752 -0.688  -0.752 -0.570  -0.724 -0.462  -0.640 -0.378  -0.556 -0.294  -0.472 -0.211  -0.388 -0.127  -0.322 -0.035  -0.322 0.083  -0.288 0.188  -0.204 0.272  -0.121 0.356  -0.107 0.469  -0.105 0.587  -0.021 0.671  0.063 0.755  0.108 0.855  0.108 0.974  0.186 1.014  0.305 1.014  0.323 0.913  0.327 0.799  0.446 0.799  0.537 0.772  0.537 0.653  0.587 0.584  0.706 0.584  0.752 0.512  0.752 0.393  0.819 0.302  0.903 0.218  0.967 0.126  0.967 0.007  1.018 -0.060  1.137 -0.060  1.182 -0.134  1.182 -0.253  1.278 -0.275  1.397 -0.275
3#app#app07#app0781/o  0.594 0.718  0.449 0.718  0.334 0.787  0.232 0.889  0.096 0.909  -0.028 0.861  -0.129 0.759  -0.257 0.718  -0.389 0.690  -0.491 0.588  -0.593 0.486  -0.695 0.384  -0.797 0.283  -0.898 0.181  -0.934 0.051  -0.934 -0.093  -0.934 -0.237  -0.934 -0.381  -0.934 -0.525  -0.934 -0.669  -0.931 -0.812  -0.829 -0.914  -0.728 -1.016  -0.626 -1.118  -0.512 -1.191  -0.368 -1.191  -0.224 -1.191  -0.080 -1.191  0.051 -1.161  0.153 -1.059  0.255 -0.957  0.357 -0.855  0.459 -0.753  0.561 -0.651  0.594 -0.521  0.629 -0.392  0.731 -0.290  0.784 -0.168  0.784 -0.024  0.784 0.120  0.784 0.264  0.784 0.408  0.784 0.552  0.784 0.696  0.698 0.805  0.596 0.906  0.594 1.050  0.500 1.100  0.403 1.147  0.403 1.291
3#app#app07#app0781/n  -0.960 -0.832  -0.960 -0.959  -0.970 -1.075  -1.096 -1.075  -1.189 -1.061  -1.100 -0.972  -1.010 -0.883  -0.960 -0.778  -0.960 -0.651  -0.914 -0.544  -0.825 -0.455  -0.736 -0.366  -0.718 -0.247  -0.718 -0.121  -0.608 -0.105  -0.482 -0.105  -0.475 0.015  -0.473 0.140  -0.384 0.229  -0.295 0.318  -0.233 0.419  -0.233 0.545  -0.184 0.622  -0.058 0.622  0.010 0.681  0.010 0.807  0.058 0.913  0.147 1.002  0.236 1.091  0.356 1.107  0.482 1.107  0.495 0.994  0.495 0.868  0.582 0.778  0.671 0.689  0.737 0.590  0.737 0.464  0.737 0.338  0.737 0.212  0.737 0.086  0.737 -0.040  0.737 -0.166  0.737 -0.293  0.808 -0.348  0.935 -0.348  0.980 -0.428  0.980 -0.555  1.044 -0.654  1.133 -0.743  1.222 -0.832
3#app#app07#app0781/e  -1.016 -0.935  -0.844 -0.935  -0.672 -0.935  -0.619 -0.817  -0.527 -0.737  -0.356 -0.737  -0.195 -0.710  -0.073 -0.589  -0.023 -0.438  0.029 -0.287  0.151 -0.166  0.272 -0.044  0.375 0.085  0.375 0.257  0.496 0.378  0.574 0.518  0.574 0.690  0.574 0.862  0.574 1.033  0.574 1.205  0.484 1.340  0.357 1.449  0.186 1.449  0.014 1.449  -0.118 1.353  -0.221 1.224  -0.221 1.052  -0.393 1.052  -0.484 0.922  -0.561 0.769  -0.619 0.610  -0.619 0.439  -0.619 0.267  -0.619 0.095  -0.619 -0.077  -0.619 -0.249  -0.537 -0.339  -0.420 -0.394  -0.400 -0.557  -0.279 -0.679  -0.131 -0.737  0.034 -0.765  0.188 -0.842  0.341 -0.919  0.509 -0.935  0.681 -0.935  0.853 -0.935  1.025 -0.935  1.197 -0.935  1.368 -0.935
3#app#app07#app0781/c  1.036 0.915  0.930 0.915  0.889 0.982  0.863 1.063  0.756 1.063  0.649 1.063  0.542 1.063  0.435 1.063  0.328 1.063  0.244 1.007  0.169 0.932  0.093 0.856  0.017 0.781  -0.075 0.728  -0.171 0.680  -0.266 0.632  -0.347 0.564  -0.423 0.488  -0.523 0.473  -0.617 0.441  -0.693 0.365  -0.768 0.290  -0.844 0.214  -0.880 0.122  -0.880 0.015  -0.880 -0.092  -0.880 -0.199  -0.851 -0.293  -0.775 -0.369  -0.732 -0.458  -0.728 -0.563  -0.652 -0.639  -0.577 -0.715  -0.501 -0.790  -0.420 -0.854  -0.313 -0.854  -0.206 -0.854  -0.099 -0.854  0.007 -0.854  0.114 -0.854  0.221 -0.854  0.328 -0.854  0.435 -0.854  0.542 -0.854  0.649 -0.854  0.756 -0.854  0.863 -0.854  0.970 -0.854  1.077 -0.854  1.184 -0.854
3#app#app07#app0781/l  -1.216 -1.151  -1.054 -1.151  -0.927 -1.064  -0.794 -1.012  -0.721 -0.867  -0.582 -0.819  -0.510 -0.687  -0.424 -0.560  -0.282 -0.482  -0.151 -0.389  -0.037 -0.274  0.101 -0.190  0.221 -0.092  0.293 0.053  0.409 0.166  0.555 0.238  0.649 0.362  0.735 0.498  0.850 0.612  0.901 0.754  0.901 0.916  0.901 1.079  0.901 1.241  0.800 1.303  0.703 1.369  0.541 1.369  0.413 1.285  0.272 1.206  0.141 1.114  0.008 1.024  -0.122 0.936  -0.195 0.791  -0.302 0.670  -0.377 0.527  -0.473 0.398  -0.510 0.251  -0.510 0.089  -0.510 -0.074  -0.510 -0.236  -0.510 -0.399  -0.500 -0.557  -0.410 -0.682  -0.313 -0.748  -0.192 -0.849  -0.052 -0.903  0.091 -0.950  0.253 -0.950  0.410 -0.963  0.537 -1.050  0.598 -1.151
3#app#app07#app0781/a  0.796 0.820  0.657 0.959  0.474 0.992  0.450 0.820  0.253 0.820  0.071 0.785  -0.069 0.646  -0.208 0.507  -0.375 0.407  -0.551 0.319  -0.697 0.190  -0.837 0.050  -0.976 -0.089  -1.115 -0.228  -1.254 -0.367  -1.393 -0.506  -1.448 -0.680  -1.448 -0.877  -1.330 -1.025  -1.156 -1.079  -0.959 -1.079  -0.762 -1.079  -0.622 -0.943  -0.482 -0.804  -0.315 -0.734  -0.240 -0.612  -0.094 -0.561  0.009 -0.409  0.097 -0.233  0.231 -0.090  0.278 0.087  0.433 0.129  0.455 0.306  0.594 0.445  0.623 0.630  0.623 0.827  0.623 1.024  0.623 1.110  0.623 0.913  0.623 0.716  0.623 0.519  0.623 0.323  0.623 0.126  0.623 -0.071  0.675 -0.216  0.796 -0.292  0.796 -0.489  0.920 -0.561  0.969 -0.710  1.141 -0.734
3#app#app07#app0781/w  -0.603 0.645  -0.603 0.509  -0.715 0.484  -0.764 0.397  -0.827 0.322  -0.952 0.296  -1.049 0.199  -1.087 0.078  -1.145 -0.000  -1.249 -0.034  -1.249 -0.170  -1.249 -0.307  -1.249 -0.444  -1.153 -0.485  -1.016 -0.485  -0.893 -0.452  -0.796 -0.356  -0.700 -0.259  -0.603 -0.162  -0.466 -0.162  -0.441 -0.051  -0.355 -0.000  -0.236 0.043  -0.139 0.140  -0.118 0.054  -0.118 -0.083  -0.118 -0.219  -0.086 -0.323  0.043 -0.331  0.043 -0.468  0.163 -0.485  0.300 -0.485  0.436 -0.485  0.573 -0.485  0.689 -0.464  0.689 -0.327  0.822 -0.323  0.927 -0.247  1.028 -0.162  1.165 -0.162  1.173 -0.034  1.247 0.073  1.335 0.173  1.335 0.310  1.335 0.446  1.335 0.583  1.335 0.720  1.335 0.856  1.335 0.993  1.335 1.130
3#app#app07#app0781/e  -1.002 -0.597  -0.814 -0.597  -0.625 -0.597  -0.437 -0.597  -0.318 -0.527  -0.288 -0.369  -0.100 -0.369  -0.090 -0.190  0.049 -0.141  0.208 -0.071  0.341 0.063  0.520 0.087  0.594 0.201  0.668 0.315  0.822 0.350  0.822 0.538  0.822 0.727  0.822 0.915  0.748 1.073  0.615 1.206  0.482 1.339  0.341 1.455  0.153 1.455  0.015 1.332  -0.118 1.199  -0.251 1.066  -0.384 0.933  -0.518 0.800  -0.694 0.771  -0.774 0.663  -0.774 0.474  -0.774 0.286  -0.774 0.097  -0.774 -0.091  -0.774 -0.279  -0.675 -0.369  -0.546 -0.428  -0.527 -0.597  -0.338 -0.597  -0.318 -0.765  -0.190 -0.825  -0.090 -0.914  -0.041 -1.053  0.148 -1.053  0.336 -1.053  0.524 -1.053  0.713 -1.053  0.901 -1.053  1.089 -1.053  1.278 -1.053
3#app#app07#app0781/d  0.154 -0.105  -0.044 -0.105  -0.242 -0.105  -0.440 -0.105  -0.617 -0.194  -0.791 -0.258  -0.931 -0.398  -1.034 -0.495  -1.133 -0.652  -1.133 -0.850  -0.983 -0.897  -0.785 -0.897  -0.629 -0.793  -0.452 -0.705  -0.296 -0.600  -0.113 -0.535  0.042 -0.415  0.182 -0.275  0.350 -0.204  0.527 -0.116  0.649 0.027  0.672 0.215  0.812 0.355  0.914 0.523  0.946 0.714  0.946 0.912  0.946 1.110  0.946 1.308  0.927 1.498  0.763 1.579  0.589 1.519  0.449 1.379  0.309 1.239  0.169 1.099  0.029 0.959  -0.111 0.818  -0.211 0.650  -0.242 0.459  -0.334 0.299  -0.341 0.104  -0.341 -0.094  -0.341 -0.292  -0.341 -0.490  -0.242 -0.647  -0.209 -0.832  -0.137 -0.996  0.030 -1.071  0.199 -1.141  0.373 -1.205  0.550 -1.293
