3#app#app08#app0847/[  0.848 0.648  0.848 0.749  0.848 0.850  0.779 0.882  0.756 0.960  0.655 0.960  0.572 1.003  0.485 1.038  0.384 1.038  0.283 1.038  0.182 1.038  0.081 1.038  -0.020 1.038  -0.121 1.038  -0.222 1.038  -0.246 0.960  -0.339 0.943  -0.400 0.867  -0.400 0.766  -0.400 0.665  -0.400 0.564  -0.400 0.462  -0.437 0.377  -0.478 0.293  -0.478 0.192  -0.478 0.090  -0.478 -0.011  -0.478 -0.112  -0.476 -0.212  -0.405 -0.284  -0.400 -0.383  -0.400 -0.484  -0.400 -0.585  -0.395 -0.684  -0.323 -0.755  -0.322 -0.856  -0.322 -0.957  -0.322 -1.058  -0.231 -1.068  -0.166 -1.104  -0.107 -1.147  -0.006 -1.147  0.095 -1.147  0.196 -1.147  0.276 -1.198  0.366 -1.225  0.467 -1.225  0.568 -1.225  0.669 -1.225  0.692 -1.303
3#app#app08#app0847/(  0.640 1.421  0.714 1.421  0.721 1.393  0.668 1.340  0.616 1.288  0.564 1.236  0.511 1.183  0.459 1.131  0.422 1.072  0.422 0.998  0.379 0.942  0.326 0.889  0.274 0.837  0.221 0.785  0.182 0.723  0.149 0.657  0.116 0.590  0.075 0.529  0.023 0.477  -0.020 0.419  -0.044 0.349  -0.067 0.278  -0.091 0.208  -0.114 0.138  -0.122 0.065  -0.133 -0.005  -0.185 -0.057  -0.231 -0.112  -0.231 -0.186  -0.231 -0.260  -0.241 -0.330  -0.293 -0.383  -0.340 -0.438  -0.340 -0.512  -0.340 -0.586  -0.340 -0.660  -0.340 -0.734  -0.340 -0.808  -0.340 -0.882  -0.340 -0.956  -0.340 -1.030  -0.340 -1.104  -0.340 -1.179  -0.340 -1.253  -0.328 -1.324  -0.294 -1.390  -0.261 -1.456  -0.227 -1.522  -0.174 -1.574  -0.122 -1.626
3#app#app08#app0847/1  0.356 1.535  0.356 1.462  0.356 1.388  0.356 1.314  0.296 1.301  0.222 1.301  0.148 1.301  0.122 1.254  0.122 1.180  0.122 1.106  0.122 1.033  0.122 0.959  0.122 0.885  0.122 0.811  0.122 0.738  0.122 0.664  0.117 0.593  0.064 0.541  0.012 0.488  -0.040 0.436  -0.092 0.384  -0.112 0.319  -0.112 0.245  -0.112 0.172  -0.112 0.098  -0.112 0.024  -0.112 -0.050  -0.112 -0.123  -0.112 -0.197  -0.112 -0.271  -0.112 -0.344  -0.112 -0.418  -0.112 -0.492  -0.112 -0.565  -0.112 -0.639  -0.112 -0.713  -0.112 -0.787  -0.112 -0.860  -0.112 -0.934  -0.112 -1.008  -0.112 -1.081  -0.112 -1.155  -0.112 -1.229  -0.112 -1.302  -0.112 -1.376  -0.112 -1.450  -0.112 -1.524  -0.112 -1.597  -0.112 -1.671  -0.112 -1.745
3#app#app08#app0847/)  -0.408 1.423  -0.408 1.505  -0.332 1.510  -0.321 1.440  -0.256 1.423  -0.233 1.364  -0.196 1.298  -0.146 1.237  -0.142 1.157  -0.085 1.100  -0.059 1.029  -0.031 0.959  0.027 0.901  0.064 0.829  0.100 0.756  0.116 0.678  0.145 0.608  0.203 0.551  0.203 0.469  0.203 0.388  0.203 0.306  0.203 0.225  0.244 0.160  0.290 0.098  0.290 0.016  0.290 -0.065  0.290 -0.147  0.290 -0.228  0.290 -0.310  0.290 -0.392  0.227 -0.409  0.203 -0.467  0.203 -0.549  0.203 -0.630  0.203 -0.712  0.178 -0.783  0.121 -0.841  0.116 -0.920  0.067 -0.982  0.009 -1.039  -0.048 -1.097  -0.126 -1.108  -0.146 -1.169  -0.202 -1.195  -0.233 -1.245  -0.264 -1.313  -0.322 -1.371  -0.380 -1.429  -0.437 -1.486  -0.495 -1.544
3#app#app08#app0847/(  0.425 1.382  0.425 1.457  0.425 1.482  0.425 1.407  0.390 1.347  0.336 1.293  0.299 1.234  0.299 1.158  0.266 1.097  0.212 1.044  0.159 0.991  0.106 0.937  0.053 0.884  -0.000 0.831  -0.054 0.778  -0.077 0.712  -0.077 0.637  -0.124 0.582  -0.178 0.528  -0.203 0.463  -0.203 0.388  -0.203 0.313  -0.203 0.238  -0.203 0.163  -0.203 0.087  -0.203 0.012  -0.203 -0.063  -0.203 -0.138  -0.203 -0.214  -0.203 -0.289  -0.203 -0.364  -0.203 -0.439  -0.203 -0.514  -0.203 -0.590  -0.203 -0.665  -0.203 -0.740  -0.203 -0.815  -0.197 -0.889  -0.163 -0.956  -0.129 -1.024  -0.096 -1.091  -0.062 -1.158  -0.028 -1.226  0.005 -1.293  0.039 -1.360  0.087 -1.417  0.140 -1.470  0.193 -1.524  0.246 -1.577  0.299 -1.630
3#app#app08#app0847/2  -1.065 0.950  -1.065 1.068  -0.964 1.085  -0.846 1.085  -0.728 1.085  -0.609 1.085  -0.491 1.085  -0.375 1.079  -0.269 1.026  -0.163 0.973  -0.050 0.950  0.068 0.950  0.186 0.950  0.300 0.939  0.383 0.855  0.485 0.815  0.559 0.771  0.559 0.653  0.552 0.537  0.469 0.454  0.385 0.370  0.302 0.287  0.218 0.203  0.135 0.120  0.051 0.036  -0.033 -0.048  -0.116 -0.131  -0.234 -0.133  -0.253 -0.232  -0.253 -0.350  -0.318 -0.403  -0.422 -0.437  -0.506 -0.521  -0.524 -0.631  -0.470 -0.727  -0.387 -0.811  -0.303 -0.894  -0.206 -0.945  -0.096 -0.966  -0.013 -1.049  0.093 -1.080  0.211 -1.080  0.329 -1.080  0.447 -1.080  0.565 -1.080  0.684 -1.080  0.802 -1.080  0.894 -1.144  0.982 -1.215  1.100 -1.215
3#app#app08#app0847/)  -0.853 1.402  -0.775 1.402  -0.710 1.371  -0.654 1.315  -0.599 1.260  -0.544 1.205  -0.477 1.176  -0.402 1.173  -0.402 1.095  -0.369 1.030  -0.314 0.975  -0.258 0.919  -0.203 0.864  -0.176 0.797  -0.172 0.720  -0.117 0.665  -0.063 0.609  -0.063 0.531  -0.031 0.466  0.025 0.411  0.050 0.343  0.055 0.267  0.111 0.212  0.162 0.155  0.162 0.077  0.197 0.013  0.252 -0.043  0.275 -0.111  0.275 -0.190  0.275 -0.268  0.314 -0.330  0.369 -0.385  0.388 -0.456  0.388 -0.534  0.388 -0.612  0.388 -0.691  0.388 -0.769  0.388 -0.847  0.388 -0.925  0.388 -1.003  0.388 -1.082  0.333 -1.137  0.277 -1.192  0.222 -1.248  0.167 -1.303  0.111 -1.358  0.056 -1.414  0.050 -1.489  0.015 -1.533  -0.063 -1.533
3#app#app08#app0847/(  0.429 1.634  0.429 1.559  0.429 1.484  0.429 1.409  0.429 1.334  0.429 1.259  0.429 1.184  0.405 1.119  0.352 1.066  0.299 1.013  0.246 0.960  0.193 0.907  0.139 0.854  0.102 0.795  0.102 0.720  0.096 0.647  0.043 0.594  -0.010 0.541  -0.061 0.487  -0.061 0.412  -0.061 0.337  -0.107 0.281  -0.160 0.228  -0.213 0.175  -0.224 0.105  -0.224 0.030  -0.224 -0.045  -0.224 -0.120  -0.224 -0.195  -0.224 -0.270  -0.224 -0.345  -0.224 -0.420  -0.224 -0.495  -0.224 -0.570  -0.224 -0.645  -0.224 -0.720  -0.224 -0.795  -0.224 -0.870  -0.224 -0.945  -0.224 -1.020  -0.224 -1.095  -0.206 -1.162  -0.153 -1.215  -0.100 -1.268  -0.061 -1.327  -0.061 -1.402  -0.057 -1.475  -0.004 -1.528  0.049 -1.581  0.102 -1.634
3#app#app08#app0847/3  -0.843 1.142  -0.679 1.142  -0.529 1.176  -0.408 1.282  -0.244 1.282  -0.097 1.238  0.027 1.142  0.192 1.142  0.280 1.066  0.380 1.001  0.545 1.001  0.569 0.861  0.702 0.829  0.663 0.681  0.546 0.565  0.430 0.448  0.272 0.431  0.156 0.315  -0.002 0.299  -0.166 0.299  -0.331 0.299  -0.495 0.299  -0.660 0.299  -0.703 0.178  -0.558 0.158  -0.402 0.138  -0.286 0.022  -0.128 0.005  -0.012 -0.111  0.146 -0.128  0.262 -0.245  0.419 -0.263  0.443 -0.404  0.594 -0.436  0.702 -0.556  0.702 -0.721  0.702 -0.885  0.702 -1.049  0.594 -1.106  0.429 -1.106  0.310 -1.216  0.158 -1.246  -0.006 -1.246  -0.171 -1.246  -0.335 -1.246  -0.491 -1.212  -0.639 -1.138  -0.795 -1.106  -0.960 -1.106  -0.984 -0.965
3#app#app08#app0847/)  -0.643 1.519  -0.565 1.519  -0.503 1.482  -0.448 1.427  -0.392 1.372  -0.337 1.317  -0.332 1.241  -0.332 1.163  -0.319 1.090  -0.264 1.035  -0.208 0.980  -0.153 0.925  -0.124 0.859  -0.117 0.784  -0.061 0.729  -0.006 0.674  0.049 0.619  0.084 0.555  0.085 0.478  0.120 0.408  0.155 0.338  0.187 0.268  0.187 0.190  0.228 0.129  0.283 0.073  0.291 -0.001  0.291 -0.079  0.291 -0.157  0.291 -0.235  0.291 -0.313  0.291 -0.391  0.291 -0.469  0.291 -0.547  0.291 -0.625  0.291 -0.703  0.291 -0.781  0.291 -0.859  0.244 -0.917  0.189 -0.972  0.187 -1.050  0.137 -1.077  0.084 -1.102  0.084 -1.180  0.029 -1.235  -0.026 -1.290  -0.081 -1.346  -0.136 -1.401  -0.191 -1.456  -0.254 -1.493  -0.332 -1.493
3#app#app08#app0847/(  0.364 1.197  0.449 1.197  0.534 1.197  0.609 1.207  0.609 1.292  0.609 1.262  0.589 1.197  0.504 1.197  0.438 1.149  0.378 1.088  0.318 1.028  0.258 0.968  0.197 0.908  0.137 0.848  0.077 0.787  0.017 0.727  -0.029 0.656  -0.067 0.580  -0.105 0.504  -0.153 0.435  -0.213 0.374  -0.273 0.314  -0.334 0.254  -0.372 0.185  -0.372 0.099  -0.372 0.014  -0.401 -0.059  -0.461 -0.119  -0.495 -0.191  -0.495 -0.276  -0.495 -0.361  -0.495 -0.446  -0.495 -0.531  -0.495 -0.617  -0.453 -0.684  -0.393 -0.745  -0.332 -0.805  -0.272 -0.865  -0.212 -0.925  -0.152 -0.986  -0.091 -1.046  -0.031 -1.106  0.029 -1.166  0.089 -1.227  0.150 -1.287  0.210 -1.347  0.270 -1.407  0.330 -1.468  0.402 -1.501  0.487 -1.501
3#app#app08#app0847/4  -0.908 1.520  -0.781 1.388  -0.781 1.203  -0.781 1.018  -0.908 0.886  -0.952 0.719  -1.034 0.569  -1.034 0.384  -1.160 0.251  -1.226 0.132  -1.286 0.008  -1.156 -0.120  -0.971 -0.120  -0.908 -0.242  -0.728 -0.247  -0.543 -0.247  -0.367 -0.301  -0.192 -0.359  -0.014 -0.383  0.123 -0.499  0.308 -0.499  0.489 -0.508  0.625 -0.625  0.810 -0.625  0.995 -0.625  1.092 -0.560  1.037 -0.384  0.983 -0.207  0.929 -0.031  0.874 0.146  0.820 0.323  0.766 0.499  0.711 0.676  0.657 0.852  0.607 1.001  0.607 0.817  0.607 0.632  0.607 0.447  0.521 0.298  0.479 0.131  0.354 -0.003  0.307 -0.168  0.228 -0.320  0.135 -0.466  0.102 -0.637  0.052 -0.801  -0.024 -0.954  -0.024 -1.139  -0.024 -1.324  -0.024 -1.509
3#app#app08#app0847/)  -0.694 1.466  -0.611 1.466  -0.551 1.409  -0.480 1.380  -0.396 1.380  -0.350 1.343  -0.326 1.270  -0.267 1.211  -0.208 1.152  -0.149 1.093  -0.093 1.033  -0.093 0.950  -0.093 0.867  -0.035 0.807  0.024 0.748  0.081 0.689  0.118 0.614  0.156 0.540  0.165 0.459  0.192 0.382  0.229 0.307  0.251 0.229  0.265 0.149  0.302 0.075  0.337 -0.000  0.339 -0.083  0.398 -0.142  0.423 -0.215  0.423 -0.298  0.423 -0.381  0.423 -0.464  0.423 -0.548  0.423 -0.631  0.399 -0.705  0.340 -0.763  0.337 -0.845  0.261 -0.853  0.199 -0.905  0.141 -0.963  0.082 -1.022  0.023 -1.081  -0.044 -1.129  -0.118 -1.167  -0.194 -1.197  -0.278 -1.197  -0.350 -1.207  -0.358 -1.283  -0.442 -1.283  -0.522 -1.285  -0.522 -1.368
3#app#app08#app0847/(  0.421 1.471  0.495 1.471  0.524 1.452  0.471 1.399  0.419 1.346  0.366 1.293  0.313 1.241  0.260 1.188  0.208 1.135  0.176 1.074  0.176 0.999  0.136 0.941  0.083 0.889  0.054 0.826  0.054 0.752  0.054 0.677  0.045 0.606  -0.008 0.554  -0.060 0.501  -0.068 0.429  -0.068 0.355  -0.068 0.280  -0.068 0.206  -0.068 0.131  -0.068 0.057  -0.084 -0.011  -0.136 -0.064  -0.189 -0.117  -0.190 -0.191  -0.190 -0.265  -0.190 -0.340  -0.190 -0.414  -0.190 -0.489  -0.190 -0.563  -0.190 -0.638  -0.190 -0.713  -0.190 -0.787  -0.190 -0.862  -0.190 -0.936  -0.190 -1.011  -0.190 -1.085  -0.190 -1.160  -0.178 -1.229  -0.125 -1.282  -0.072 -1.335  -0.068 -1.407  -0.068 -1.482  -0.068 -1.556  -0.068 -1.631  -0.068 -1.705
3#app#app08#app0847/5  -0.622 0.984  -0.763 0.843  -0.807 0.662  -0.833 0.469  -0.900 0.285  -0.900 0.086  -0.900 -0.113  -0.811 -0.223  -0.642 -0.150  -0.529 -0.052  -0.371 0.028  -0.183 0.056  0.016 0.056  0.215 0.056  0.322 -0.037  0.454 -0.146  0.572 -0.303  0.648 -0.471  0.678 -0.658  0.678 -0.857  0.637 -1.047  0.502 -1.151  0.397 -1.246  0.235 -1.337  0.036 -1.337  -0.119 -1.217  -0.302 -1.151  -0.455 -1.039  -0.621 -0.963  -0.592 -0.766  -0.562 -0.569  -0.533 -0.372  -0.503 -0.175  -0.473 0.022  -0.444 0.219  -0.414 0.416  -0.385 0.613  -0.355 0.811  -0.318 0.984  -0.119 0.984  0.065 0.947  0.241 0.891  0.436 0.873  0.618 0.798  0.817 0.798  1.010 0.771  1.194 0.705  1.393 0.705  1.592 0.705  1.699 0.613
3#app#app08#app0847/)  -0.619 1.350  -0.616 1.427  -0.536 1.427  -0.459 1.421  -0.403 1.364  -0.335 1.323  -0.264 1.288  -0.214 1.231  -0.179 1.160  -0.134 1.095  -0.078 1.039  -0.021 0.982  0.020 0.916  0.056 0.844  0.072 0.768  0.072 0.689  0.100 0.618  0.144 0.551  0.188 0.485  0.231 0.418  0.266 0.347  0.302 0.275  0.302 0.196  0.302 0.116  0.302 0.037  0.302 -0.043  0.302 -0.123  0.302 -0.202  0.302 -0.282  0.302 -0.362  0.302 -0.441  0.302 -0.521  0.302 -0.600  0.277 -0.670  0.225 -0.728  0.225 -0.808  0.216 -0.884  0.160 -0.940  0.104 -0.996  0.072 -1.063  0.034 -1.105  -0.034 -1.133  -0.093 -1.182  -0.159 -1.196  -0.171 -1.271  -0.227 -1.327  -0.303 -1.335  -0.383 -1.335  -0.389 -1.409  -0.465 -1.412
