3#app#app11#app1178/Q  0.277 0.319  0.360 0.464  0.330 0.680  0.194 0.852  0.067 0.987  -0.055 1.123  -0.258 1.147  -0.487 1.147  -0.667 1.032  -0.770 0.846  -0.931 0.685  -0.975 0.475  -1.049 0.277  -1.131 0.069  -1.131 -0.159  -1.131 -0.388  -1.124 -0.615  -1.052 -0.831  -0.871 -0.936  -0.706 -1.089  -0.478 -1.089  -0.250 -1.089  -0.034 -1.038  0.170 -0.936  0.347 -0.794  0.532 -0.663  0.648 -0.469  0.774 -0.293  0.854 -0.098  0.857 0.129  0.857 0.357  0.849 0.583  0.754 0.791  0.672 1.001  0.575 1.103  0.440 0.919  0.306 0.735  0.171 0.551  0.036 0.367  -0.099 0.183  -0.234 -0.001  -0.200 -0.116  -0.055 -0.235  0.113 -0.345  0.274 -0.507  0.360 -0.699  0.479 -0.878  0.641 -1.039  0.814 -1.172  0.939 -1.338
3#app#app11#app1178/U  -0.978 0.862  -0.978 0.693  -0.978 0.524  -1.041 0.382  -1.082 0.230  -1.082 0.061  -1.082 -0.108  -1.082 -0.277  -1.082 -0.446  -1.071 -0.610  -0.978 -0.740  -0.978 -0.909  -0.854 -1.016  -0.686 -1.016  -0.517 -1.016  -0.359 -0.967  -0.208 -0.892  -0.057 -0.816  0.066 -0.702  0.185 -0.583  0.305 -0.463  0.378 -0.325  0.470 -0.194  0.483 -0.030  0.483 0.139  0.533 0.287  0.587 0.433  0.587 0.602  0.587 0.771  0.587 0.940  0.587 1.109  0.541 1.267  0.483 1.422  0.471 1.386  0.453 1.218  0.434 1.050  0.415 0.883  0.397 0.715  0.378 0.547  0.378 0.378  0.398 0.217  0.483 0.084  0.483 -0.085  0.483 -0.254  0.483 -0.423  0.483 -0.592  0.587 -0.718  0.587 -0.886  0.627 -1.016  0.691 -1.120
3#app#app11#app1178/I  -0.209 1.650  -0.159 1.600  -0.109 1.551  -0.060 1.501  -0.059 1.431  -0.059 1.361  -0.059 1.290  -0.059 1.220  -0.059 1.150  -0.059 1.080  -0.059 1.009  -0.059 0.939  -0.059 0.869  -0.059 0.799  -0.059 0.728  -0.059 0.658  -0.059 0.588  -0.059 0.517  -0.059 0.447  -0.059 0.377  -0.059 0.307  -0.059 0.236  -0.059 0.166  -0.059 0.096  -0.059 0.026  -0.059 -0.045  -0.059 -0.115  -0.047 -0.183  -0.025 -0.250  -0.002 -0.317  0.020 -0.383  0.042 -0.450  0.064 -0.517  0.086 -0.583  0.091 -0.653  0.091 -0.723  0.091 -0.793  0.091 -0.864  0.091 -0.934  0.091 -1.004  0.091 -1.074  0.091 -1.145  0.091 -1.215  0.091 -1.285  0.091 -1.356  0.091 -1.426  0.092 -1.496  0.141 -1.546  0.191 -1.595  0.241 -1.645
3#app#app11#app1178/C  0.517 0.551  0.517 0.659  0.591 0.736  0.628 0.828  0.628 0.936  0.628 1.043  0.628 1.151  0.587 1.217  0.479 1.217  0.371 1.217  0.264 1.217  0.164 1.197  0.088 1.121  0.074 1.019  -0.010 0.995  -0.094 0.938  -0.148 0.853  -0.168 0.754  -0.244 0.677  -0.298 0.585  -0.346 0.489  -0.370 0.387  -0.406 0.294  -0.481 0.218  -0.481 0.110  -0.514 0.008  -0.548 -0.094  -0.582 -0.196  -0.592 -0.302  -0.592 -0.410  -0.592 -0.518  -0.592 -0.625  -0.592 -0.733  -0.592 -0.841  -0.535 -0.891  -0.443 -0.929  -0.370 -1.007  -0.369 -1.113  -0.262 -1.113  -0.154 -1.113  -0.046 -1.113  0.061 -1.113  0.169 -1.113  0.277 -1.113  0.384 -1.113  0.483 -1.075  0.579 -1.027  0.681 -1.002  0.774 -0.967  0.850 -0.891
3#app#app11#app1178/K  -0.726 1.550  -0.596 1.434  -0.596 1.188  -0.596 0.943  -0.596 0.697  -0.596 0.451  -0.596 0.206  -0.596 -0.040  -0.596 -0.285  -0.596 -0.531  -0.596 -0.777  -0.523 -0.992  -0.466 -1.214  -0.456 -1.421  -0.342 -1.203  -0.228 -0.986  -0.114 -0.768  -0.000 -0.550  0.113 -0.333  0.227 -0.115  0.341 0.102  0.455 0.320  0.569 0.537  0.683 0.755  0.797 0.973  0.911 1.190  0.960 1.160  0.833 1.041  0.629 0.956  0.418 0.874  0.244 0.700  0.070 0.527  -0.076 0.418  -0.284 0.380  -0.400 0.250  -0.515 0.120  -0.621 -0.035  -0.726 -0.043  -0.596 0.073  -0.466 0.052  -0.336 -0.140  -0.144 -0.270  0.050 -0.395  0.234 -0.554  0.454 -0.664  0.673 -0.774  0.798 -0.979  0.983 -1.124  1.180 -1.265  1.353 -1.439
3#app#app11#app1178/L  -0.607 1.563  -0.607 1.477  -0.607 1.390  -0.607 1.303  -0.607 1.216  -0.607 1.130  -0.607 1.043  -0.607 0.956  -0.607 0.870  -0.607 0.783  -0.607 0.696  -0.607 0.609  -0.607 0.523  -0.607 0.436  -0.607 0.349  -0.607 0.263  -0.607 0.176  -0.607 0.089  -0.551 0.026  -0.489 -0.036  -0.483 -0.120  -0.483 -0.207  -0.483 -0.293  -0.483 -0.380  -0.483 -0.467  -0.466 -0.536  -0.379 -0.536  -0.292 -0.536  -0.205 -0.536  -0.119 -0.536  -0.032 -0.536  0.055 -0.536  0.142 -0.536  0.228 -0.536  0.315 -0.536  0.402 -0.536  0.488 -0.536  0.575 -0.536  0.662 -0.536  0.749 -0.536  0.835 -0.536  0.922 -0.536  1.009 -0.536  1.095 -0.536  1.182 -0.536  1.269 -0.536  1.356 -0.536  1.442 -0.536  1.529 -0.536  1.616 -0.536
3#app#app11#app1178/Y  -1.403 0.681  -1.300 0.632  -1.202 0.577  -1.153 0.473  -1.027 0.408  -0.890 0.369  -0.841 0.265  -0.715 0.200  -0.578 0.162  -0.468 0.058  -0.330 0.023  -0.222 -0.085  -0.096 -0.150  0.055 -0.154  0.167 -0.254  0.320 -0.254  0.391 -0.148  0.430 0.000  0.470 0.148  0.509 0.295  0.548 0.443  0.588 0.591  0.627 0.739  0.667 0.886  0.706 1.034  0.745 1.182  0.778 1.278  0.725 1.147  0.638 1.024  0.570 0.887  0.521 0.742  0.473 0.597  0.408 0.459  0.339 0.323  0.271 0.186  0.219 0.042  0.171 -0.103  0.155 -0.253  0.140 -0.403  0.091 -0.548  0.043 -0.693  -0.005 -0.838  -0.054 -0.983  -0.102 -1.128  -0.150 -1.274  -0.199 -1.419  -0.247 -1.564  -0.261 -1.714  -0.261 -1.867  -0.261 -2.020
3#app#app11#app1178/F  0.492 1.004  0.657 1.004  0.814 1.013  0.814 1.044  0.689 1.004  0.523 1.004  0.358 1.004  0.192 1.004  0.069 0.903  -0.094 0.897  -0.259 0.897  -0.425 0.897  -0.590 0.897  -0.755 0.897  -0.903 0.879  -0.979 0.789  -1.010 0.655  -1.010 0.490  -0.909 0.367  -0.853 0.253  -0.688 0.253  -0.688 0.087  -0.682 -0.075  -0.571 -0.196  -0.497 -0.344  -0.474 -0.504  -0.428 -0.651  -0.366 -0.790  -0.346 -0.947  -0.259 -1.077  -0.188 -1.213  -0.152 -1.363  -0.086 -1.463  0.031 -1.365  0.132 -1.234  0.232 -1.103  0.333 -0.972  0.434 -0.841  0.535 -0.710  0.636 -0.579  0.736 -0.448  0.837 -0.317  0.938 -0.186  1.010 -0.069  0.845 -0.069  0.680 -0.069  0.539 -0.129  0.393 -0.176  0.228 -0.176  0.063 -0.176
3#app#app11#app1178/O  0.132 1.009  0.001 1.009  -0.129 1.009  -0.244 0.969  -0.336 0.876  -0.429 0.784  -0.521 0.692  -0.539 0.568  -0.660 0.553  -0.752 0.461  -0.765 0.335  -0.858 0.243  -0.875 0.119  -0.884 -0.008  -0.977 -0.100  -0.986 -0.227  -0.986 -0.357  -0.986 -0.488  -0.943 -0.601  -0.850 -0.693  -0.758 -0.786  -0.665 -0.878  -0.540 -0.892  -0.448 -0.984  -0.325 -1.004  -0.194 -1.004  -0.064 -1.004  0.053 -0.971  0.151 -0.892  0.244 -0.854  0.301 -0.781  0.409 -0.727  0.502 -0.634  0.601 -0.557  0.720 -0.528  0.803 -0.432  0.825 -0.311  0.915 -0.217  0.915 -0.086  0.915 0.044  0.915 0.175  0.915 0.306  0.915 0.437  0.915 0.567  0.904 0.695  0.845 0.812  0.803 0.933  0.764 1.048  0.672 1.140  0.579 1.233
3#app#app11#app1178/R  -0.676 0.639  -0.676 0.412  -0.589 0.221  -0.565 0.003  -0.565 -0.224  -0.473 -0.430  -0.400 -0.630  -0.345 -0.834  -0.313 -1.049  -0.230 -1.242  -0.124 -1.272  -0.245 -1.092  -0.313 -0.875  -0.381 -0.658  -0.449 -0.441  -0.516 -0.224  -0.584 -0.007  -0.652 0.210  -0.720 0.427  -0.786 0.644  -0.775 0.860  -0.658 0.971  -0.541 1.081  -0.345 1.112  -0.197 1.191  -0.015 1.300  0.211 1.299  0.393 1.191  0.621 1.191  0.760 1.103  0.937 1.014  0.925 0.860  0.870 0.688  0.744 0.513  0.583 0.352  0.390 0.269  0.229 0.109  0.057 -0.023  -0.124 -0.135  -0.234 -0.252  -0.114 -0.365  -0.013 -0.551  0.189 -0.575  0.306 -0.686  0.423 -0.796  0.605 -0.907  0.786 -1.017  0.972 -1.118  1.195 -1.128  1.422 -1.128
3#app#app11#app1178/G  -0.134 1.573  -0.027 1.529  -0.113 1.465  -0.157 1.358  -0.241 1.292  -0.350 1.249  -0.417 1.114  -0.501 0.991  -0.563 0.866  -0.670 0.822  -0.701 0.684  -0.777 0.565  -0.838 0.440  -0.885 0.308  -0.885 0.158  -0.913 0.014  -0.981 -0.121  -0.979 -0.264  -0.885 -0.375  -0.885 -0.526  -0.780 -0.572  -0.673 -0.677  -0.523 -0.680  -0.373 -0.680  -0.241 -0.660  -0.178 -0.572  -0.028 -0.572  0.111 -0.543  0.229 -0.465  0.380 -0.465  0.510 -0.444  0.510 -0.293  0.510 -0.143  0.510 0.008  0.510 0.159  0.510 0.309  0.510 0.326  0.617 0.282  0.617 0.132  0.617 -0.019  0.617 -0.170  0.666 -0.300  0.724 -0.427  0.728 -0.576  0.832 -0.684  0.853 -0.830  0.920 -0.964  1.016 -1.079  1.047 -1.217  1.153 -1.323
