3#app#app12#app1242/b  -0.571 1.994  -0.571 1.810  -0.571 1.626  -0.571 1.443  -0.571 1.259  -0.571 1.075  -0.500 0.921  -0.460 0.754  -0.460 0.570  -0.460 0.386  -0.460 0.203  -0.460 0.019  -0.440 -0.160  -0.358 -0.325  -0.348 -0.506  -0.348 -0.690  -0.348 -0.874  -0.348 -1.057  -0.348 -1.230  -0.348 -1.046  -0.348 -0.863  -0.348 -0.679  -0.348 -0.495  -0.325 -0.321  -0.237 -0.174  -0.237 0.010  -0.237 0.194  -0.237 0.378  -0.222 0.546  -0.125 0.634  0.034 0.658  0.218 0.658  0.402 0.658  0.541 0.548  0.704 0.465  0.847 0.353  0.977 0.223  1.100 0.090  1.100 -0.093  1.100 -0.277  1.017 -0.427  0.957 -0.567  0.877 -0.671  0.753 -0.803  0.610 -0.902  0.438 -0.954  0.268 -1.013  0.121 -1.101  -0.053 -1.124  -0.237 -1.124
3#app#app12#app1242/e  -0.986 -0.460  -0.823 -0.460  -0.661 -0.460  -0.498 -0.460  -0.336 -0.460  -0.216 -0.357  -0.102 -0.242  0.013 -0.127  0.176 -0.127  0.180 0.031  0.334 0.040  0.346 0.190  0.492 0.206  0.513 0.348  0.610 0.470  0.679 0.604  0.722 0.748  0.837 0.863  0.846 1.022  0.846 1.184  0.846 1.347  0.708 1.372  0.546 1.372  0.513 1.242  0.401 1.149  0.256 1.076  0.180 0.961  0.128 0.820  0.013 0.706  -0.150 0.706  -0.153 0.547  -0.263 0.430  -0.377 0.315  -0.486 0.198  -0.489 0.037  -0.604 -0.078  -0.653 -0.221  -0.653 -0.383  -0.653 -0.545  -0.653 -0.708  -0.653 -0.870  -0.601 -1.011  -0.486 -1.126  -0.371 -1.241  -0.256 -1.355  -0.137 -1.459  0.026 -1.459  0.188 -1.459  0.350 -1.459  0.513 -1.459
3#app#app12#app1242/w  -1.184 0.651  -1.184 0.487  -1.184 0.324  -1.184 0.160  -1.184 -0.004  -1.184 -0.167  -1.120 -0.315  -1.047 -0.462  -1.016 -0.618  -0.925 -0.691  -0.848 -0.777  -0.766 -0.859  -0.625 -0.803  -0.513 -0.686  -0.513 -0.523  -0.440 -0.376  -0.366 -0.230  -0.345 -0.072  -0.266 0.059  -0.178 0.186  -0.153 0.339  -0.038 0.455  -0.010 0.607  -0.010 0.771  -0.010 0.934  -0.010 1.098  -0.010 1.046  -0.010 0.883  -0.010 0.719  -0.010 0.556  -0.010 0.392  -0.010 0.229  -0.010 0.065  0.069 -0.020  0.158 -0.094  0.207 -0.237  0.323 -0.353  0.439 -0.469  0.580 -0.523  0.743 -0.523  0.907 -0.523  1.070 -0.523  1.213 -0.474  1.329 -0.358  1.445 -0.243  1.499 -0.102  1.499 0.062  1.554 0.203  1.667 0.319  1.667 0.483
3#app#app12#app1242/i  -0.708 1.350  -0.632 1.350  -0.555 1.350  -0.481 1.348  -0.481 1.271  -0.481 1.195  -0.477 1.123  -0.401 1.123  -0.325 1.123  -0.255 1.117  -0.255 1.041  -0.255 0.964  -0.255 0.888  -0.255 0.812  -0.255 0.736  -0.247 0.663  -0.193 0.609  -0.140 0.555  -0.086 0.501  -0.032 0.447  -0.028 0.372  -0.028 0.296  -0.028 0.220  -0.028 0.144  -0.028 0.068  -0.028 -0.009  -0.028 -0.085  -0.028 -0.161  -0.028 -0.237  0.006 -0.305  0.040 -0.374  0.075 -0.442  0.109 -0.510  0.143 -0.578  0.177 -0.646  0.199 -0.717  0.199 -0.793  0.199 -0.870  0.219 -0.937  0.273 -0.991  0.327 -1.045  0.381 -1.099  0.435 -1.153  0.489 -1.207  0.543 -1.261  0.597 -1.315  0.651 -1.368  0.652 -1.444  0.652 -1.520  0.652 -1.597
3#app#app12#app1242/l  -0.184 1.697  -0.184 1.625  -0.184 1.553  -0.184 1.481  -0.184 1.410  -0.184 1.338  -0.184 1.266  -0.184 1.194  -0.184 1.122  -0.184 1.051  -0.184 0.979  -0.184 0.907  -0.184 0.835  -0.184 0.763  -0.184 0.692  -0.184 0.620  -0.184 0.548  -0.155 0.488  -0.104 0.438  -0.053 0.387  -0.016 0.331  -0.016 0.259  -0.016 0.187  -0.016 0.115  -0.016 0.043  -0.016 -0.028  -0.016 -0.100  -0.016 -0.172  -0.016 -0.244  -0.016 -0.316  0.012 -0.381  0.045 -0.445  0.077 -0.509  0.109 -0.573  0.141 -0.638  0.153 -0.707  0.153 -0.778  0.153 -0.850  0.153 -0.922  0.153 -0.994  0.153 -1.066  0.153 -1.137  0.172 -1.205  0.204 -1.269  0.236 -1.333  0.268 -1.397  0.300 -1.462  0.321 -1.529  0.321 -1.600  0.321 -1.672
3#app#app12#app1242/d  -0.543 2.094  -0.419 1.970  -0.393 1.806  -0.269 1.682  -0.266 1.508  -0.216 1.353  -0.128 1.214  -0.089 1.048  -0.011 0.892  0.010 0.721  0.084 0.564  0.171 0.413  0.286 0.286  0.286 0.110  0.348 -0.039  0.471 -0.163  0.562 -0.301  0.600 -0.467  0.678 -0.624  0.826 -0.668  0.724 -0.553  0.700 -0.388  0.671 -0.225  0.547 -0.101  0.423 0.023  0.299 0.147  0.135 0.173  0.011 0.297  -0.153 0.274  -0.281 0.160  -0.457 0.160  -0.543 0.071  -0.669 0.022  -0.796 -0.093  -0.819 -0.259  -0.819 -0.434  -0.819 -0.609  -0.819 -0.785  -0.804 -0.945  -0.644 -0.982  -0.510 -1.083  -0.335 -1.083  -0.160 -1.083  0.015 -1.083  0.178 -1.053  0.306 -0.935  0.463 -0.856  0.626 -0.806  0.700 -0.705  0.838 -0.668
3#app#app12#app1242/e  -0.725 -0.915  -0.568 -0.915  -0.410 -0.915  -0.253 -0.915  -0.126 -0.865  -0.056 -0.724  0.015 -0.583  0.111 -0.461  0.223 -0.350  0.334 -0.238  0.422 -0.117  0.422 0.040  0.579 0.041  0.613 0.164  0.613 0.322  0.613 0.479  0.613 0.637  0.613 0.795  0.613 0.952  0.613 1.110  0.613 1.267  0.568 1.379  0.410 1.379  0.253 1.379  0.095 1.379  -0.062 1.379  -0.182 1.318  -0.253 1.177  -0.323 1.036  -0.423 0.917  -0.534 0.805  -0.534 0.648  -0.534 0.490  -0.534 0.333  -0.534 0.175  -0.534 0.017  -0.534 -0.140  -0.534 -0.298  -0.534 -0.455  -0.534 -0.613  -0.501 -0.757  -0.390 -0.868  -0.279 -0.980  -0.167 -1.091  -0.056 -1.202  0.062 -1.298  0.220 -1.298  0.377 -1.298  0.502 -1.218  0.613 -1.107
3#app#app12#app1242/r  -0.660 -0.504  -0.572 -0.591  -0.485 -0.679  -0.428 -0.780  -0.428 -0.904  -0.367 -0.967  -0.243 -0.967  -0.197 -1.045  -0.197 -1.169  -0.130 -1.265  -0.042 -1.353  0.035 -1.416  0.035 -1.292  0.035 -1.168  0.035 -1.044  0.035 -0.920  0.035 -0.796  0.035 -0.671  0.035 -0.547  -0.045 -0.504  -0.169 -0.504  -0.197 -0.407  -0.197 -0.282  -0.197 -0.158  -0.202 -0.040  -0.326 -0.040  -0.428 -0.018  -0.428 0.106  -0.428 0.231  -0.428 0.355  -0.428 0.479  -0.428 0.603  -0.357 0.655  -0.232 0.655  -0.197 0.744  -0.197 0.868  -0.092 0.887  0.032 0.887  0.156 0.887  0.277 0.897  0.364 0.984  0.452 1.072  0.557 1.119  0.681 1.119  0.805 1.119  0.929 1.119  0.962 1.210  0.962 1.334  1.070 1.351  1.194 1.351
3#app#app12#app1242/e  -0.418 -0.556  -0.258 -0.556  -0.097 -0.556  -0.070 -0.423  0.014 -0.298  0.138 -0.208  0.278 -0.188  0.284 -0.034  0.445 -0.034  0.560 0.074  0.627 0.207  0.627 0.367  0.666 0.489  0.801 0.514  0.801 0.675  0.801 0.835  0.801 0.995  0.801 1.156  0.801 1.316  0.684 1.359  0.523 1.359  0.452 1.270  0.376 1.185  0.234 1.141  0.121 1.028  0.007 0.914  -0.106 0.801  -0.219 0.688  -0.300 0.551  -0.372 0.407  -0.475 0.315  -0.592 0.271  -0.613 0.120  -0.727 0.006  -0.767 -0.138  -0.767 -0.298  -0.767 -0.459  -0.767 -0.619  -0.767 -0.779  -0.767 -0.940  -0.767 -1.100  -0.759 -1.253  -0.598 -1.253  -0.438 -1.253  -0.277 -1.253  -0.117 -1.253  0.043 -1.253  0.175 -1.182  0.292 -1.079  0.452 -1.079
3#app#app12#app1242/d  -0.400 1.964  -0.293 1.856  -0.257 1.719  -0.179 1.600  -0.114 1.475  -0.114 1.323  -0.114 1.171  -0.114 1.020  -0.048 0.895  0.029 0.775  0.029 0.623  0.072 0.489  0.172 0.379  0.172 0.227  0.200 0.103  0.315 0.067  0.360 -0.040  0.496 -0.078  0.604 -0.184  0.745 -0.195  0.745 -0.307  0.745 -0.155  0.745 -0.003  0.699 0.103  0.602 0.157  0.539 0.246  0.387 0.246  0.235 0.246  0.083 0.246  -0.069 0.246  -0.114 0.139  -0.217 0.051  -0.353 -0.017  -0.400 -0.139  -0.476 -0.259  -0.543 -0.383  -0.590 -0.516  -0.687 -0.628  -0.687 -0.779  -0.687 -0.931  -0.687 -1.083  -0.652 -1.220  -0.544 -1.328  -0.393 -1.329  -0.241 -1.329  -0.089 -1.329  0.062 -1.329  0.214 -1.329  0.351 -1.293  0.459 -1.186
3#app#app12#app1242/c  0.716 1.045  0.716 1.144  0.699 1.225  0.600 1.225  0.501 1.225  0.402 1.225  0.303 1.225  0.204 1.225  0.176 1.155  0.176 1.056  0.088 1.045  -0.004 1.038  -0.004 0.939  -0.004 0.840  -0.004 0.742  -0.046 0.685  -0.145 0.685  -0.184 0.625  -0.184 0.526  -0.239 0.450  -0.309 0.380  -0.379 0.310  -0.449 0.240  -0.518 0.170  -0.545 0.082  -0.545 -0.017  -0.545 -0.115  -0.545 -0.214  -0.545 -0.313  -0.545 -0.412  -0.545 -0.511  -0.545 -0.610  -0.545 -0.709  -0.509 -0.793  -0.439 -0.862  -0.369 -0.932  -0.299 -1.002  -0.229 -1.072  -0.149 -1.117  -0.050 -1.117  0.049 -1.117  0.148 -1.117  0.247 -1.117  0.346 -1.117  0.445 -1.117  0.543 -1.113  0.631 -1.069  0.720 -1.025  0.808 -0.981  0.896 -0.937
