3#app#app12#app1284/A  0.146 0.947  0.043 0.774  -0.055 0.539  -0.172 0.310  -0.267 0.056  -0.327 -0.206  -0.423 -0.450  -0.474 -0.705  -0.577 -0.938  -0.577 -1.214  -0.681 -1.465  -0.784 -1.698  -0.784 -1.507  -0.681 -1.274  -0.667 -1.003  -0.577 -0.765  -0.541 -0.495  -0.429 -0.248  -0.371 0.004  -0.267 0.255  -0.196 0.501  -0.153 0.762  -0.012 0.996  0.132 1.228  0.209 1.486  0.249 1.752  0.429 1.800  0.456 1.535  0.456 1.259  0.456 0.983  0.456 0.707  0.456 0.431  0.456 0.155  0.456 -0.121  0.456 -0.397  0.525 -0.604  0.657 -0.805  0.766 -0.975  0.749 -1.202  0.579 -0.985  0.408 -0.769  0.238 -0.552  0.067 -0.335  -0.103 -0.118  -0.274 0.099  -0.267 0.238  -0.164 0.411  0.093 0.430  0.326 0.533  0.559 0.636
3#app#app12#app1284/B  -0.091 1.025  -0.091 0.790  -0.091 0.554  -0.152 0.333  -0.187 0.105  -0.187 -0.130  -0.256 -0.350  -0.282 -0.579  -0.282 -0.815  -0.336 -1.041  -0.385 -1.267  -0.472 -1.431  -0.472 -1.196  -0.472 -0.960  -0.472 -0.725  -0.472 -0.489  -0.434 -0.269  -0.377 -0.057  -0.377 0.178  -0.310 0.398  -0.282 0.627  -0.262 0.854  -0.187 1.059  -0.187 1.294  -0.091 1.491  -0.057 1.691  0.084 1.786  0.194 1.661  0.270 1.443  0.359 1.241  0.384 1.016  0.480 0.876  0.435 0.651  0.384 0.427  0.289 0.231  0.194 0.090  0.011 -0.014  0.000 -0.113  0.234 -0.117  0.384 -0.202  0.571 -0.307  0.670 -0.500  0.670 -0.735  0.670 -0.971  0.571 -1.164  0.431 -1.259  0.290 -1.354  0.055 -1.354  -0.086 -1.259  -0.282 -1.164
3#app#app12#app1284/C  0.738 1.120  0.738 1.221  0.718 1.302  0.617 1.302  0.516 1.302  0.415 1.302  0.332 1.259  0.251 1.211  0.192 1.169  0.140 1.120  0.101 1.058  0.029 1.029  -0.026 0.956  -0.072 0.865  -0.138 0.790  -0.172 0.703  -0.234 0.665  -0.263 0.592  -0.300 0.500  -0.345 0.410  -0.354 0.311  -0.354 0.210  -0.444 0.200  -0.444 0.099  -0.444 -0.002  -0.473 -0.091  -0.535 -0.166  -0.535 -0.267  -0.535 -0.368  -0.535 -0.468  -0.499 -0.554  -0.444 -0.633  -0.444 -0.733  -0.413 -0.821  -0.354 -0.898  -0.327 -0.972  -0.237 -0.998  -0.165 -1.069  -0.094 -1.141  0.001 -1.154  0.102 -1.154  0.203 -1.154  0.304 -1.154  0.374 -1.123  0.415 -1.063  0.516 -1.063  0.556 -1.002  0.627 -0.972  0.647 -0.891  0.647 -0.790
3#app#app12#app1284/D  -0.344 0.498  -0.344 0.307  -0.344 0.115  -0.344 -0.076  -0.344 -0.267  -0.344 -0.458  -0.344 -0.649  -0.344 -0.841  -0.344 -1.032  -0.440 -1.183  -0.440 -1.375  -0.440 -1.470  -0.430 -1.279  -0.416 -1.088  -0.403 -0.898  -0.389 -0.707  -0.376 -0.516  -0.362 -0.325  -0.348 -0.135  -0.335 0.056  -0.321 0.247  -0.307 0.437  -0.294 0.628  -0.280 0.819  -0.267 1.010  -0.253 1.200  -0.152 1.295  -0.056 1.391  0.055 1.513  0.236 1.554  0.426 1.551  0.579 1.458  0.657 1.320  0.712 1.151  0.712 0.960  0.712 0.769  0.712 0.578  0.712 0.387  0.712 0.195  0.712 0.004  0.663 -0.176  0.616 -0.356  0.556 -0.522  0.475 -0.654  0.380 -0.750  0.232 -0.793  0.106 -0.876  -0.056 -0.943  -0.153 -1.038  -0.344 -1.038
3#app#app12#app1284/E  0.620 1.310  0.480 1.367  0.327 1.392  0.197 1.474  0.033 1.474  -0.131 1.474  -0.286 1.465  -0.292 1.304  -0.369 1.171  -0.369 1.007  -0.369 0.843  -0.385 0.682  -0.437 0.527  -0.451 0.365  -0.451 0.201  -0.451 0.037  -0.451 -0.127  -0.451 -0.291  -0.533 -0.421  -0.534 -0.585  -0.534 -0.749  -0.534 -0.913  -0.534 -1.077  -0.534 -1.241  -0.457 -1.328  -0.293 -1.328  -0.151 -1.275  -0.011 -1.217  0.131 -1.163  0.295 -1.163  0.459 -1.163  0.598 -1.103  0.703 -1.031  0.674 -0.876  0.577 -0.744  0.480 -0.612  0.383 -0.480  0.286 -0.347  0.189 -0.215  0.092 -0.083  -0.005 0.049  -0.102 0.182  -0.199 0.314  -0.048 0.320  0.116 0.320  0.259 0.371  0.410 0.403  0.563 0.428  0.704 0.485  0.785 0.568
3#app#app12#app1284/F  -0.234 0.713  -0.353 0.524  -0.353 0.284  -0.353 0.045  -0.353 -0.195  -0.353 -0.434  -0.385 -0.666  -0.473 -0.885  -0.473 -1.125  -0.473 -1.364  -0.473 -1.604  -0.428 -1.799  -0.353 -1.634  -0.353 -1.395  -0.353 -1.155  -0.353 -0.916  -0.353 -0.676  -0.353 -0.437  -0.353 -0.197  -0.353 0.042  -0.353 0.282  -0.353 0.521  -0.353 0.761  -0.353 1.000  -0.353 1.240  -0.305 1.431  -0.114 1.383  0.054 1.312  0.244 1.192  0.484 1.192  0.723 1.192  0.963 1.192  1.007 1.098  0.858 0.911  0.708 0.724  0.558 0.537  0.409 0.350  0.259 0.163  0.110 -0.024  -0.040 -0.211  -0.190 -0.398  -0.339 -0.585  -0.256 -0.483  -0.016 -0.483  0.173 -0.363  0.399 -0.329  0.603 -0.243  0.842 -0.243  0.963 -0.124  1.202 -0.124
3#app#app12#app1284/G  0.432 1.149  0.327 1.197  0.229 1.255  0.115 1.295  0.026 1.361  -0.022 1.255  -0.177 1.255  -0.225 1.149  -0.309 1.078  -0.323 0.937  -0.415 0.875  -0.521 0.826  -0.521 0.672  -0.593 0.547  -0.626 0.407  -0.662 0.267  -0.732 0.142  -0.732 -0.013  -0.732 -0.167  -0.732 -0.322  -0.732 -0.476  -0.732 -0.631  -0.732 -0.785  -0.732 -0.940  -0.713 -1.075  -0.626 -1.143  -0.510 -1.181  -0.355 -1.181  -0.201 -1.181  -0.097 -1.130  0.002 -1.075  0.039 -0.939  0.115 -0.816  0.182 -0.690  0.291 -0.580  0.327 -0.440  0.327 -0.286  0.327 -0.131  0.221 -0.083  0.221 -0.103  0.357 -0.122  0.511 -0.122  0.666 -0.122  0.820 -0.122  0.962 -0.109  1.023 -0.016  1.176 -0.013  1.288 0.090  1.385 0.147  1.385 0.090
3#app#app12#app1284/H  -0.531 1.517  -0.531 1.261  -0.432 1.103  -0.432 0.847  -0.432 0.590  -0.456 0.337  -0.518 0.088  -0.531 -0.167  -0.531 -0.423  -0.531 -0.679  -0.531 -0.936  -0.630 -1.151  -0.630 -1.407  -0.630 -1.664  -0.630 -1.756  -0.550 -1.514  -0.465 -1.272  -0.379 -1.030  -0.294 -0.789  -0.209 -0.547  -0.123 -0.305  -0.038 -0.063  0.047 0.178  0.133 0.420  0.218 0.662  0.303 0.904  0.389 1.145  0.474 1.387  0.555 1.602  0.653 1.444  0.653 1.188  0.653 0.931  0.630 0.681  0.555 0.442  0.555 0.186  0.555 -0.071  0.555 -0.327  0.555 -0.583  0.555 -0.840  0.555 -1.002  0.425 -0.792  0.263 -0.593  0.100 -0.395  -0.062 -0.196  -0.224 0.002  -0.274 0.195  -0.035 0.237  0.181 0.333  0.414 0.390  0.653 0.431
3#app#app12#app1284/I  0.297 1.603  0.222 1.603  0.178 1.571  0.178 1.496  0.178 1.421  0.178 1.346  0.178 1.271  0.178 1.196  0.178 1.121  0.178 1.046  0.178 0.971  0.178 0.896  0.178 0.821  0.178 0.746  0.178 0.671  0.118 0.656  0.060 0.639  0.060 0.564  0.060 0.489  0.060 0.414  0.060 0.339  0.060 0.264  0.060 0.189  0.060 0.114  0.060 0.039  0.060 -0.036  0.034 -0.105  0.001 -0.172  -0.033 -0.239  -0.058 -0.308  -0.058 -0.383  -0.058 -0.458  -0.058 -0.533  -0.058 -0.608  -0.085 -0.672  -0.138 -0.725  -0.177 -0.784  -0.177 -0.859  -0.177 -0.934  -0.177 -1.009  -0.177 -1.085  -0.177 -1.160  -0.177 -1.235  -0.177 -1.310  -0.197 -1.376  -0.250 -1.429  -0.295 -1.486  -0.295 -1.561  -0.295 -1.549  -0.295 -1.474
3#app#app12#app1284/J  0.553 1.730  0.553 1.640  0.553 1.551  0.553 1.461  0.553 1.372  0.553 1.282  0.553 1.192  0.553 1.103  0.553 1.013  0.553 0.923  0.553 0.834  0.553 0.744  0.553 0.655  0.553 0.565  0.535 0.483  0.472 0.420  0.451 0.339  0.451 0.249  0.435 0.163  0.395 0.083  0.355 0.003  0.348 -0.085  0.329 -0.172  0.301 -0.257  0.272 -0.342  0.241 -0.425  0.178 -0.489  0.114 -0.552  0.051 -0.615  0.041 -0.701  -0.022 -0.728  -0.097 -0.763  -0.160 -0.826  -0.223 -0.890  -0.295 -0.932  -0.385 -0.932  -0.475 -0.932  -0.564 -0.932  -0.630 -0.875  -0.701 -0.830  -0.778 -0.817  -0.778 -0.728  -0.867 -0.728  -0.880 -0.651  -0.944 -0.625  -0.983 -0.574  -0.983 -0.484  -0.983 -0.395  -0.983 -0.305  -0.983 -0.216
3#app#app12#app1284/K  -0.452 1.661  -0.452 1.459  -0.452 1.256  -0.452 1.053  -0.452 0.851  -0.452 0.648  -0.452 0.445  -0.486 0.248  -0.550 0.056  -0.583 -0.141  -0.600 -0.340  -0.690 -0.521  -0.732 -0.701  -0.846 -0.790  -0.846 -0.992  -0.846 -1.195  -0.846 -1.398  -0.846 -1.377  -0.742 -1.206  -0.628 -1.039  -0.514 -0.871  -0.399 -0.704  -0.285 -0.537  -0.170 -0.370  -0.056 -0.202  0.059 -0.035  0.173 0.132  0.287 0.299  0.402 0.466  0.516 0.634  0.631 0.801  0.745 0.968  0.860 1.135  0.790 1.005  0.629 0.905  0.466 0.846  0.396 0.673  0.335 0.495  0.204 0.424  0.204 0.221  0.204 0.019  0.204 -0.184  0.283 -0.307  0.355 -0.439  0.531 -0.503  0.706 -0.570  0.908 -0.570  1.111 -0.570  1.314 -0.570  1.516 -0.570
