3#app#app13#app1358/B  -0.346 0.645  -0.346 0.429  -0.346 0.213  -0.256 0.034  -0.256 -0.182  -0.256 -0.398  -0.256 -0.614  -0.344 -0.794  -0.346 -1.009  -0.346 -1.225  -0.421 -1.261  -0.436 -1.051  -0.436 -0.835  -0.436 -0.619  -0.436 -0.403  -0.436 -0.187  -0.436 0.029  -0.436 0.245  -0.436 0.461  -0.346 0.656  -0.346 0.872  -0.300 1.074  -0.180 1.253  -0.159 1.462  -0.069 1.641  0.112 1.724  0.289 1.630  0.378 1.451  0.464 1.270  0.464 1.054  0.374 0.876  0.321 0.682  0.210 0.555  0.032 0.465  -0.147 0.375  -0.064 0.272  0.115 0.183  0.268 0.031  0.421 -0.122  0.510 -0.301  0.662 -0.454  0.752 -0.633  0.824 -0.819  0.824 -1.035  0.741 -1.231  0.571 -1.335  0.355 -1.335  0.139 -1.335  -0.040 -1.245  -0.166 -1.155
3#app#app13#app1358/r  -0.198 1.009  -0.198 0.873  -0.198 0.736  -0.198 0.599  -0.144 0.485  -0.048 0.389  0.037 0.287  0.037 0.150  0.037 0.014  0.037 -0.123  0.037 -0.259  0.037 -0.396  0.037 -0.532  0.037 -0.669  0.037 -0.806  0.037 -0.942  0.037 -1.079  0.037 -1.215  0.037 -1.352  0.037 -1.489  -0.013 -1.576  -0.149 -1.576  -0.198 -1.488  -0.198 -1.352  -0.198 -1.215  -0.198 -1.079  -0.198 -0.942  -0.198 -0.805  -0.198 -0.669  -0.198 -0.532  -0.198 -0.396  -0.198 -0.259  -0.198 -0.123  -0.198 0.014  -0.141 0.127  -0.044 0.223  0.037 0.326  0.037 0.463  0.037 0.600  0.037 0.736  0.037 0.873  0.037 1.009  0.098 1.131  0.159 1.254  0.220 1.376  0.287 1.494  0.383 1.591  0.480 1.687  0.605 1.714  0.742 1.714
3#app#app13#app1358/o  0.192 0.616  0.041 0.616  0.008 0.735  -0.077 0.799  -0.175 0.746  -0.196 0.616  -0.346 0.616  -0.456 0.518  -0.563 0.411  -0.669 0.305  -0.724 0.177  -0.724 0.026  -0.732 -0.116  -0.883 -0.116  -0.907 -0.243  -0.907 -0.393  -0.907 -0.544  -0.907 -0.695  -0.907 -0.845  -0.841 -0.980  -0.773 -1.115  -0.684 -1.214  -0.533 -1.214  -0.382 -1.214  -0.232 -1.214  -0.081 -1.214  0.008 -1.153  0.029 -1.011  0.135 -0.904  0.242 -0.798  0.348 -0.691  0.375 -0.551  0.432 -0.425  0.538 -0.318  0.558 -0.175  0.608 -0.040  0.692 0.085  0.775 0.211  0.859 0.336  0.924 0.467  0.924 0.618  0.924 0.768  0.924 0.919  0.924 1.070  0.869 1.166  0.718 1.166  0.568 1.166  0.458 1.066  0.342 0.983  0.192 0.983
3#app#app13#app1358/k  -0.294 1.660  -0.452 1.496  -0.452 1.267  -0.452 1.038  -0.452 0.809  -0.452 0.580  -0.452 0.352  -0.452 0.123  -0.452 -0.106  -0.452 -0.335  -0.452 -0.564  -0.452 -0.793  -0.452 -1.022  -0.452 -1.251  -0.555 -1.437  -0.609 -1.643  -0.545 -1.435  -0.479 -1.216  -0.414 -0.996  -0.348 -0.777  -0.282 -0.558  -0.216 -0.338  -0.150 -0.119  -0.085 0.100  -0.019 0.319  0.047 0.539  0.113 0.758  0.179 0.977  0.244 1.196  0.310 1.416  0.336 1.364  0.336 1.135  0.336 0.906  0.178 0.835  0.178 0.606  0.051 0.429  0.021 0.213  0.021 -0.016  0.021 -0.245  0.021 -0.474  0.021 -0.703  0.091 -0.861  0.320 -0.861  0.487 -0.710  0.695 -0.660  0.857 -0.498  1.019 -0.336  1.180 -0.174  1.368 -0.073  1.439 0.084
3#app#app13#app1358/e  -0.802 -0.475  -0.643 -0.475  -0.483 -0.475  -0.324 -0.475  -0.184 -0.429  -0.071 -0.317  0.041 -0.204  0.154 -0.092  0.267 0.021  0.379 0.134  0.492 0.246  0.634 0.288  0.725 0.357  0.725 0.516  0.725 0.675  0.725 0.834  0.725 0.994  0.725 1.153  0.676 1.292  0.563 1.405  0.416 1.434  0.257 1.434  0.113 1.395  0.001 1.282  -0.039 1.139  -0.089 1.001  -0.202 0.888  -0.229 0.740  -0.292 0.607  -0.405 0.495  -0.420 0.342  -0.454 0.188  -0.504 0.037  -0.555 -0.114  -0.605 -0.265  -0.611 -0.424  -0.611 -0.583  -0.611 -0.742  -0.611 -0.902  -0.598 -1.048  -0.439 -1.048  -0.420 -1.189  -0.311 -1.239  -0.152 -1.239  0.008 -1.239  0.167 -1.239  0.326 -1.239  0.485 -1.239  0.612 -1.160  0.725 -1.048
3#app#app13#app1358/n  -1.021 0.589  -1.021 0.438  -1.021 0.287  -1.021 0.136  -1.021 -0.015  -1.021 -0.166  -1.021 -0.317  -1.021 -0.468  -1.021 -0.619  -1.021 -0.770  -1.021 -0.921  -0.964 -1.015  -0.813 -1.015  -0.662 -1.015  -0.543 -0.939  -0.436 -0.832  -0.419 -0.688  -0.365 -0.560  -0.258 -0.453  -0.176 -0.328  -0.108 -0.193  -0.041 -0.058  -0.018 0.087  -0.018 0.238  -0.018 0.389  -0.018 0.540  0.054 0.661  0.161 0.768  0.182 0.910  0.254 0.990  0.383 1.012  0.383 1.163  0.506 1.191  0.583 1.117  0.600 0.973  0.707 0.866  0.784 0.747  0.784 0.596  0.784 0.445  0.784 0.294  0.784 0.143  0.784 -0.008  0.784 -0.159  0.881 -0.213  0.984 -0.260  0.984 -0.411  0.984 -0.562  0.984 -0.713  0.984 -0.864  0.984 -1.015
3#app#app13#app1358/M  -0.893 0.645  -0.893 0.428  -0.893 0.212  -0.893 -0.004  -0.893 -0.220  -0.893 -0.437  -0.893 -0.653  -0.893 -0.869  -0.979 -0.998  -1.019 -1.175  -0.893 -1.237  -0.893 -1.021  -0.766 -0.857  -0.766 -0.641  -0.679 -0.445  -0.639 -0.239  -0.542 -0.045  -0.502 0.162  -0.406 0.355  -0.372 0.564  -0.303 0.769  -0.203 0.955  -0.134 1.143  -0.008 0.994  -0.008 0.777  -0.008 0.561  -0.008 0.345  -0.008 0.129  -0.008 -0.087  -0.008 -0.304  -0.008 -0.520  0.109 -0.619  0.175 -0.436  0.328 -0.283  0.371 -0.085  0.455 0.097  0.511 0.292  0.608 0.486  0.750 0.646  0.815 0.835  1.005 0.897  1.129 0.805  1.256 0.642  1.256 0.425  1.256 0.209  1.256 -0.007  1.256 -0.223  1.256 -0.439  1.256 -0.656  1.256 -0.872
3#app#app13#app1358/o  -0.377 0.666  -0.377 0.502  -0.461 0.373  -0.577 0.258  -0.585 0.097  -0.585 -0.067  -0.585 -0.230  -0.585 -0.394  -0.585 -0.558  -0.585 -0.722  -0.585 -0.886  -0.585 -1.050  -0.584 -1.213  -0.468 -1.329  -0.342 -1.420  -0.178 -1.420  -0.014 -1.420  0.041 -1.311  0.086 -1.166  0.202 -1.050  0.346 -1.003  0.458 -0.950  0.463 -0.789  0.579 -0.673  0.666 -0.545  0.666 -0.381  0.666 -0.217  0.666 -0.054  0.666 0.110  0.666 0.274  0.666 0.438  0.666 0.602  0.666 0.766  0.666 0.930  0.666 1.093  0.666 1.257  0.537 1.292  0.374 1.292  0.210 1.292  0.046 1.292  0.041 1.134  -0.040 1.003  -0.156 0.887  -0.314 0.875  -0.377 0.773  -0.377 0.609  -0.385 0.449  -0.501 0.333  -0.585 0.204  -0.585 0.040
3#app#app13#app1358/o  -0.358 0.739  -0.488 0.739  -0.536 0.657  -0.559 0.538  -0.651 0.446  -0.714 0.342  -0.714 0.213  -0.714 0.083  -0.714 -0.046  -0.714 -0.176  -0.714 -0.305  -0.714 -0.435  -0.714 -0.564  -0.714 -0.694  -0.714 -0.823  -0.714 -0.953  -0.682 -1.069  -0.591 -1.161  -0.484 -1.216  -0.354 -1.216  -0.225 -1.216  -0.120 -1.155  -0.029 -1.064  0.090 -1.038  0.175 -0.993  0.175 -0.863  0.264 -0.771  0.355 -0.678  0.412 -0.563  0.470 -0.447  0.528 -0.331  0.530 -0.202  0.585 -0.095  0.676 -0.003  0.708 0.113  0.708 0.243  0.708 0.372  0.708 0.502  0.708 0.631  0.708 0.761  0.708 0.890  0.708 1.020  0.708 1.149  0.701 1.272  0.571 1.272  0.442 1.272  0.312 1.272  0.183 1.272  0.089 1.186  -0.003 1.094
3#app#app13#app1358/n  -0.634 1.089  -0.634 0.913  -0.634 0.737  -0.634 0.561  -0.634 0.386  -0.634 0.210  -0.634 0.034  -0.634 -0.142  -0.634 -0.318  -0.634 -0.494  -0.634 -0.669  -0.634 -0.845  -0.634 -1.021  -0.634 -1.197  -0.634 -1.373  -0.634 -1.339  -0.585 -1.184  -0.460 -1.059  -0.423 -0.899  -0.395 -0.728  -0.339 -0.561  -0.284 -0.394  -0.228 -0.227  -0.212 -0.054  -0.212 0.121  -0.174 0.282  -0.050 0.406  -0.000 0.562  -0.000 0.737  0.025 0.903  0.149 1.027  0.211 1.177  0.264 1.300  0.422 1.282  0.422 1.106  0.580 1.089  0.633 0.965  0.695 0.815  0.819 0.691  0.844 0.525  0.844 0.350  0.844 0.174  0.844 -0.002  0.844 -0.178  0.844 -0.354  0.844 -0.529  0.844 -0.705  0.844 -0.881  0.844 -1.057  0.844 -1.233
3#app#app13#app1358/s  0.499 1.437  0.499 1.331  0.489 1.235  0.383 1.235  0.277 1.235  0.171 1.235  0.094 1.206  0.094 1.100  0.055 1.032  -0.051 1.032  -0.109 0.984  -0.109 0.878  -0.150 0.789  -0.225 0.714  -0.300 0.639  -0.401 0.627  -0.507 0.627  -0.514 0.528  -0.514 0.422  -0.514 0.316  -0.526 0.221  -0.632 0.221  -0.717 0.200  -0.717 0.094  -0.717 -0.012  -0.717 -0.118  -0.688 -0.212  -0.613 -0.287  -0.538 -0.362  -0.463 -0.437  -0.388 -0.512  -0.313 -0.587  -0.208 -0.589  -0.102 -0.589  0.004 -0.589  0.106 -0.601  0.181 -0.676  0.256 -0.751  0.345 -0.792  0.451 -0.792  0.557 -0.792  0.663 -0.792  0.701 -0.859  0.701 -0.965  0.701 -1.072  0.701 -1.178  0.701 -1.284  0.701 -1.390  0.701 -1.496  0.701 -1.602
