3#app#app13#app1359/T  -1.286 0.533  -1.286 0.400  -1.400 0.382  -1.341 0.382  -1.208 0.382  -1.075 0.382  -0.955 0.411  -0.861 0.504  -0.740 0.533  -0.607 0.533  -0.474 0.533  -0.353 0.559  -0.259 0.653  -0.139 0.683  -0.006 0.683  0.126 0.683  0.259 0.683  0.392 0.683  0.524 0.683  0.657 0.683  0.790 0.683  0.922 0.683  1.055 0.683  1.084 0.648  0.980 0.567  0.875 0.485  0.770 0.404  0.665 0.322  0.561 0.241  0.456 0.159  0.351 0.078  0.247 -0.004  0.142 -0.085  0.037 -0.167  -0.068 -0.248  -0.172 -0.329  -0.168 -0.373  -0.078 -0.416  -0.061 -0.542  0.033 -0.635  0.073 -0.752  0.073 -0.884  0.073 -1.017  0.088 -1.143  0.182 -1.237  0.224 -1.352  0.224 -1.485  0.224 -1.618  0.224 -1.750  0.224 -1.883
3#app#app13#app1359/w  -1.139 0.939  -1.139 0.806  -1.097 0.715  -0.964 0.715  -0.915 0.631  -0.915 0.498  -0.915 0.366  -0.915 0.233  -0.915 0.100  -0.915 -0.033  -0.915 -0.166  -0.797 -0.181  -0.691 -0.208  -0.691 -0.340  -0.691 -0.473  -0.691 -0.606  -0.691 -0.739  -0.677 -0.866  -0.583 -0.960  -0.489 -1.054  -0.366 -1.076  -0.236 -1.069  -0.142 -0.975  -0.048 -0.881  0.046 -0.788  0.140 -0.694  0.205 -0.588  0.205 -0.455  0.205 -0.322  0.205 -0.189  0.205 -0.056  0.238 0.043  0.371 0.043  0.429 0.118  0.429 0.251  0.429 0.384  0.455 0.491  0.588 0.491  0.653 0.423  0.653 0.290  0.762 0.267  0.895 0.267  1.028 0.267  1.143 0.310  1.237 0.404  1.324 0.500  1.324 0.633  1.360 0.751  1.454 0.845  1.548 0.939
3#app#app13#app1359/o  -0.444 0.835  -0.574 0.835  -0.669 0.801  -0.669 0.671  -0.669 0.541  -0.669 0.411  -0.669 0.282  -0.669 0.152  -0.669 0.022  -0.669 -0.108  -0.669 -0.237  -0.669 -0.367  -0.669 -0.497  -0.669 -0.626  -0.669 -0.756  -0.669 -0.886  -0.619 -0.966  -0.490 -0.966  -0.444 -1.050  -0.444 -1.180  -0.326 -1.191  -0.196 -1.191  -0.066 -1.191  0.047 -1.150  0.138 -1.058  0.230 -0.966  0.322 -0.875  0.414 -0.783  0.456 -0.671  0.456 -0.541  0.456 -0.411  0.462 -0.284  0.554 -0.192  0.646 -0.101  0.681 0.014  0.681 0.144  0.681 0.274  0.681 0.404  0.681 0.533  0.681 0.663  0.681 0.793  0.681 0.923  0.681 1.052  0.681 1.182  0.655 1.285  0.525 1.285  0.395 1.285  0.265 1.285  0.136 1.285  0.006 1.285
3#app#app13#app1359/f  -0.409 0.118  -0.372 -0.069  -0.258 -0.224  -0.258 -0.426  -0.157 -0.586  -0.048 -0.754  0.042 -0.934  0.043 -1.136  0.043 -1.338  0.043 -1.540  0.043 -1.742  0.043 -1.736  0.043 -1.534  0.043 -1.332  -0.005 -1.141  -0.095 -0.961  -0.107 -0.761  -0.107 -0.559  -0.107 -0.357  -0.107 -0.155  -0.107 0.047  -0.107 0.249  -0.107 0.451  -0.107 0.653  -0.107 0.855  -0.107 1.058  -0.107 1.260  -0.107 1.462  -0.068 1.625  0.043 1.715  0.185 1.775  0.332 1.734  0.273 1.541  0.213 1.348  0.154 1.155  0.094 0.962  0.035 0.769  -0.024 0.576  -0.084 0.382  -0.143 0.189  -0.203 -0.004  -0.258 -0.198  -0.258 -0.400  -0.140 -0.484  0.043 -0.466  0.113 -0.334  0.315 -0.334  0.467 -0.212  0.654 -0.175  0.797 -0.032
3#app#app13#app1359/l  -0.187 1.687  -0.187 1.615  -0.187 1.544  -0.187 1.472  -0.187 1.401  -0.187 1.329  -0.187 1.258  -0.187 1.186  -0.187 1.115  -0.187 1.044  -0.187 0.972  -0.187 0.901  -0.187 0.829  -0.187 0.758  -0.184 0.688  -0.133 0.637  -0.083 0.587  -0.032 0.536  0.013 0.483  0.013 0.412  0.013 0.340  0.013 0.269  0.013 0.197  0.013 0.126  0.013 0.054  0.013 -0.017  0.013 -0.089  0.013 -0.160  0.013 -0.232  0.013 -0.303  0.013 -0.374  0.013 -0.446  0.017 -0.517  0.039 -0.585  0.062 -0.652  0.084 -0.720  0.107 -0.788  0.130 -0.856  0.152 -0.923  0.175 -0.991  0.197 -1.059  0.212 -1.128  0.212 -1.200  0.212 -1.271  0.212 -1.343  0.212 -1.414  0.212 -1.485  0.212 -1.557  0.212 -1.628  0.212 -1.700
3#app#app13#app1359/o  -0.651 0.002  -0.651 -0.129  -0.669 -0.253  -0.762 -0.345  -0.854 -0.438  -0.888 -0.554  -0.888 -0.685  -0.781 -0.709  -0.651 -0.710  -0.651 -0.841  -0.633 -0.964  -0.540 -1.057  -0.448 -1.150  -0.331 -1.183  -0.200 -1.183  -0.069 -1.183  0.061 -1.181  0.154 -1.088  0.246 -0.996  0.296 -0.886  0.296 -0.755  0.382 -0.709  0.512 -0.709  0.533 -0.599  0.533 -0.468  0.533 -0.337  0.533 -0.206  0.533 -0.075  0.533 0.056  0.533 0.187  0.533 0.318  0.533 0.448  0.533 0.579  0.533 0.710  0.533 0.841  0.533 0.972  0.533 1.103  0.500 1.220  0.408 1.313  0.315 1.405  0.192 1.424  0.061 1.424  -0.032 1.332  -0.125 1.240  -0.178 1.131  -0.178 1.000  -0.178 0.869  -0.178 0.738  -0.178 0.607  -0.178 0.476
3#app#app13#app1359/w  -1.411 0.807  -1.411 0.678  -1.411 0.550  -1.411 0.421  -1.292 0.412  -1.213 0.362  -1.213 0.233  -1.213 0.105  -1.184 -0.011  -1.094 -0.102  -1.016 -0.198  -1.016 -0.327  -0.961 -0.432  -0.870 -0.523  -0.763 -0.574  -0.634 -0.574  -0.506 -0.574  -0.391 -0.541  -0.300 -0.450  -0.227 -0.352  -0.227 -0.223  -0.167 -0.120  -0.077 -0.029  -0.030 0.080  -0.030 0.209  0.092 0.215  0.205 0.177  0.296 0.087  0.364 -0.013  0.364 -0.142  0.455 -0.179  0.562 -0.201  0.562 -0.330  0.643 -0.377  0.759 -0.389  0.759 -0.518  0.810 -0.523  0.901 -0.432  0.956 -0.327  0.956 -0.198  1.034 -0.102  1.124 -0.011  1.153 0.105  1.153 0.233  1.153 0.362  1.153 0.490  1.153 0.619  1.153 0.747  1.153 0.875  1.153 1.004
3#app#app13#app1359/e  -0.690 -0.010  -0.690 -0.169  -0.648 -0.286  -0.489 -0.286  -0.355 -0.226  -0.242 -0.114  -0.126 -0.010  0.033 -0.010  0.192 -0.010  0.351 -0.010  0.413 0.086  0.413 0.245  0.552 0.266  0.689 0.288  0.689 0.446  0.689 0.605  0.689 0.764  0.689 0.923  0.689 1.082  0.689 1.241  0.658 1.369  0.499 1.369  0.340 1.369  0.181 1.369  0.137 1.254  0.137 1.095  0.026 0.982  -0.086 0.869  -0.138 0.732  -0.138 0.573  -0.138 0.414  -0.138 0.255  -0.138 0.096  -0.191 -0.010  -0.350 -0.010  -0.414 -0.105  -0.414 -0.264  -0.414 -0.423  -0.414 -0.582  -0.414 -0.741  -0.414 -0.900  -0.414 -1.059  -0.414 -1.218  -0.414 -1.377  -0.267 -1.389  -0.138 -1.419  -0.138 -1.578  -0.087 -1.716  0.025 -1.829  0.137 -1.941
3#app#app13#app1359/r  -0.721 -0.046  -0.721 -0.150  -0.721 -0.254  -0.721 -0.358  -0.721 -0.461  -0.721 -0.565  -0.721 -0.669  -0.688 -0.740  -0.584 -0.740  -0.489 -0.749  -0.489 -0.853  -0.489 -0.957  -0.426 -1.035  -0.353 -1.108  -0.279 -1.182  -0.184 -1.203  -0.080 -1.203  -0.026 -1.153  -0.026 -1.049  -0.026 -0.946  -0.026 -0.842  -0.026 -0.738  -0.026 -0.634  -0.026 -0.530  -0.026 -0.426  -0.026 -0.322  -0.008 -0.222  0.025 -0.123  0.058 -0.025  0.091 0.074  0.124 0.172  0.156 0.271  0.189 0.370  0.205 0.471  0.205 0.575  0.205 0.679  0.205 0.782  0.210 0.884  0.283 0.958  0.357 1.031  0.430 1.105  0.436 1.206  0.436 1.310  0.508 1.342  0.611 1.342  0.715 1.342  0.819 1.342  0.923 1.342  1.027 1.342  1.131 1.342
3#app#app13#app1359/h  -0.674 1.688  -0.674 1.549  -0.674 1.410  -0.674 1.271  -0.674 1.132  -0.674 0.994  -0.674 0.855  -0.674 0.716  -0.674 0.577  -0.674 0.438  -0.674 0.299  -0.674 0.160  -0.674 0.021  -0.674 -0.118  -0.674 -0.257  -0.674 -0.396  -0.674 -0.535  -0.674 -0.673  -0.674 -0.812  -0.538 -0.815  -0.495 -0.719  -0.455 -0.596  -0.357 -0.498  -0.317 -0.376  -0.287 -0.249  -0.189 -0.151  -0.138 -0.033  -0.138 0.106  -0.138 0.245  -0.049 0.347  0.053 0.437  0.192 0.437  0.331 0.437  0.470 0.437  0.599 0.415  0.698 0.316  0.756 0.202  0.768 0.068  0.866 -0.031  0.935 -0.141  0.935 -0.280  0.935 -0.419  0.935 -0.558  0.935 -0.697  0.956 -0.815  1.094 -0.815  1.114 -0.935  1.114 -1.074  1.114 -1.212  1.114 -1.351
3#app#app13#app1359/a  0.249 1.328  0.249 1.175  0.207 1.065  0.054 1.065  -0.099 1.065  -0.251 1.065  -0.367 0.975  -0.475 0.867  -0.539 0.741  -0.539 0.588  -0.643 0.540  -0.796 0.540  -0.801 0.392  -0.828 0.251  -0.936 0.143  -1.044 0.035  -1.064 -0.110  -1.064 -0.262  -1.064 -0.415  -1.024 -0.551  -0.916 -0.659  -0.808 -0.767  -0.801 -0.917  -0.768 -1.036  -0.615 -1.036  -0.462 -1.036  -0.310 -1.036  -0.192 -0.952  -0.084 -0.844  0.024 -0.736  0.132 -0.628  0.240 -0.520  0.389 -0.511  0.512 -0.481  0.512 -0.328  0.563 -0.197  0.671 -0.089  0.775 0.021  0.775 0.174  0.824 0.277  0.976 0.277  1.037 0.369  1.037 0.522  1.037 0.406  1.037 0.253  1.037 0.100  1.037 -0.053  1.037 -0.205  1.037 -0.358  1.037 -0.511
