3#app#app13#app1391/k  -0.050 2.080  -0.108 1.935  -0.196 1.819  -0.196 1.615  -0.196 1.412  -0.260 1.224  -0.341 1.040  -0.341 0.837  -0.341 0.634  -0.341 0.431  -0.341 0.228  -0.460 0.074  -0.486 -0.118  -0.486 -0.322  -0.486 -0.525  -0.486 -0.728  -0.486 -0.931  -0.500 -1.128  -0.631 -1.277  -0.555 -1.404  -0.411 -1.292  -0.299 -1.123  -0.186 -0.954  -0.073 -0.785  0.039 -0.616  0.152 -0.447  0.265 -0.278  0.377 -0.109  0.490 0.060  0.603 0.229  0.716 0.398  0.828 0.567  0.941 0.736  0.807 0.773  0.604 0.773  0.530 0.644  0.355 0.598  0.240 0.443  0.170 0.269  0.027 0.125  -0.117 -0.019  -0.196 -0.189  -0.196 -0.392  -0.151 -0.577  -0.050 -0.739  0.068 -0.823  0.219 -0.948  0.385 -0.998  0.472 -1.113  0.675 -1.113
3#app#app13#app1391/e  -0.394 -0.471  -0.253 -0.471  -0.123 -0.446  -0.023 -0.346  0.076 -0.247  0.196 -0.176  0.322 -0.113  0.448 -0.050  0.574 0.013  0.593 0.142  0.602 0.279  0.702 0.378  0.801 0.478  0.839 0.603  0.839 0.744  0.839 0.884  0.828 1.020  0.729 1.120  0.629 1.219  0.503 1.256  0.363 1.256  0.222 1.256  0.087 1.243  -0.013 1.144  -0.112 1.044  -0.212 0.945  -0.311 0.845  -0.394 0.738  -0.394 0.598  -0.436 0.474  -0.535 0.375  -0.635 0.275  -0.640 0.137  -0.640 -0.004  -0.640 -0.144  -0.640 -0.285  -0.640 -0.426  -0.598 -0.556  -0.535 -0.682  -0.472 -0.808  -0.409 -0.934  -0.394 -1.071  -0.392 -1.211  -0.252 -1.211  -0.147 -1.247  -0.147 -1.388  -0.076 -1.457  0.065 -1.457  0.099 -1.563  0.099 -1.704
3#app#app13#app1391/e  -0.644 -0.363  -0.475 -0.363  -0.306 -0.363  -0.137 -0.363  -0.118 -0.213  -0.062 -0.100  0.107 -0.100  0.145 0.031  0.182 0.163  0.351 0.163  0.487 0.242  0.607 0.361  0.671 0.504  0.671 0.673  0.824 0.689  0.934 0.748  0.934 0.917  0.934 1.086  0.895 1.215  0.725 1.215  0.556 1.215  0.387 1.215  0.218 1.215  0.077 1.147  -0.042 1.028  -0.162 0.908  -0.281 0.789  -0.401 0.669  -0.520 0.550  -0.640 0.430  -0.644 0.263  -0.644 0.094  -0.644 -0.075  -0.746 -0.202  -0.866 -0.322  -0.907 -0.474  -0.907 -0.643  -0.907 -0.812  -0.816 -0.890  -0.647 -0.890  -0.527 -1.007  -0.407 -1.127  -0.249 -1.153  -0.080 -1.153  0.089 -1.153  0.258 -1.153  0.427 -1.153  0.596 -1.153  0.765 -1.153  0.934 -1.153
3#app#app13#app1391/p  -0.586 0.259  -0.586 0.100  -0.586 -0.060  -0.586 -0.220  -0.586 -0.380  -0.618 -0.526  -0.731 -0.639  -0.775 -0.781  -0.775 -0.941  -0.775 -1.100  -0.775 -1.260  -0.775 -1.420  -0.631 -1.436  -0.586 -1.321  -0.586 -1.162  -0.546 -1.019  -0.433 -0.906  -0.398 -0.761  -0.398 -0.601  -0.360 -0.457  -0.247 -0.344  -0.209 -0.200  -0.209 -0.040  -0.175 0.106  -0.062 0.219  -0.021 0.361  -0.021 0.521  -0.001 0.676  0.070 0.819  0.142 0.962  0.167 1.116  0.220 1.254  0.333 1.367  0.483 1.390  0.614 1.320  0.727 1.207  0.732 1.050  0.855 1.013  0.921 0.918  0.921 0.759  0.921 0.599  0.921 0.439  0.921 0.279  0.921 0.120  0.842 -0.008  0.729 -0.120  0.617 -0.233  0.487 -0.306  0.327 -0.306  0.167 -0.306
3#app#app13#app1391/v  -0.811 0.868  -0.811 0.743  -0.811 0.618  -0.811 0.493  -0.811 0.368  -0.811 0.243  -0.798 0.121  -0.742 0.009  -0.686 -0.103  -0.630 -0.214  -0.574 -0.326  -0.570 -0.450  -0.570 -0.575  -0.570 -0.701  -0.563 -0.822  -0.474 -0.911  -0.386 -0.999  -0.330 -1.101  -0.330 -1.226  -0.275 -1.296  -0.150 -1.296  -0.089 -1.231  -0.089 -1.106  -0.037 -1.003  0.052 -0.915  0.140 -0.826  0.151 -0.706  0.151 -0.581  0.235 -0.490  0.324 -0.402  0.392 -0.305  0.392 -0.180  0.392 -0.055  0.392 0.070  0.392 0.195  0.392 0.320  0.392 0.445  0.392 0.570  0.459 0.628  0.584 0.628  0.632 0.705  0.632 0.830  0.632 0.955  0.632 1.080  0.632 1.205  0.632 1.330  0.738 1.349  0.863 1.349  0.988 1.349  1.113 1.349
3#app#app13#app1391/e  -0.604 0.507  -0.495 0.398  -0.385 0.289  -0.238 0.271  -0.084 0.271  0.070 0.271  0.104 0.150  0.143 0.036  0.297 0.036  0.452 0.036  0.575 0.066  0.575 0.221  0.575 0.375  0.597 0.507  0.752 0.507  0.811 0.602  0.811 0.757  0.811 0.911  0.811 1.065  0.806 1.214  0.651 1.214  0.497 1.214  0.343 1.214  0.233 1.108  0.124 0.999  0.015 0.890  -0.095 0.780  -0.204 0.671  -0.313 0.562  -0.368 0.431  -0.368 0.276  -0.473 0.166  -0.582 0.057  -0.604 -0.089  -0.604 -0.243  -0.604 -0.397  -0.604 -0.552  -0.604 -0.706  -0.604 -0.860  -0.604 -1.015  -0.578 -1.143  -0.424 -1.143  -0.368 -1.242  -0.351 -1.379  -0.196 -1.379  -0.132 -1.469  -0.124 -1.614  0.031 -1.614  0.185 -1.614  0.339 -1.614
3#app#app13#app1391/x  -1.208 0.888  -1.208 0.699  -1.195 0.522  -1.005 0.522  -0.842 0.496  -0.842 0.307  -0.814 0.128  -0.680 -0.006  -0.546 -0.140  -0.412 -0.274  -0.278 -0.408  -0.144 -0.542  0.032 -0.576  0.221 -0.576  0.366 -0.685  0.500 -0.819  0.634 -0.953  0.768 -1.087  0.902 -1.221  0.979 -1.241  0.952 -1.054  0.925 -0.866  0.898 -0.678  0.872 -0.491  0.845 -0.303  0.818 -0.115  0.791 0.072  0.764 0.260  0.737 0.448  0.711 0.635  0.684 0.823  0.657 1.011  0.630 1.198  0.489 1.254  0.300 1.254  0.153 1.151  0.019 1.017  -0.110 0.881  -0.110 0.691  -0.119 0.504  -0.204 0.334  -0.289 0.165  -0.373 -0.005  -0.458 -0.175  -0.626 -0.210  -0.816 -0.210  -0.842 -0.373  -0.842 -0.563  -0.842 -0.752  -0.842 -0.942
3#app#app13#app1391/i  -0.217 1.248  -0.166 1.299  -0.115 1.351  -0.064 1.402  -0.013 1.453  0.013 1.442  0.013 1.369  0.013 1.297  0.013 1.225  0.013 1.152  0.013 1.080  0.013 1.008  0.013 0.935  0.013 0.863  0.013 0.791  0.013 0.718  0.013 0.646  0.013 0.574  0.013 0.501  0.013 0.429  0.013 0.356  0.013 0.284  0.013 0.212  0.013 0.139  0.013 0.067  0.013 -0.005  0.013 -0.078  0.013 -0.150  0.013 -0.222  0.013 -0.295  0.013 -0.367  0.013 -0.440  0.013 -0.512  0.013 -0.584  0.013 -0.657  0.013 -0.729  0.013 -0.801  0.013 -0.874  0.013 -0.946  0.013 -1.018  0.013 -1.091  0.013 -1.163  0.013 -1.235  0.013 -1.308  0.013 -1.380  0.013 -1.453  0.013 -1.525  0.013 -1.597  0.013 -1.670  0.013 -1.742
3#app#app13#app1391/n  -0.617 0.151  -0.617 0.001  -0.617 -0.150  -0.617 -0.300  -0.617 -0.451  -0.617 -0.602  -0.617 -0.752  -0.617 -0.903  -0.617 -1.053  -0.617 -1.204  -0.617 -1.355  -0.617 -1.505  -0.617 -1.416  -0.617 -1.265  -0.617 -1.115  -0.610 -0.967  -0.503 -0.860  -0.397 -0.754  -0.335 -0.629  -0.335 -0.478  -0.335 -0.328  -0.335 -0.177  -0.262 -0.057  -0.156 0.050  -0.054 0.158  -0.054 0.309  -0.054 0.459  -0.054 0.610  -0.054 0.761  -0.054 0.911  0.013 0.995  0.163 0.995  0.227 1.082  0.227 1.232  0.334 1.276  0.485 1.276  0.508 1.149  0.508 0.998  0.655 0.995  0.789 0.978  0.789 0.828  0.789 0.677  0.789 0.527  0.789 0.376  0.789 0.225  0.843 0.097  0.950 -0.009  1.056 -0.116  1.070 -0.260  1.070 -0.411
3#app#app13#app1391/g  -0.493 1.335  -0.635 1.335  -0.747 1.260  -0.847 1.160  -0.851 1.019  -0.752 0.976  -0.610 0.976  -0.493 1.002  -0.493 1.144  -0.362 1.155  -0.220 1.155  -0.078 1.155  0.064 1.155  0.206 1.155  0.224 1.030  0.224 0.888  0.224 0.746  0.230 0.605  0.294 0.478  0.357 0.351  0.403 0.219  0.403 0.077  0.403 -0.065  0.403 -0.207  0.403 -0.350  0.403 -0.492  0.403 -0.634  0.403 -0.776  0.403 -0.918  0.356 -1.041  0.256 -1.142  0.224 -1.271  0.224 -1.413  0.201 -1.532  0.058 -1.532  0.044 -1.404  -0.020 -1.288  -0.121 -1.188  -0.135 -1.051  -0.135 -0.909  -0.135 -0.767  -0.135 -0.625  -0.135 -0.483  -0.135 -0.340  -0.135 -0.198  -0.092 -0.099  0.050 -0.099  0.193 -0.099  0.302 -0.177  0.403 -0.278
3#app#app13#app1391/m  -0.797 0.729  -0.621 0.729  -0.694 0.729  -0.797 0.656  -0.797 0.480  -0.797 0.305  -0.797 0.129  -0.797 -0.047  -0.827 -0.210  -0.951 -0.334  -1.024 -0.480  -1.024 -0.655  -1.024 -0.831  -1.024 -1.007  -1.024 -0.994  -0.981 -0.861  -0.806 -0.861  -0.797 -0.694  -0.715 -0.552  -0.591 -0.428  -0.570 -0.261  -0.503 -0.113  -0.379 0.011  -0.343 0.172  -0.291 0.326  -0.167 0.450  -0.115 0.604  -0.064 0.729  0.112 0.729  0.287 0.729  0.339 0.604  0.339 0.429  0.354 0.259  0.478 0.135  0.566 -0.004  0.566 -0.180  0.566 -0.355  0.654 -0.319  0.778 -0.195  0.793 -0.025  0.896 0.047  1.020 0.099  1.020 0.274  1.196 0.274  1.371 0.274  1.474 0.202  1.489 0.032  1.613 -0.092  1.701 -0.231  1.701 -0.407
