3#app#app14#app1403/A  -0.012 0.969  -0.012 0.766  -0.110 0.603  -0.254 0.459  -0.355 0.284  -0.415 0.095  -0.416 -0.109  -0.481 -0.302  -0.545 -0.495  -0.634 -0.678  -0.684 -0.870  -0.756 -1.056  -0.818 -1.245  -0.913 -1.409  -0.818 -1.435  -0.759 -1.256  -0.684 -1.083  -0.670 -0.883  -0.579 -0.701  -0.488 -0.519  -0.397 -0.337  -0.306 -0.155  -0.281 0.043  -0.281 0.246  -0.213 0.434  -0.122 0.616  -0.031 0.798  -0.012 0.997  0.056 1.172  0.122 1.348  0.154 1.539  0.257 1.582  0.257 1.378  0.391 1.230  0.391 1.027  0.494 0.866  0.525 0.675  0.525 0.472  0.598 0.286  0.660 0.097  0.720 -0.093  0.794 -0.279  0.870 -0.451  0.928 -0.630  0.928 -0.834  0.928 -0.785  0.794 -0.716  0.664 -0.643  0.594 -0.508  0.391 -0.508
3#app#app14#app1403/Q  -0.566 -0.364  -0.566 -0.143  -0.566 0.078  -0.566 0.298  -0.550 0.512  -0.423 0.681  -0.423 0.901  -0.284 1.064  -0.229 1.262  -0.073 1.419  0.114 1.499  0.323 1.469  0.479 1.313  0.635 1.157  0.791 1.001  0.866 0.811  0.866 0.590  0.866 0.370  0.866 0.149  0.866 -0.072  0.834 -0.285  0.735 -0.483  0.701 -0.695  0.602 -0.893  0.459 -1.058  0.303 -1.214  0.086 -1.223  -0.135 -1.223  -0.333 -1.170  -0.489 -1.014  -0.646 -0.858  -0.710 -0.663  -0.755 -0.462  -0.853 -0.281  -0.853 -0.061  -0.853 0.160  -0.853 0.381  -0.747 0.496  -0.685 0.607  -0.549 0.433  -0.414 0.259  -0.278 0.084  -0.143 -0.090  -0.007 -0.264  0.128 -0.438  0.264 -0.613  0.457 -0.671  0.627 -0.794  0.812 -0.882  0.866 -1.080
3#app#app14#app1403/U  -1.023 0.432  -1.023 0.328  -1.009 0.227  -0.963 0.134  -0.916 0.041  -0.870 -0.053  -0.845 -0.151  -0.845 -0.255  -0.845 -0.359  -0.840 -0.461  -0.767 -0.535  -0.693 -0.609  -0.668 -0.702  -0.668 -0.806  -0.569 -0.812  -0.490 -0.837  -0.490 -0.941  -0.434 -0.990  -0.330 -0.990  -0.226 -0.990  -0.125 -0.980  -0.052 -0.907  0.022 -0.833  0.096 -0.759  0.169 -0.686  0.243 -0.612  0.317 -0.539  0.390 -0.465  0.399 -0.364  0.399 -0.260  0.399 -0.156  0.434 -0.066  0.507 0.008  0.576 0.083  0.576 0.187  0.576 0.291  0.576 0.396  0.576 0.500  0.576 0.604  0.576 0.708  0.594 0.805  0.667 0.879  0.741 0.952  0.754 1.051  0.754 1.155  0.754 1.259  0.754 1.364  0.754 1.468  0.754 1.572  0.754 1.676
3#app#app14#app1403/I  -0.018 1.707  -0.018 1.637  -0.018 1.567  -0.018 1.497  -0.018 1.427  -0.018 1.357  -0.018 1.287  -0.018 1.217  -0.018 1.147  -0.018 1.077  -0.018 1.007  -0.018 0.937  -0.018 0.867  -0.018 0.797  -0.018 0.727  -0.018 0.657  -0.018 0.587  -0.018 0.517  -0.018 0.447  -0.018 0.377  -0.018 0.307  -0.018 0.237  -0.018 0.167  -0.018 0.097  -0.018 0.027  -0.018 -0.043  -0.018 -0.113  -0.018 -0.183  -0.018 -0.253  -0.018 -0.323  -0.018 -0.393  -0.018 -0.463  -0.018 -0.533  -0.018 -0.603  -0.018 -0.673  -0.018 -0.743  -0.018 -0.813  -0.018 -0.883  -0.018 -0.953  -0.018 -1.023  -0.018 -1.093  -0.018 -1.163  -0.018 -1.233  -0.018 -1.303  0.011 -1.361  0.060 -1.410  0.109 -1.460  0.159 -1.509  0.208 -1.559  0.258 -1.608
3#app#app14#app1403/C  0.733 1.537  0.666 1.470  0.599 1.403  0.532 1.336  0.444 1.321  0.350 1.321  0.269 1.288  0.202 1.221  0.135 1.154  0.086 1.080  0.086 0.985  0.086 0.891  0.020 0.824  -0.047 0.757  -0.114 0.690  -0.181 0.623  -0.247 0.556  -0.314 0.489  -0.345 0.408  -0.345 0.313  -0.362 0.226  -0.429 0.159  -0.496 0.092  -0.561 0.024  -0.561 -0.070  -0.561 -0.165  -0.561 -0.260  -0.561 -0.354  -0.561 -0.449  -0.561 -0.543  -0.543 -0.620  -0.448 -0.620  -0.354 -0.620  -0.345 -0.706  -0.345 -0.800  -0.286 -0.835  -0.191 -0.835  -0.106 -0.859  -0.039 -0.926  0.027 -0.992  0.098 -1.051  0.192 -1.051  0.287 -1.051  0.381 -1.051  0.476 -1.051  0.570 -1.051  0.665 -1.051  0.760 -1.051  0.854 -1.051  0.949 -1.051
3#app#app14#app1403/K  -0.471 1.738  -0.471 1.538  -0.471 1.338  -0.471 1.138  -0.471 0.937  -0.471 0.737  -0.471 0.537  -0.471 0.336  -0.471 0.136  -0.471 -0.064  -0.471 -0.264  -0.471 -0.465  -0.471 -0.665  -0.471 -0.865  -0.471 -1.066  -0.471 -1.266  -0.471 -1.466  -0.471 -1.667  -0.438 -1.682  -0.367 -1.495  -0.297 -1.307  -0.227 -1.120  -0.156 -0.932  -0.086 -0.745  -0.016 -0.557  0.055 -0.369  0.125 -0.182  0.195 0.006  0.266 0.193  0.336 0.381  0.406 0.568  0.477 0.756  0.547 0.943  0.617 1.131  0.688 1.318  0.699 1.180  0.576 1.031  0.435 0.889  0.309 0.741  0.289 0.549  0.148 0.407  0.114 0.221  0.114 0.021  0.114 -0.180  0.114 -0.380  0.288 -0.407  0.488 -0.407  0.688 -0.407  0.889 -0.407  1.089 -0.407
3#app#app14#app1403/B  -0.497 0.314  -0.393 0.314  -0.497 0.204  -0.497 -0.010  -0.497 -0.224  -0.579 -0.404  -0.656 -0.587  -0.656 -0.801  -0.656 -1.015  -0.656 -1.229  -0.649 -1.117  -0.497 -1.055  -0.497 -0.841  -0.497 -0.627  -0.497 -0.412  -0.497 -0.198  -0.497 0.016  -0.497 0.230  -0.497 0.444  -0.366 0.604  -0.338 0.806  -0.268 0.950  -0.179 1.075  -0.052 1.237  0.100 1.388  0.251 1.539  0.446 1.586  0.616 1.542  0.616 1.328  0.547 1.130  0.457 0.937  0.457 0.723  0.370 0.545  0.219 0.394  0.139 0.213  -0.017 0.155  0.191 0.155  0.405 0.155  0.460 -0.004  0.616 -0.062  0.729 -0.163  0.775 -0.332  0.775 -0.546  0.775 -0.760  0.764 -0.969  0.616 -1.122  0.556 -1.276  0.376 -1.358  0.194 -1.436  -0.020 -1.436
3#app#app14#app1403/R  -0.445 0.947  -0.244 0.908  -0.244 0.668  -0.326 0.462  -0.445 0.272  -0.445 0.033  -0.445 -0.207  -0.445 -0.447  -0.445 -0.686  -0.445 -0.926  -0.445 -1.166  -0.445 -1.406  -0.445 -1.291  -0.349 -1.074  -0.244 -0.859  -0.244 -0.619  -0.244 -0.379  -0.244 -0.140  -0.244 0.100  -0.244 0.340  -0.228 0.576  -0.121 0.790  -0.043 1.011  -0.043 1.251  -0.043 1.491  0.084 1.678  0.294 1.751  0.533 1.751  0.561 1.539  0.561 1.300  0.561 1.060  0.561 0.820  0.561 0.580  0.561 0.341  0.532 0.113  0.362 -0.057  0.335 -0.285  0.166 -0.454  -0.043 -0.490  -0.109 -0.663  -0.349 -0.663  -0.445 -0.520  -0.317 -0.591  -0.107 -0.663  0.081 -0.787  0.289 -0.864  0.479 -0.984  0.685 -1.066  0.762 -1.228  0.963 -1.267
3#app#app14#app1403/O  -0.457 0.093  -0.457 0.261  -0.400 0.405  -0.281 0.524  -0.202 0.660  -0.202 0.828  -0.105 0.956  0.014 1.075  0.167 1.113  0.335 1.113  0.503 1.113  0.563 1.005  0.584 0.858  0.753 0.858  0.818 0.756  0.818 0.587  0.818 0.419  0.818 0.251  0.818 0.083  0.818 -0.085  0.818 -0.254  0.815 -0.420  0.696 -0.539  0.577 -0.658  0.563 -0.821  0.502 -0.927  0.333 -0.927  0.308 -1.070  0.269 -1.222  0.150 -1.341  0.021 -1.438  -0.147 -1.438  -0.282 -1.358  -0.401 -1.239  -0.497 -1.104  -0.572 -0.953  -0.647 -0.803  -0.712 -0.650  -0.712 -0.482  -0.712 -0.314  -0.712 -0.145  -0.712 0.023  -0.712 0.191  -0.712 0.359  -0.712 0.527  -0.712 0.696  -0.707 0.858  -0.539 0.858  -0.370 0.858  -0.202 0.858
3#app#app14#app1403/W  -0.929 1.465  -0.822 1.358  -0.715 1.251  -0.624 1.137  -0.624 0.986  -0.624 0.835  -0.624 0.683  -0.642 0.550  -0.793 0.550  -0.929 0.534  -0.929 0.383  -0.929 0.232  -0.929 0.080  -0.929 -0.071  -0.929 -0.222  -0.929 -0.374  -0.929 -0.525  -0.925 -0.674  -0.818 -0.781  -0.711 -0.888  -0.596 -0.975  -0.444 -0.975  -0.301 -0.957  -0.194 -0.850  -0.087 -0.743  0.020 -0.636  0.127 -0.529  0.234 -0.422  0.323 -0.302  0.391 -0.166  0.458 -0.031  0.526 0.104  0.594 0.240  0.596 0.390  0.596 0.542  0.596 0.407  0.596 0.255  0.596 0.104  0.596 -0.047  0.596 -0.199  0.596 -0.350  0.732 -0.365  0.883 -0.365  1.035 -0.365  1.186 -0.365  1.206 -0.234  1.206 -0.083  1.297 0.031  1.404 0.138  1.511 0.245
3#app#app14#app1403/N  -0.374 0.483  -0.559 0.483  -0.565 0.305  -0.686 0.171  -0.755 0.015  -0.755 -0.169  -0.808 -0.331  -0.938 -0.461  -0.945 -0.642  -0.945 -0.827  -0.945 -1.011  -0.945 -0.883  -0.839 -0.743  -0.755 -0.593  -0.755 -0.409  -0.731 -0.230  -0.649 -0.066  -0.566 0.099  -0.565 0.283  -0.487 0.449  -0.404 0.613  -0.374 0.790  -0.374 0.975  -0.270 1.054  -0.184 1.153  -0.184 1.152  -0.184 0.967  -0.148 0.792  -0.066 0.627  0.006 0.460  0.006 0.275  0.014 0.095  0.144 -0.036  0.196 -0.198  0.270 -0.352  0.387 -0.488  0.400 -0.658  0.577 -0.666  0.578 -0.849  0.763 -0.849  0.894 -0.722  1.024 -0.591  1.155 -0.461  1.285 -0.331  1.415 -0.201  1.528 -0.063  1.528 0.121  1.528 0.305  1.528 0.489  1.528 0.673
3#app#app14#app1403/F  1.011 1.141  1.175 1.141  1.048 1.141  0.884 1.141  0.720 1.141  0.557 1.141  0.393 1.141  0.229 1.141  0.066 1.141  -0.098 1.141  -0.262 1.141  -0.378 1.026  -0.445 0.890  -0.445 0.726  -0.445 0.563  -0.445 0.399  -0.445 0.236  -0.445 0.072  -0.382 -0.077  -0.309 -0.223  -0.263 -0.376  -0.263 -0.540  -0.263 -0.703  -0.263 -0.867  -0.263 -1.031  -0.263 -1.194  -0.263 -1.358  -0.263 -1.522  -0.359 -1.589  -0.445 -1.511  -0.445 -1.347  -0.445 -1.184  -0.445 -1.020  -0.445 -0.856  -0.445 -0.693  -0.445 -0.529  -0.445 -0.365  -0.331 -0.315  -0.263 -0.220  -0.186 -0.133  -0.081 -0.075  -0.041 0.049  0.123 0.049  0.285 0.051  0.401 0.167  0.538 0.231  0.702 0.231  0.866 0.231  1.011 0.212  1.011 0.049
3#app#app14#app1403/O  -0.519 0.495  -0.353 0.495  -0.310 0.618  -0.230 0.704  -0.101 0.741  -0.101 0.907  0.011 1.026  0.137 1.122  0.303 1.122  0.316 1.274  0.426 1.331  0.525 1.264  0.542 1.105  0.659 0.988  0.734 0.853  0.734 0.688  0.734 0.522  0.734 0.356  0.734 0.190  0.734 0.025  0.734 -0.141  0.734 -0.307  0.640 -0.434  0.525 -0.552  0.525 -0.718  0.436 -0.847  0.319 -0.964  0.202 -1.081  0.108 -1.208  0.108 -1.374  -0.048 -1.384  -0.214 -1.384  -0.310 -1.314  -0.336 -1.175  -0.502 -1.175  -0.519 -1.026  -0.625 -0.966  -0.728 -0.903  -0.728 -0.737  -0.728 -0.572  -0.728 -0.406  -0.728 -0.240  -0.728 -0.074  -0.718 0.087  -0.601 0.205  -0.519 0.336  -0.514 0.500  -0.397 0.617  -0.267 0.704  -0.101 0.704
3#app#app14#app1403/X  1.115 0.431  0.917 0.431  0.718 0.431  0.645 0.306  0.556 0.196  0.373 0.159  0.233 0.019  0.059 -0.039  -0.117 -0.095  -0.257 -0.236  -0.295 -0.418  -0.371 -0.585  -0.512 -0.725  -0.652 -0.866  -0.792 -1.006  -0.932 -1.146  -0.973 -1.115  -0.921 -0.924  -0.869 -0.732  -0.817 -0.541  -0.764 -0.350  -0.712 -0.158  -0.660 0.033  -0.608 0.225  -0.556 0.416  -0.503 0.608  -0.451 0.799  -0.399 0.990  -0.347 1.182  -0.297 1.371  -0.496 1.371  -0.366 1.371  -0.295 1.244  -0.231 1.072  -0.091 0.932  -0.060 0.746  0.024 0.582  0.164 0.442  0.175 0.248  0.278 0.093  0.415 -0.050  0.504 -0.227  0.593 -0.405  0.703 -0.567  0.843 -0.707  1.026 -0.744  1.115 -0.854  1.188 -0.979  1.350 -1.016  1.350 -1.214
3#app#app14#app1403/J  -0.899 0.443  -0.899 0.575  -0.834 0.679  -0.740 0.773  -0.614 0.785  -0.482 0.785  -0.360 0.810  -0.267 0.904  -0.157 0.956  -0.025 0.956  0.107 0.956  0.239 0.956  0.371 0.956  0.503 0.956  0.635 0.956  0.642 0.831  0.727 0.785  0.768 0.776  0.638 0.750  0.509 0.724  0.379 0.698  0.250 0.673  0.121 0.647  -0.009 0.621  -0.043 0.517  -0.043 0.385  -0.043 0.253  -0.043 0.121  0.068 0.100  0.128 0.029  0.128 -0.103  0.128 -0.235  0.128 -0.367  0.128 -0.499  0.174 -0.585  0.299 -0.592  0.299 -0.724  0.229 -0.826  0.136 -0.920  0.128 -1.048  0.046 -1.098  -0.043 -1.141  -0.043 -1.273  -0.043 -1.405  -0.139 -1.441  -0.255 -1.481  -0.348 -1.574  -0.464 -1.612  -0.557 -1.651  -0.557 -1.783
3#app#app14#app1403/U  -0.785 1.161  -0.666 1.161  -0.570 1.138  -0.570 1.019  -0.570 0.900  -0.570 0.781  -0.619 0.682  -0.703 0.598  -0.785 0.513  -0.785 0.394  -0.785 0.275  -0.785 0.156  -0.785 0.037  -0.785 -0.082  -0.785 -0.201  -0.785 -0.320  -0.742 -0.429  -0.689 -0.536  -0.636 -0.642  -0.582 -0.748  -0.570 -0.864  -0.570 -0.984  -0.456 -0.989  -0.337 -0.989  -0.218 -0.989  -0.099 -0.989  0.020 -0.989  0.075 -0.924  0.075 -0.805  0.137 -0.712  0.221 -0.628  0.311 -0.559  0.430 -0.559  0.505 -0.514  0.505 -0.395  0.535 -0.283  0.588 -0.177  0.642 -0.070  0.695 0.036  0.764 0.131  0.848 0.215  0.933 0.299  0.935 0.417  0.949 0.530  1.033 0.614  1.117 0.699  1.150 0.804  1.150 0.923  1.246 0.946  1.365 0.946
3#app#app14#app1403/M  -1.210 0.304  -1.210 0.132  -1.210 -0.040  -1.210 -0.211  -1.210 -0.383  -1.210 -0.555  -1.210 -0.666  -1.209 -0.495  -1.087 -0.374  -1.010 -0.234  -0.976 -0.096  -0.810 -0.091  -0.810 0.081  -0.810 0.253  -0.689 0.304  -0.610 0.396  -0.565 0.458  -0.443 0.337  -0.410 0.179  -0.410 0.007  -0.362 -0.144  -0.241 -0.266  -0.210 -0.425  -0.210 -0.596  -0.138 -0.696  -0.010 -0.653  0.005 -0.496  0.177 -0.496  0.240 -0.346  0.294 -0.183  0.349 -0.020  0.390 0.145  0.390 0.316  0.390 0.488  0.546 0.504  0.590 0.631  0.590 0.803  0.661 0.903  0.820 0.873  0.942 0.752  0.990 0.600  1.043 0.450  1.164 0.329  1.190 0.168  1.266 0.028  1.387 -0.094  1.390 -0.264  1.488 -0.395  1.590 -0.525  1.590 -0.696
3#app#app14#app1403/P  -0.319 0.529  -0.319 0.350  -0.319 0.172  -0.319 -0.006  -0.319 -0.185  -0.319 -0.363  -0.319 -0.541  -0.319 -0.720  -0.319 -0.898  -0.319 -1.076  -0.319 -1.255  -0.319 -1.433  -0.319 -1.611  -0.319 -1.789  -0.319 -1.655  -0.319 -1.477  -0.319 -1.299  -0.319 -1.120  -0.319 -0.942  -0.319 -0.764  -0.204 -0.633  -0.106 -0.495  -0.106 -0.317  -0.106 -0.139  -0.106 0.040  -0.106 0.218  -0.106 0.396  -0.106 0.575  -0.106 0.753  -0.106 0.931  -0.106 1.110  -0.106 1.288  -0.045 1.441  0.081 1.567  0.249 1.592  0.319 1.484  0.371 1.327  0.497 1.201  0.532 1.037  0.599 0.887  0.725 0.761  0.745 0.591  0.745 0.412  0.745 0.234  0.711 0.070  0.585 -0.057  0.429 -0.110  0.250 -0.110  0.107 -0.075  0.107 0.103
