3#app#app14#app1443/@  0.402 0.232  0.308 0.375  0.072 0.375  -0.123 0.277  -0.290 0.110  -0.376 -0.052  -0.452 -0.212  -0.452 -0.449  -0.408 -0.666  -0.213 -0.765  -0.025 -0.716  0.117 -0.622  0.295 -0.480  0.402 -0.351  0.482 -0.195  0.545 -0.021  0.420 0.090  0.402 -0.129  0.402 -0.365  0.524 -0.480  0.687 -0.407  0.805 -0.220  0.871 -0.011  0.972 0.184  0.972 0.420  0.972 0.656  0.830 0.834  0.741 1.033  0.574 1.200  0.407 1.367  0.232 1.515  -0.004 1.515  -0.219 1.463  -0.386 1.296  -0.553 1.129  -0.674 0.929  -0.737 0.707  -0.797 0.481  -0.872 0.257  -0.880 0.022  -0.880 -0.215  -0.880 -0.451  -0.834 -0.668  -0.737 -0.864  -0.701 -1.086  -0.595 -1.278  -0.419 -1.351  -0.208 -1.457  0.024 -1.477  0.260 -1.477
3#app#app14#app1443/1  -0.033 1.395  0.040 1.395  0.113 1.395  0.158 1.395  0.085 1.395  0.013 1.395  -0.033 1.368  -0.033 1.295  -0.033 1.222  -0.033 1.149  -0.033 1.076  -0.033 1.003  -0.033 0.930  -0.033 0.857  -0.033 0.784  -0.033 0.711  -0.033 0.638  -0.033 0.565  -0.033 0.492  -0.033 0.420  -0.033 0.347  -0.033 0.274  -0.033 0.201  -0.033 0.128  -0.033 0.055  -0.033 -0.018  -0.033 -0.091  -0.033 -0.164  -0.033 -0.237  -0.033 -0.310  -0.033 -0.383  -0.033 -0.456  -0.033 -0.529  -0.033 -0.602  -0.033 -0.675  -0.033 -0.748  -0.033 -0.820  -0.033 -0.893  -0.033 -0.966  -0.033 -1.039  -0.033 -1.112  -0.033 -1.185  -0.033 -1.258  0.008 -1.314  0.059 -1.366  0.111 -1.417  0.162 -1.469  0.172 -1.538  0.172 -1.611  0.172 -1.684
3#app#app14#app1443/2  -0.613 0.773  -0.492 0.773  -0.427 0.829  -0.427 0.949  -0.317 0.959  -0.242 1.005  -0.242 1.125  -0.141 1.144  -0.056 1.181  -0.056 1.301  0.035 1.330  0.156 1.330  0.276 1.330  0.315 1.248  0.315 1.128  0.315 1.007  0.315 0.887  0.309 0.768  0.224 0.683  0.139 0.598  0.129 0.482  0.129 0.361  0.129 0.241  0.061 0.149  -0.024 0.063  -0.080 -0.040  -0.118 -0.154  -0.156 -0.268  -0.195 -0.383  -0.233 -0.497  -0.306 -0.589  -0.391 -0.674  -0.427 -0.780  -0.427 -0.900  -0.427 -1.021  -0.427 -1.141  -0.427 -1.262  -0.312 -1.267  -0.192 -1.267  -0.071 -1.267  0.018 -1.192  0.103 -1.107  0.213 -1.081  0.334 -1.081  0.454 -1.081  0.500 -1.007  0.510 -0.896  0.630 -0.896  0.751 -0.896  0.871 -0.896
3#app#app14#app1443/:  -0.362 -1.074  -0.362 -0.981  -0.362 -0.888  -0.362 -0.796  -0.362 -0.703  -0.362 -0.611  -0.362 -0.621  -0.362 -0.713  -0.362 -0.806  -0.362 -0.899  -0.362 -0.991  -0.352 -1.074  -0.259 -1.074  -0.166 -1.074  -0.074 -1.074  0.019 -1.074  0.112 -1.074  0.142 -1.012  0.142 -0.919  0.142 -0.827  0.142 -0.734  0.142 -0.641  0.142 -0.549  0.142 -0.456  0.142 -0.363  0.142 -0.271  0.142 -0.178  0.142 -0.085  0.142 0.007  0.142 0.100  0.142 0.193  0.142 0.285  0.142 0.378  0.142 0.470  0.142 0.563  0.142 0.656  0.142 0.748  0.142 0.841  0.142 0.934  0.142 1.026  0.142 1.119  0.142 1.212  0.142 1.304  0.142 1.397  0.142 1.490  0.142 1.582  0.142 1.675  0.142 1.768  0.142 1.860  0.142 1.953
3#app#app14#app1443/3  -0.671 1.074  -0.671 0.970  -0.671 0.866  -0.671 0.967  -0.671 1.071  -0.570 1.074  -0.466 1.074  -0.363 1.074  -0.259 1.074  -0.155 1.074  -0.051 1.074  0.053 1.074  0.157 1.074  0.167 0.979  0.167 0.875  0.260 0.864  0.363 0.864  0.376 0.773  0.376 0.669  0.313 0.591  0.239 0.518  0.167 0.444  0.167 0.340  0.167 0.236  0.093 0.163  0.020 0.089  -0.054 0.016  -0.127 -0.058  -0.201 -0.131  -0.230 -0.205  -0.157 -0.278  -0.083 -0.352  -0.010 -0.425  0.064 -0.499  0.137 -0.572  0.211 -0.646  0.284 -0.719  0.358 -0.793  0.376 -0.889  0.376 -0.993  0.376 -1.097  0.376 -1.201  0.324 -1.283  0.250 -1.357  0.177 -1.430  0.103 -1.504  0.030 -1.577  -0.044 -1.649  -0.148 -1.649  -0.252 -1.649
3#app#app14#app1443/4  -0.855 1.138  -0.980 1.013  -1.066 0.872  -1.066 0.696  -1.066 0.519  -1.181 0.390  -1.277 0.254  -1.277 0.078  -1.277 -0.099  -1.130 -0.128  -0.953 -0.128  -0.855 -0.206  -0.812 -0.339  -0.635 -0.339  -0.459 -0.339  -0.282 -0.339  -0.106 -0.339  0.046 -0.281  0.171 -0.156  0.336 -0.128  0.512 -0.128  0.689 -0.128  0.865 -0.128  1.042 -0.128  0.988 0.038  0.932 0.206  0.876 0.373  0.820 0.540  0.765 0.708  0.709 0.875  0.653 1.042  0.621 1.062  0.580 0.927  0.410 0.920  0.410 0.744  0.410 0.567  0.410 0.391  0.410 0.214  0.378 0.051  0.253 -0.074  0.199 -0.228  0.199 -0.404  0.199 -0.580  0.199 -0.757  0.199 -0.933  0.199 -1.110  0.199 -1.286  0.199 -1.463  0.199 -1.639  0.199 -1.815
3#app#app14#app1443/:  -0.170 1.547  -0.170 1.469  -0.170 1.392  -0.170 1.314  -0.170 1.237  -0.160 1.170  -0.082 1.170  -0.005 1.170  0.073 1.170  0.150 1.170  0.204 1.149  0.193 1.072  0.182 0.995  0.171 0.919  0.160 0.842  0.149 0.765  0.138 0.688  0.127 0.612  0.116 0.535  0.105 0.458  0.094 0.381  0.083 0.305  0.072 0.228  0.061 0.151  0.050 0.074  0.040 -0.002  0.029 -0.079  0.018 -0.156  0.007 -0.233  -0.004 -0.309  -0.015 -0.386  -0.026 -0.463  -0.037 -0.540  -0.048 -0.616  -0.059 -0.693  -0.070 -0.770  -0.081 -0.847  -0.092 -0.923  -0.103 -1.000  -0.114 -1.077  -0.125 -1.154  -0.136 -1.230  -0.147 -1.307  -0.158 -1.384  -0.169 -1.461  -0.103 -1.471  -0.026 -1.471  0.052 -1.471  0.129 -1.471  0.207 -1.471
3#app#app14#app1443/5  -0.326 1.120  -0.326 0.956  -0.424 0.832  -0.516 0.706  -0.516 0.542  -0.516 0.378  -0.516 0.214  -0.431 0.085  -0.310 -0.019  -0.146 -0.019  -0.027 -0.129  0.104 -0.209  0.261 -0.226  0.377 -0.343  0.518 -0.399  0.623 -0.458  0.623 -0.622  0.623 -0.786  0.623 -0.950  0.623 -1.114  0.504 -1.159  0.367 -1.225  0.251 -1.341  0.135 -1.457  0.004 -1.538  -0.138 -1.515  -0.151 -1.351  -0.163 -1.188  -0.176 -1.024  -0.188 -0.861  -0.201 -0.697  -0.214 -0.533  -0.226 -0.370  -0.239 -0.206  -0.251 -0.042  -0.264 0.121  -0.277 0.285  -0.289 0.449  -0.302 0.612  -0.314 0.776  -0.326 0.940  -0.326 1.104  -0.178 1.120  -0.050 1.206  0.071 1.310  0.235 1.310  0.399 1.310  0.525 1.402  0.649 1.500  0.813 1.500
3#app#app14#app1443/6  -0.155 1.773  -0.013 1.773  0.010 1.773  -0.132 1.773  -0.155 1.654  -0.155 1.512  -0.155 1.370  -0.155 1.227  -0.155 1.085  -0.155 0.943  -0.155 0.801  -0.155 0.659  -0.155 0.517  -0.171 0.377  -0.216 0.243  -0.261 0.108  -0.306 -0.027  -0.351 -0.162  -0.380 -0.299  -0.380 -0.441  -0.380 -0.583  -0.380 -0.725  -0.380 -0.867  -0.319 -0.984  -0.219 -1.085  -0.155 -1.201  -0.155 -1.343  -0.043 -1.373  0.099 -1.373  0.241 -1.373  0.357 -1.309  0.457 -1.209  0.519 -1.092  0.519 -0.950  0.519 -0.808  0.519 -0.666  0.519 -0.524  0.519 -0.382  0.519 -0.240  0.519 -0.097  0.519 0.045  0.519 0.187  0.390 0.200  0.248 0.200  0.106 0.200  -0.036 0.200  -0.178 0.200  -0.321 0.200  -0.380 0.118  -0.380 -0.025
3#app#app14#app1443/_  -1.368 -0.302  -1.280 -0.302  -1.193 -0.302  -1.107 -0.302  -1.195 -0.302  -1.283 -0.302  -1.366 -0.302  -1.278 -0.302  -1.190 -0.302  -1.106 -0.298  -1.106 -0.210  -1.106 -0.122  -1.101 -0.040  -1.013 -0.040  -0.925 -0.040  -0.837 -0.040  -0.749 -0.040  -0.661 -0.040  -0.574 -0.040  -0.486 -0.040  -0.398 -0.040  -0.310 -0.040  -0.222 -0.040  -0.134 -0.040  -0.046 -0.040  0.042 -0.040  0.129 -0.040  0.214 -0.032  0.276 0.031  0.338 0.093  0.400 0.155  0.462 0.217  0.548 0.223  0.636 0.223  0.724 0.223  0.812 0.223  0.900 0.223  0.987 0.223  1.075 0.223  1.163 0.223  1.251 0.223  1.339 0.223  1.427 0.223  1.515 0.223  1.432 0.223  1.344 0.223  1.256 0.223  1.255 0.136  1.255 0.048  1.255 -0.040
3#app#app14#app1443/J  -0.944 0.785  -0.813 0.785  -0.719 0.876  -0.606 0.920  -0.475 0.920  -0.343 0.920  -0.212 0.920  -0.081 0.920  0.051 0.920  0.182 0.920  0.313 0.920  0.445 0.920  0.576 0.920  0.666 0.879  0.704 0.785  0.800 0.750  0.769 0.644  0.641 0.616  0.513 0.587  0.384 0.559  0.256 0.530  0.128 0.502  -0.000 0.473  -0.128 0.445  -0.256 0.416  -0.385 0.388  -0.299 0.383  -0.273 0.278  -0.201 0.176  -0.108 0.083  -0.015 -0.009  -0.005 -0.136  0.076 -0.234  0.129 -0.343  0.129 -0.475  0.151 -0.601  0.210 -0.718  0.264 -0.837  0.264 -0.968  0.264 -1.099  0.261 -1.230  0.169 -1.323  0.054 -1.362  -0.056 -1.414  -0.153 -1.496  -0.285 -1.496  -0.407 -1.505  -0.413 -1.630  -0.544 -1.630  -0.676 -1.630
