3#app#app14#app1463/p  -0.231 1.000  -0.231 0.795  -0.231 0.591  -0.231 0.387  -0.231 0.182  -0.231 -0.022  -0.231 -0.227  -0.231 -0.431  -0.231 -0.635  -0.231 -0.840  -0.231 -1.044  -0.231 -1.249  -0.231 -1.453  -0.231 -1.657  -0.231 -1.862  -0.231 -1.799  -0.231 -1.595  -0.231 -1.391  -0.231 -1.186  -0.231 -0.982  -0.231 -0.778  -0.134 -0.613  -0.109 -0.419  -0.109 -0.215  -0.172 -0.037  -0.231 0.143  -0.231 0.348  -0.231 0.552  -0.144 0.720  -0.109 0.910  -0.109 1.115  0.013 1.268  0.013 1.473  0.136 1.555  0.276 1.592  0.380 1.430  0.479 1.267  0.624 1.123  0.682 0.942  0.746 0.765  0.746 0.560  0.732 0.359  0.640 0.177  0.505 0.025  0.424 -0.100  0.342 -0.222  0.138 -0.222  -0.067 -0.222  -0.149 -0.100  -0.231 0.022
3#app#app14#app1463/a  0.181 0.931  0.351 0.931  0.429 1.025  0.413 1.180  0.242 1.180  0.071 1.180  -0.100 1.180  -0.271 1.180  -0.405 1.091  -0.526 0.970  -0.647 0.849  -0.767 0.728  -0.812 0.576  -0.833 0.414  -0.954 0.293  -1.061 0.166  -1.061 -0.005  -1.061 -0.176  -1.061 -0.346  -1.061 -0.517  -1.061 -0.688  -1.008 -0.806  -0.837 -0.806  -0.666 -0.806  -0.495 -0.806  -0.324 -0.806  -0.201 -0.692  -0.080 -0.571  0.041 -0.450  0.161 -0.329  0.282 -0.208  0.403 -0.088  0.429 0.073  0.486 0.187  0.657 0.187  0.677 0.337  0.625 0.383  0.505 0.262  0.429 0.123  0.429 -0.048  0.429 -0.219  0.485 -0.366  0.606 -0.487  0.677 -0.629  0.677 -0.800  0.841 -0.806  0.987 -0.868  1.107 -0.989  1.251 -1.055  1.422 -1.055
3#app#app14#app1463/s  0.285 1.386  0.204 1.305  0.122 1.223  0.040 1.142  -0.073 1.137  -0.188 1.137  -0.277 1.073  -0.359 0.992  -0.441 0.910  -0.546 0.887  -0.662 0.887  -0.713 0.823  -0.713 0.708  -0.667 0.638  -0.552 0.638  -0.437 0.638  -0.321 0.638  -0.214 0.630  -0.214 0.515  -0.214 0.399  -0.109 0.388  0.006 0.388  0.121 0.388  0.237 0.388  0.285 0.321  0.285 0.206  0.333 0.139  0.449 0.139  0.535 0.109  0.535 -0.006  0.535 -0.121  0.535 -0.237  0.535 -0.352  0.535 -0.467  0.535 -0.583  0.472 -0.672  0.390 -0.754  0.309 -0.835  0.285 -0.941  0.285 -1.056  0.241 -1.153  0.159 -1.235  0.077 -1.316  -0.021 -1.358  -0.136 -1.358  -0.214 -1.396  -0.214 -1.511  -0.233 -1.608  -0.348 -1.608  -0.463 -1.608
3#app#app14#app1463/s  0.247 1.517  0.247 1.409  0.247 1.301  0.247 1.193  0.247 1.086  0.147 1.078  0.039 1.078  -0.069 1.078  -0.176 1.078  -0.192 0.985  -0.192 0.877  -0.280 0.858  -0.388 0.858  -0.411 0.773  -0.411 0.666  -0.492 0.639  -0.600 0.639  -0.631 0.562  -0.631 0.454  -0.558 0.419  -0.450 0.419  -0.362 0.370  -0.286 0.294  -0.210 0.218  -0.109 0.200  -0.001 0.200  0.083 0.144  0.160 0.068  0.236 -0.009  0.247 -0.112  0.247 -0.220  0.309 -0.302  0.386 -0.378  0.462 -0.454  0.467 -0.560  0.467 -0.668  0.467 -0.776  0.467 -0.884  0.467 -0.991  0.467 -1.099  0.404 -1.181  0.327 -1.257  0.251 -1.334  0.145 -1.337  0.037 -1.337  -0.042 -1.407  -0.118 -1.483  -0.196 -1.557  -0.303 -1.557  -0.411 -1.557
3#app#app14#app1463/e  -0.165 -0.224  -0.033 -0.224  0.089 -0.200  0.182 -0.106  0.275 -0.013  0.368 0.080  0.462 0.173  0.524 0.279  0.524 0.411  0.579 0.520  0.672 0.613  0.753 0.711  0.753 0.843  0.753 0.975  0.753 1.106  0.668 1.153  0.536 1.153  0.405 1.153  0.273 1.153  0.141 1.153  0.026 1.114  -0.068 1.021  -0.161 0.928  -0.165 0.798  -0.193 0.694  -0.325 0.694  -0.394 0.632  -0.394 0.500  -0.463 0.397  -0.556 0.303  -0.624 0.200  -0.624 0.068  -0.624 -0.064  -0.624 -0.196  -0.624 -0.327  -0.624 -0.459  -0.624 -0.591  -0.606 -0.718  -0.547 -0.836  -0.488 -0.954  -0.429 -1.072  -0.356 -1.180  -0.263 -1.273  -0.170 -1.366  -0.040 -1.371  0.084 -1.390  0.177 -1.483  0.270 -1.577  0.392 -1.601  0.524 -1.601
3#app#app14#app1463/d  0.255 0.115  0.060 0.115  -0.136 0.115  -0.318 0.054  -0.493 -0.034  -0.526 -0.216  -0.645 -0.362  -0.645 -0.558  -0.729 -0.719  -0.795 -0.888  -0.795 -1.084  -0.751 -1.235  -0.645 -1.325  -0.509 -1.385  -0.313 -1.385  -0.195 -1.308  -0.072 -1.235  0.075 -1.116  0.174 -0.949  0.264 -0.776  0.403 -0.638  0.406 -0.443  0.406 -0.247  0.406 -0.051  0.406 0.145  0.406 0.341  0.376 0.533  0.329 0.723  0.281 0.913  0.255 1.106  0.255 1.302  0.127 1.444  0.095 1.627  -0.044 1.765  -0.195 1.721  -0.195 1.525  -0.152 1.336  -0.090 1.151  -0.045 0.962  -0.045 0.766  0.058 0.613  0.105 0.437  0.116 0.243  0.204 0.068  0.255 -0.116  0.345 -0.274  0.455 -0.434  0.542 -0.609  0.567 -0.797  0.706 -0.935
3#app#app14#app1463/t  1.105 -0.095  1.103 -0.261  0.935 -0.261  0.768 -0.261  0.600 -0.261  0.432 -0.261  0.265 -0.261  0.097 -0.261  -0.070 -0.261  -0.234 -0.271  -0.352 -0.390  -0.504 -0.427  -0.672 -0.427  -0.684 -0.315  -0.631 -0.156  -0.578 0.003  -0.525 0.162  -0.472 0.321  -0.419 0.480  -0.366 0.639  -0.313 0.798  -0.260 0.957  -0.207 1.116  -0.154 1.275  -0.101 1.434  -0.027 1.565  0.077 1.565  -0.057 1.531  -0.057 1.364  -0.057 1.196  -0.057 1.029  -0.057 0.861  -0.057 0.693  -0.057 0.526  -0.026 0.371  0.093 0.253  0.109 0.092  0.109 -0.076  0.109 -0.243  0.109 -0.411  0.109 -0.579  0.109 -0.746  0.109 -0.914  0.109 -1.081  0.109 -1.249  0.109 -1.417  0.109 -1.584  0.109 -1.752  0.109 -1.919  0.109 -2.087
3#app#app14#app1463/h  -0.043 1.962  -0.043 1.857  -0.043 1.752  -0.065 1.652  -0.112 1.559  -0.158 1.465  -0.177 1.364  -0.177 1.260  -0.180 1.156  -0.227 1.062  -0.274 0.968  -0.310 0.872  -0.310 0.767  -0.310 0.662  -0.310 0.558  -0.310 0.453  -0.310 0.348  -0.310 0.243  -0.310 0.138  -0.310 0.034  -0.310 -0.071  -0.310 -0.176  -0.310 -0.281  -0.310 -0.385  -0.310 -0.490  -0.310 -0.595  -0.310 -0.700  -0.310 -0.805  -0.310 -0.909  -0.278 -0.937  -0.204 -0.863  -0.110 -0.836  -0.043 -0.798  -0.043 -0.693  -0.043 -0.588  0.017 -0.509  0.092 -0.436  0.197 -0.436  0.302 -0.436  0.392 -0.472  0.466 -0.546  0.490 -0.641  0.532 -0.703  0.623 -0.717  0.623 -0.822  0.687 -0.900  0.761 -0.974  0.835 -1.048  0.889 -1.131  0.889 -1.235
3#app#app14#app1463/r  -0.340 -0.866  -0.340 -0.951  -0.340 -1.036  -0.340 -1.121  -0.384 -1.162  -0.469 -1.162  -0.554 -1.162  -0.634 -1.162  -0.549 -1.162  -0.464 -1.162  -0.379 -1.162  -0.340 -1.116  -0.340 -1.031  -0.340 -0.946  -0.340 -0.861  -0.340 -0.776  -0.340 -0.691  -0.340 -0.606  -0.318 -0.526  -0.280 -0.450  -0.242 -0.374  -0.204 -0.298  -0.166 -0.222  -0.128 -0.146  -0.090 -0.070  -0.052 0.007  -0.044 0.090  -0.044 0.175  -0.044 0.260  -0.044 0.345  -0.044 0.430  -0.044 0.515  -0.044 0.600  0.005 0.664  0.066 0.724  0.126 0.785  0.186 0.845  0.246 0.905  0.306 0.965  0.366 1.025  0.426 1.085  0.486 1.145  0.547 1.205  0.631 1.207  0.716 1.207  0.801 1.207  0.886 1.207  0.971 1.207  1.056 1.207  1.141 1.207
3#app#app14#app1463/o  -0.811 0.199  -0.811 0.056  -0.799 -0.056  -0.698 0.045  -0.597 0.146  -0.496 0.247  -0.395 0.348  -0.295 0.448  -0.194 0.549  -0.093 0.650  0.008 0.751  0.108 0.851  0.209 0.952  0.310 1.053  0.411 1.154  0.512 1.255  0.649 1.267  0.791 1.267  0.792 1.125  0.792 0.983  0.792 0.840  0.792 0.698  0.792 0.555  0.792 0.413  0.792 0.270  0.792 0.128  0.792 -0.015  0.792 -0.157  0.792 -0.300  0.716 -0.411  0.615 -0.512  0.514 -0.613  0.414 -0.713  0.313 -0.814  0.212 -0.915  0.111 -1.016  0.010 -1.117  -0.124 -1.137  -0.266 -1.137  -0.409 -1.137  -0.549 -1.132  -0.650 -1.031  -0.751 -0.930  -0.811 -0.813  -0.811 -0.670  -0.864 -0.550  -0.965 -0.449  -1.066 -0.348  -1.078 -0.211  -1.078 -0.068
3#app#app14#app1463/u  -0.868 1.216  -0.868 1.100  -0.868 0.984  -0.779 0.956  -0.663 0.956  -0.608 0.895  -0.608 0.779  -0.608 0.663  -0.608 0.546  -0.608 0.430  -0.608 0.314  -0.608 0.197  -0.608 0.081  -0.608 -0.035  -0.608 -0.151  -0.608 -0.268  -0.608 -0.384  -0.608 -0.500  -0.608 -0.617  -0.608 -0.733  -0.608 -0.849  -0.537 -0.936  -0.455 -1.018  -0.373 -1.101  -0.267 -1.126  -0.151 -1.126  -0.050 -1.089  0.032 -1.007  0.115 -0.924  0.197 -0.842  0.279 -0.760  0.361 -0.678  0.440 -0.593  0.492 -0.489  0.544 -0.385  0.596 -0.281  0.648 -0.177  0.703 -0.075  0.786 0.007  0.868 0.089  0.950 0.171  0.954 0.286  0.954 0.402  0.954 0.519  0.954 0.635  0.954 0.751  0.954 0.867  0.954 0.984  0.954 1.100  0.954 1.216
