3#app#app19#app1976/b  -0.644 1.820  -0.644 1.664  -0.538 1.552  -0.481 1.419  -0.481 1.262  -0.481 1.106  -0.481 0.950  -0.481 0.794  -0.481 0.637  -0.481 0.481  -0.481 0.325  -0.481 0.169  -0.502 0.033  -0.644 0.019  -0.644 -0.138  -0.644 -0.294  -0.644 -0.450  -0.644 -0.606  -0.644 -0.763  -0.644 -0.639  -0.644 -0.482  -0.644 -0.326  -0.558 -0.206  -0.481 -0.081  -0.481 0.075  -0.456 0.221  -0.345 0.332  -0.200 0.358  -0.044 0.358  0.112 0.358  0.269 0.358  0.397 0.292  0.514 0.196  0.662 0.183  0.732 0.043  0.802 -0.096  0.938 -0.129  0.981 -0.243  1.057 -0.367  1.143 -0.488  1.143 -0.644  1.143 -0.800  1.128 -0.941  0.974 -0.948  0.864 -1.058  0.726 -1.104  0.570 -1.104  0.414 -1.104  0.279 -1.052  0.169 -0.941
3#app#app19#app1976/o  -0.395 0.476  -0.395 0.624  -0.457 0.709  -0.606 0.709  -0.628 0.584  -0.668 0.476  -0.816 0.476  -0.935 0.403  -1.039 0.299  -1.096 0.174  -1.096 0.026  -1.096 -0.123  -1.096 -0.271  -1.096 -0.419  -0.987 -0.459  -0.846 -0.475  -0.741 -0.580  -0.636 -0.685  -0.532 -0.789  -0.427 -0.894  -0.292 -0.926  -0.144 -0.926  0.004 -0.926  0.153 -0.926  0.301 -0.926  0.449 -0.926  0.540 -0.869  0.540 -0.721  0.660 -0.693  0.808 -0.693  0.956 -0.693  1.007 -0.596  1.007 -0.448  1.007 -0.299  1.007 -0.151  1.007 -0.003  1.007 0.145  0.971 0.278  0.866 0.383  0.774 0.493  0.774 0.641  0.694 0.709  0.546 0.709  0.439 0.810  0.335 0.915  0.198 0.943  0.073 0.966  0.073 1.114  -0.013 1.177  -0.161 1.177
3#app#app19#app1976/x  -0.828 1.350  -0.828 1.166  -0.828 0.982  -0.804 0.823  -0.620 0.823  -0.565 0.694  -0.515 0.560  -0.331 0.560  -0.301 0.406  -0.249 0.244  -0.119 0.113  0.011 -0.017  0.142 -0.147  0.272 -0.277  0.402 -0.407  0.549 -0.495  0.733 -0.495  0.869 -0.611  0.999 -0.741  1.176 -0.758  1.201 -0.768  1.018 -0.791  0.835 -0.814  0.653 -0.837  0.470 -0.859  0.288 -0.882  0.105 -0.905  -0.077 -0.928  -0.260 -0.951  -0.443 -0.973  -0.625 -0.996  -0.808 -1.019  -0.828 -0.859  -0.828 -0.675  -0.826 -0.492  -0.696 -0.362  -0.566 -0.232  -0.565 -0.048  -0.492 0.106  -0.362 0.236  -0.232 0.366  -0.101 0.496  0.029 0.626  0.159 0.756  0.289 0.886  0.419 1.016  0.549 1.147  0.679 1.277  0.833 1.350  1.017 1.350
3#app#app19#app1976/s  0.947 0.711  0.947 0.850  0.947 0.990  0.888 1.071  0.749 1.071  0.609 1.071  0.470 1.071  0.330 1.071  0.194 1.055  0.070 0.993  -0.055 0.930  -0.185 0.891  -0.322 0.883  -0.420 0.785  -0.529 0.711  -0.669 0.711  -0.769 0.616  -0.873 0.531  -1.013 0.531  -1.035 0.413  -1.035 0.273  -1.002 0.154  -0.877 0.092  -0.752 0.029  -0.674 -0.062  -0.663 -0.190  -0.523 -0.190  -0.384 -0.190  -0.244 -0.190  -0.134 -0.219  -0.134 -0.359  -0.006 -0.370  0.134 -0.370  0.273 -0.370  0.411 -0.375  0.510 -0.473  0.617 -0.550  0.757 -0.550  0.766 -0.680  0.766 -0.819  0.718 -0.910  0.581 -0.916  0.482 -1.015  0.374 -1.090  0.234 -1.090  0.133 -1.183  0.030 -1.270  -0.110 -1.270  -0.215 -1.352  -0.314 -1.450
3#app#app19#app1976/a  0.043 0.468  -0.141 0.468  -0.325 0.468  -0.509 0.468  -0.693 0.468  -0.877 0.468  -1.061 0.468  -1.245 0.468  -1.429 0.468  -1.525 0.380  -1.525 0.196  -1.525 0.012  -1.525 -0.172  -1.374 -0.204  -1.301 -0.316  -1.230 -0.428  -1.046 -0.428  -0.862 -0.428  -0.678 -0.428  -0.494 -0.428  -0.310 -0.428  -0.125 -0.428  0.059 -0.428  0.243 -0.428  0.427 -0.428  0.611 -0.428  0.715 -0.349  0.755 -0.204  0.939 -0.204  0.940 -0.021  0.940 0.163  0.940 0.347  0.895 0.513  0.765 0.643  0.601 0.692  0.417 0.692  0.267 0.658  0.267 0.474  0.267 0.290  0.267 0.106  0.365 0.020  0.491 -0.038  0.509 -0.204  0.693 -0.204  0.830 -0.318  0.968 -0.428  1.152 -0.428  1.337 -0.428  1.482 -0.522  1.612 -0.652
3#app#app19#app1976/i  0.157 1.564  0.157 1.489  0.157 1.415  0.157 1.340  0.123 1.299  0.048 1.299  -0.027 1.299  -0.101 1.299  -0.108 1.231  -0.108 1.157  -0.108 1.082  -0.108 1.007  -0.108 0.932  -0.108 0.858  -0.108 0.783  -0.108 0.708  -0.108 0.634  -0.108 0.559  -0.108 0.484  -0.108 0.410  -0.108 0.335  -0.108 0.260  -0.108 0.185  -0.108 0.111  -0.108 0.036  -0.108 -0.039  -0.108 -0.113  -0.108 -0.188  -0.108 -0.263  -0.108 -0.337  -0.108 -0.412  -0.108 -0.487  -0.108 -0.562  -0.108 -0.636  -0.108 -0.711  -0.108 -0.786  -0.078 -0.848  -0.025 -0.901  0.028 -0.954  0.081 -1.006  0.133 -1.059  0.157 -1.124  0.157 -1.199  0.157 -1.274  0.158 -1.348  0.210 -1.401  0.263 -1.454  0.316 -1.506  0.369 -1.559  0.422 -1.612
3#app#app19#app1976/d  -0.184 -0.590  -0.251 -0.477  -0.297 -0.341  -0.387 -0.250  -0.522 -0.361  -0.637 -0.428  -0.764 -0.490  -0.864 -0.630  -0.864 -0.811  -0.864 -0.993  -0.848 -1.157  -0.691 -1.217  -0.532 -1.271  -0.351 -1.271  -0.170 -1.271  -0.013 -1.213  0.115 -1.085  0.244 -0.957  0.292 -0.796  0.384 -0.653  0.384 -0.471  0.384 -0.290  0.384 -0.109  0.384 0.072  0.384 0.253  0.301 0.400  0.270 0.569  0.270 0.750  0.259 0.930  0.215 1.106  0.171 1.281  0.153 1.460  0.072 1.622  0.039 1.792  -0.070 1.720  -0.008 1.554  0.043 1.384  0.043 1.203  0.043 1.022  0.063 0.845  0.144 0.683  0.157 0.505  0.205 0.335  0.270 0.170  0.270 -0.012  0.346 -0.175  0.427 -0.337  0.497 -0.502  0.497 -0.683  0.611 -0.817
3#app#app19#app1976/,  -0.469 1.408  -0.391 1.408  -0.313 1.408  -0.246 1.398  -0.246 1.320  -0.246 1.242  -0.226 1.185  -0.148 1.185  -0.070 1.185  -0.022 1.155  -0.022 1.077  -0.022 0.999  -0.022 0.922  -0.022 0.844  -0.022 0.766  0.013 0.703  0.068 0.648  0.123 0.593  0.178 0.539  0.201 0.470  0.201 0.393  0.201 0.315  0.201 0.237  0.201 0.160  0.201 0.082  0.201 0.004  0.201 -0.073  0.201 -0.151  0.201 -0.229  0.201 -0.306  0.201 -0.384  0.201 -0.462  0.201 -0.539  0.188 -0.612  0.133 -0.667  0.078 -0.722  0.023 -0.777  -0.022 -0.835  -0.022 -0.913  -0.022 -0.991  -0.022 -1.068  -0.022 -1.146  -0.022 -1.224  -0.037 -1.298  -0.072 -1.368  -0.107 -1.437  -0.141 -1.507  -0.176 -1.576  -0.211 -1.645  -0.246 -1.715
3#app#app19#app1976/\"  -0.773 1.577  -0.773 1.447  -0.773 1.317  -0.773 1.187  -0.773 1.057  -0.773 0.927  -0.773 0.796  -0.773 0.666  -0.773 0.536  -0.773 0.406  -0.773 0.276  -0.773 0.146  -0.773 0.016  -0.773 -0.114  -0.773 -0.244  -0.773 -0.374  -0.773 -0.504  -0.773 -0.634  -0.773 -0.764  -0.737 -0.818  -0.635 -0.736  -0.534 -0.655  -0.432 -0.574  -0.331 -0.493  -0.229 -0.411  -0.127 -0.330  -0.026 -0.249  0.076 -0.168  0.177 -0.086  0.279 -0.005  0.380 0.076  0.482 0.157  0.583 0.239  0.685 0.320  0.786 0.401  0.888 0.482  0.958 0.497  0.958 0.367  0.958 0.237  0.958 0.107  0.958 -0.023  0.958 -0.153  0.958 -0.283  0.958 -0.413  0.958 -0.543  0.958 -0.673  0.958 -0.803  0.958 -0.933  0.958 -1.063  0.958 -1.193
3#app#app19#app1976/I  0.209 0.776  0.209 0.856  0.209 0.936  0.209 1.017  0.209 1.097  0.209 1.177  0.209 1.258  0.209 1.338  0.188 1.369  0.131 1.313  0.075 1.256  0.055 1.183  0.055 1.103  0.055 1.023  0.055 0.942  0.055 0.862  0.055 0.782  0.055 0.701  0.055 0.621  0.055 0.541  0.051 0.461  0.015 0.389  -0.020 0.317  -0.056 0.246  -0.092 0.174  -0.098 0.095  -0.098 0.014  -0.098 -0.066  -0.098 -0.146  -0.098 -0.227  -0.098 -0.307  -0.098 -0.387  -0.098 -0.468  -0.098 -0.548  -0.098 -0.628  -0.098 -0.709  -0.098 -0.789  -0.098 -0.870  -0.098 -0.950  -0.098 -1.030  -0.098 -1.111  -0.098 -1.191  -0.098 -1.271  -0.098 -1.352  -0.098 -1.432  -0.098 -1.512  -0.098 -1.593  -0.098 -1.673  -0.098 -1.753  -0.098 -1.834
3#app#app19#app1976/t  0.152 1.833  0.152 1.978  0.146 1.827  0.037 1.718  0.003 1.577  0.003 1.423  0.003 1.269  0.003 1.115  0.003 0.961  0.003 0.806  0.003 0.652  -0.095 0.538  -0.147 0.406  -0.147 0.252  -0.147 0.097  -0.147 -0.057  -0.147 -0.211  -0.147 -0.365  -0.147 -0.519  -0.147 -0.674  -0.147 -0.828  -0.061 -0.947  0.003 -1.074  0.003 -1.229  0.076 -1.310  0.207 -1.365  0.322 -1.459  0.477 -1.459  0.585 -1.435  0.500 -1.307  0.414 -1.178  0.328 -1.050  0.243 -0.922  0.157 -0.793  0.072 -0.665  -0.014 -0.537  -0.099 -0.408  -0.185 -0.280  -0.270 -0.152  -0.356 -0.023  -0.441 0.105  -0.527 0.233  -0.566 0.337  -0.412 0.337  -0.269 0.364  -0.160 0.473  -0.011 0.486  0.143 0.486  0.298 0.486  0.452 0.486
