3#app#app25#app2585/o  0.680 1.318  0.529 1.267  0.378 1.217  0.228 1.167  0.089 1.097  -0.023 0.984  -0.059 0.841  -0.141 0.763  -0.284 0.724  -0.396 0.612  -0.508 0.499  -0.621 0.387  -0.733 0.275  -0.845 0.162  -0.957 0.050  -0.983 -0.098  -0.983 -0.257  -0.983 -0.416  -0.983 -0.575  -0.983 -0.734  -0.983 -0.892  -0.983 -1.051  -0.857 -1.084  -0.698 -1.084  -0.539 -1.084  -0.394 -1.050  -0.282 -0.937  -0.139 -0.899  0.020 -0.899  0.163 -0.862  0.275 -0.749  0.310 -0.824  0.310 -0.815  0.351 -0.673  0.463 -0.561  0.576 -0.449  0.688 -0.337  0.800 -0.224  0.864 -0.092  0.907 0.025  1.049 0.041  1.049 0.200  0.943 0.315  0.831 0.427  0.719 0.540  0.680 0.682  0.602 0.763  0.443 0.763  0.284 0.763  0.125 0.763
3#app#app25#app2585/r  0.716 1.485  0.716 1.327  0.627 1.258  0.475 1.244  0.363 1.132  0.262 1.016  0.262 0.857  0.262 0.699  0.236 0.552  0.124 0.440  0.013 0.328  -0.099 0.216  -0.192 0.096  -0.192 -0.062  -0.192 -0.220  -0.226 -0.365  -0.338 -0.476  -0.449 -0.588  -0.561 -0.700  -0.646 -0.823  -0.646 -0.981  -0.774 -1.012  -0.915 -1.054  -1.027 -1.165  -1.046 -1.239  -0.888 -1.239  -0.873 -1.096  -0.873 -0.938  -0.869 -0.781  -0.757 -0.669  -0.646 -0.557  -0.534 -0.446  -0.422 -0.334  -0.419 -0.177  -0.334 -0.104  -0.175 -0.104  -0.017 -0.104  0.035 0.002  0.061 0.149  0.173 0.261  0.295 0.350  0.453 0.350  0.611 0.350  0.769 0.350  0.927 0.350  1.086 0.350  1.222 0.402  1.334 0.514  1.466 0.577  1.624 0.577
3#app#app25#app2585/*  0.115 1.773  -0.020 1.413  -0.109 1.034  -0.109 0.619  -0.109 0.203  -0.109 -0.213  -0.334 -0.535  -0.334 -0.951  -0.552 -1.149  -0.848 -0.860  -1.142 -0.566  -1.436 -0.272  -1.458 0.135  -1.107 0.200  -0.691 0.200  -0.359 -0.001  0.047 -0.025  0.463 -0.025  0.878 -0.025  1.294 -0.025  1.667 -0.022  1.257 0.041  0.846 0.105  0.435 0.168  0.024 0.231  -0.387 0.294  -0.798 0.357  -1.208 0.421  -0.891 0.307  -0.520 0.200  -0.109 0.194  0.087 -0.025  0.230 -0.365  0.565 -0.510  0.565 -0.926  0.620 -0.964  0.740 -0.566  0.859 -0.168  0.979 0.230  1.098 0.629  1.217 1.027  0.998 0.858  0.704 0.564  0.410 0.270  0.050 0.135  -0.109 -0.215  -0.397 -0.474  -0.738 -0.654  -1.042 -0.924  -1.233 -1.149
3#app#app25#app2585/Z  -0.529 1.120  -0.390 1.236  -0.135 1.236  0.072 1.351  0.327 1.351  0.466 1.236  0.693 1.169  0.927 1.120  1.067 1.005  1.088 0.771  0.972 0.632  0.807 0.543  0.626 0.401  0.510 0.262  0.322 0.196  0.115 0.081  -0.025 -0.035  -0.232 -0.150  -0.431 -0.283  -0.611 -0.463  -0.804 -0.612  -1.059 -0.612  -1.222 -0.772  -1.039 -0.843  -0.811 -0.908  -0.577 -0.959  -0.323 -0.959  -0.101 -1.040  0.139 -1.074  0.346 -1.190  0.601 -1.190  0.447 -1.046  0.248 -0.887  0.049 -0.728  -0.150 -0.569  -0.349 -0.410  -0.548 -0.251  -0.747 -0.092  -0.946 0.068  -1.072 0.231  -0.851 0.312  -0.613 0.238  -0.369 0.196  -0.114 0.196  0.114 0.131  0.348 0.081  0.576 0.016  0.809 -0.035  1.064 -0.035  1.319 -0.035
3#app#app25#app2585/A  -1.349 -1.353  -1.349 -1.160  -1.349 -0.967  -1.222 -0.827  -1.085 -0.691  -0.998 -0.519  -0.912 -0.346  -0.826 -0.174  -0.661 -0.079  -0.502 0.025  -0.385 0.176  -0.299 0.349  -0.170 0.490  -0.033 0.627  0.103 0.763  0.239 0.900  0.376 1.036  0.513 1.171  0.644 1.233  0.730 1.390  0.777 1.564  0.777 1.383  0.777 1.190  0.777 0.997  0.705 0.834  0.644 0.667  0.644 0.474  0.578 0.308  0.511 0.143  0.511 -0.050  0.511 -0.243  0.511 -0.436  0.511 -0.629  0.511 -0.822  0.373 -0.954  0.245 -1.019  0.245 -1.212  0.143 -1.066  0.036 -0.906  -0.071 -0.745  -0.178 -0.585  -0.285 -0.424  -0.392 -0.264  -0.499 -0.103  -0.453 -0.024  -0.261 -0.024  -0.068 -0.024  0.125 -0.024  0.318 -0.024  0.511 -0.024
3#app#app25#app2585/P  0.116 0.983  0.116 0.787  0.116 0.590  0.116 0.394  -0.019 0.253  -0.122 0.100  -0.179 -0.083  -0.242 -0.265  -0.302 -0.447  -0.361 -0.630  -0.461 -0.785  -0.480 -0.973  -0.480 -1.170  -0.566 -1.280  -0.643 -1.399  -0.718 -1.521  -0.798 -1.638  -0.794 -1.487  -0.740 -1.298  -0.686 -1.109  -0.632 -0.920  -0.578 -0.731  -0.524 -0.542  -0.470 -0.353  -0.416 -0.165  -0.362 0.024  -0.308 0.213  -0.254 0.402  -0.200 0.591  -0.147 0.780  -0.122 0.973  0.044 1.031  0.211 1.102  0.407 1.102  0.484 1.222  0.681 1.222  0.831 1.175  0.834 0.980  0.950 0.831  1.060 0.745  1.069 0.558  1.069 0.361  1.069 0.165  0.937 0.030  0.741 0.030  0.544 0.030  0.348 0.030  0.151 0.030  -0.045 0.030  -0.242 0.030
3#app#app25#app2585/*  0.257 1.237  0.104 1.003  0.023 0.697  0.023 0.309  -0.122 0.068  -0.275 -0.166  -0.445 -0.384  -0.445 -0.771  -0.501 -1.102  -0.786 -0.922  -0.985 -0.590  -1.185 -0.258  -1.375 0.073  -1.083 0.301  -0.696 0.301  -0.309 0.301  0.078 0.301  0.465 0.301  0.853 0.301  1.157 0.103  1.530 0.068  1.842 -0.114  2.052 -0.145  1.679 -0.038  1.307 0.068  0.935 0.174  0.563 0.281  0.191 0.387  -0.181 0.493  -0.554 0.600  -0.926 0.706  -1.146 0.611  -0.835 0.535  -0.678 0.305  -0.339 0.195  -0.065 -0.078  0.052 -0.400  0.385 -0.529  0.725 -0.638  0.882 -0.868  0.958 -1.025  0.782 -0.721  0.484 -0.473  0.187 -0.225  -0.110 0.023  -0.408 0.270  -0.678 0.196  -0.861 -0.115  -1.146 -0.247  -1.380 -0.400
3#app#app25#app2585/,  1.610 0.441  1.537 0.441  1.464 0.441  1.391 0.441  1.318 0.441  1.244 0.441  1.171 0.441  1.098 0.441  1.025 0.441  0.952 0.441  0.879 0.441  0.805 0.441  0.732 0.441  0.659 0.441  0.586 0.441  0.513 0.441  0.439 0.441  0.366 0.441  0.293 0.441  0.220 0.441  0.147 0.441  0.088 0.405  0.037 0.353  -0.015 0.301  -0.067 0.250  -0.119 0.198  -0.170 0.146  -0.222 0.094  -0.274 0.043  -0.326 -0.009  -0.377 -0.061  -0.429 -0.113  -0.481 -0.164  -0.533 -0.216  -0.584 -0.268  -0.636 -0.320  -0.688 -0.371  -0.740 -0.423  -0.791 -0.475  -0.843 -0.527  -0.895 -0.578  -0.947 -0.630  -0.998 -0.682  -1.050 -0.734  -1.102 -0.785  -1.154 -0.837  -1.205 -0.889  -1.257 -0.941  -1.309 -0.992  -1.361 -1.044
3#app#app25#app2585/*  0.392 1.163  0.392 0.734  0.161 0.401  0.161 -0.028  -0.004 -0.389  -0.070 -0.790  -0.121 -1.198  -0.405 -1.240  -0.663 -0.897  -0.920 -0.554  -1.177 -0.211  -1.435 0.132  -1.680 0.469  -1.251 0.469  -0.918 0.238  -0.489 0.238  -0.131 0.068  0.273 0.007  0.702 0.007  1.085 -0.038  1.316 -0.211  1.526 0.007  1.182 0.190  0.798 0.382  0.415 0.574  0.031 0.765  -0.352 0.957  -0.736 1.149  -0.645 0.813  -0.494 0.469  -0.298 0.235  0.037 0.007  0.235 -0.224  0.392 -0.495  0.392 -0.924  0.597 -1.148  0.710 -0.754  0.803 -0.336  0.896 0.083  0.989 0.502  1.082 0.920  0.854 0.745  0.565 0.469  0.211 0.289  0.071 -0.082  -0.299 -0.224  -0.632 -0.455  -0.830 -0.686  -1.259 -0.686  -1.457 -0.917
3#app#app25#app2585/K  0.147 1.416  -0.006 1.322  -0.030 1.086  -0.158 0.892  -0.230 0.662  -0.311 0.435  -0.423 0.234  -0.598 0.060  -0.664 -0.159  -0.839 -0.334  -0.923 -0.546  -0.972 -0.772  -1.075 -0.976  -1.045 -1.155  -0.860 -0.991  -0.675 -0.828  -0.490 -0.665  -0.305 -0.502  -0.120 -0.338  0.066 -0.175  0.251 -0.012  0.436 0.151  0.621 0.315  0.806 0.478  0.991 0.641  1.176 0.804  1.361 0.968  1.492 1.111  1.282 1.022  1.063 0.956  0.878 0.805  0.669 0.715  0.465 0.582  0.256 0.455  0.147 0.253  -0.030 0.169  -0.223 0.041  -0.470 0.041  -0.717 0.041  -0.770 -0.153  -0.635 -0.265  -0.464 -0.341  -0.294 -0.418  -0.158 -0.529  0.031 -0.607  0.147 -0.806  0.300 -0.900  0.300 -1.147  0.300 -1.394  0.300 -1.640
3#app#app25#app2585/A  -1.044 -1.633  -1.044 -1.445  -1.044 -1.257  -1.044 -1.070  -0.929 -0.929  -0.896 -0.755  -0.872 -0.577  -0.739 -0.444  -0.606 -0.312  -0.521 -0.145  -0.454 0.027  -0.398 0.192  -0.307 0.342  -0.236 0.501  -0.124 0.648  -0.040 0.816  0.077 0.961  0.135 1.124  0.281 1.167  0.414 1.298  0.448 1.461  0.636 1.461  0.725 1.362  0.823 1.215  0.753 1.167  0.725 1.007  0.725 0.819  0.725 0.631  0.725 0.444  0.706 0.264  0.577 0.129  0.544 -0.045  0.430 -0.186  0.430 -0.374  0.354 -0.530  0.283 -0.688  0.283 -0.876  0.283 -1.064  0.250 -1.140  0.151 -0.980  0.051 -0.821  -0.048 -0.662  -0.148 -0.502  -0.247 -0.343  -0.347 -0.184  -0.446 -0.025  -0.281 -0.012  -0.093 -0.012  0.095 -0.012  0.283 -0.012
