3#app#app25#app2594/@  1.071 0.366  0.816 0.488  0.562 0.610  0.265 0.631  -0.025 0.594  -0.254 0.461  -0.386 0.288  -0.563 0.056  -0.651 -0.212  -0.562 -0.429  -0.389 -0.561  -0.084 -0.561  0.198 -0.506  0.339 -0.296  0.541 -0.116  0.630 0.101  0.673 0.362  0.372 0.366  0.222 0.179  0.011 0.038  0.011 -0.267  0.155 -0.429  0.445 -0.392  0.661 -0.177  0.822 -0.016  0.938 0.241  0.938 0.546  1.071 0.797  0.925 1.041  0.669 1.160  0.364 1.160  0.083 1.100  -0.188 1.006  -0.478 0.909  -0.743 0.804  -0.894 0.542  -1.136 0.410  -1.313 0.178  -1.445 -0.072  -1.445 -0.377  -1.445 -0.682  -1.206 -0.826  -0.983 -1.024  -0.706 -1.091  -0.400 -1.091  -0.095 -1.091  0.210 -1.091  0.515 -1.091  0.816 -1.081  1.071 -0.958
3#app#app25#app2594/1  0.876 1.013  0.876 1.095  0.876 1.176  0.852 1.235  0.770 1.235  0.688 1.235  0.654 1.188  0.654 1.106  0.654 1.024  0.604 0.962  0.546 0.904  0.488 0.846  0.432 0.788  0.432 0.706  0.432 0.624  0.413 0.549  0.355 0.491  0.297 0.434  0.239 0.376  0.209 0.306  0.209 0.224  0.209 0.142  0.146 0.123  0.064 0.123  -0.013 0.118  -0.013 0.036  -0.013 -0.046  -0.033 -0.119  -0.091 -0.177  -0.149 -0.235  -0.207 -0.293  -0.235 -0.363  -0.235 -0.445  -0.235 -0.527  -0.282 -0.590  -0.340 -0.648  -0.398 -0.706  -0.456 -0.764  -0.514 -0.822  -0.572 -0.880  -0.630 -0.938  -0.680 -0.999  -0.680 -1.081  -0.680 -1.163  -0.715 -1.210  -0.797 -1.210  -0.879 -1.210  -0.961 -1.210  -1.042 -1.210  -1.124 -1.210
3#app#app25#app2594/2  -0.302 1.360  -0.174 1.360  -0.047 1.360  0.080 1.360  0.207 1.360  0.334 1.360  0.462 1.360  0.486 1.257  0.519 1.163  0.646 1.163  0.683 1.073  0.683 0.945  0.683 0.818  0.683 0.691  0.683 0.564  0.683 0.437  0.616 0.376  0.489 0.376  0.486 0.252  0.448 0.141  0.358 0.051  0.268 -0.039  0.178 -0.129  0.088 -0.219  -0.002 -0.309  -0.092 -0.399  -0.182 -0.489  -0.272 -0.579  -0.387 -0.609  -0.514 -0.609  -0.641 -0.609  -0.768 -0.609  -0.896 -0.609  -1.023 -0.609  -1.089 -0.670  -1.089 -0.797  -0.971 -0.806  -0.844 -0.806  -0.716 -0.806  -0.589 -0.806  -0.462 -0.806  -0.335 -0.806  -0.208 -0.806  -0.080 -0.806  0.047 -0.806  0.174 -0.806  0.301 -0.806  0.428 -0.806  0.486 -0.875  0.486 -1.002
3#app#app25#app2594/:  0.247 1.415  0.326 1.415  0.405 1.415  0.459 1.415  0.380 1.415  0.301 1.415  0.247 1.391  0.247 1.312  0.247 1.233  0.247 1.154  0.247 1.075  0.247 0.996  0.236 0.918  0.219 0.841  0.202 0.763  0.184 0.686  0.167 0.609  0.150 0.532  0.133 0.455  0.116 0.377  0.099 0.300  0.082 0.223  0.064 0.146  0.047 0.069  0.030 -0.008  0.013 -0.086  -0.004 -0.163  -0.021 -0.240  -0.039 -0.317  -0.056 -0.394  -0.073 -0.472  -0.090 -0.549  -0.107 -0.626  -0.124 -0.703  -0.141 -0.780  -0.159 -0.857  -0.176 -0.935  -0.193 -1.012  -0.203 -1.090  -0.203 -1.169  -0.203 -1.248  -0.246 -1.285  -0.325 -1.285  -0.404 -1.285  -0.428 -1.230  -0.428 -1.151  -0.428 -1.072  -0.428 -1.126  -0.428 -1.205  -0.428 -1.285
3#app#app25#app2594/3  -0.533 1.231  -0.404 1.231  -0.274 1.231  -0.145 1.231  -0.016 1.231  0.114 1.231  0.243 1.231  0.373 1.231  0.502 1.231  0.631 1.231  0.645 1.116  0.645 0.986  0.645 0.857  0.645 0.728  0.645 0.598  0.583 0.495  0.491 0.403  0.400 0.312  0.308 0.221  0.179 0.221  0.049 0.221  -0.080 0.221  -0.210 0.221  -0.339 0.221  -0.365 0.117  -0.365 -0.012  -0.339 -0.116  -0.210 -0.116  -0.080 -0.116  0.027 -0.170  0.118 -0.262  0.210 -0.353  0.301 -0.445  0.309 -0.571  0.309 -0.700  0.309 -0.830  0.309 -0.959  0.309 -1.088  0.217 -1.126  0.087 -1.126  -0.042 -1.126  -0.171 -1.126  -0.301 -1.126  -0.430 -1.126  -0.560 -1.126  -0.689 -1.126  -0.818 -1.126  -0.948 -1.126  -1.077 -1.126  -1.206 -1.126
3#app#app25#app2594/4  -0.092 1.136  -0.222 1.006  -0.352 0.877  -0.481 0.747  -0.611 0.617  -0.741 0.487  -0.871 0.358  -1.024 0.284  -1.157 0.234  -1.157 0.051  -1.157 -0.133  -1.331 -0.141  -1.225 -0.141  -1.041 -0.141  -0.858 -0.141  -0.675 -0.141  -0.491 -0.141  -0.308 -0.141  -0.124 -0.141  0.059 -0.141  0.242 -0.141  0.399 -0.076  0.528 0.054  0.658 0.183  0.788 0.313  0.918 0.443  1.047 0.572  1.177 0.702  1.307 0.832  1.359 0.885  1.230 0.755  1.100 0.625  0.970 0.497  0.786 0.497  0.759 0.341  0.669 0.195  0.546 0.062  0.546 -0.121  0.431 -0.257  0.333 -0.400  0.317 -0.567  0.134 -0.567  0.000 -0.687  -0.092 -0.832  -0.108 -1.009  -0.238 -1.139  -0.305 -1.294  -0.364 -1.419  -0.548 -1.419  -0.731 -1.419
3#app#app25#app2594/:  0.925 1.581  0.833 1.581  0.741 1.581  0.664 1.545  0.599 1.480  0.534 1.415  0.475 1.348  0.475 1.256  0.475 1.164  0.453 1.076  0.419 0.991  0.385 0.905  0.350 0.820  0.316 0.735  0.282 0.649  0.248 0.564  0.214 0.479  0.180 0.393  0.146 0.308  0.112 0.223  0.077 0.137  0.043 0.052  0.009 -0.033  -0.025 -0.119  -0.059 -0.204  -0.093 -0.289  -0.127 -0.374  -0.162 -0.460  -0.196 -0.545  -0.230 -0.630  -0.264 -0.716  -0.298 -0.801  -0.332 -0.886  -0.366 -0.972  -0.400 -1.057  -0.450 -1.119  -0.542 -1.119  -0.634 -1.119  -0.597 -1.066  -0.532 -1.001  -0.467 -0.936  -0.425 -0.861  -0.425 -0.769  -0.425 -0.677  -0.342 -0.669  -0.250 -0.669  -0.230 -0.699  -0.295 -0.764  -0.360 -0.829  -0.425 -0.894
3#app#app25#app2594/5  0.668 0.874  0.485 0.846  0.342 0.719  0.163 0.679  0.015 0.564  -0.107 0.491  -0.221 0.409  -0.371 0.300  -0.548 0.254  -0.588 0.099  -0.671 0.099  -0.476 0.099  -0.280 0.099  -0.091 0.083  0.047 -0.055  0.087 -0.211  0.259 -0.267  0.358 -0.422  0.358 -0.617  0.358 -0.813  0.343 -1.002  0.205 -1.140  0.010 -1.142  -0.186 -1.142  -0.381 -1.142  -0.577 -1.142  -0.772 -1.142  -0.943 -1.082  -1.099 -0.987  -1.193 -0.885  -1.051 -0.832  -0.915 -0.696  -0.783 -0.552  -0.652 -0.407  -0.520 -0.263  -0.389 -0.118  -0.257 0.027  -0.126 0.171  0.006 0.316  0.137 0.461  0.269 0.605  0.400 0.750  0.513 0.902  0.581 1.030  0.777 1.030  0.972 1.030  1.168 1.030  1.363 1.030  1.559 1.030  1.754 1.030
3#app#app25#app2594/6  1.243 1.721  1.131 1.608  1.008 1.522  0.849 1.522  0.735 1.412  0.623 1.299  0.510 1.187  0.398 1.074  0.285 0.962  0.173 0.849  0.060 0.737  -0.052 0.624  -0.171 0.526  -0.330 0.526  -0.448 0.428  -0.549 0.310  -0.549 0.151  -0.645 0.032  -0.748 -0.085  -0.748 -0.244  -0.748 -0.403  -0.748 -0.562  -0.748 -0.721  -0.737 -0.868  -0.577 -0.868  -0.549 -0.999  -0.458 -1.067  -0.299 -1.067  -0.140 -1.067  0.019 -1.067  0.178 -1.067  0.311 -1.004  0.423 -0.892  0.447 -0.742  0.533 -0.669  0.646 -0.623  0.646 -0.464  0.646 -0.305  0.646 -0.146  0.561 -0.072  0.402 -0.072  0.243 -0.072  0.084 -0.072  -0.075 -0.072  -0.234 -0.072  -0.381 -0.102  -0.493 -0.215  -0.629 -0.271  -0.788 -0.271  -0.948 -0.271
3#app#app25#app2594/_  -1.663 -0.111  -1.586 -0.111  -1.508 -0.111  -1.431 -0.111  -1.353 -0.111  -1.276 -0.111  -1.199 -0.111  -1.121 -0.111  -1.044 -0.111  -0.966 -0.111  -0.889 -0.111  -0.873 -0.049  -0.873 0.028  -0.873 0.106  -0.842 0.152  -0.765 0.152  -0.687 0.152  -0.610 0.152  -0.533 0.152  -0.455 0.152  -0.378 0.152  -0.300 0.152  -0.223 0.152  -0.145 0.152  -0.068 0.152  0.009 0.152  0.087 0.152  0.164 0.152  0.242 0.152  0.319 0.152  0.396 0.152  0.465 0.130  0.519 0.075  0.574 0.021  0.629 -0.034  0.684 -0.089  0.752 -0.111  0.829 -0.111  0.907 -0.111  0.984 -0.111  1.062 -0.111  1.139 -0.111  1.217 -0.111  1.294 -0.111  1.371 -0.111  1.449 -0.111  1.526 -0.111  1.604 -0.111  1.681 -0.111  1.759 -0.111
3#app#app25#app2594/J  0.707 0.770  0.595 0.658  0.574 0.510  0.466 0.397  0.442 0.250  0.337 0.136  0.310 -0.010  0.208 -0.125  0.097 -0.237  0.046 -0.373  -0.032 -0.498  -0.167 -0.552  -0.219 -0.658  -0.219 -0.815  -0.329 -0.927  -0.478 -0.949  -0.635 -0.949  -0.792 -0.949  -0.879 -0.878  -0.975 -0.816  -1.132 -0.816  -1.157 -0.684  -1.276 -0.645  -1.212 -0.552  -1.054 -0.552  -1.012 -0.438  -0.872 -0.420  -0.715 -0.420  -0.557 -0.420  -0.400 -0.420  -0.243 -0.420  -0.180 -0.292  -0.135 -0.141  -0.090 0.009  -0.045 0.160  0.001 0.311  0.046 0.461  0.091 0.612  0.136 0.763  0.190 0.902  0.348 0.902  0.505 0.902  0.662 0.902  0.820 0.902  0.977 0.902  1.134 0.902  1.292 0.902  1.449 0.902  1.606 0.902  1.764 0.902
