3#app#app26#app2602/8  1.080 1.259  0.903 1.259  0.727 1.259  0.551 1.259  0.407 1.227  0.366 1.091  0.190 1.091  0.014 1.091  -0.097 1.026  -0.171 0.923  -0.265 0.841  -0.355 0.755  -0.434 0.657  -0.434 0.481  -0.434 0.304  -0.434 0.128  -0.341 -0.010  -0.265 -0.155  -0.265 -0.331  -0.205 -0.482  -0.080 -0.607  0.044 -0.732  0.071 -0.897  0.071 -1.073  0.071 -1.250  -0.092 -1.263  -0.269 -1.263  -0.445 -1.263  -0.616 -1.249  -0.740 -1.124  -0.865 -1.000  -0.938 -0.854  -0.938 -0.677  -0.849 -0.590  -0.770 -0.493  -0.664 -0.422  -0.521 -0.342  -0.381 -0.254  -0.223 -0.211  -0.098 -0.087  0.078 -0.086  0.250 -0.075  0.374 0.050  0.537 0.082  0.699 0.144  0.857 0.223  1.026 0.250  1.167 0.337  1.291 0.462  1.416 0.587
3#app#app26#app2602/:  0.785 1.401  0.785 1.330  0.785 1.259  0.784 1.190  0.713 1.190  0.642 1.190  0.573 1.188  0.541 1.125  0.510 1.061  0.478 0.998  0.447 0.935  0.415 0.872  0.383 0.809  0.352 0.745  0.320 0.682  0.289 0.619  0.257 0.556  0.225 0.493  0.194 0.430  0.162 0.366  0.131 0.303  0.099 0.240  0.067 0.177  0.036 0.114  0.004 0.050  -0.027 -0.013  -0.059 -0.076  -0.091 -0.139  -0.122 -0.202  -0.154 -0.266  -0.185 -0.329  -0.217 -0.392  -0.249 -0.455  -0.280 -0.518  -0.312 -0.582  -0.343 -0.645  -0.375 -0.708  -0.407 -0.771  -0.438 -0.834  -0.470 -0.897  -0.501 -0.961  -0.533 -1.024  -0.565 -1.087  -0.596 -1.150  -0.628 -1.213  -0.659 -1.277  -0.691 -1.340  -0.691 -1.410  -0.691 -1.481  -0.691 -1.552
3#app#app26#app2602/4  0.110 1.067  -0.026 0.931  -0.162 0.795  -0.323 0.719  -0.412 0.616  -0.533 0.545  -0.586 0.406  -0.744 0.371  -0.762 0.197  -0.934 0.177  -0.973 0.023  -1.108 -0.034  -1.056 -0.204  -0.913 -0.325  -0.721 -0.325  -0.529 -0.325  -0.336 -0.325  -0.144 -0.325  0.048 -0.325  0.241 -0.325  0.433 -0.325  0.625 -0.325  0.811 -0.315  0.878 -0.135  0.946 0.045  1.013 0.225  1.081 0.405  1.148 0.585  1.216 0.765  1.283 0.946  1.282 1.027  1.136 0.902  0.990 0.777  0.844 0.651  0.698 0.526  0.552 0.401  0.406 0.276  0.259 0.151  0.113 0.026  0.026 -0.146  -0.060 -0.318  -0.194 -0.455  -0.330 -0.591  -0.466 -0.727  -0.596 -0.867  -0.682 -1.039  -0.773 -1.208  -0.909 -1.344  -0.934 -1.526  -0.934 -1.718
3#app#app26#app2602/&  -0.032 -1.054  -0.032 -0.884  -0.032 -0.713  -0.032 -0.542  -0.032 -0.371  -0.032 -0.201  -0.032 -0.030  -0.032 0.141  -0.032 0.312  0.045 0.450  0.146 0.579  0.146 0.750  0.146 0.921  0.150 1.090  0.271 1.211  0.419 1.265  0.503 1.352  0.582 1.443  0.753 1.443  0.860 1.380  0.860 1.209  0.860 1.038  0.860 0.867  0.860 0.697  0.860 0.526  0.847 0.360  0.727 0.240  0.606 0.119  0.485 -0.002  0.364 -0.123  0.244 -0.243  0.113 -0.341  -0.058 -0.341  -0.228 -0.341  -0.399 -0.341  -0.570 -0.341  -0.741 -0.341  -0.746 -0.506  -0.904 -0.519  -1.075 -0.519  -1.103 -0.662  -1.103 -0.833  -1.103 -1.003  -0.983 -1.054  -0.812 -1.054  -0.641 -1.054  -0.470 -1.054  -0.300 -1.054  -0.153 -0.997  -0.032 -0.876
3#app#app26#app2602/4  -0.065 1.366  -0.223 1.366  -0.352 1.297  -0.464 1.185  -0.501 1.043  -0.546 0.930  -0.704 0.930  -0.719 0.787  -0.802 0.711  -0.938 0.689  -0.938 0.531  -0.938 0.373  -0.877 0.275  -0.719 0.275  -0.561 0.275  -0.432 0.206  -0.320 0.094  -0.178 0.057  -0.020 0.057  0.138 0.057  0.296 0.057  0.454 0.057  0.612 0.057  0.770 0.057  0.928 0.057  1.087 0.057  1.245 0.057  1.403 0.057  1.365 0.057  1.207 0.057  1.049 0.057  0.891 0.057  0.733 0.057  0.575 0.057  0.417 0.057  0.292 -0.023  0.180 -0.135  0.153 -0.282  0.111 -0.422  -0.001 -0.534  -0.065 -0.665  -0.070 -0.821  -0.182 -0.933  -0.283 -1.049  -0.283 -1.207  -0.396 -1.252  -0.501 -1.305  -0.501 -1.463  -0.608 -1.577  -0.719 -1.689
3#app#app26#app2602/:  0.227 1.472  0.298 1.472  0.369 1.472  0.436 1.469  0.417 1.401  0.397 1.332  0.378 1.264  0.358 1.196  0.339 1.127  0.319 1.059  0.300 0.991  0.280 0.922  0.261 0.854  0.241 0.786  0.222 0.717  0.202 0.649  0.183 0.581  0.163 0.512  0.144 0.444  0.124 0.376  0.105 0.307  0.085 0.239  0.066 0.171  0.046 0.102  0.026 0.034  0.007 -0.034  -0.013 -0.102  -0.032 -0.171  -0.052 -0.239  -0.071 -0.307  -0.091 -0.376  -0.110 -0.444  -0.130 -0.512  -0.149 -0.581  -0.169 -0.649  -0.188 -0.717  -0.208 -0.786  -0.227 -0.854  -0.247 -0.922  -0.266 -0.991  -0.286 -1.059  -0.305 -1.127  -0.325 -1.196  -0.344 -1.264  -0.364 -1.332  -0.383 -1.401  -0.403 -1.469  -0.472 -1.472  -0.543 -1.472  -0.614 -1.472
3#app#app26#app2602/2  -0.299 1.297  -0.162 1.297  -0.026 1.297  0.074 1.334  0.074 1.470  0.197 1.483  0.312 1.431  0.409 1.335  0.505 1.238  0.602 1.142  0.633 1.018  0.633 0.882  0.633 0.745  0.633 0.609  0.633 0.472  0.633 0.336  0.633 0.199  0.516 0.180  0.399 0.132  0.303 0.036  0.206 -0.061  0.110 -0.157  0.013 -0.253  -0.083 -0.350  -0.208 -0.379  -0.331 -0.411  -0.427 -0.508  -0.540 -0.565  -0.676 -0.565  -0.813 -0.565  -0.949 -0.565  -1.086 -0.565  -1.222 -0.565  -1.101 -0.565  -0.988 -0.621  -0.891 -0.718  -0.769 -0.751  -0.632 -0.751  -0.496 -0.751  -0.359 -0.751  -0.223 -0.751  -0.086 -0.751  0.050 -0.751  0.186 -0.751  0.323 -0.751  0.459 -0.751  0.596 -0.751  0.732 -0.751  0.869 -0.751  1.005 -0.751
3#app#app26#app2602/&  0.394 -1.229  0.239 -1.199  0.239 -1.013  0.147 -0.919  0.084 -0.796  -0.025 -0.655  -0.071 -0.489  -0.071 -0.303  -0.071 -0.117  -0.071 0.069  -0.071 0.255  -0.071 0.441  -0.071 0.627  -0.071 0.813  -0.071 0.998  -0.071 1.184  -0.071 1.370  0.077 1.407  0.263 1.407  0.449 1.407  0.635 1.407  0.821 1.407  0.859 1.260  0.859 1.074  0.859 0.888  0.859 0.702  0.778 0.550  0.704 0.395  0.592 0.322  0.549 0.178  0.426 0.043  0.253 0.011  0.118 -0.110  -0.054 -0.144  -0.236 -0.153  -0.368 -0.285  -0.548 -0.299  -0.692 -0.341  -0.764 -0.454  -0.950 -0.454  -1.002 -0.588  -1.002 -0.774  -1.002 -0.960  -0.931 -1.074  -0.745 -1.074  -0.559 -1.074  -0.374 -1.070  -0.208 -0.987  -0.048 -0.895  0.084 -0.764
3#app#app26#app2602/2  -0.332 1.340  -0.185 1.340  -0.074 1.426  0.036 1.512  0.183 1.512  0.184 1.367  0.304 1.340  0.356 1.246  0.425 1.168  0.529 1.125  0.541 0.983  0.645 0.880  0.633 0.824  0.529 0.782  0.529 0.635  0.529 0.489  0.529 0.342  0.450 0.228  0.342 0.135  0.195 0.135  0.184 -0.001  0.106 -0.115  -0.001 -0.209  -0.148 -0.209  -0.255 -0.304  -0.359 -0.408  -0.462 -0.511  -0.591 -0.553  -0.720 -0.597  -0.824 -0.701  -0.960 -0.725  -1.106 -0.725  -1.132 -0.725  -0.985 -0.725  -0.839 -0.725  -0.692 -0.725  -0.584 -0.633  -0.470 -0.553  -0.324 -0.553  -0.177 -0.553  -0.031 -0.553  0.116 -0.553  0.240 -0.608  0.343 -0.712  0.356 -0.853  0.356 -1.000  0.433 -1.070  0.580 -1.070  0.726 -1.070  0.873 -1.070
3#app#app26#app2602/:  0.151 1.332  0.224 1.332  0.296 1.332  0.368 1.332  0.440 1.332  0.513 1.332  0.500 1.273  0.475 1.206  0.450 1.138  0.424 1.070  0.399 1.003  0.373 0.935  0.348 0.867  0.323 0.800  0.297 0.732  0.272 0.664  0.247 0.597  0.221 0.529  0.196 0.461  0.170 0.394  0.145 0.326  0.120 0.258  0.094 0.191  0.069 0.123  0.044 0.055  0.018 -0.012  -0.007 -0.080  -0.033 -0.148  -0.058 -0.215  -0.083 -0.283  -0.109 -0.351  -0.134 -0.418  -0.159 -0.486  -0.185 -0.554  -0.210 -0.622  -0.236 -0.689  -0.261 -0.757  -0.286 -0.825  -0.312 -0.892  -0.337 -0.960  -0.362 -1.028  -0.388 -1.095  -0.413 -1.163  -0.439 -1.231  -0.464 -1.298  -0.489 -1.366  -0.515 -1.434  -0.540 -1.501  -0.565 -1.569  -0.591 -1.637
3#app#app26#app2602/1  0.586 1.627  0.553 1.560  0.519 1.493  0.486 1.426  0.452 1.359  0.419 1.292  0.385 1.225  0.352 1.158  0.349 1.083  0.349 1.008  0.349 0.933  0.309 0.875  0.256 0.822  0.203 0.769  0.150 0.716  0.112 0.657  0.112 0.582  0.112 0.507  0.112 0.432  0.112 0.357  0.112 0.282  0.112 0.207  0.112 0.132  0.112 0.057  0.112 -0.018  0.070 -0.076  0.017 -0.129  -0.036 -0.182  -0.089 -0.235  -0.126 -0.295  -0.126 -0.370  -0.126 -0.444  -0.133 -0.516  -0.186 -0.569  -0.239 -0.622  -0.292 -0.675  -0.345 -0.728  -0.363 -0.796  -0.363 -0.871  -0.363 -0.946  -0.363 -1.021  -0.363 -1.096  -0.363 -1.171  -0.363 -1.246  -0.363 -1.321  -0.363 -1.396  -0.376 -1.458  -0.450 -1.458  -0.525 -1.458  -0.600 -1.458
