3#app#app26#app2611/P  0.165 0.937  0.021 0.792  -0.024 0.606  -0.024 0.401  -0.024 0.196  -0.024 -0.008  -0.034 -0.209  -0.179 -0.354  -0.213 -0.544  -0.335 -0.699  -0.403 -0.875  -0.403 -1.080  -0.403 -1.285  -0.558 -1.335  -0.762 -1.335  -0.781 -1.521  -0.971 -1.512  -0.961 -1.309  -0.887 -1.118  -0.814 -0.927  -0.740 -0.736  -0.667 -0.545  -0.593 -0.354  -0.520 -0.162  -0.446 0.029  -0.373 0.220  -0.299 0.411  -0.226 0.602  -0.152 0.793  -0.079 0.984  0.029 1.126  0.233 1.126  0.355 1.210  0.454 1.316  0.544 1.201  0.674 1.126  0.733 0.981  0.733 0.776  0.858 0.623  1.036 0.558  1.112 0.430  1.112 0.225  0.952 0.180  0.923 0.005  0.788 -0.144  0.606 -0.199  0.401 -0.199  0.196 -0.199  -0.009 -0.199  -0.024 -0.010
3#app#app26#app2611/e  -0.535 0.232  -0.325 0.232  -0.282 0.065  -0.158 -0.021  0.052 -0.021  0.262 -0.021  0.472 -0.021  0.682 -0.021  0.731 0.140  0.849 0.232  1.059 0.232  1.237 0.264  1.237 0.474  1.237 0.684  1.081 0.738  0.984 0.851  0.914 0.991  0.704 0.991  0.494 0.991  0.284 0.991  0.074 0.991  -0.104 0.915  -0.253 0.767  -0.282 0.569  -0.408 0.485  -0.618 0.485  -0.816 0.457  -0.965 0.308  -1.041 0.130  -1.100 -0.021  -1.294 -0.037  -1.294 -0.247  -1.294 -0.457  -1.154 -0.527  -1.041 -0.624  -1.003 -0.818  -0.854 -0.967  -0.706 -0.952  -0.557 -0.803  -0.357 -0.780  -0.282 -0.646  -0.190 -0.527  0.020 -0.527  0.225 -0.533  0.225 -0.743  0.397 -0.780  0.607 -0.780  0.817 -0.780  1.027 -0.780  1.237 -0.780
3#app#app26#app2611/r  1.110 1.435  0.930 1.345  0.750 1.255  0.570 1.165  0.537 0.983  0.457 0.862  0.255 0.862  0.251 0.665  0.139 0.576  -0.035 0.548  -0.035 0.347  -0.137 0.188  -0.280 0.045  -0.321 -0.139  -0.362 -0.323  -0.504 -0.466  -0.608 -0.624  -0.608 -0.826  -0.608 -0.683  -0.669 -0.631  -0.812 -0.773  -0.979 -0.855  -1.180 -0.856  -1.180 -1.057  -1.180 -1.025  -1.180 -0.823  -1.180 -0.622  -1.031 -0.569  -0.894 -0.505  -0.894 -0.304  -0.713 -0.283  -0.512 -0.283  -0.311 -0.283  -0.109 -0.283  -0.035 -0.155  -0.035 0.046  -0.035 0.248  0.124 0.290  0.326 0.290  0.527 0.290  0.537 0.099  0.644 0.004  0.824 0.025  0.824 0.226  0.962 0.290  1.110 0.237  1.110 0.035  1.280 0.004  1.481 0.004  1.683 0.004
3#app#app26#app2611/h  1.166 1.824  1.022 1.679  0.877 1.535  0.733 1.391  0.589 1.246  0.444 1.102  0.300 0.958  0.156 0.813  0.037 0.658  0.027 0.459  -0.118 0.314  -0.188 0.139  -0.271 0.018  -0.414 -0.043  -0.442 -0.236  -0.586 -0.380  -0.640 -0.562  -0.747 -0.659  -0.951 -0.659  -1.091 -0.723  -1.091 -0.927  -1.091 -1.090  -1.091 -0.886  -1.091 -0.681  -0.909 -0.659  -0.865 -0.499  -0.865 -0.295  -0.748 -0.208  -0.640 -0.112  -0.566 0.018  -0.362 0.018  -0.167 0.040  -0.022 0.184  0.157 0.244  0.263 0.342  0.340 0.470  0.489 0.415  0.522 0.244  0.715 0.232  0.715 0.028  0.909 0.018  0.940 -0.155  0.940 -0.359  0.811 -0.433  0.715 -0.541  0.628 -0.659  0.489 -0.724  0.446 -0.885  0.263 -0.906  0.263 -1.110
3#app#app26#app2611/a  1.002 0.858  0.787 0.858  0.571 0.858  0.461 0.965  0.410 1.129  0.194 1.129  -0.022 1.129  -0.238 1.129  -0.423 1.057  -0.576 0.904  -0.728 0.751  -0.881 0.599  -0.892 0.387  -1.038 0.317  -1.163 0.227  -1.198 0.046  -1.414 0.046  -1.433 -0.150  -1.433 -0.366  -1.346 -0.495  -1.131 -0.495  -0.915 -0.495  -0.755 -0.631  -0.595 -0.765  -0.379 -0.765  -0.218 -0.633  -0.060 -0.495  0.156 -0.495  0.191 -0.314  0.317 -0.224  0.533 -0.224  0.732 -0.208  0.732 0.008  0.909 0.046  1.002 0.169  0.935 0.317  0.732 0.304  0.732 0.088  0.558 0.046  0.461 -0.073  0.397 -0.224  0.191 -0.234  0.191 -0.450  0.191 -0.665  0.306 -0.765  0.522 -0.765  0.736 -0.770  0.889 -0.922  1.002 -0.981  1.002 -0.765
3#app#app26#app2611/p  0.015 0.099  -0.098 -0.014  -0.130 -0.161  -0.259 -0.191  -0.275 -0.335  -0.387 -0.449  -0.420 -0.595  -0.511 -0.717  -0.624 -0.831  -0.711 -0.955  -0.763 -1.063  -0.856 -1.129  -0.856 -1.289  -0.952 -1.353  -1.001 -1.242  -1.001 -1.082  -1.001 -0.922  -0.892 -0.808  -0.779 -0.695  -0.711 -0.563  -0.632 -0.482  -0.499 -0.416  -0.420 -0.288  -0.376 -0.147  -0.263 -0.034  -0.150 0.079  -0.130 0.231  0.015 0.246  0.027 0.401  0.140 0.514  0.161 0.666  0.306 0.680  0.321 0.825  0.451 0.855  0.496 0.971  0.596 1.030  0.670 1.116  0.830 1.116  0.990 1.116  1.032 0.998  1.165 0.971  1.177 0.823  1.165 0.668  1.052 0.555  1.032 0.403  0.886 0.389  0.773 0.276  0.626 0.244  0.466 0.244  0.306 0.244
3#app#app26#app2611/s  1.233 0.927  1.139 0.927  1.046 0.927  0.952 0.927  0.858 0.927  0.764 0.927  0.671 0.927  0.577 0.927  0.483 0.927  0.389 0.927  0.296 0.927  0.202 0.927  0.108 0.927  0.015 0.927  -0.079 0.927  -0.173 0.927  -0.250 0.910  -0.250 0.817  -0.250 0.723  -0.250 0.629  -0.250 0.535  -0.250 0.442  -0.250 0.348  -0.250 0.254  -0.233 0.168  -0.167 0.101  -0.101 0.035  -0.034 -0.031  -0.003 -0.112  -0.003 -0.206  -0.003 -0.300  -0.003 -0.393  -0.003 -0.487  -0.003 -0.581  -0.003 -0.675  -0.003 -0.768  -0.003 -0.862  -0.003 -0.956  -0.003 -1.050  -0.090 -1.081  -0.179 -1.110  -0.268 -1.140  -0.357 -1.169  -0.446 -1.199  -0.535 -1.229  -0.624 -1.258  -0.713 -1.288  -0.805 -1.299  -0.899 -1.299  -0.992 -1.299
3#app#app26#app2611/t  0.636 1.400  0.630 1.206  0.491 1.068  0.313 1.025  0.261 0.881  0.153 0.729  0.074 0.566  -0.019 0.462  -0.114 0.362  -0.223 0.275  -0.301 0.157  -0.428 0.087  -0.489 -0.048  -0.489 -0.244  -0.641 -0.288  -0.676 -0.449  -0.676 -0.645  -0.676 -0.841  -0.676 -1.037  -0.669 -1.225  -0.489 -1.242  -0.464 -1.413  -0.268 -1.413  -0.072 -1.413  0.124 -1.413  0.321 -1.413  0.449 -1.345  0.525 -1.225  0.598 -1.149  0.510 -0.974  0.423 -0.798  0.335 -0.623  0.247 -0.447  0.160 -0.272  0.072 -0.097  -0.016 0.079  -0.104 0.254  -0.191 0.430  -0.279 0.605  -0.367 0.780  -0.454 0.956  -0.370 1.025  -0.174 1.025  0.022 1.025  0.218 1.025  0.261 0.872  0.423 0.837  0.619 0.837  0.636 1.016  0.824 1.025
3#app#app26#app2611/h  1.102 1.835  1.102 1.640  0.908 1.639  0.906 1.446  0.714 1.443  0.710 1.252  0.576 1.113  0.438 0.975  0.318 0.830  0.294 0.658  0.122 0.636  0.107 0.447  -0.031 0.309  -0.074 0.132  -0.207 0.070  -0.270 -0.062  -0.401 -0.126  -0.466 -0.256  -0.557 -0.413  -0.662 -0.565  -0.708 -0.714  -0.858 -0.758  -0.902 -0.910  -1.055 -0.952  -1.055 -1.065  -1.055 -0.870  -1.016 -0.714  -0.858 -0.676  -0.832 -0.492  -0.695 -0.354  -0.557 -0.216  -0.419 -0.078  -0.281 0.060  -0.090 0.070  0.105 0.070  0.122 0.248  0.298 0.266  0.493 0.266  0.688 0.266  0.710 0.093  0.710 -0.102  0.710 -0.297  0.540 -0.322  0.514 -0.491  0.395 -0.637  0.232 -0.714  0.122 -0.799  0.063 -0.969  -0.073 -1.106  0.122 -1.106
3#app#app26#app2611/e  0.012 -0.027  0.167 -0.027  0.322 -0.027  0.470 -0.012  0.580 0.098  0.694 0.195  0.849 0.195  0.898 0.301  0.938 0.417  1.092 0.417  1.120 0.544  1.120 0.699  1.120 0.854  0.971 0.860  0.817 0.860  0.662 0.860  0.507 0.860  0.352 0.860  0.197 0.860  0.042 0.860  -0.113 0.860  -0.210 0.802  -0.210 0.647  -0.356 0.638  -0.511 0.638  -0.653 0.626  -0.653 0.471  -0.725 0.345  -0.834 0.236  -0.875 0.098  -0.896 -0.048  -1.006 -0.158  -1.097 -0.275  -1.097 -0.430  -1.097 -0.585  -1.097 -0.740  -1.097 -0.895  -0.961 -0.914  -0.806 -0.914  -0.651 -0.914  -0.496 -0.914  -0.341 -0.914  -0.186 -0.914  -0.031 -0.914  0.124 -0.914  0.279 -0.914  0.434 -0.914  0.589 -0.914  0.744 -0.914  0.898 -0.914
3#app#app26#app2611/g  1.128 0.958  1.039 1.087  0.835 1.121  0.656 1.215  0.439 1.215  0.350 1.087  0.225 0.993  0.096 0.904  -0.033 0.815  -0.033 0.597  0.096 0.508  0.119 0.313  0.336 0.313  0.483 0.384  0.596 0.555  0.741 0.638  0.897 0.700  0.883 0.700  0.816 0.517  0.741 0.331  0.612 0.242  0.461 0.162  0.354 -0.012  0.225 -0.101  0.143 -0.285  -0.033 -0.354  -0.111 -0.539  -0.266 -0.694  -0.457 -0.756  -0.549 -0.937  -0.712 -1.011  -0.891 -1.106  -1.058 -1.228  -1.144 -1.363  -1.322 -1.323  -1.322 -1.106  -1.193 -0.941  -1.069 -0.848  -0.980 -0.719  -0.904 -0.558  -0.726 -0.461  -0.558 -0.341  -0.420 -0.256  -0.255 -0.203  -0.162 -0.078  0.052 -0.074  0.225 -0.030  0.359 0.055  0.549 -0.011  0.741 -0.074
