3#app#app31#app3107/j  0.523 0.614  0.523 0.624  0.459 0.697  0.396 0.711  0.459 0.600  0.459 0.464  0.459 0.328  0.459 0.191  0.446 0.056  0.413 -0.076  0.396 -0.210  0.362 -0.339  0.333 -0.468  0.307 -0.600  0.270 -0.731  0.270 -0.867  0.253 -1.000  0.206 -1.125  0.160 -1.250  0.143 -1.383  0.080 -1.493  -0.005 -1.515  -0.101 -1.418  -0.173 -1.311  -0.207 -1.181  -0.276 -1.073  -0.363 -0.991  -0.398 -0.869  -0.426 -0.744  -0.426 -0.608  -0.426 -0.471  -0.412 -0.336  -0.397 -0.200  -0.382 -0.065  -0.367 0.071  -0.352 0.207  -0.337 0.342  -0.322 0.478  -0.307 0.613  -0.292 0.749  -0.276 0.884  -0.261 1.020  -0.246 1.156  -0.268 1.278  -0.300 1.402  -0.209 1.463  -0.112 1.560  -0.040 1.626  0.096 1.626  0.206 1.562
3#app#app31#app3107/o  0.253 0.419  0.361 0.473  0.469 0.527  0.413 0.634  0.359 0.742  0.196 0.742  0.034 0.742  -0.128 0.742  -0.183 0.634  -0.328 0.593  -0.463 0.526  -0.589 0.440  -0.632 0.300  -0.777 0.227  -0.933 0.203  -0.972 0.056  -1.041 -0.077  -1.125 -0.205  -1.149 -0.357  -1.149 -0.520  -1.134 -0.675  -1.027 -0.796  -0.954 -0.941  -0.852 -1.065  -0.701 -1.091  -0.538 -1.091  -0.376 -1.091  -0.214 -1.091  -0.051 -1.091  0.111 -1.091  0.236 -1.001  0.376 -0.922  0.510 -0.834  0.577 -0.699  0.664 -0.573  0.778 -0.458  0.856 -0.317  0.900 -0.165  0.900 -0.002  0.900 0.160  0.900 0.322  0.900 0.485  0.900 0.647  0.840 0.772  0.695 0.845  0.642 0.958  0.577 1.055  0.425 1.066  0.291 0.996  0.253 0.850
3#app#app31#app3107/u  -0.738 0.351  -0.849 0.409  -0.849 0.579  -0.849 0.748  -0.959 0.778  -0.959 0.609  -1.070 0.550  -1.070 0.381  -1.090 0.220  -1.180 0.088  -1.180 -0.081  -1.145 -0.236  -1.070 -0.374  -1.062 -0.540  -0.959 -0.667  -0.877 -0.754  -0.749 -0.854  -0.584 -0.864  -0.426 -0.819  -0.279 -0.736  -0.148 -0.643  -0.076 -0.547  0.067 -0.501  0.171 -0.371  0.247 -0.219  0.366 -0.162  0.366 0.007  0.477 0.130  0.593 0.252  0.669 0.404  0.698 0.566  0.808 0.690  0.808 0.859  0.819 1.024  0.890 1.124  0.808 1.037  0.783 0.878  0.698 0.744  0.698 0.575  0.698 0.405  0.698 0.236  0.698 0.067  0.698 -0.102  0.698 -0.272  0.698 -0.441  0.698 -0.610  0.716 -0.772  0.808 -0.903  0.877 -1.044  0.918 -1.196
3#app#app31#app3107/r  -0.150 0.399  -0.160 0.518  -0.268 0.497  -0.268 0.368  -0.268 0.239  -0.268 0.110  -0.268 -0.020  -0.320 -0.127  -0.387 -0.229  -0.387 -0.358  -0.387 -0.487  -0.387 -0.616  -0.421 -0.738  -0.479 -0.853  -0.506 -0.976  -0.506 -1.105  -0.506 -1.234  -0.606 -1.263  -0.624 -1.374  -0.622 -1.263  -0.506 -1.250  -0.506 -1.121  -0.506 -0.991  -0.486 -0.867  -0.428 -0.751  -0.360 -0.643  -0.269 -0.552  -0.268 -0.423  -0.254 -0.299  -0.163 -0.208  -0.100 -0.096  -0.042 0.020  0.015 0.135  0.073 0.251  0.131 0.366  0.189 0.482  0.246 0.598  0.304 0.713  0.383 0.813  0.475 0.905  0.566 0.996  0.657 1.087  0.682 1.207  0.787 1.231  0.916 1.231  1.045 1.231  1.169 1.218  1.261 1.127  1.384 1.112  1.394 0.993
3#app#app31#app3107/n  -0.557 0.534  -0.431 0.583  -0.431 0.758  -0.431 0.890  -0.431 0.715  -0.484 0.553  -0.561 0.396  -0.616 0.230  -0.671 0.064  -0.781 -0.068  -0.808 -0.232  -0.851 -0.389  -0.934 -0.529  -1.009 -0.673  -1.060 -0.827  -1.060 -0.950  -0.985 -0.850  -0.934 -0.726  -0.812 -0.602  -0.688 -0.478  -0.565 -0.355  -0.441 -0.231  -0.359 -0.077  -0.281 0.079  -0.203 0.235  -0.093 0.369  0.013 0.508  0.110 0.653  0.209 0.797  0.335 0.917  0.491 0.995  0.633 1.094  0.779 1.163  0.827 1.036  0.827 0.862  0.827 0.687  0.827 0.512  0.777 0.358  0.701 0.214  0.701 0.039  0.701 -0.135  0.701 -0.310  0.701 -0.485  0.701 -0.660  0.701 -0.835  0.814 -0.963  0.858 -1.102  0.953 -1.182  1.081 -1.230  1.205 -1.353
3#app#app31#app3107/e  -0.994 -0.064  -1.122 0.064  -0.979 0.079  -0.798 0.079  -0.618 0.079  -0.475 -0.011  -0.316 -0.064  -0.136 -0.064  0.045 -0.064  0.226 -0.064  0.406 -0.064  0.587 -0.064  0.724 -0.021  0.781 0.136  0.867 0.281  0.867 0.462  0.773 0.603  0.724 0.763  0.720 0.942  0.592 1.070  0.417 1.081  0.236 1.081  0.056 1.081  -0.125 1.081  -0.298 1.062  -0.425 0.935  -0.553 0.807  -0.681 0.679  -0.808 0.552  -0.905 0.401  -0.986 0.240  -0.994 0.061  -0.994 -0.119  -0.929 -0.273  -0.851 -0.421  -0.743 -0.494  -0.605 -0.596  -0.478 -0.724  -0.320 -0.780  -0.140 -0.780  0.032 -0.836  0.203 -0.893  0.379 -0.923  0.559 -0.923  0.740 -0.923  0.920 -0.923  1.101 -0.923  1.281 -0.923  1.455 -0.908  1.583 -0.780
3#app#app31#app3107/y  -0.498 0.660  -0.556 0.805  -0.626 0.921  -0.672 0.972  -0.672 0.803  -0.585 0.720  -0.569 0.558  -0.498 0.418  -0.453 0.267  -0.333 0.148  -0.255 0.051  -0.192 -0.081  -0.063 -0.146  0.024 -0.192  0.011 -0.036  0.012 0.024  0.144 0.129  0.276 0.235  0.408 0.341  0.540 0.446  0.672 0.552  0.805 0.658  0.937 0.763  1.069 0.869  1.201 0.975  1.127 1.008  1.052 0.904  0.911 0.834  0.848 0.701  0.758 0.560  0.660 0.425  0.540 0.306  0.435 0.176  0.351 0.030  0.251 -0.104  0.162 -0.246  0.043 -0.366  -0.077 -0.485  -0.179 -0.617  -0.266 -0.761  -0.372 -0.892  -0.466 -1.032  -0.577 -1.159  -0.655 -1.308  -0.704 -1.460  -0.846 -1.520  -0.846 -1.689  -0.846 -1.521  -0.759 -1.388  -0.672 -1.254
3#app#app31#app3107/s  1.192 0.767  1.327 0.767  1.248 0.767  1.192 0.846  1.141 0.929  1.006 0.929  0.871 0.929  0.774 0.837  0.668 0.767  0.533 0.767  0.398 0.767  0.263 0.767  0.154 0.705  0.058 0.610  -0.074 0.604  -0.181 0.534  -0.277 0.441  -0.412 0.441  -0.437 0.331  -0.378 0.220  -0.283 0.124  -0.152 0.115  -0.017 0.115  0.118 0.115  0.242 0.088  0.337 -0.008  0.456 -0.048  0.576 -0.083  0.672 -0.179  0.640 -0.274  0.544 -0.370  0.449 -0.465  0.347 -0.552  0.226 -0.612  0.106 -0.672  -0.023 -0.699  -0.158 -0.699  -0.287 -0.713  -0.383 -0.808  -0.496 -0.862  -0.631 -0.862  -0.766 -0.862  -0.901 -0.862  -1.024 -0.813  -1.145 -0.752  -1.267 -0.699  -1.402 -0.699  -1.501 -0.612  -1.605 -0.536  -1.740 -0.536
3#app#app31#app3107/h  0.131 0.992  0.167 1.135  0.237 1.264  0.237 1.423  0.237 1.581  0.237 1.733  0.237 1.575  0.161 1.448  0.131 1.302  0.088 1.162  0.024 1.030  0.017 0.874  -0.071 0.743  -0.159 0.611  -0.188 0.462  -0.211 0.309  -0.282 0.168  -0.352 0.026  -0.436 -0.106  -0.533 -0.229  -0.604 -0.370  -0.635 -0.517  -0.747 -0.629  -0.825 -0.754  -0.825 -0.912  -0.932 -1.026  -0.820 -0.914  -0.708 -0.803  -0.596 -0.691  -0.507 -0.570  -0.448 -0.436  -0.336 -0.324  -0.224 -0.212  -0.082 -0.175  -0.029 -0.070  0.099 0.004  0.244 0.036  0.402 0.036  0.454 -0.070  0.556 -0.126  0.557 -0.284  0.662 -0.399  0.662 -0.557  0.662 -0.715  0.662 -0.873  0.662 -1.031  0.662 -1.189  0.664 -1.345  0.822 -1.345  0.874 -1.239
3#app#app31#app3107/i  0.198 -0.042  0.198 -0.156  0.198 -0.269  0.187 -0.372  0.073 -0.372  0.033 -0.445  0.017 -0.553  -0.063 -0.633  -0.132 -0.718  -0.132 -0.832  -0.132 -0.946  -0.132 -1.059  -0.132 -1.173  -0.132 -1.287  -0.132 -1.401  -0.132 -1.514  -0.119 -1.426  -0.105 -1.313  -0.091 -1.200  -0.077 -1.088  -0.063 -0.975  -0.049 -0.862  -0.035 -0.749  -0.020 -0.636  -0.006 -0.523  0.008 -0.411  0.022 -0.298  0.036 -0.185  0.050 -0.072  0.064 0.041  0.078 0.154  0.092 0.266  0.106 0.379  0.121 0.492  0.135 0.605  0.149 0.718  0.163 0.831  0.177 0.944  0.191 1.056  0.142 1.113  0.031 1.118  -0.020 1.220  -0.071 1.321  -0.122 1.423  -0.132 1.534  -0.132 1.648  -0.132 1.762  -0.132 1.670  -0.081 1.608  0.033 1.608
3#app#app31#app3107/d  -0.186 -0.313  -0.172 -0.313  -0.251 -0.219  -0.425 -0.219  -0.588 -0.244  -0.733 -0.313  -0.861 -0.423  -0.984 -0.546  -1.043 -0.690  -1.128 -0.779  -1.128 -0.952  -1.128 -1.126  -0.989 -1.161  -0.815 -1.161  -0.653 -1.111  -0.490 -1.066  -0.361 -0.959  -0.238 -0.836  -0.115 -0.713  0.007 -0.590  0.096 -0.453  0.111 -0.283  0.189 -0.128  0.301 0.002  0.379 0.158  0.421 0.326  0.463 0.495  0.532 0.653  0.597 0.813  0.652 0.978  0.661 1.150  0.754 1.286  0.755 1.459  0.755 1.632  0.661 1.560  0.598 1.413  0.567 1.252  0.516 1.091  0.473 0.927  0.428 0.772  0.346 0.624  0.291 0.459  0.270 0.289  0.228 0.120  0.190 -0.049  0.190 -0.223  0.190 -0.396  0.190 -0.570  0.190 -0.743  0.284 -0.878
