3#app#app31#app3111/v  -0.389 0.564  -0.389 0.709  -0.409 0.835  -0.525 0.865  -0.525 1.011  -0.525 1.157  -0.567 1.285  -0.660 1.365  -0.660 1.219  -0.660 1.073  -0.660 0.927  -0.606 0.835  -0.525 0.771  -0.525 0.625  -0.525 0.480  -0.482 0.344  -0.417 0.213  -0.389 0.074  -0.389 -0.072  -0.389 -0.218  -0.389 -0.364  -0.302 -0.474  -0.253 -0.599  -0.253 -0.745  -0.185 -0.863  -0.117 -0.980  -0.117 -1.126  -0.117 -1.272  -0.117 -1.418  -0.027 -1.474  0.019 -1.374  0.019 -1.229  0.104 -1.118  0.155 -0.993  0.214 -0.872  0.291 -0.758  0.312 -0.617  0.377 -0.486  0.451 -0.362  0.555 -0.259  0.658 -0.156  0.698 -0.027  0.768 0.090  0.834 0.208  0.878 0.336  0.970 0.444  0.996 0.564  1.142 0.564  1.274 0.596  1.377 0.699
3#app#app31#app3111/e  -0.673 -0.329  -0.859 -0.329  -1.021 -0.271  -1.046 -0.184  -0.859 -0.184  -0.673 -0.184  -0.486 -0.184  -0.300 -0.184  -0.113 -0.184  0.068 -0.170  0.199 -0.039  0.386 -0.038  0.548 0.020  0.680 0.151  0.825 0.252  0.926 0.337  1.015 0.487  1.071 0.650  1.069 0.836  0.938 0.967  0.901 1.124  0.715 1.124  0.528 1.124  0.342 1.124  0.156 1.124  -0.006 1.064  -0.150 0.949  -0.317 0.866  -0.462 0.753  -0.594 0.621  -0.726 0.489  -0.818 0.341  -0.818 0.155  -0.916 0.009  -0.963 -0.158  -0.963 -0.344  -0.923 -0.514  -0.792 -0.646  -0.654 -0.765  -0.474 -0.792  -0.307 -0.875  -0.129 -0.911  0.057 -0.911  0.243 -0.911  0.430 -0.911  0.616 -0.911  0.803 -0.911  0.989 -0.911  1.176 -0.911  1.362 -0.911
3#app#app31#app3111/x  -1.037 1.191  -1.018 1.031  -0.877 0.994  -0.877 0.815  -0.824 0.658  -0.705 0.527  -0.625 0.367  -0.530 0.231  -0.365 0.199  -0.239 0.073  -0.112 -0.053  0.014 -0.180  0.140 -0.306  0.276 -0.408  0.440 -0.445  0.562 -0.573  0.584 -0.739  0.743 -0.818  0.899 -0.904  1.025 -1.031  1.019 -0.895  0.991 -0.719  0.964 -0.542  0.937 -0.366  0.910 -0.189  0.883 -0.013  0.856 0.164  0.829 0.340  0.801 0.517  0.774 0.693  0.747 0.870  0.722 1.015  0.698 0.847  0.572 0.721  0.446 0.594  0.285 0.551  0.146 0.455  0.003 0.352  -0.156 0.272  -0.300 0.169  -0.426 0.043  -0.552 -0.084  -0.678 -0.210  -0.805 -0.336  -0.931 -0.462  -1.057 -0.589  -1.183 -0.715  -1.268 -0.871  -1.348 -1.031  -1.356 -1.208
3#app#app31#app3111/i  0.139 0.231  0.189 0.131  0.228 0.028  0.207 -0.080  0.157 -0.180  0.139 -0.288  0.134 -0.398  0.055 -0.478  0.049 -0.587  0.023 -0.688  -0.040 -0.775  -0.061 -0.882  -0.111 -0.982  -0.129 -1.090  -0.129 -1.202  -0.129 -1.314  -0.129 -1.427  -0.055 -1.465  -0.037 -1.369  -0.034 -1.257  -0.030 -1.144  -0.027 -1.032  -0.024 -0.920  -0.020 -0.808  -0.017 -0.696  -0.014 -0.584  -0.011 -0.472  -0.007 -0.360  -0.004 -0.248  -0.001 -0.135  0.003 -0.023  0.006 0.089  0.009 0.201  0.012 0.313  0.016 0.425  0.019 0.537  0.022 0.649  0.026 0.762  0.029 0.874  0.032 0.986  0.036 1.098  0.039 1.210  0.042 1.322  0.045 1.434  0.049 1.546  0.000 1.644  -0.062 1.737  -0.124 1.830  -0.202 1.911  -0.308 1.927
3#app#app31#app3111/n  -0.499 -0.107  -0.499 -0.251  -0.618 -0.276  -0.668 -0.371  -0.717 -0.495  -0.820 -0.597  -0.922 -0.699  -1.006 -0.808  -1.006 -0.953  -1.006 -1.097  -1.006 -1.001  -1.006 -0.856  -0.974 -0.719  -0.909 -0.590  -0.845 -0.461  -0.747 -0.356  -0.668 -0.244  -0.663 -0.102  -0.561 0.000  -0.459 0.102  -0.356 0.204  -0.254 0.307  -0.152 0.409  -0.050 0.511  0.036 0.624  0.101 0.754  0.165 0.883  0.260 0.990  0.369 1.077  0.513 1.077  0.616 1.177  0.732 1.246  0.854 1.224  0.854 1.079  0.854 0.935  0.854 0.791  0.813 0.656  0.748 0.527  0.685 0.397  0.685 0.253  0.685 0.108  0.685 -0.036  0.685 -0.180  0.685 -0.325  0.685 -0.469  0.685 -0.614  0.685 -0.758  0.769 -0.867  0.854 -0.977  0.854 -1.121
3#app#app31#app3111/g  0.549 0.874  0.426 0.874  0.310 0.904  0.200 0.959  0.081 0.974  -0.029 1.029  -0.146 1.053  -0.269 1.053  -0.392 1.053  -0.515 1.053  -0.612 1.027  -0.570 0.921  -0.467 0.874  -0.370 0.811  -0.283 0.724  -0.180 0.658  -0.070 0.606  0.053 0.606  0.155 0.554  0.241 0.467  0.348 0.427  0.468 0.420  0.555 0.333  0.642 0.246  0.728 0.159  0.815 0.072  0.902 -0.015  0.906 -0.136  0.906 -0.259  0.839 -0.354  0.726 -0.378  0.639 -0.465  0.529 -0.520  0.428 -0.587  0.333 -0.663  0.223 -0.718  0.113 -0.773  0.003 -0.827  -0.114 -0.866  -0.231 -0.904  -0.352 -0.913  -0.471 -0.931  -0.581 -0.986  -0.700 -1.002  -0.787 -1.088  -0.901 -1.112  -0.995 -1.181  -1.059 -1.240  -1.056 -1.362  -0.969 -1.449
3#app#app31#app3111/d  0.150 -0.266  0.229 -0.154  0.184 0.019  0.086 0.132  -0.026 0.212  -0.218 0.212  -0.383 0.123  -0.546 0.024  -0.683 -0.097  -0.809 -0.228  -0.934 -0.360  -1.073 -0.479  -1.126 -0.637  -1.242 -0.781  -1.285 -0.955  -1.227 -1.122  -1.077 -1.223  -0.885 -1.223  -0.703 -1.199  -0.546 -1.093  -0.396 -0.978  -0.230 -0.885  -0.094 -0.749  0.041 -0.614  0.138 -0.450  0.223 -0.278  0.309 -0.107  0.370 0.075  0.430 0.257  0.491 0.439  0.552 0.621  0.612 0.803  0.691 0.977  0.708 1.165  0.756 1.345  0.787 1.529  0.735 1.595  0.675 1.422  0.589 1.251  0.504 1.079  0.469 0.896  0.403 0.720  0.389 0.531  0.389 0.340  0.389 0.148  0.389 -0.044  0.389 -0.235  0.389 -0.427  0.469 -0.586  0.548 -0.745
3#app#app31#app3111/a  0.304 0.956  0.137 0.956  0.007 0.869  -0.111 0.752  -0.275 0.746  -0.441 0.746  -0.587 0.696  -0.704 0.578  -0.822 0.461  -0.940 0.343  -1.057 0.225  -1.175 0.108  -1.293 -0.010  -1.377 -0.141  -1.375 -0.307  -1.258 -0.425  -1.167 -0.554  -1.167 -0.720  -1.006 -0.725  -0.840 -0.725  -0.673 -0.725  -0.516 -0.704  -0.398 -0.586  -0.261 -0.515  -0.101 -0.499  0.017 -0.382  0.134 -0.264  0.252 -0.147  0.304 -0.002  0.339 0.150  0.456 0.268  0.574 0.386  0.692 0.503  0.724 0.656  0.724 0.823  0.724 0.923  0.724 0.757  0.724 0.590  0.724 0.424  0.724 0.257  0.724 0.091  0.724 -0.075  0.724 -0.242  0.724 -0.408  0.766 -0.557  0.884 -0.675  1.002 -0.792  1.119 -0.910  1.237 -1.028  1.355 -1.145
3#app#app31#app3111/f  1.077 1.620  0.942 1.620  0.807 1.620  0.686 1.564  0.559 1.527  0.452 1.461  0.382 1.347  0.321 1.226  0.261 1.106  0.201 0.985  0.140 0.864  0.080 0.743  0.019 0.623  -0.041 0.502  -0.083 0.374  -0.126 0.246  -0.169 0.117  -0.211 -0.011  -0.244 -0.141  -0.270 -0.274  -0.297 -0.406  -0.320 -0.539  -0.320 -0.674  -0.320 -0.809  -0.320 -0.944  -0.320 -1.079  -0.320 -1.214  -0.262 -1.325  -0.227 -1.445  -0.136 -1.543  -0.045 -1.509  -0.060 -1.375  -0.076 -1.240  -0.092 -1.106  -0.108 -0.972  -0.124 -0.838  -0.139 -0.704  -0.155 -0.570  -0.171 -0.436  -0.187 -0.302  -0.202 -0.168  -0.218 -0.034  -0.227 0.101  -0.301 0.205  -0.304 0.317  -0.169 0.317  -0.034 0.317  0.101 0.317  0.236 0.317  0.332 0.224
3#app#app31#app3111/t  0.573 1.972  0.573 1.817  0.498 1.692  0.464 1.549  0.395 1.410  0.338 1.266  0.288 1.118  0.265 0.966  0.255 0.812  0.206 0.665  0.162 0.516  0.162 0.360  0.153 0.207  0.083 0.068  0.059 -0.082  0.059 -0.238  0.012 -0.382  -0.051 -0.524  -0.089 -0.675  -0.126 -0.826  -0.146 -0.979  -0.146 -1.135  -0.146 -1.290  -0.146 -1.446  -0.146 -1.602  -0.151 -1.695  -0.179 -1.542  -0.206 -1.388  -0.233 -1.235  -0.260 -1.082  -0.287 -0.928  -0.314 -0.775  -0.341 -0.622  -0.368 -0.469  -0.395 -0.315  -0.422 -0.162  -0.449 -0.009  -0.477 0.123  -0.557 0.199  -0.557 0.355  -0.478 0.431  -0.331 0.452  -0.209 0.534  -0.054 0.534  0.100 0.521  0.248 0.471  0.397 0.431  0.528 0.373  0.665 0.329  0.779 0.226
3#app#app31#app3111/j  0.546 0.468  0.637 0.559  0.675 0.650  0.728 0.574  0.728 0.445  0.728 0.317  0.724 0.189  0.667 0.075  0.593 -0.029  0.546 -0.138  0.502 -0.255  0.438 -0.366  0.365 -0.464  0.365 -0.592  0.293 -0.691  0.203 -0.782  0.112 -0.873  0.085 -0.990  -0.006 -1.081  -0.097 -1.172  -0.187 -1.262  -0.282 -1.345  -0.410 -1.345  -0.539 -1.345  -0.522 -1.220  -0.502 -1.094  -0.482 -0.967  -0.463 -0.840  -0.443 -0.713  -0.423 -0.586  -0.403 -0.459  -0.383 -0.332  -0.363 -0.205  -0.344 -0.079  -0.324 0.048  -0.304 0.175  -0.284 0.302  -0.264 0.429  -0.244 0.556  -0.225 0.683  -0.205 0.810  -0.185 0.936  -0.165 1.063  -0.145 1.190  -0.126 1.317  -0.106 1.444  -0.088 1.571  -0.088 1.699  -0.152 1.801  -0.179 1.919
