3#app#app32#app3204/i  0.031 0.284  0.031 0.432  0.031 0.579  0.112 0.693  0.140 0.613  0.140 0.465  0.140 0.317  0.138 0.170  0.092 0.030  0.045 -0.110  0.031 -0.255  0.031 -0.403  0.031 -0.551  -0.046 -0.666  -0.078 -0.800  -0.078 -0.948  -0.127 -1.075  -0.188 -1.198  -0.188 -1.346  -0.188 -1.493  -0.139 -1.621  -0.078 -1.620  0.022 -1.572  0.031 -1.434  0.031 -1.286  0.031 -1.138  0.031 -0.991  0.031 -0.843  0.031 -0.695  0.031 -0.548  0.031 -0.400  0.031 -0.253  0.031 -0.105  0.031 0.043  0.031 0.190  0.031 0.338  0.031 0.485  0.031 0.633  0.031 0.781  0.031 0.928  0.031 1.076  0.031 1.223  0.031 1.371  -0.078 1.409  -0.078 1.557  -0.079 1.704  -0.160 1.676  -0.078 1.562  -0.078 1.415  0.031 1.376
3#app#app32#app3204/n  -0.762 0.076  -0.762 0.234  -0.762 0.135  -0.832 0.006  -0.944 -0.106  -0.949 -0.262  -0.949 -0.420  -0.949 -0.577  -0.949 -0.735  -0.924 -0.834  -0.813 -0.723  -0.762 -0.586  -0.722 -0.445  -0.610 -0.333  -0.575 -0.190  -0.539 -0.040  -0.469 0.101  -0.398 0.242  -0.388 0.398  -0.313 0.525  -0.202 0.637  -0.201 0.794  -0.111 0.915  0.001 1.026  0.113 1.138  0.173 1.271  0.216 1.385  0.360 1.371  0.360 1.213  0.360 1.056  0.360 0.898  0.360 0.740  0.360 0.582  0.360 0.424  0.360 0.266  0.360 0.108  0.360 -0.050  0.404 -0.197  0.474 -0.339  0.545 -0.480  0.547 -0.637  0.547 -0.795  0.642 -0.859  0.734 -0.924  0.770 -1.046  0.928 -1.046  1.086 -1.046  1.244 -1.046  1.371 -0.970  1.482 -0.859
3#app#app32#app3204/o  0.653 0.575  0.653 0.733  0.562 0.853  0.467 0.971  0.467 1.128  0.316 1.135  0.158 1.135  0.001 1.135  -0.157 1.135  -0.296 1.105  -0.366 0.963  -0.437 0.822  -0.531 0.698  -0.642 0.587  -0.654 0.434  -0.704 0.288  -0.774 0.147  -0.840 0.005  -0.840 -0.153  -0.840 -0.310  -0.840 -0.468  -0.840 -0.625  -0.840 -0.783  -0.825 -0.934  -0.713 -1.046  -0.602 -1.157  -0.490 -1.269  -0.342 -1.292  -0.185 -1.292  -0.027 -1.292  0.093 -1.255  0.102 -1.105  0.259 -1.105  0.377 -1.008  0.488 -0.897  0.600 -0.786  0.653 -0.650  0.653 -0.492  0.653 -0.335  0.653 -0.177  0.653 -0.019  0.653 0.138  0.653 0.296  0.653 0.453  0.628 0.601  0.516 0.712  0.379 0.762  0.280 0.704  0.280 0.546  0.280 0.388
3#app#app32#app3204/n  -0.463 0.391  -0.463 0.578  -0.463 0.765  -0.463 0.767  -0.463 0.580  -0.463 0.392  -0.463 0.205  -0.561 0.058  -0.693 -0.074  -0.697 -0.260  -0.697 -0.447  -0.759 -0.609  -0.891 -0.742  -0.932 -0.912  -0.932 -1.099  -0.906 -1.226  -0.774 -1.094  -0.697 -0.938  -0.675 -0.760  -0.542 -0.627  -0.463 -0.473  -0.443 -0.294  -0.311 -0.161  -0.228 -0.008  -0.212 0.172  -0.079 0.305  0.007 0.456  0.015 0.642  0.099 0.809  0.182 0.977  0.297 1.094  0.476 1.103  0.476 1.291  0.625 1.329  0.710 1.227  0.710 1.040  0.710 0.852  0.710 0.665  0.710 0.478  0.710 0.290  0.710 0.103  0.710 -0.084  0.710 -0.272  0.710 -0.459  0.710 -0.646  0.747 -0.818  0.879 -0.951  0.945 -1.111  0.992 -1.251  1.179 -1.251
3#app#app32#app3204/e  -0.569 -0.163  -0.569 0.001  -0.454 0.050  -0.309 0.097  -0.192 0.213  -0.049 0.264  0.115 0.264  0.279 0.264  0.285 0.423  0.395 0.477  0.559 0.477  0.712 0.489  0.712 0.653  0.838 0.691  0.925 0.768  0.897 0.904  0.732 0.904  0.568 0.904  0.404 0.904  0.240 0.904  0.075 0.904  -0.089 0.904  -0.253 0.904  -0.399 0.860  -0.516 0.744  -0.658 0.691  -0.782 0.651  -0.782 0.486  -0.892 0.368  -0.996 0.246  -0.996 0.082  -0.996 -0.082  -0.958 -0.238  -0.885 -0.385  -0.811 -0.532  -0.712 -0.660  -0.596 -0.776  -0.480 -0.892  -0.363 -1.008  -0.203 -1.017  -0.038 -1.017  0.126 -1.017  0.290 -1.017  0.455 -1.017  0.619 -1.017  0.783 -1.017  0.941 -1.032  1.057 -1.149  1.188 -1.230  1.352 -1.230
3#app#app32#app3204/c  0.867 0.395  0.867 0.509  0.803 0.597  0.723 0.678  0.642 0.759  0.553 0.829  0.451 0.881  0.349 0.932  0.239 0.950  0.124 0.950  0.010 0.950  -0.104 0.950  -0.219 0.950  -0.333 0.950  -0.428 0.904  -0.509 0.823  -0.590 0.742  -0.671 0.661  -0.752 0.580  -0.798 0.485  -0.822 0.395  -0.937 0.395  -0.937 0.281  -0.937 0.167  -0.937 0.052  -0.908 -0.050  -0.827 -0.131  -0.798 -0.233  -0.764 -0.333  -0.683 -0.414  -0.602 -0.495  -0.521 -0.576  -0.407 -0.576  -0.319 -0.640  -0.236 -0.715  -0.121 -0.715  -0.036 -0.784  0.050 -0.854  0.164 -0.854  0.279 -0.854  0.393 -0.854  0.507 -0.854  0.622 -0.854  0.736 -0.854  0.850 -0.854  0.965 -0.854  1.079 -0.854  1.193 -0.854  1.308 -0.854  1.422 -0.854
3#app#app32#app3204/l  0.349 0.818  0.349 0.899  0.349 0.979  0.349 1.060  0.343 1.138  0.286 1.195  0.245 1.258  0.245 1.339  0.167 1.341  0.102 1.304  0.045 1.247  0.035 1.170  0.035 1.090  0.035 1.009  0.035 0.929  0.035 0.848  0.035 0.768  0.035 0.687  0.035 0.606  0.035 0.526  0.035 0.445  0.020 0.369  -0.016 0.297  -0.052 0.225  -0.069 0.148  -0.069 0.068  -0.069 -0.013  -0.069 -0.094  -0.069 -0.174  -0.069 -0.255  -0.069 -0.335  -0.069 -0.416  -0.069 -0.496  -0.094 -0.566  -0.151 -0.623  -0.174 -0.694  -0.174 -0.775  -0.174 -0.855  -0.174 -0.936  -0.174 -1.016  -0.174 -1.097  -0.174 -1.177  -0.174 -1.258  -0.174 -1.339  -0.174 -1.419  -0.166 -1.498  -0.130 -1.570  -0.094 -1.642  -0.069 -1.716  -0.069 -1.797
3#app#app32#app3204/a  0.285 1.363  0.085 1.363  -0.114 1.363  -0.314 1.363  -0.454 1.303  -0.463 1.108  -0.604 0.967  -0.700 0.807  -0.713 0.612  -0.854 0.471  -0.946 0.310  -0.946 0.110  -0.946 -0.090  -0.946 -0.289  -0.855 -0.451  -0.714 -0.593  -0.700 -0.786  -0.567 -0.853  -0.367 -0.853  -0.179 -0.825  -0.038 -0.683  0.103 -0.542  0.244 -0.401  0.385 -0.260  0.527 -0.119  0.531 0.079  0.635 0.236  0.776 0.377  0.777 0.576  0.777 0.776  0.673 0.871  0.474 0.871  0.285 0.860  0.285 0.660  0.121 0.625  0.039 0.507  0.039 0.307  0.039 0.108  0.039 -0.092  0.039 -0.292  0.039 -0.491  0.039 -0.691  0.076 -0.853  0.276 -0.853  0.285 -1.044  0.387 -1.201  0.528 -1.342  0.726 -1.345  0.883 -1.450  1.024 -1.592
3#app#app32#app3204/w  -0.656 0.913  -0.656 1.071  -0.784 1.101  -0.845 1.198  -0.845 1.223  -0.845 1.065  -0.845 0.907  -0.845 0.750  -0.845 0.592  -0.845 0.434  -0.845 0.276  -0.845 0.118  -0.845 -0.040  -0.845 -0.198  -0.845 -0.356  -0.845 -0.514  -0.845 -0.672  -0.798 -0.783  -0.656 -0.767  -0.656 -0.609  -0.512 -0.595  -0.387 -0.514  -0.276 -0.403  -0.164 -0.291  -0.091 -0.163  -0.074 -0.012  0.038 0.099  0.171 0.159  0.286 0.202  0.286 0.360  0.286 0.518  0.286 0.396  0.286 0.238  0.286 0.081  0.286 -0.077  0.286 -0.235  0.286 -0.393  0.431 -0.406  0.475 -0.521  0.559 -0.595  0.717 -0.595  0.868 -0.578  0.980 -0.466  1.112 -0.406  1.258 -0.376  1.370 -0.265  1.508 -0.218  1.666 -0.218  1.824 -0.218  1.982 -0.218
3#app#app32#app3204/e  -0.742 -0.196  -0.742 -0.037  -0.657 0.038  -0.498 0.038  -0.338 0.038  -0.179 0.038  -0.019 0.038  0.140 0.038  0.300 0.038  0.459 0.038  0.619 0.038  0.746 0.118  0.858 0.231  0.901 0.373  0.901 0.532  0.901 0.692  0.901 0.851  0.867 0.977  0.708 0.977  0.583 1.060  0.470 1.173  0.326 1.211  0.176 1.190  0.063 1.077  -0.055 0.977  -0.215 0.977  -0.344 0.905  -0.457 0.792  -0.507 0.653  -0.517 0.498  -0.630 0.385  -0.742 0.272  -0.742 0.112  -0.742 -0.047  -0.742 -0.207  -0.742 -0.366  -0.742 -0.526  -0.728 -0.679  -0.615 -0.792  -0.502 -0.905  -0.389 -1.018  -0.276 -1.131  -0.119 -1.135  0.018 -1.190  0.131 -1.303  0.263 -1.369  0.422 -1.369  0.582 -1.369  0.741 -1.369  0.901 -1.369
3#app#app32#app3204/d  -0.038 -0.557  -0.038 -0.368  -0.153 -0.249  -0.326 -0.180  -0.516 -0.180  -0.658 -0.297  -0.792 -0.358  -0.792 -0.548  -0.918 -0.686  -0.918 -0.876  -0.918 -1.066  -0.848 -1.186  -0.661 -1.180  -0.521 -1.060  -0.377 -0.985  -0.292 -0.815  -0.249 -0.643  -0.164 -0.488  -0.158 -0.300  -0.038 -0.160  -0.038 0.030  0.029 0.204  0.114 0.374  0.198 0.544  0.214 0.730  0.256 0.910  0.341 1.080  0.426 1.250  0.465 1.430  0.483 1.616  0.568 1.786  0.492 1.733  0.465 1.554  0.465 1.364  0.465 1.174  0.424 0.994  0.339 0.824  0.254 0.654  0.214 0.474  0.214 0.284  0.214 0.094  0.214 -0.096  0.214 -0.286  0.214 -0.476  0.214 -0.666  0.214 -0.856  0.324 -0.935  0.339 -1.110  0.453 -1.186  0.591 -1.312
