3#app#app32#app3243/W  -0.979 0.937  -0.979 0.988  -0.979 0.810  -0.979 0.632  -0.979 0.454  -0.979 0.276  -0.979 0.098  -0.979 -0.080  -0.905 -0.241  -0.865 -0.410  -0.829 -0.552  -0.750 -0.651  -0.702 -0.781  -0.524 -0.781  -0.521 -0.606  -0.406 -0.542  -0.406 -0.364  -0.310 -0.226  -0.292 -0.055  -0.292 0.123  -0.269 0.296  -0.189 0.455  -0.177 0.328  -0.177 0.150  -0.177 -0.028  -0.127 -0.194  -0.063 -0.357  -0.063 -0.536  0.052 -0.666  0.115 -0.781  0.175 -0.904  0.309 -1.010  0.487 -1.010  0.653 -0.981  0.779 -0.855  0.905 -0.729  0.968 -0.577  0.968 -0.399  0.968 -0.221  0.968 -0.043  0.968 0.135  0.968 0.313  0.968 0.491  0.968 0.669  0.924 0.840  0.868 1.009  0.759 1.146  0.739 1.316  0.739 1.494  0.625 1.625
3#app#app32#app3243/I  -0.197 1.627  -0.148 1.578  -0.099 1.528  -0.049 1.479  0.000 1.430  0.011 1.365  0.011 1.295  0.011 1.225  0.011 1.155  0.011 1.086  0.011 1.016  0.011 0.946  0.011 0.876  0.011 0.807  0.011 0.737  0.011 0.667  0.011 0.597  0.011 0.528  0.011 0.458  0.011 0.388  0.011 0.318  0.011 0.249  0.011 0.179  0.011 0.109  0.011 0.039  0.011 -0.030  0.011 -0.100  0.011 -0.170  0.011 -0.240  0.011 -0.309  0.011 -0.379  0.011 -0.449  0.011 -0.519  0.011 -0.588  0.011 -0.658  0.011 -0.728  0.011 -0.798  0.011 -0.867  0.011 -0.937  0.011 -1.007  0.011 -1.076  0.011 -1.146  0.011 -1.216  0.011 -1.286  0.011 -1.355  0.011 -1.425  0.011 -1.495  0.011 -1.565  0.011 -1.634  0.011 -1.704
3#app#app32#app3243/T  0.072 0.235  -0.019 0.144  -0.061 0.032  -0.061 -0.097  -0.061 -0.226  -0.061 -0.355  -0.061 -0.484  -0.061 -0.613  -0.061 -0.742  -0.061 -0.871  -0.061 -1.000  -0.061 -1.129  -0.061 -1.258  -0.043 -1.379  0.048 -1.470  0.032 -1.407  -0.022 -1.290  -0.076 -1.173  -0.130 -1.056  -0.184 -0.939  -0.238 -0.822  -0.292 -0.705  -0.347 -0.588  -0.401 -0.471  -0.455 -0.354  -0.509 -0.236  -0.563 -0.119  -0.617 -0.002  -0.671 0.115  -0.725 0.232  -0.726 0.361  -0.604 0.368  -0.475 0.368  -0.380 0.448  -0.272 0.501  -0.158 0.537  -0.067 0.628  0.024 0.719  0.127 0.794  0.242 0.852  0.353 0.915  0.445 1.007  0.536 1.098  0.633 1.180  0.748 1.238  0.864 1.296  0.992 1.299  1.086 1.382  1.178 1.474  1.269 1.565
3#app#app32#app3243/H  -0.816 0.934  -0.816 0.759  -0.816 0.585  -0.816 0.410  -0.816 0.235  -0.832 0.067  -0.955 -0.057  -0.958 -0.230  -0.958 -0.405  -0.958 -0.580  -0.831 -0.627  -0.816 -0.787  -0.816 -0.962  -0.816 -1.136  -0.816 -1.078  -0.816 -0.903  -0.816 -0.728  -0.764 -0.575  -0.641 -0.452  -0.511 -0.343  -0.352 -0.305  -0.249 -0.173  -0.188 -0.059  -0.023 -0.017  0.133 0.061  0.266 0.172  0.419 0.224  0.507 0.349  0.569 0.512  0.630 0.676  0.691 0.839  0.753 1.003  0.814 1.167  0.875 1.330  0.885 1.217  0.762 1.093  0.745 0.926  0.745 0.751  0.745 0.576  0.697 0.413  0.619 0.257  0.603 0.086  0.603 -0.089  0.603 -0.264  0.603 -0.438  0.693 -0.576  0.745 -0.729  0.745 -0.904  0.863 -1.029  0.886 -1.194
3#app#app32#app3243/A  -0.236 0.516  -0.236 0.296  -0.274 0.091  -0.366 -0.092  -0.403 -0.297  -0.495 -0.480  -0.576 -0.681  -0.624 -0.890  -0.754 -1.057  -0.754 -1.278  -0.883 -1.445  -0.769 -1.552  -0.754 -1.348  -0.754 -1.127  -0.754 -0.906  -0.624 -0.739  -0.624 -0.519  -0.495 -0.352  -0.495 -0.131  -0.397 0.066  -0.318 0.272  -0.248 0.481  -0.236 0.700  -0.133 0.878  0.022 1.034  0.022 1.255  0.152 1.422  0.319 1.551  0.540 1.551  0.669 1.459  0.693 1.244  0.791 1.047  0.798 0.828  0.798 0.607  0.798 0.387  0.798 0.166  0.927 -0.001  0.927 -0.222  0.927 -0.442  1.030 -0.620  0.887 -0.579  0.682 -0.497  0.477 -0.416  0.272 -0.334  0.068 -0.252  -0.137 -0.170  -0.236 -0.016  -0.107 0.075  -0.069 0.258  0.152 0.258
3#app#app32#app3243/Q  -0.278 1.195  -0.355 1.293  -0.475 1.237  -0.599 1.169  -0.672 1.024  -0.739 0.864  -0.845 0.726  -0.869 0.560  -0.923 0.396  -0.967 0.231  -0.967 0.055  -0.967 -0.121  -0.967 -0.297  -0.967 -0.473  -0.967 -0.649  -0.863 -0.782  -0.770 -0.920  -0.683 -1.060  -0.512 -1.071  -0.336 -1.071  -0.160 -1.071  0.016 -1.071  0.187 -1.029  0.358 -0.986  0.497 -0.888  0.621 -0.763  0.746 -0.639  0.806 -0.488  0.881 -0.330  0.905 -0.159  0.905 0.017  0.905 0.193  0.905 0.369  0.842 0.531  0.764 0.688  0.672 0.836  0.522 0.899  0.387 0.998  0.215 0.993  0.233 0.818  0.250 0.643  0.268 0.468  0.285 0.293  0.303 0.117  0.313 -0.058  0.313 -0.234  0.313 -0.410  0.388 -0.555  0.476 -0.707  0.609 -0.776
3#app#app32#app3243/U  -0.861 1.065  -0.861 0.957  -0.902 0.858  -0.950 0.760  -0.988 0.661  -0.988 0.552  -0.988 0.443  -0.988 0.335  -0.988 0.226  -0.988 0.117  -0.970 0.013  -0.921 -0.084  -0.872 -0.182  -0.861 -0.288  -0.815 -0.377  -0.738 -0.454  -0.661 -0.531  -0.575 -0.585  -0.470 -0.595  -0.394 -0.672  -0.317 -0.748  -0.240 -0.825  -0.137 -0.839  -0.028 -0.839  0.081 -0.839  0.189 -0.839  0.298 -0.839  0.407 -0.839  0.484 -0.763  0.572 -0.712  0.662 -0.693  0.662 -0.585  0.739 -0.508  0.789 -0.420  0.789 -0.311  0.789 -0.202  0.789 -0.094  0.789 0.015  0.789 0.124  0.789 0.232  0.789 0.341  0.789 0.450  0.789 0.558  0.789 0.667  0.789 0.776  0.789 0.884  0.789 0.993  0.789 1.102  0.789 1.211  0.789 1.319
3#app#app32#app3243/A  -0.808 0.435  -0.808 0.243  -0.871 0.066  -0.929 -0.111  -0.929 -0.303  -0.929 -0.495  -0.929 -0.686  -0.929 -0.878  -0.929 -1.069  -0.929 -1.018  -0.929 -0.827  -0.829 -0.676  -0.808 -0.494  -0.729 -0.335  -0.655 -0.165  -0.608 0.021  -0.559 0.206  -0.473 0.377  -0.354 0.525  -0.219 0.660  -0.127 0.827  -0.018 0.982  0.089 1.138  0.182 1.303  0.333 1.403  0.524 1.403  0.695 1.354  0.767 1.192  0.839 1.017  0.888 0.837  0.888 0.646  0.888 0.454  0.888 0.263  0.888 0.071  0.888 -0.121  0.888 -0.312  0.888 -0.504  0.888 -0.695  0.888 -0.887  0.716 -0.840  0.534 -0.780  0.352 -0.719  0.171 -0.658  -0.011 -0.598  -0.193 -0.537  -0.071 -0.413  0.121 -0.413  0.268 -0.306  0.454 -0.292  0.646 -0.292
3#app#app32#app3243/L  0.295 1.794  0.295 1.704  0.271 1.624  0.207 1.560  0.148 1.494  0.148 1.404  0.148 1.314  0.148 1.224  0.148 1.133  0.136 1.048  0.072 0.985  0.008 0.921  0.001 0.834  -0.009 0.746  -0.050 0.665  -0.090 0.585  -0.130 0.504  -0.145 0.417  -0.145 0.327  -0.186 0.247  -0.226 0.166  -0.266 0.085  -0.292 0.001  -0.292 -0.089  -0.339 -0.159  -0.403 -0.223  -0.438 -0.299  -0.438 -0.389  -0.438 -0.479  -0.438 -0.569  -0.438 -0.659  -0.438 -0.749  -0.438 -0.840  -0.438 -0.930  -0.410 -0.992  -0.320 -0.992  -0.230 -0.992  -0.140 -0.992  -0.050 -0.992  0.040 -0.992  0.131 -0.992  0.221 -0.992  0.311 -0.992  0.401 -0.992  0.491 -0.992  0.581 -0.992  0.647 -0.933  0.711 -0.869  0.791 -0.845  0.881 -0.845
3#app#app32#app3243/M  -0.855 0.579  -0.774 0.679  -0.756 0.517  -0.770 0.339  -0.827 0.168  -0.855 -0.008  -0.954 -0.147  -0.954 -0.327  -0.954 -0.507  -0.954 -0.687  -0.954 -0.868  -0.855 -1.007  -0.825 -0.830  -0.796 -0.652  -0.766 -0.475  -0.736 -0.297  -0.707 -0.119  -0.677 0.059  -0.647 0.236  -0.618 0.414  -0.588 0.592  -0.559 0.769  -0.557 0.606  -0.557 0.426  -0.458 0.345  -0.406 0.177  -0.283 0.084  -0.202 -0.016  -0.063 -0.113  0.117 -0.115  0.254 -0.007  0.415 0.074  0.534 0.143  0.633 0.282  0.760 0.409  0.888 0.537  1.015 0.664  1.129 0.739  1.228 0.735  1.228 0.555  1.228 0.375  1.228 0.195  1.228 0.015  1.129 -0.125  1.129 -0.305  1.129 -0.485  1.129 -0.665  1.129 -0.845  1.147 -1.007  1.228 -1.106
3#app#app32#app3243/T  -0.212 0.412  -0.085 0.540  0.043 0.667  0.196 0.732  0.377 0.732  0.428 0.603  0.428 0.423  0.419 0.252  0.268 0.222  0.268 0.042  0.268 -0.139  0.268 -0.319  0.268 -0.499  0.268 -0.680  0.268 -0.860  0.260 -1.037  0.132 -1.165  0.108 -1.335  0.108 -1.515  0.108 -1.696  0.093 -1.784  0.036 -1.613  -0.021 -1.442  -0.078 -1.271  -0.135 -1.100  -0.192 -0.929  -0.249 -0.758  -0.306 -0.586  -0.363 -0.415  -0.420 -0.244  -0.477 -0.073  -0.534 0.098  -0.591 0.269  -0.648 0.440  -0.705 0.611  -0.762 0.783  -0.820 0.954  -0.852 0.976  -0.756 0.892  -0.575 0.892  -0.395 0.892  -0.214 0.892  -0.034 0.892  0.146 0.892  0.327 0.892  0.507 0.892  0.687 0.892  0.868 0.892  1.048 0.892  1.229 0.892
