3#app#app32#app3247/Q  -0.469 0.954  -0.567 1.052  -0.567 0.855  -0.638 0.688  -0.665 0.503  -0.736 0.324  -0.763 0.134  -0.763 -0.063  -0.763 -0.259  -0.763 -0.455  -0.763 -0.652  -0.763 -0.848  -0.763 -1.044  -0.720 -1.197  -0.564 -1.295  -0.367 -1.295  -0.171 -1.295  -0.005 -1.222  0.138 -1.089  0.314 -1.001  0.452 -0.862  0.522 -0.695  0.661 -0.556  0.704 -0.378  0.765 -0.196  0.802 -0.008  0.802 0.188  0.802 0.384  0.797 0.580  0.735 0.766  0.702 0.957  0.563 1.096  0.424 1.234  0.257 1.304  0.118 1.443  -0.078 1.444  -0.065 1.248  -0.052 1.052  -0.039 0.856  -0.026 0.660  -0.013 0.464  0.000 0.268  0.013 0.073  0.022 -0.121  0.117 -0.222  0.189 -0.389  0.215 -0.574  0.243 -0.764  0.313 -0.944  0.411 -1.100
3#app#app32#app3247/U  -0.489 1.354  -0.574 1.269  -0.613 1.165  -0.613 1.044  -0.613 0.924  -0.613 0.804  -0.636 0.689  -0.690 0.581  -0.737 0.472  -0.737 0.352  -0.737 0.232  -0.737 0.111  -0.737 -0.009  -0.737 -0.129  -0.737 -0.250  -0.687 -0.358  -0.634 -0.466  -0.613 -0.581  -0.563 -0.680  -0.489 -0.770  -0.481 -0.887  -0.395 -0.972  -0.310 -1.057  -0.219 -1.126  -0.098 -1.126  0.022 -1.126  0.131 -1.115  0.138 -1.002  0.258 -0.999  0.343 -0.914  0.428 -0.829  0.503 -0.740  0.510 -0.623  0.595 -0.538  0.627 -0.430  0.627 -0.310  0.648 -0.193  0.686 -0.079  0.724 0.035  0.751 0.151  0.751 0.271  0.751 0.392  0.751 0.512  0.751 0.632  0.751 0.752  0.751 0.873  0.751 0.993  0.751 1.113  0.751 1.234  0.751 1.354
3#app#app32#app3247/I  0.349 1.566  0.349 1.495  0.349 1.424  0.291 1.410  0.220 1.410  0.193 1.366  0.193 1.295  0.193 1.223  0.193 1.152  0.189 1.081  0.171 1.012  0.154 0.943  0.137 0.874  0.119 0.805  0.102 0.736  0.085 0.667  0.068 0.597  0.050 0.528  0.030 0.460  -0.002 0.397  -0.034 0.333  -0.066 0.269  -0.097 0.205  -0.120 0.139  -0.120 0.068  -0.120 -0.003  -0.120 -0.074  -0.120 -0.146  -0.120 -0.217  -0.120 -0.288  -0.120 -0.359  -0.120 -0.431  -0.120 -0.502  -0.120 -0.573  -0.120 -0.644  -0.120 -0.716  -0.120 -0.787  -0.120 -0.858  -0.120 -0.929  -0.120 -1.001  -0.120 -1.072  -0.120 -1.143  -0.120 -1.215  -0.120 -1.286  -0.120 -1.357  -0.120 -1.428  -0.120 -1.500  -0.120 -1.571  -0.120 -1.642  -0.120 -1.713
3#app#app32#app3247/C  0.814 0.778  0.814 0.863  0.763 0.928  0.715 0.993  0.712 1.077  0.635 1.115  0.559 1.153  0.479 1.174  0.393 1.174  0.311 1.166  0.250 1.106  0.178 1.075  0.101 1.055  0.040 0.995  -0.020 0.934  -0.080 0.873  -0.118 0.797  -0.156 0.720  -0.177 0.640  -0.177 0.554  -0.182 0.470  -0.220 0.394  -0.259 0.317  -0.297 0.241  -0.335 0.164  -0.373 0.088  -0.375 0.003  -0.375 -0.083  -0.375 -0.168  -0.375 -0.254  -0.375 -0.339  -0.375 -0.425  -0.375 -0.510  -0.375 -0.595  -0.375 -0.681  -0.375 -0.766  -0.375 -0.852  -0.353 -0.928  -0.293 -0.989  -0.276 -1.067  -0.242 -1.139  -0.182 -1.199  -0.121 -1.260  -0.054 -1.303  0.029 -1.310  0.089 -1.371  0.161 -1.402  0.247 -1.402  0.332 -1.402  0.418 -1.402
3#app#app32#app3247/K  -0.465 1.449  -0.560 1.325  -0.590 1.135  -0.590 0.916  -0.648 0.711  -0.714 0.507  -0.714 0.288  -0.714 0.069  -0.714 -0.150  -0.714 -0.370  -0.714 -0.589  -0.714 -0.808  -0.714 -1.027  -0.664 -1.087  -0.541 -0.906  -0.417 -0.725  -0.293 -0.544  -0.169 -0.363  -0.046 -0.182  0.078 -0.001  0.202 0.179  0.326 0.360  0.449 0.541  0.573 0.722  0.697 0.903  0.821 1.084  0.824 1.201  0.729 1.077  0.634 0.953  0.415 0.953  0.329 0.791  0.137 0.686  -0.018 0.531  -0.173 0.376  -0.328 0.221  -0.465 0.132  -0.498 -0.074  -0.590 -0.255  -0.459 -0.420  -0.288 -0.538  -0.069 -0.538  0.150 -0.538  0.343 -0.601  0.537 -0.662  0.726 -0.735  0.881 -0.890  1.036 -1.045  1.149 -1.217  1.273 -1.312  1.273 -1.531
3#app#app32#app3247/L  0.037 1.834  0.037 1.748  -0.018 1.685  -0.058 1.616  -0.058 1.530  -0.058 1.444  -0.058 1.359  -0.058 1.273  -0.058 1.187  -0.058 1.102  -0.058 1.016  -0.058 0.930  -0.072 0.847  -0.099 0.766  -0.126 0.684  -0.152 0.603  -0.152 0.517  -0.152 0.431  -0.152 0.346  -0.152 0.260  -0.152 0.174  -0.152 0.089  -0.152 0.003  -0.152 -0.083  -0.152 -0.168  -0.155 -0.254  -0.182 -0.335  -0.209 -0.416  -0.237 -0.497  -0.247 -0.581  -0.247 -0.667  -0.247 -0.753  -0.227 -0.830  -0.167 -0.891  -0.152 -0.971  -0.152 -1.056  -0.118 -1.128  -0.058 -1.189  0.028 -1.189  0.114 -1.189  0.192 -1.158  0.269 -1.120  0.340 -1.074  0.401 -1.014  0.415 -0.934  0.466 -0.880  0.542 -0.841  0.603 -0.793  0.612 -0.716  0.698 -0.716
3#app#app32#app3247/Y  -1.112 0.548  -1.224 0.660  -1.112 0.620  -1.050 0.487  -0.998 0.350  -0.907 0.229  -0.765 0.195  -0.694 0.053  -0.603 -0.074  -0.470 -0.134  -0.426 -0.251  -0.314 -0.363  -0.202 -0.475  -0.125 -0.338  -0.047 -0.199  0.031 -0.061  0.108 0.077  0.186 0.215  0.264 0.353  0.341 0.491  0.419 0.629  0.497 0.767  0.574 0.905  0.652 1.043  0.730 1.181  0.808 1.319  0.805 1.230  0.708 1.169  0.708 1.011  0.601 0.897  0.528 0.757  0.480 0.610  0.480 0.451  0.417 0.308  0.346 0.166  0.275 0.024  0.253 -0.129  0.225 -0.276  0.123 -0.395  0.052 -0.536  0.025 -0.689  0.004 -0.838  -0.088 -0.958  -0.088 -1.117  -0.088 -1.275  -0.088 -1.434  -0.088 -1.592  -0.088 -1.750  -0.088 -1.909  0.025 -1.954
3#app#app32#app3247/F  0.342 0.932  0.481 0.815  0.481 0.561  0.481 0.306  0.481 0.051  0.406 -0.186  0.342 -0.425  0.342 -0.680  0.342 -0.935  0.342 -1.189  0.342 -1.444  0.346 -1.696  0.427 -1.589  0.313 -1.361  0.200 -1.133  0.086 -0.905  -0.028 -0.678  -0.142 -0.450  -0.256 -0.222  -0.370 0.006  -0.484 0.234  -0.598 0.461  -0.712 0.689  -0.902 0.793  -0.924 0.793  -0.669 0.793  -0.437 0.888  -0.193 0.932  0.023 1.027  0.239 1.156  0.481 1.208  0.724 1.261  0.958 1.347  0.912 1.216  0.737 1.030  0.563 0.844  0.389 0.659  0.215 0.473  0.041 0.287  -0.133 0.101  -0.308 -0.084  -0.482 -0.270  -0.656 -0.456  -0.830 -0.642  -1.004 -0.828  -0.838 -0.866  -0.596 -0.836  -0.386 -0.728  -0.155 -0.672  0.066 -0.589
3#app#app32#app3247/O  -0.392 1.144  -0.405 1.025  -0.511 0.998  -0.539 0.878  -0.631 0.783  -0.691 0.665  -0.748 0.547  -0.756 0.416  -0.815 0.298  -0.867 0.178  -0.867 0.046  -0.867 -0.086  -0.867 -0.218  -0.817 -0.330  -0.748 -0.433  -0.748 -0.566  -0.687 -0.636  -0.629 -0.711  -0.567 -0.817  -0.473 -0.911  -0.377 -1.000  -0.259 -1.059  -0.139 -1.111  -0.007 -1.111  0.125 -1.111  0.252 -1.086  0.370 -1.027  0.478 -0.953  0.571 -0.860  0.665 -0.766  0.758 -0.673  0.795 -0.556  0.861 -0.451  0.913 -0.341  0.913 -0.209  0.913 -0.077  0.913 0.056  0.834 0.155  0.795 0.271  0.795 0.403  0.748 0.524  0.689 0.642  0.604 0.741  0.510 0.835  0.417 0.928  0.323 1.022  0.230 1.115  0.110 1.144  -0.023 1.144  -0.155 1.144
3#app#app32#app3247/R  -0.292 0.582  -0.400 0.423  -0.400 0.220  -0.400 0.017  -0.486 -0.150  -0.507 -0.345  -0.507 -0.548  -0.507 -0.751  -0.507 -0.954  -0.506 -1.124  -0.498 -0.921  -0.489 -0.718  -0.480 -0.515  -0.471 -0.312  -0.462 -0.109  -0.454 0.094  -0.445 0.297  -0.436 0.500  -0.427 0.703  -0.418 0.906  -0.409 1.109  -0.401 1.312  -0.328 1.443  -0.125 1.443  0.078 1.443  0.281 1.443  0.446 1.351  0.624 1.254  0.703 1.095  0.846 0.951  0.892 0.767  0.892 0.564  0.892 0.361  0.892 0.158  0.829 -0.019  0.752 -0.172  0.586 -0.262  0.411 -0.330  0.236 -0.397  0.073 -0.494  -0.130 -0.494  -0.292 -0.536  -0.195 -0.699  -0.104 -0.817  -0.046 -0.986  0.061 -1.140  0.228 -1.229  0.354 -1.380  0.474 -1.463  0.569 -1.571
3#app#app32#app3247/G  0.101 1.567  -0.045 1.667  -0.231 1.667  -0.398 1.646  -0.446 1.471  -0.548 1.317  -0.649 1.163  -0.697 0.988  -0.727 0.808  -0.797 0.638  -0.810 0.457  -0.896 0.306  -0.920 0.124  -0.996 -0.044  -0.996 -0.231  -0.996 -0.418  -0.941 -0.582  -0.880 -0.743  -0.727 -0.826  -0.640 -0.926  -0.454 -0.926  -0.267 -0.926  -0.093 -0.873  0.083 -0.826  0.228 -0.726  0.311 -0.616  0.443 -0.484  0.505 -0.323  0.599 -0.175  0.599 -0.068  0.599 -0.255  0.599 -0.442  0.599 -0.629  0.662 -0.789  0.610 -0.725  0.487 -0.584  0.364 -0.444  0.241 -0.303  0.118 -0.163  0.001 -0.037  0.001 -0.224  0.084 -0.128  0.250 -0.079  0.415 -0.023  0.592 0.036  0.773 0.071  0.954 0.099  1.123 0.171  1.310 0.171  1.497 0.171
