3#app#app33#app3314/p  -0.490 1.757  -0.490 1.588  -0.490 1.419  -0.490 1.250  -0.490 1.081  -0.429 0.926  -0.374 0.768  -0.340 0.602  -0.307 0.437  -0.288 0.270  -0.271 0.105  -0.195 -0.047  -0.165 -0.208  -0.089 -0.360  -0.086 -0.528  0.005 -0.659  0.015 -0.824  0.015 -0.993  0.015 -1.162  0.015 -1.331  0.015 -1.500  -0.075 -1.579  -0.126 -1.720  -0.168 -1.701  -0.130 -1.536  -0.092 -1.371  -0.053 -1.207  -0.015 -1.042  0.024 -0.878  0.062 -0.713  0.100 -0.548  0.139 -0.384  0.177 -0.219  0.216 -0.055  0.254 0.110  0.293 0.275  0.331 0.439  0.369 0.604  0.408 0.768  0.446 0.933  0.485 1.098  0.520 1.240  0.520 1.071  0.488 0.916  0.369 0.796  0.318 0.648  0.201 0.528  0.081 0.408  -0.038 0.289  -0.187 0.240
3#app#app33#app3314/r  -0.333 -1.621  -0.333 -1.545  -0.333 -1.468  -0.333 -1.392  -0.348 -1.321  -0.402 -1.267  -0.456 -1.213  -0.475 -1.144  -0.475 -1.068  -0.475 -0.991  -0.475 -0.915  -0.475 -0.838  -0.473 -0.763  -0.419 -0.708  -0.364 -0.654  -0.333 -0.591  -0.333 -0.514  -0.333 -0.438  -0.333 -0.361  -0.333 -0.285  -0.333 -0.208  -0.313 -0.135  -0.289 -0.062  -0.264 0.011  -0.240 0.083  -0.216 0.156  -0.192 0.229  -0.140 0.284  -0.085 0.338  -0.037 0.396  -0.003 0.465  0.031 0.533  0.066 0.602  0.102 0.669  0.157 0.723  0.211 0.777  0.265 0.831  0.319 0.885  0.373 0.939  0.427 0.993  0.481 1.048  0.541 1.090  0.617 1.090  0.694 1.090  0.770 1.090  0.847 1.090  0.923 1.090  0.986 1.055  1.040 1.001  1.094 0.947
3#app#app33#app3314/e  -0.960 0.009  -0.816 0.009  -0.673 0.009  -0.529 0.009  -0.386 0.009  -0.242 0.009  -0.099 0.009  0.044 0.009  0.186 0.013  0.288 0.114  0.396 0.200  0.540 0.200  0.670 0.253  0.799 0.317  0.927 0.381  1.068 0.390  1.135 0.467  1.135 0.611  1.135 0.754  1.135 0.897  1.056 0.962  0.913 0.962  0.769 0.962  0.626 0.962  0.482 0.962  0.373 0.927  0.373 0.783  0.281 0.678  0.177 0.581  0.034 0.581  -0.064 0.496  -0.144 0.377  -0.223 0.257  -0.303 0.138  -0.382 0.018  -0.482 -0.084  -0.579 -0.188  -0.579 -0.331  -0.652 -0.445  -0.753 -0.546  -0.769 -0.683  -0.769 -0.826  -0.769 -0.970  -0.769 -1.113  -0.769 -1.257  -0.715 -1.378  -0.614 -1.479  -0.579 -1.608  -0.532 -1.705  -0.388 -1.705
3#app#app33#app3314/s  0.053 1.333  -0.050 1.333  -0.084 1.264  -0.119 1.195  -0.222 1.195  -0.295 1.122  -0.368 1.049  -0.441 0.976  -0.521 0.920  -0.624 0.920  -0.634 0.827  -0.676 0.741  -0.749 0.668  -0.771 0.574  -0.734 0.508  -0.631 0.508  -0.528 0.508  -0.425 0.508  -0.322 0.508  -0.218 0.508  -0.115 0.508  -0.033 0.457  0.040 0.384  0.129 0.333  0.221 0.286  0.314 0.240  0.390 0.172  0.463 0.099  0.466 -0.003  0.511 -0.088  0.584 -0.161  0.603 -0.256  0.603 -0.359  0.603 -0.462  0.603 -0.566  0.603 -0.669  0.603 -0.772  0.597 -0.873  0.524 -0.946  0.451 -1.019  0.379 -1.092  0.306 -1.165  0.233 -1.238  0.146 -1.280  0.046 -1.287  -0.027 -1.360  -0.100 -1.433  -0.173 -1.506  -0.256 -1.554  -0.359 -1.554
3#app#app33#app3314/s  -0.845 1.329  -0.845 1.234  -0.886 1.180  -0.981 1.180  -0.995 1.098  -0.975 1.011  -0.907 0.943  -0.838 0.881  -0.743 0.881  -0.647 0.881  -0.552 0.881  -0.457 0.881  -0.397 0.846  -0.397 0.750  -0.320 0.731  -0.231 0.716  -0.164 0.648  -0.097 0.581  -0.029 0.514  0.038 0.446  0.105 0.379  0.173 0.311  0.201 0.228  0.202 0.133  0.297 0.133  0.364 0.094  0.394 0.003  0.424 -0.087  0.455 -0.177  0.485 -0.268  0.500 -0.361  0.500 -0.456  0.587 -0.465  0.650 -0.497  0.650 -0.592  0.650 -0.687  0.650 -0.783  0.650 -0.878  0.590 -0.913  0.500 -0.919  0.500 -1.014  0.453 -1.063  0.358 -1.063  0.351 -1.151  0.317 -1.212  0.222 -1.212  0.126 -1.212  0.037 -1.227  -0.030 -1.294  -0.098 -1.362
3#app#app33#app3314/e  0.788 0.658  0.788 0.743  0.788 0.828  0.788 0.914  0.788 0.999  0.788 1.084  0.749 1.130  0.664 1.130  0.579 1.130  0.493 1.130  0.474 1.064  0.474 0.979  0.418 0.917  0.358 0.857  0.293 0.803  0.217 0.765  0.141 0.727  0.064 0.689  -0.009 0.647  -0.069 0.587  -0.129 0.527  -0.155 0.452  -0.155 0.367  -0.155 0.282  -0.155 0.197  -0.208 0.134  -0.268 0.073  -0.312 0.007  -0.312 -0.079  -0.328 -0.160  -0.366 -0.236  -0.404 -0.312  -0.442 -0.388  -0.469 -0.467  -0.469 -0.552  -0.469 -0.637  -0.469 -0.722  -0.469 -0.808  -0.469 -0.893  -0.469 -0.978  -0.469 -1.063  -0.469 -1.148  -0.465 -1.231  -0.405 -1.292  -0.344 -1.352  -0.284 -1.412  -0.224 -1.472  -0.164 -1.532  -0.083 -1.542  0.002 -1.542
3#app#app33#app3314/d  0.177 1.960  0.177 1.818  0.177 1.676  0.177 1.534  0.177 1.393  0.177 1.251  0.177 1.109  0.180 0.969  0.281 0.869  0.301 0.735  0.304 0.595  0.368 0.468  0.431 0.341  0.494 0.214  0.547 0.085  0.547 -0.057  0.547 -0.198  0.625 -0.262  0.671 -0.358  0.671 -0.271  0.547 -0.253  0.520 -0.139  0.424 -0.093  0.379 0.030  0.301 0.140  0.251 0.232  0.129 0.280  0.019 0.355  -0.123 0.355  -0.265 0.355  -0.380 0.291  -0.480 0.191  -0.563 0.084  -0.582 -0.053  -0.646 -0.180  -0.687 -0.312  -0.735 -0.434  -0.810 -0.544  -0.810 -0.686  -0.810 -0.828  -0.770 -0.960  -0.706 -1.087  -0.618 -1.195  -0.498 -1.249  -0.381 -1.308  -0.266 -1.373  -0.124 -1.373  0.017 -1.373  0.159 -1.373  0.301 -1.373
3#app#app33#app3314/t  0.189 2.178  0.189 2.032  0.189 1.885  0.189 1.738  0.189 1.591  0.189 1.444  0.189 1.297  0.189 1.150  0.189 1.004  0.189 0.857  0.189 0.710  0.189 0.563  0.189 0.416  0.189 0.269  0.189 0.122  0.189 -0.024  0.251 -0.157  0.316 -0.288  0.347 -0.428  0.347 -0.575  0.347 -0.721  0.347 -0.868  0.347 -1.015  0.332 -1.156  0.228 -1.259  0.116 -1.243  -0.002 -1.155  -0.119 -1.067  -0.237 -0.979  -0.354 -0.890  -0.472 -0.802  -0.589 -0.714  -0.707 -0.626  -0.824 -0.538  -0.942 -0.450  -1.059 -0.362  -0.948 -0.350  -0.801 -0.350  -0.654 -0.350  -0.517 -0.308  -0.386 -0.242  -0.251 -0.192  -0.104 -0.192  0.042 -0.187  0.173 -0.121  0.304 -0.055  0.417 0.036  0.528 0.124  0.674 0.124  0.821 0.124
3#app#app33#app3314/h  -0.189 2.017  -0.189 1.877  -0.210 1.746  -0.309 1.647  -0.315 1.509  -0.315 1.368  -0.315 1.228  -0.315 1.088  -0.315 0.948  -0.315 0.808  -0.315 0.668  -0.315 0.528  -0.315 0.387  -0.315 0.247  -0.315 0.107  -0.315 -0.033  -0.315 -0.173  -0.315 -0.313  -0.315 -0.453  -0.315 -0.594  -0.315 -0.734  -0.315 -0.874  -0.331 -1.007  -0.430 -1.106  -0.440 -1.241  -0.440 -1.101  -0.440 -0.961  -0.440 -0.821  -0.440 -0.680  -0.407 -0.548  -0.344 -0.423  -0.315 -0.290  -0.251 -0.176  -0.152 -0.076  -0.053 0.023  0.046 0.122  0.180 0.137  0.320 0.137  0.460 0.137  0.589 0.111  0.688 0.012  0.787 -0.087  0.813 -0.217  0.897 -0.322  0.975 -0.437  1.038 -0.562  1.064 -0.696  1.064 -0.836  1.064 -0.976  1.064 -1.116
3#app#app33#app3314/e  -0.869 0.182  -0.723 0.182  -0.576 0.182  -0.451 0.233  -0.347 0.337  -0.213 0.365  -0.066 0.365  0.080 0.365  0.226 0.365  0.373 0.365  0.519 0.365  0.666 0.365  0.812 0.365  0.958 0.365  1.105 0.365  1.251 0.365  1.331 0.432  1.331 0.578  1.331 0.724  1.192 0.732  1.046 0.732  0.899 0.732  0.756 0.719  0.625 0.654  0.494 0.588  0.357 0.548  0.211 0.548  0.064 0.548  0.048 0.418  -0.045 0.365  -0.175 0.325  -0.279 0.222  -0.399 0.142  -0.530 0.076  -0.661 0.011  -0.686 -0.120  -0.744 -0.243  -0.847 -0.346  -0.869 -0.484  -0.869 -0.630  -0.869 -0.777  -0.869 -0.923  -0.869 -1.069  -0.869 -1.216  -0.792 -1.285  -0.657 -1.313  -0.554 -1.417  -0.428 -1.468  -0.282 -1.468  -0.136 -1.468
3#app#app33#app3314/e  -0.587 -0.385  -0.450 -0.385  -0.346 -0.306  -0.249 -0.209  -0.152 -0.112  -0.055 -0.016  0.041 0.081  0.138 0.178  0.239 0.265  0.376 0.265  0.388 0.390  0.458 0.498  0.555 0.594  0.651 0.691  0.713 0.802  0.730 0.932  0.827 1.029  0.876 1.146  0.833 1.240  0.696 1.240  0.559 1.240  0.423 1.240  0.316 1.168  0.226 1.068  0.226 0.931  0.140 0.830  0.044 0.733  -0.053 0.636  -0.131 0.526  -0.193 0.404  -0.254 0.281  -0.346 0.181  -0.424 0.077  -0.424 -0.060  -0.424 -0.197  -0.474 -0.322  -0.535 -0.444  -0.587 -0.569  -0.587 -0.706  -0.587 -0.843  -0.587 -0.980  -0.587 -1.116  -0.547 -1.237  -0.450 -1.334  -0.353 -1.430  -0.254 -1.522  -0.118 -1.522  -0.015 -1.606  0.089 -1.684  0.226 -1.684
