3#app#app34#app3456/a  -0.736 1.548  -0.736 1.545  -0.578 1.611  -0.403 1.644  -0.259 1.600  -0.123 1.548  -0.031 1.453  0.123 1.418  0.154 1.262  0.231 1.141  0.314 0.972  0.314 0.785  0.409 0.636  0.409 0.448  0.505 0.300  0.575 0.141  0.600 -0.036  0.600 -0.224  0.600 -0.412  0.600 -0.600  0.505 -0.692  0.547 -0.838  0.600 -0.895  0.505 -0.802  0.409 -0.710  0.388 -0.531  0.314 -0.374  0.218 -0.225  0.123 -0.133  -0.007 -0.075  -0.099 0.021  -0.287 0.021  -0.450 -0.004  -0.546 -0.097  -0.641 -0.189  -0.736 -0.281  -0.813 -0.438  -0.832 -0.618  -0.832 -0.806  -0.832 -0.993  -0.696 -1.069  -0.536 -1.115  -0.383 -1.029  -0.235 -0.934  -0.081 -0.851  0.080 -0.786  0.236 -0.686  0.409 -0.641  0.508 -0.552  0.600 -0.457
3#app#app34#app3456/b  -0.908 1.993  -0.831 1.898  -0.754 1.758  -0.683 1.615  -0.677 1.446  -0.603 1.305  -0.601 1.134  -0.551 0.973  -0.509 0.812  -0.447 0.654  -0.447 0.482  -0.381 0.326  -0.370 0.157  -0.318 -0.007  -0.293 -0.175  -0.217 -0.315  -0.217 -0.487  -0.217 -0.659  -0.217 -0.831  -0.215 -1.001  -0.120 -1.078  -0.090 -0.974  -0.140 -0.822  -0.140 -0.650  -0.140 -0.478  -0.140 -0.307  -0.124 -0.141  -0.063 0.006  -0.044 0.170  0.014 0.318  0.090 0.413  0.186 0.534  0.357 0.534  0.498 0.458  0.581 0.351  0.648 0.207  0.715 0.063  0.837 -0.058  0.923 -0.156  0.935 -0.316  0.889 -0.478  0.858 -0.642  0.781 -0.737  0.675 -0.847  0.594 -0.958  0.474 -1.036  0.344 -1.078  0.172 -1.078  0.027 -1.142  -0.140 -1.155
3#app#app34#app3456/c  0.111 0.962  0.111 0.985  0.111 1.008  0.129 0.875  0.198 0.794  0.239 0.661  0.285 0.529  0.285 0.378  0.285 0.307  0.285 0.458  0.285 0.608  0.198 0.672  0.198 0.823  0.111 0.886  0.037 0.962  -0.027 1.049  -0.178 1.049  -0.328 1.049  -0.409 0.980  -0.496 0.916  -0.583 0.852  -0.583 0.702  -0.670 0.587  -0.670 0.437  -0.670 0.286  -0.757 0.172  -0.757 0.021  -0.757 -0.130  -0.757 -0.280  -0.755 -0.430  -0.688 -0.565  -0.653 -0.704  -0.583 -0.826  -0.563 -0.968  -0.440 -1.035  -0.376 -1.122  -0.226 -1.122  -0.075 -1.122  0.075 -1.122  0.226 -1.122  0.375 -1.118  0.491 -1.035  0.642 -1.035  0.771 -0.983  0.903 -0.938  1.021 -0.861  1.080 -0.761  1.153 -0.641  1.240 -0.578  1.153 -0.514
3#app#app34#app3456/d  0.041 -0.123  -0.035 0.014  -0.163 0.066  -0.316 -0.003  -0.438 -0.125  -0.554 -0.259  -0.630 -0.395  -0.640 -0.598  -0.708 -0.742  -0.708 -0.954  -0.640 -1.138  -0.570 -1.280  -0.358 -1.280  -0.163 -1.263  -0.027 -1.187  0.041 -1.043  0.109 -0.899  0.192 -0.721  0.294 -0.551  0.314 -0.348  0.382 -0.164  0.382 0.049  0.382 0.261  0.382 0.473  0.382 0.685  0.382 0.897  0.330 1.088  0.246 1.265  0.178 1.449  0.109 1.593  0.041 1.737  -0.027 1.824  -0.131 1.716  -0.163 1.536  -0.163 1.324  -0.163 1.112  -0.095 0.928  -0.027 0.744  -0.027 0.532  0.041 0.348  0.051 0.140  0.109 -0.048  0.159 -0.240  0.178 -0.444  0.178 -0.657  0.246 -0.840  0.314 -0.985  0.382 -1.129  0.450 -1.152  0.450 -1.212
3#app#app34#app3456/e  -0.801 -0.223  -0.628 -0.223  -0.556 -0.122  -0.383 -0.122  -0.209 -0.122  -0.078 -0.020  0.095 -0.020  0.226 0.081  0.400 0.081  0.471 0.182  0.516 0.311  0.516 0.484  0.516 0.658  0.414 0.730  0.406 0.899  0.284 1.022  0.140 1.094  0.009 1.195  -0.092 1.267  -0.223 1.327  -0.295 1.325  -0.426 1.266  -0.549 1.143  -0.600 0.991  -0.700 0.859  -0.700 0.686  -0.700 0.513  -0.700 0.340  -0.700 0.166  -0.700 -0.007  -0.700 -0.180  -0.700 -0.353  -0.700 -0.526  -0.598 -0.658  -0.526 -0.801  -0.467 -0.932  -0.395 -1.033  -0.222 -1.033  -0.048 -1.033  0.125 -1.033  0.298 -1.033  0.471 -1.033  0.617 -1.006  0.716 -0.932  0.869 -0.882  1.021 -0.830  1.152 -0.729  1.225 -0.629  1.376 -0.578  1.528 -0.527
3#app#app34#app3456/f  0.446 1.600  0.547 1.526  0.468 1.526  0.367 1.600  0.224 1.568  0.150 1.468  0.066 1.378  -0.034 1.304  -0.072 1.167  -0.072 0.992  -0.146 0.892  -0.146 0.718  -0.146 0.543  -0.146 0.369  -0.146 0.194  -0.146 0.020  -0.146 -0.154  -0.146 -0.329  -0.072 -0.429  -0.072 -0.603  -0.072 -0.778  -0.072 -0.952  -0.072 -1.127  0.002 -1.227  0.002 -1.401  0.069 -1.510  0.058 -1.510  -0.057 -1.407  -0.145 -1.256  -0.232 -1.105  -0.319 -0.954  -0.407 -0.803  -0.494 -0.652  -0.582 -0.501  -0.669 -0.350  -0.756 -0.199  -0.812 -0.166  -0.648 -0.177  -0.478 -0.158  -0.317 -0.103  -0.144 -0.101  0.001 -0.029  0.168 -0.011  0.319 0.045  0.463 0.119  0.637 0.119  0.738 0.193  0.912 0.193  1.012 0.267  1.113 0.193
3#app#app34#app3456/g  -0.080 1.412  -0.219 1.465  -0.391 1.418  -0.489 1.267  -0.503 1.081  -0.503 0.889  -0.503 0.698  -0.460 0.524  -0.362 0.373  -0.230 0.408  -0.080 0.481  -0.027 0.619  0.026 0.758  0.026 0.950  0.026 1.142  0.026 1.280  0.026 1.088  0.079 0.918  0.079 0.726  0.079 0.535  0.131 0.355  0.131 0.164  0.184 -0.016  0.184 -0.207  0.237 -0.377  0.290 -0.547  0.290 -0.739  0.302 -0.925  0.343 -1.100  0.343 -1.292  0.301 -1.442  0.274 -1.616  0.184 -1.739  0.069 -1.802  -0.080 -1.703  -0.147 -1.547  -0.186 -1.394  -0.186 -1.202  -0.186 -1.011  -0.144 -0.829  -0.080 -0.662  -0.040 -0.476  0.026 -0.309  0.028 -0.118  0.079 0.053  0.131 0.223  0.184 0.361  0.237 0.500  0.290 0.639  0.290 0.725
3#app#app34#app3456/h  -0.942 1.822  -0.865 1.737  -0.789 1.652  -0.770 1.498  -0.656 1.383  -0.610 1.236  -0.560 1.086  -0.534 0.930  -0.483 0.781  -0.407 0.650  -0.407 0.489  -0.407 0.327  -0.384 0.171  -0.330 0.022  -0.330 -0.140  -0.330 -0.302  -0.330 -0.464  -0.275 -0.603  -0.254 -0.756  -0.254 -0.917  -0.254 -1.079  -0.254 -1.241  -0.177 -1.298  -0.177 -1.136  -0.177 -0.974  -0.177 -0.813  -0.177 -0.651  -0.177 -0.489  -0.177 -0.327  -0.124 -0.188  -0.101 -0.036  -0.025 0.095  0.015 0.217  0.086 0.327  0.200 0.442  0.337 0.502  0.434 0.466  0.576 0.446  0.639 0.317  0.715 0.217  0.740 0.080  0.816 -0.005  0.816 -0.167  0.878 -0.303  0.893 -0.458  0.893 -0.620  0.896 -0.781  0.969 -0.912  0.969 -1.074  1.046 -1.159
3#app#app34#app3456/i  -0.080 0.588  0.028 0.569  0.028 0.441  0.028 0.313  0.028 0.185  0.028 0.057  0.034 -0.069  0.125 -0.159  0.137 -0.282  0.137 -0.410  0.137 -0.538  0.137 -0.666  0.137 -0.794  0.137 -0.922  0.137 -1.050  0.137 -1.178  0.137 -1.306  0.137 -1.434  0.226 -1.473  0.245 -1.581  0.225 -1.454  0.204 -1.328  0.184 -1.202  0.164 -1.075  0.143 -0.949  0.123 -0.823  0.102 -0.696  0.082 -0.570  0.062 -0.444  0.041 -0.317  0.021 -0.191  0.001 -0.065  -0.020 0.062  -0.040 0.188  -0.061 0.314  -0.081 0.441  -0.101 0.567  -0.122 0.693  -0.142 0.820  -0.162 0.946  -0.183 1.073  -0.203 1.199  -0.224 1.325  -0.244 1.452  -0.264 1.578  -0.285 1.704  -0.297 1.731  -0.297 1.603  -0.386 1.564  -0.297 1.564
3#app#app34#app3456/j  -0.091 1.226  -0.091 1.081  -0.091 0.936  -0.050 0.808  -0.040 0.665  -0.008 0.527  -0.008 0.382  0.034 0.254  0.034 0.109  0.075 -0.026  0.096 -0.168  0.117 -0.310  0.117 -0.455  0.117 -0.600  0.159 -0.728  0.159 -0.873  0.159 -1.019  0.159 -1.164  0.159 -1.309  0.148 -1.450  0.104 -1.577  -0.029 -1.606  -0.132 -1.564  -0.175 -1.461  -0.216 -1.333  -0.216 -1.188  -0.216 -1.043  -0.216 -0.898  -0.202 -0.759  -0.175 -0.625  -0.133 -0.497  -0.100 -0.365  -0.069 -0.229  -0.037 -0.094  -0.008 0.039  -0.008 0.185  0.065 0.300  0.109 0.427  0.182 0.541  0.261 0.643  0.251 0.758  0.192 0.891  0.134 1.024  0.076 1.157  0.017 1.290  -0.041 1.423  -0.100 1.556  -0.158 1.689  -0.175 1.747  -0.133 1.684
3#app#app34#app3456/k  -0.877 2.006  -0.727 1.943  -0.652 1.761  -0.647 1.550  -0.568 1.368  -0.516 1.161  -0.502 0.950  -0.438 0.753  -0.410 0.547  -0.352 0.347  -0.352 0.135  -0.352 -0.078  -0.298 -0.278  -0.278 -0.486  -0.278 -0.699  -0.278 -0.912  -0.278 -1.124  -0.278 -1.337  -0.278 -1.550  -0.203 -1.498  -0.153 -1.293  -0.085 -1.091  -0.018 -0.889  0.049 -0.688  0.116 -0.486  0.184 -0.284  0.251 -0.082  0.318 0.120  0.386 0.322  0.453 0.523  0.520 0.725  0.587 0.927  0.622 0.928  0.547 0.790  0.424 0.656  0.319 0.503  0.221 0.330  0.071 0.180  -0.027 0.008  -0.124 -0.165  -0.128 -0.261  -0.053 -0.123  0.121 -0.117  0.247 -0.234  0.338 -0.409  0.472 -0.566  0.586 -0.732  0.697 -0.898  0.772 -1.036  0.847 -1.218
