3#app#app34#app3462/f  -0.051 2.128  -0.161 2.018  -0.189 1.873  -0.189 1.717  -0.189 1.561  -0.189 1.405  -0.189 1.249  -0.189 1.094  -0.128 0.963  -0.051 0.839  -0.051 0.683  -0.051 0.527  -0.051 0.371  -0.051 0.215  -0.051 0.059  0.058 -0.051  0.087 -0.196  0.087 -0.351  0.087 -0.507  0.087 -0.663  0.087 -0.819  0.134 -0.956  0.225 -1.074  0.225 -1.230  0.225 -1.386  0.225 -1.542  0.225 -1.499  0.107 -1.460  0.087 -1.325  0.012 -1.188  -0.063 -1.052  -0.139 -0.915  -0.215 -0.779  -0.291 -0.643  -0.366 -0.507  -0.442 -0.370  -0.518 -0.234  -0.593 -0.098  -0.467 -0.080  -0.356 0.029  -0.213 0.058  -0.057 0.058  0.087 0.070  0.117 0.196  0.273 0.196  0.429 0.196  0.501 0.280  0.603 0.334  0.759 0.334  0.777 0.472
3#app#app34#app3462/o  0.198 1.223  0.090 1.116  -0.017 1.009  -0.125 0.901  -0.232 0.794  -0.339 0.686  -0.466 0.625  -0.600 0.608  -0.600 0.456  -0.600 0.304  -0.674 0.226  -0.800 0.200  -0.800 0.048  -0.931 0.027  -0.999 -0.057  -0.999 -0.209  -0.999 -0.360  -0.999 -0.512  -0.906 -0.572  -0.800 -0.617  -0.800 -0.768  -0.650 -0.771  -0.600 -0.873  -0.546 -0.970  -0.394 -0.970  -0.242 -0.970  -0.090 -0.970  0.062 -0.970  0.213 -0.970  0.365 -0.970  0.482 -0.885  0.589 -0.778  0.738 -0.771  0.863 -0.704  0.970 -0.597  0.995 -0.456  0.995 -0.304  0.995 -0.152  0.995 0.000  0.995 0.152  0.941 0.281  0.833 0.388  0.796 0.525  0.759 0.662  0.652 0.769  0.545 0.876  0.437 0.984  0.302 1.024  0.198 1.072  0.198 1.223
3#app#app34#app3462/x  -1.479 0.874  -1.269 0.874  -1.261 0.671  -1.066 0.657  -1.044 0.468  -0.862 0.439  -0.826 0.265  -0.659 0.221  -0.608 0.062  -0.501 -0.104  -0.352 -0.252  -0.203 -0.401  -0.173 -0.599  -0.013 -0.649  0.045 -0.802  0.190 -0.867  0.262 -1.005  0.393 -1.085  0.480 -1.208  0.489 -1.187  0.505 -0.977  0.521 -0.767  0.537 -0.558  0.553 -0.348  0.570 -0.138  0.586 0.072  0.602 0.281  0.618 0.491  0.634 0.701  0.650 0.910  0.666 1.120  0.683 1.330  0.698 1.515  0.698 1.304  0.698 1.094  0.698 0.884  0.497 0.874  0.480 0.681  0.348 0.525  0.262 0.350  0.205 0.164  0.056 0.015  -0.093 -0.134  -0.173 -0.311  -0.236 -0.495  -0.385 -0.644  -0.391 -0.852  -0.528 -1.005  -0.677 -1.154  -0.826 -1.302
3#app#app34#app3462/y  -0.410 1.344  -0.410 1.389  -0.410 1.270  -0.410 1.151  -0.410 1.033  -0.410 0.914  -0.369 0.812  -0.329 0.710  -0.259 0.620  -0.233 0.513  -0.142 0.445  -0.024 0.445  0.095 0.445  0.214 0.445  0.244 0.533  0.275 0.639  0.326 0.737  0.326 0.855  0.326 0.974  0.326 1.093  0.326 0.986  0.326 0.867  0.326 0.748  0.326 0.630  0.326 0.511  0.326 0.392  0.326 0.273  0.326 0.155  0.326 0.036  0.326 -0.083  0.326 -0.201  0.326 -0.320  0.326 -0.439  0.326 -0.557  0.326 -0.676  0.316 -0.791  0.244 -0.880  0.244 -0.998  0.180 -1.091  0.096 -1.175  0.012 -1.259  -0.072 -1.343  -0.156 -1.426  -0.270 -1.436  -0.389 -1.436  -0.508 -1.436  -0.627 -1.436  -0.663 -1.354  -0.782 -1.354  -0.819 -1.272
3#app#app34#app3462/z  -1.410 0.761  -1.255 0.761  -1.099 0.761  -0.944 0.761  -0.789 0.761  -0.634 0.761  -0.478 0.761  -0.323 0.761  -0.186 0.805  -0.076 0.915  0.073 0.930  0.228 0.930  0.383 0.930  0.539 0.930  0.694 0.930  0.849 0.930  0.950 0.875  0.921 0.732  0.811 0.622  0.668 0.593  0.613 0.493  0.526 0.424  0.444 0.351  0.384 0.256  0.242 0.222  0.133 0.113  0.023 0.003  -0.087 -0.107  -0.197 -0.217  -0.278 -0.347  -0.348 -0.486  -0.440 -0.587  -0.567 -0.616  -0.582 -0.756  -0.736 -0.758  -0.736 -0.913  -0.736 -1.068  -0.605 -1.093  -0.450 -1.093  -0.295 -1.093  -0.166 -1.029  -0.054 -0.924  0.101 -0.924  0.257 -0.924  0.412 -0.924  0.567 -0.924  0.722 -0.924  0.849 -0.856  0.963 -0.756  1.118 -0.756
3#app#app34#app3462/u  -1.102 1.244  -1.102 1.110  -1.102 0.976  -1.102 0.842  -1.102 0.708  -1.102 0.574  -1.102 0.440  -1.102 0.306  -1.102 0.172  -1.102 0.038  -1.081 -0.087  -0.986 -0.182  -0.938 -0.296  -0.938 -0.430  -0.932 -0.558  -0.798 -0.558  -0.774 -0.668  -0.694 -0.722  -0.560 -0.722  -0.426 -0.722  -0.292 -0.722  -0.158 -0.722  -0.034 -0.680  0.086 -0.620  0.205 -0.560  0.339 -0.558  0.373 -0.459  0.443 -0.395  0.537 -0.355  0.544 -0.224  0.639 -0.129  0.701 -0.021  0.701 0.113  0.701 0.247  0.701 0.381  0.701 0.515  0.701 0.649  0.701 0.722  0.702 0.589  0.836 0.589  0.865 0.483  0.865 0.349  0.865 0.215  0.880 0.097  1.014 0.097  1.029 -0.023  1.029 -0.157  1.088 -0.231  1.192 -0.261  1.192 -0.395
3#app#app34#app3462/l  -0.100 1.712  -0.100 1.641  -0.100 1.570  -0.100 1.499  -0.100 1.428  -0.100 1.357  -0.100 1.286  -0.100 1.215  -0.100 1.144  -0.100 1.072  -0.100 1.001  -0.100 0.930  -0.100 0.859  -0.100 0.788  -0.100 0.717  -0.100 0.646  -0.100 0.575  -0.100 0.504  -0.100 0.433  -0.100 0.361  -0.100 0.290  -0.100 0.219  -0.100 0.148  -0.100 0.077  -0.095 0.007  -0.063 -0.056  -0.031 -0.120  0.000 -0.184  0.032 -0.247  0.042 -0.316  0.042 -0.387  0.042 -0.458  0.042 -0.529  0.042 -0.600  0.042 -0.672  0.042 -0.743  0.042 -0.814  0.079 -0.869  0.130 -0.919  0.180 -0.970  0.183 -1.040  0.183 -1.111  0.183 -1.182  0.183 -1.253  0.183 -1.324  0.183 -1.395  0.183 -1.466  0.183 -1.537  0.183 -1.608  0.183 -1.679
3#app#app34#app3462/u  -1.340 1.007  -1.187 1.007  -1.168 0.874  -1.168 0.722  -1.073 0.664  -0.996 0.588  -0.996 0.436  -0.996 0.283  -0.996 0.131  -0.996 -0.022  -0.996 -0.174  -0.996 -0.327  -0.996 -0.479  -0.903 -0.540  -0.824 -0.613  -0.786 -0.749  -0.678 -0.857  -0.536 -0.883  -0.384 -0.883  -0.254 -0.829  -0.146 -0.721  0.003 -0.712  0.120 -0.627  0.228 -0.519  0.336 -0.411  0.379 -0.277  0.430 -0.145  0.538 -0.037  0.551 0.110  0.551 0.262  0.551 0.415  0.551 0.567  0.551 0.720  0.588 0.835  0.723 0.853  0.723 1.006  0.723 0.857  0.723 0.704  0.723 0.551  0.723 0.399  0.723 0.246  0.723 0.094  0.723 -0.059  0.739 -0.196  0.891 -0.196  0.895 -0.344  0.895 -0.497  0.973 -0.617  1.067 -0.731  1.067 -0.883
3#app#app34#app3462/s  0.645 1.041  0.496 1.041  0.494 1.188  0.348 1.192  0.199 1.192  0.050 1.192  -0.100 1.192  -0.249 1.192  -0.260 1.054  -0.397 1.041  -0.507 0.945  -0.633 0.890  -0.713 0.821  -0.761 0.691  -0.864 0.585  -0.866 0.437  -1.015 0.437  -1.015 0.287  -1.015 0.138  -0.869 0.135  -0.762 0.033  -0.632 -0.016  -0.483 -0.016  -0.334 -0.016  -0.185 -0.016  -0.035 -0.016  0.114 -0.016  0.256 -0.047  0.389 -0.114  0.526 -0.167  0.645 -0.197  0.674 -0.318  0.796 -0.345  0.822 -0.469  0.947 -0.493  0.947 -0.642  0.947 -0.791  0.928 -0.921  0.778 -0.921  0.645 -0.937  0.631 -1.072  0.481 -1.072  0.332 -1.072  0.183 -1.072  0.033 -1.072  -0.116 -1.072  -0.260 -1.067  -0.264 -0.921  -0.413 -0.921  -0.562 -0.921
3#app#app34#app3462/q  -0.118 1.196  -0.044 1.291  -0.160 1.344  -0.330 1.344  -0.469 1.270  -0.564 1.195  -0.703 1.122  -0.772 0.986  -0.840 0.845  -0.859 0.683  -0.727 0.603  -0.588 0.529  -0.419 0.529  -0.250 0.529  -0.154 0.603  -0.024 0.697  0.030 0.844  0.030 0.934  0.030 0.764  0.025 0.597  -0.044 0.456  -0.058 0.292  -0.118 0.148  -0.118 -0.022  -0.155 -0.176  -0.192 -0.330  -0.192 -0.499  -0.192 -0.669  -0.192 -0.838  -0.135 -0.994  -0.118 -1.160  -0.118 -1.329  -0.048 -1.469  0.046 -1.547  0.215 -1.547  0.327 -1.489  0.464 -1.405  0.534 -1.266  0.615 -1.119  0.678 -0.974  0.698 -0.813  0.770 -0.660  0.772 -0.491  0.772 -0.322  0.698 -0.183  0.623 -0.044  0.520 0.039  0.401 0.116  0.274 0.158  0.179 0.232
3#app#app34#app3462/u  -1.091 0.958  -1.091 1.112  -1.091 0.988  -1.091 0.834  -1.091 0.680  -1.091 0.527  -1.091 0.373  -1.091 0.220  -1.091 0.066  -1.091 -0.088  -1.076 -0.235  -0.968 -0.343  -0.923 -0.479  -0.923 -0.632  -0.880 -0.768  -0.771 -0.876  -0.624 -0.893  -0.471 -0.893  -0.347 -0.821  -0.233 -0.724  -0.080 -0.723  0.028 -0.614  0.086 -0.485  0.126 -0.348  0.235 -0.239  0.344 -0.130  0.423 -0.010  0.442 0.136  0.550 0.245  0.591 0.381  0.591 0.535  0.638 0.669  0.747 0.778  0.759 0.926  0.638 0.958  0.591 0.851  0.591 0.698  0.591 0.544  0.591 0.391  0.591 0.237  0.615 0.093  0.723 -0.015  0.759 -0.154  0.759 -0.308  0.833 -0.388  0.927 -0.446  0.971 -0.556  1.096 -0.585  1.110 -0.724  1.264 -0.724
