3#app#app34#app3465/v  -0.985 1.180  -0.985 1.307  -0.985 1.222  -0.926 1.121  -0.838 1.031  -0.838 0.904  -0.838 0.778  -0.777 0.676  -0.690 0.586  -0.690 0.459  -0.613 0.365  -0.542 0.268  -0.542 0.141  -0.542 0.015  -0.542 -0.112  -0.479 -0.212  -0.392 -0.303  -0.335 -0.416  -0.278 -0.529  -0.207 -0.632  -0.118 -0.721  -0.099 -0.840  -0.043 -0.944  0.046 -1.033  0.135 -1.122  0.196 -1.224  0.216 -1.331  0.342 -1.331  0.344 -1.206  0.344 -1.080  0.402 -0.977  0.492 -0.888  0.492 -0.762  0.492 -0.635  0.492 -0.509  0.492 -0.382  0.521 -0.268  0.610 -0.178  0.639 -0.064  0.639 0.063  0.639 0.189  0.639 0.316  0.639 0.442  0.639 0.569  0.639 0.695  0.639 0.822  0.639 0.948  0.639 1.075  0.639 1.201  0.639 1.328
3#app#app34#app3465/e  -0.408 -0.055  -0.269 -0.030  -0.219 0.084  -0.076 0.137  0.052 0.224  0.197 0.271  0.323 0.363  0.470 0.405  0.594 0.503  0.758 0.503  0.848 0.578  0.748 0.642  0.708 0.767  0.698 0.922  0.569 0.957  0.509 1.061  0.429 1.146  0.319 1.201  0.155 1.201  0.130 1.061  0.010 1.016  -0.059 0.922  -0.196 0.855  -0.269 0.721  -0.355 0.642  -0.519 0.642  -0.548 0.507  -0.661 0.389  -0.687 0.236  -0.697 0.075  -0.813 -0.041  -0.827 -0.200  -0.827 -0.364  -0.827 -0.529  -0.827 -0.693  -0.827 -0.857  -0.697 -0.892  -0.677 -1.042  -0.561 -1.159  -0.402 -1.172  -0.237 -1.172  -0.073 -1.172  0.092 -1.172  0.256 -1.172  0.420 -1.172  0.580 -1.160  0.696 -1.044  0.856 -1.032  1.011 -1.009  1.127 -0.892
3#app#app34#app3465/x  -1.165 0.949  -1.107 1.097  -1.016 0.980  -0.867 0.922  -0.807 0.740  -0.719 0.569  -0.579 0.502  -0.429 0.362  -0.388 0.171  -0.272 0.012  -0.170 -0.094  -0.118 -0.252  -0.025 -0.438  0.119 -0.540  0.176 -0.691  0.323 -0.837  0.469 -0.984  0.527 -1.136  0.615 -1.023  0.603 -0.816  0.592 -0.609  0.580 -0.402  0.569 -0.195  0.557 0.012  0.546 0.219  0.534 0.426  0.523 0.633  0.511 0.840  0.500 1.047  0.488 1.254  0.477 1.461  0.472 1.420  0.472 1.213  0.472 1.005  0.366 0.842  0.323 0.652  0.178 0.505  0.175 0.299  0.095 0.125  0.026 -0.054  -0.093 -0.212  -0.123 -0.406  -0.123 -0.614  -0.217 -0.782  -0.272 -0.967  -0.404 -1.119  -0.446 -1.309  -0.570 -1.465  -0.660 -1.582  -0.719 -1.731
3#app#app34#app3465/i  -0.149 0.023  -0.041 0.023  -0.012 -0.055  -0.012 -0.163  -0.012 -0.271  -0.012 -0.379  -0.012 -0.487  -0.012 -0.595  0.016 -0.691  0.092 -0.768  0.126 -0.862  0.126 -0.970  0.126 -1.078  0.126 -1.186  0.126 -1.294  0.126 -1.402  0.124 -1.467  0.115 -1.359  0.107 -1.252  0.098 -1.144  0.090 -1.037  0.081 -0.929  0.072 -0.821  0.064 -0.714  0.055 -0.606  0.046 -0.499  0.038 -0.391  0.029 -0.283  0.021 -0.176  0.012 -0.068  0.003 0.039  -0.005 0.147  -0.014 0.255  -0.022 0.362  -0.031 0.470  -0.040 0.577  -0.048 0.685  -0.057 0.793  -0.065 0.900  -0.074 1.008  -0.083 1.115  -0.091 1.223  -0.100 1.331  -0.108 1.438  -0.117 1.546  -0.126 1.653  -0.134 1.761  -0.143 1.869  -0.149 1.917  -0.149 1.809
3#app#app34#app3465/n  -0.717 0.673  -0.717 0.524  -0.717 0.375  -0.717 0.227  -0.717 0.078  -0.717 -0.071  -0.710 -0.217  -0.605 -0.323  -0.570 -0.457  -0.570 -0.606  -0.570 -0.755  -0.570 -0.904  -0.570 -1.053  -0.570 -1.201  -0.461 -1.241  -0.534 -1.241  -0.570 -1.129  -0.570 -0.980  -0.570 -0.831  -0.570 -0.682  -0.517 -0.546  -0.450 -0.413  -0.423 -0.270  -0.423 -0.121  -0.423 0.028  -0.423 0.176  -0.423 0.325  -0.355 0.446  -0.276 0.562  -0.249 0.700  -0.144 0.805  -0.001 0.820  0.110 0.912  0.236 0.968  0.385 0.968  0.534 0.968  0.661 0.915  0.770 0.820  0.919 0.820  1.050 0.802  1.059 0.655  1.125 0.522  1.192 0.389  1.197 0.241  1.197 0.092  1.197 -0.057  1.197 -0.205  1.197 -0.354  1.197 -0.503  1.197 -0.652
3#app#app34#app3465/g  0.186 1.111  0.143 1.236  0.017 1.274  -0.126 1.274  -0.235 1.193  -0.355 1.139  -0.456 1.039  -0.546 0.981  -0.627 0.920  -0.627 0.778  -0.627 0.635  -0.627 0.493  -0.546 0.432  -0.537 0.298  -0.464 0.228  -0.383 0.167  -0.272 0.135  -0.130 0.135  0.012 0.135  0.116 0.228  0.217 0.329  0.268 0.450  0.318 0.542  0.349 0.654  0.349 0.796  0.349 0.796  0.268 0.735  0.268 0.593  0.268 0.450  0.268 0.308  0.268 0.165  0.290 0.032  0.349 -0.086  0.349 -0.228  0.349 -0.371  0.349 -0.513  0.391 -0.638  0.430 -0.764  0.430 -0.907  0.430 -1.049  0.355 -1.160  0.312 -1.285  0.268 -1.409  0.168 -1.510  0.051 -1.573  -0.057 -1.654  -0.200 -1.654  -0.342 -1.654  -0.485 -1.654  -0.546 -1.573
3#app#app34#app3465/d  -0.039 -0.152  -0.145 -0.246  -0.320 -0.220  -0.451 -0.152  -0.651 -0.152  -0.788 -0.215  -0.881 -0.321  -0.975 -0.428  -1.046 -0.598  -1.015 -0.766  -0.940 -0.935  -0.788 -1.017  -0.659 -1.088  -0.459 -1.088  -0.259 -1.088  -0.098 -0.994  0.063 -0.901  0.163 -0.792  0.242 -0.625  0.335 -0.519  0.415 -0.353  0.491 -0.184  0.522 0.003  0.597 0.185  0.616 0.380  0.616 0.580  0.616 0.780  0.616 0.979  0.616 1.179  0.592 1.369  0.517 1.538  0.429 1.701  0.247 1.719  0.143 1.621  0.054 1.458  -0.007 1.283  -0.039 1.097  -0.039 0.897  -0.039 0.697  -0.039 0.498  -0.039 0.298  -0.029 0.100  0.034 -0.090  0.083 -0.274  0.148 -0.447  0.233 -0.612  0.242 -0.808  0.335 -0.914  0.354 -1.106  0.429 -1.275
3#app#app34#app3465/a  0.345 0.798  0.345 0.996  0.343 1.193  0.147 1.196  0.143 1.391  -0.054 1.387  -0.194 1.247  -0.371 1.193  -0.446 1.069  -0.534 0.907  -0.687 0.798  -0.841 0.753  -0.841 0.554  -0.888 0.402  -1.039 0.355  -1.039 0.156  -1.039 -0.043  -1.039 -0.241  -1.039 -0.440  -0.986 -0.586  -0.841 -0.640  -0.786 -0.784  -0.588 -0.784  -0.389 -0.784  -0.191 -0.784  0.008 -0.784  0.147 -0.724  0.208 -0.586  0.345 -0.525  0.345 -0.326  0.408 -0.191  0.543 -0.126  0.543 0.072  0.543 0.271  0.543 0.469  0.475 0.600  0.345 0.531  0.345 0.332  0.345 0.133  0.345 -0.065  0.418 -0.191  0.543 -0.265  0.543 -0.463  0.543 -0.662  0.543 -0.861  0.621 -0.981  0.796 -1.037  0.937 -1.178  0.938 -1.376  1.136 -1.377
3#app#app34#app3465/f  0.700 1.750  0.571 1.750  0.443 1.750  0.325 1.724  0.235 1.633  0.144 1.542  0.025 1.518  0.004 1.411  -0.081 1.317  -0.112 1.202  -0.112 1.073  -0.112 0.945  -0.112 0.816  -0.112 0.688  -0.112 0.559  -0.112 0.430  -0.112 0.302  -0.112 0.173  -0.112 0.045  -0.112 -0.084  -0.112 -0.212  -0.027 -0.306  0.004 -0.421  0.004 -0.550  0.081 -0.646  0.120 -0.759  0.181 -0.862  0.236 -0.968  0.236 -1.096  0.236 -1.225  0.236 -1.353  0.135 -1.381  0.057 -1.287  -0.014 -1.180  -0.085 -1.073  -0.157 -0.966  -0.228 -0.859  -0.299 -0.752  -0.371 -0.645  -0.442 -0.538  -0.513 -0.431  -0.560 -0.337  -0.432 -0.337  -0.303 -0.337  -0.175 -0.337  -0.046 -0.337  0.082 -0.337  0.211 -0.337  0.339 -0.337  0.468 -0.337
3#app#app34#app3465/t  -0.228 1.827  -0.107 1.706  -0.034 1.565  -0.034 1.394  -0.034 1.223  -0.034 1.051  -0.034 0.880  -0.034 0.709  -0.034 0.538  -0.034 0.367  -0.034 0.195  -0.034 0.024  -0.034 -0.147  -0.024 -0.314  0.098 -0.435  0.159 -0.581  0.159 -0.752  0.159 -0.923  0.159 -1.094  0.159 -1.265  0.159 -1.437  0.159 -1.608  0.280 -1.659  0.303 -1.575  0.215 -1.428  0.127 -1.281  0.038 -1.135  -0.050 -0.988  -0.138 -0.841  -0.226 -0.694  -0.314 -0.547  -0.402 -0.400  -0.490 -0.254  -0.578 -0.107  -0.666 0.040  -0.754 0.187  -0.744 0.278  -0.615 0.320  -0.595 0.472  -0.424 0.472  -0.253 0.472  -0.082 0.472  0.090 0.472  0.231 0.543  0.352 0.664  0.523 0.665  0.694 0.665  0.866 0.665  1.007 0.738  1.128 0.859
3#app#app34#app3465/j  0.276 0.837  0.307 0.716  0.367 0.607  0.367 0.473  0.367 0.340  0.367 0.206  0.426 0.087  0.457 -0.040  0.457 -0.173  0.457 -0.307  0.457 -0.440  0.457 -0.574  0.457 -0.708  0.420 -0.826  0.367 -0.937  0.295 -1.041  0.174 -1.072  0.073 -1.150  -0.061 -1.150  -0.195 -1.150  -0.328 -1.150  -0.462 -1.150  -0.595 -1.150  -0.729 -1.150  -0.769 -1.111  -0.696 -1.003  -0.649 -0.878  -0.602 -0.753  -0.555 -0.628  -0.508 -0.502  -0.461 -0.377  -0.414 -0.252  -0.368 -0.127  -0.321 -0.002  -0.274 0.123  -0.227 0.248  -0.180 0.373  -0.133 0.498  -0.086 0.623  -0.039 0.748  0.008 0.874  0.055 0.999  0.102 1.124  0.148 1.249  0.195 1.374  0.242 1.499  0.289 1.624  0.336 1.749  0.367 1.783  0.367 1.650
