3#app#app34#app3480/F  -0.282 1.398  -0.282 1.177  -0.282 0.955  -0.282 0.734  -0.282 0.512  -0.282 0.290  -0.282 0.069  -0.282 -0.153  -0.282 -0.374  -0.282 -0.596  -0.282 -0.817  -0.282 -1.039  -0.282 -1.260  -0.282 -1.482  -0.282 -1.703  -0.182 -1.883  -0.160 -1.715  -0.160 -1.494  -0.160 -1.272  -0.160 -1.051  -0.160 -0.829  -0.160 -0.608  -0.160 -0.386  -0.160 -0.165  -0.160 0.057  -0.160 0.279  -0.160 0.500  -0.160 0.722  -0.160 0.943  -0.152 1.161  0.022 1.276  0.122 1.398  0.343 1.398  0.565 1.398  0.786 1.398  0.735 1.230  0.636 1.031  0.537 0.833  0.438 0.635  0.339 0.437  0.240 0.239  0.140 0.041  0.041 -0.158  -0.058 -0.356  -0.157 -0.554  0.055 -0.560  0.207 -0.490  0.376 -0.437  0.575 -0.414  0.697 -0.315
3#app#app34#app3480/I  -0.190 1.679  -0.190 1.607  -0.190 1.534  -0.166 1.472  -0.115 1.421  -0.063 1.370  -0.012 1.319  -0.008 1.248  -0.008 1.176  -0.008 1.104  -0.008 1.031  -0.008 0.959  -0.008 0.887  -0.008 0.814  -0.008 0.742  -0.008 0.670  -0.008 0.597  -0.008 0.525  -0.008 0.452  -0.008 0.380  -0.008 0.308  -0.008 0.235  -0.008 0.163  -0.008 0.091  -0.008 0.018  -0.008 -0.054  -0.008 -0.126  -0.008 -0.199  -0.008 -0.271  -0.008 -0.343  -0.008 -0.416  -0.008 -0.488  -0.008 -0.560  -0.008 -0.633  -0.008 -0.705  -0.008 -0.777  -0.008 -0.850  -0.008 -0.922  -0.008 -0.994  -0.008 -1.067  -0.008 -1.139  -0.008 -1.211  0.034 -1.242  0.106 -1.242  0.175 -1.246  0.175 -1.318  0.175 -1.391  0.175 -1.463  0.175 -1.535  0.175 -1.608
3#app#app34#app3480/R  -0.725 0.847  -0.725 0.617  -0.680 0.405  -0.593 0.211  -0.593 -0.019  -0.593 -0.249  -0.593 -0.480  -0.593 -0.710  -0.544 -0.920  -0.461 -1.116  -0.461 -1.346  -0.329 -1.355  -0.329 -1.124  -0.329 -0.894  -0.461 -0.796  -0.461 -0.566  -0.468 -0.342  -0.593 -0.237  -0.593 -0.007  -0.593 0.223  -0.593 0.454  -0.593 0.684  -0.461 0.860  -0.383 1.058  -0.307 1.244  -0.112 1.329  0.099 1.376  0.329 1.376  0.559 1.376  0.728 1.237  0.802 1.038  0.861 0.832  0.861 0.601  0.781 0.451  0.696 0.286  0.507 0.186  0.409 0.054  0.185 0.039  0.003 -0.078  -0.166 -0.078  -0.065 -0.207  0.162 -0.210  0.393 -0.210  0.576 -0.322  0.666 -0.474  0.754 -0.632  0.861 -0.818  0.986 -0.996  1.056 -1.198  1.125 -1.400
3#app#app34#app3480/S  0.554 1.222  0.441 1.250  0.384 1.335  0.243 1.335  0.102 1.335  0.001 1.236  -0.132 1.216  -0.232 1.116  -0.365 1.096  -0.465 0.996  -0.565 0.896  -0.587 0.769  -0.692 0.733  -0.692 0.591  -0.757 0.477  -0.806 0.356  -0.806 0.214  -0.714 0.111  -0.582 0.089  -0.441 0.089  -0.299 0.089  -0.182 0.147  -0.063 0.202  0.078 0.202  0.219 0.202  0.361 0.202  0.441 0.141  0.530 0.089  0.558 -0.024  0.667 -0.057  0.728 -0.138  0.780 -0.226  0.780 -0.368  0.780 -0.509  0.780 -0.650  0.780 -0.792  0.667 -0.820  0.646 -0.952  0.542 -1.044  0.412 -1.072  0.306 -1.157  0.165 -1.157  0.024 -1.157  -0.118 -1.157  -0.259 -1.157  -0.386 -1.123  -0.495 -1.044  -0.636 -1.044  -0.778 -1.044  -0.919 -1.044
3#app#app34#app3480/T  0.205 0.866  0.205 0.706  0.205 0.547  0.205 0.387  0.205 0.227  0.205 0.068  0.205 -0.092  0.205 -0.252  0.205 -0.411  0.205 -0.571  0.205 -0.731  0.255 -0.870  0.346 -0.992  0.346 -1.151  0.346 -1.311  0.435 -1.382  0.486 -1.490  0.359 -1.522  0.265 -1.400  0.176 -1.268  0.088 -1.135  -0.001 -1.002  -0.089 -0.869  -0.178 -0.736  -0.267 -0.604  -0.355 -0.471  -0.444 -0.338  -0.532 -0.205  -0.621 -0.072  -0.709 0.061  -0.798 0.193  -0.886 0.326  -0.975 0.459  -1.050 0.585  -0.918 0.612  -0.872 0.725  -0.712 0.725  -0.552 0.725  -0.423 0.799  -0.291 0.866  -0.132 0.866  0.028 0.866  0.188 0.866  0.306 0.966  0.449 1.006  0.608 1.006  0.768 1.007  0.881 1.120  1.029 1.147  1.189 1.147
3#app#app34#app3480/M  -0.960 0.756  -0.960 0.542  -0.960 0.328  -0.940 0.123  -0.857 -0.057  -0.857 -0.271  -0.857 -0.485  -0.857 -0.699  -0.857 -0.912  -0.857 -1.126  -0.755 -1.135  -0.755 -0.921  -0.755 -0.707  -0.755 -0.493  -0.755 -0.279  -0.755 -0.066  -0.755 0.148  -0.745 0.358  -0.653 0.534  -0.653 0.747  -0.550 0.858  -0.438 0.960  -0.230 0.947  -0.079 0.795  0.000 0.614  0.063 0.426  0.086 0.222  0.165 0.041  0.169 -0.172  0.264 -0.363  0.267 -0.577  0.267 -0.560  0.267 -0.346  0.281 -0.136  0.369 0.057  0.369 0.271  0.405 0.449  0.503 0.583  0.655 0.735  0.778 0.675  0.971 0.654  1.054 0.481  1.161 0.298  1.224 0.105  1.289 -0.081  1.302 -0.292  1.392 -0.485  1.408 -0.692  1.494 -0.870  1.392 -0.982
3#app#app34#app3480/A  -0.366 1.099  -0.502 0.987  -0.502 0.739  -0.502 0.490  -0.502 0.242  -0.502 -0.006  -0.502 -0.254  -0.502 -0.502  -0.502 -0.750  -0.553 -0.947  -0.638 -1.110  -0.636 -1.357  -0.502 -1.243  -0.513 -0.995  -0.526 -0.747  -0.538 -0.499  -0.550 -0.251  -0.563 -0.004  -0.575 0.244  -0.588 0.492  -0.600 0.740  -0.612 0.988  -0.625 1.236  -0.637 1.484  -0.471 1.371  -0.265 1.270  -0.031 1.235  0.081 1.099  0.285 0.993  0.464 0.826  0.644 0.716  0.726 0.487  0.805 0.257  0.862 0.023  0.862 -0.226  0.934 -0.402  0.998 -0.586  0.998 -0.834  0.998 -1.082  0.998 -1.110  0.821 -0.951  0.623 -0.802  0.424 -0.653  0.226 -0.504  0.027 -0.355  0.006 -0.265  0.180 -0.192  0.366 -0.129  0.614 -0.129  0.862 -0.129
3#app#app34#app3480/T  0.021 1.139  0.021 0.973  0.021 0.807  0.021 0.640  0.021 0.474  0.022 0.308  0.074 0.150  0.127 -0.008  0.159 -0.169  0.159 -0.335  0.159 -0.502  0.159 -0.668  0.159 -0.834  0.159 -1.001  0.159 -1.167  0.283 -1.209  0.297 -1.361  0.297 -1.528  0.258 -1.565  0.166 -1.426  0.073 -1.288  -0.019 -1.149  -0.111 -1.011  -0.203 -0.873  -0.296 -0.734  -0.388 -0.596  -0.480 -0.457  -0.573 -0.319  -0.665 -0.181  -0.757 -0.042  -0.849 0.096  -0.942 0.235  -1.034 0.373  -1.009 0.449  -0.873 0.522  -0.733 0.587  -0.567 0.587  -0.415 0.645  -0.266 0.720  -0.101 0.730  0.056 0.783  0.214 0.835  0.376 0.863  0.542 0.863  0.709 0.863  0.875 0.863  0.988 0.916  1.069 1.001  1.236 1.001  1.402 1.001
3#app#app34#app3480/E  0.809 1.377  0.695 1.491  0.546 1.470  0.424 1.377  0.262 1.377  0.101 1.377  -0.015 1.267  -0.129 1.153  -0.284 1.139  -0.427 1.093  -0.500 0.961  -0.600 0.901  -0.720 0.800  -0.737 0.646  -0.737 0.484  -0.665 0.353  -0.551 0.239  -0.411 0.187  -0.288 0.095  -0.138 0.068  0.023 0.068  0.095 -0.021  0.227 -0.051  0.388 -0.051  0.549 -0.051  0.556 0.054  0.438 -0.051  0.277 -0.051  0.144 -0.120  0.004 -0.170  -0.039 -0.289  -0.183 -0.329  -0.297 -0.443  -0.424 -0.527  -0.500 -0.612  -0.590 -0.736  -0.618 -0.886  -0.618 -1.047  -0.531 -1.121  -0.370 -1.121  -0.209 -1.121  -0.047 -1.121  0.114 -1.121  0.275 -1.121  0.406 -1.048  0.549 -1.002  0.710 -1.002  0.865 -0.974  1.009 -0.902  1.166 -0.883
3#app#app34#app3480/E  0.916 1.359  0.773 1.359  0.629 1.359  0.485 1.359  0.342 1.359  0.209 1.312  0.081 1.248  -0.026 1.153  -0.153 1.114  -0.265 1.037  -0.389 0.991  -0.433 0.891  -0.519 0.783  -0.556 0.655  -0.556 0.511  -0.545 0.378  -0.402 0.378  -0.264 0.355  -0.135 0.290  0.000 0.255  0.144 0.255  0.287 0.255  0.431 0.255  0.522 0.255  0.426 0.208  0.357 0.133  0.240 0.069  0.138 -0.032  0.037 -0.134  -0.065 -0.235  -0.188 -0.256  -0.217 -0.387  -0.322 -0.481  -0.433 -0.513  -0.433 -0.657  -0.508 -0.726  -0.556 -0.822  -0.556 -0.965  -0.556 -1.109  -0.520 -1.217  -0.376 -1.217  -0.233 -1.217  -0.089 -1.217  0.055 -1.217  0.198 -1.217  0.342 -1.217  0.485 -1.217  0.629 -1.217  0.773 -1.217  0.794 -1.094
3#app#app34#app3480/X  -1.294 1.310  -1.152 1.168  -1.119 0.981  -0.974 0.848  -0.833 0.789  -0.758 0.620  -0.616 0.478  -0.525 0.315  -0.525 0.115  -0.409 -0.037  -0.224 -0.074  -0.189 -0.257  -0.047 -0.398  0.094 -0.540  0.236 -0.682  0.378 -0.823  0.519 -0.965  0.661 -1.107  0.705 -1.289  0.705 -1.118  0.705 -0.918  0.705 -0.718  0.705 -0.517  0.705 -0.317  0.705 -0.116  0.705 0.084  0.705 0.284  0.705 0.485  0.705 0.685  0.705 0.885  0.705 1.086  0.705 1.286  0.551 1.286  0.520 1.093  0.430 0.914  0.308 0.759  0.243 0.585  0.133 0.430  -0.009 0.289  -0.150 0.147  -0.218 -0.025  -0.218 -0.226  -0.358 -0.368  -0.399 -0.535  -0.525 -0.609  -0.525 -0.810  -0.679 -0.856  -0.679 -1.057  -0.679 -1.257  -0.833 -1.304
