3#app#app35#app3537/h  -0.613 1.908  -0.613 1.760  -0.613 1.611  -0.613 1.463  -0.613 1.315  -0.613 1.167  -0.547 1.035  -0.520 0.893  -0.520 0.745  -0.500 0.599  -0.470 0.454  -0.441 0.309  -0.428 0.162  -0.428 0.014  -0.428 -0.134  -0.428 -0.282  -0.428 -0.430  -0.428 -0.579  -0.399 -0.715  -0.335 -0.836  -0.335 -0.984  -0.335 -1.132  -0.427 -1.241  -0.335 -1.185  -0.335 -1.037  -0.335 -0.889  -0.277 -0.754  -0.243 -0.614  -0.186 -0.480  -0.120 -0.347  -0.057 -0.214  -0.057 -0.066  -0.004 0.070  0.078 0.191  0.183 0.295  0.287 0.400  0.425 0.426  0.573 0.426  0.721 0.426  0.776 0.333  0.815 0.201  0.892 0.079  0.939 -0.062  1.015 -0.184  1.054 -0.316  1.054 -0.464  1.054 -0.612  1.054 -0.760  1.054 -0.908  1.054 -1.056
3#app#app35#app3537/e  -0.744 -0.560  -0.731 -0.401  -0.615 -0.285  -0.498 -0.168  -0.453 -0.023  -0.334 0.024  -0.210 0.120  -0.093 0.237  0.039 0.315  0.131 0.388  0.212 0.502  0.360 0.575  0.517 0.607  0.648 0.687  0.765 0.803  0.861 0.928  0.813 1.045  0.715 1.111  0.630 1.191  0.465 1.191  0.301 1.191  0.177 1.091  0.032 1.045  -0.098 0.961  -0.215 0.845  -0.331 0.729  -0.447 0.612  -0.598 0.596  -0.620 0.440  -0.736 0.324  -0.744 0.163  -0.744 -0.002  -0.744 -0.167  -0.744 -0.331  -0.744 -0.496  -0.700 -0.650  -0.626 -0.797  -0.495 -0.852  -0.366 -0.938  -0.227 -0.998  -0.062 -0.998  0.068 -1.081  0.207 -1.144  0.371 -1.144  0.536 -1.144  0.700 -1.144  0.865 -1.144  1.030 -1.144  1.182 -1.114  1.298 -0.998
3#app#app35#app3537/s  0.179 1.190  0.057 1.190  -0.065 1.190  -0.158 1.120  -0.250 1.042  -0.359 0.988  -0.468 0.933  -0.558 0.853  -0.644 0.766  -0.730 0.680  -0.816 0.594  -0.909 0.523  -1.020 0.513  -1.020 0.391  -1.106 0.305  -1.154 0.203  -1.154 0.081  -1.123 -0.010  -1.001 -0.010  -0.879 -0.010  -0.757 -0.010  -0.635 -0.010  -0.514 -0.010  -0.392 -0.010  -0.270 -0.010  -0.148 -0.010  -0.026 -0.010  0.096 -0.010  0.217 -0.010  0.339 -0.010  0.461 -0.010  0.582 -0.013  0.668 -0.099  0.771 -0.143  0.893 -0.143  1.004 -0.169  1.090 -0.255  1.112 -0.368  1.112 -0.490  1.112 -0.611  1.071 -0.716  0.985 -0.803  0.899 -0.889  0.799 -0.943  0.688 -0.967  0.602 -1.053  0.515 -1.139  0.423 -1.209  0.301 -1.209  0.179 -1.209
3#app#app35#app3537/o  0.098 1.095  -0.026 1.095  -0.061 1.006  -0.115 0.936  -0.239 0.936  -0.364 0.936  -0.456 0.860  -0.546 0.773  -0.657 0.718  -0.768 0.662  -0.875 0.601  -0.963 0.513  -1.018 0.411  -1.018 0.287  -1.018 0.163  -1.018 0.038  -1.018 -0.086  -1.018 -0.210  -1.018 -0.334  -0.933 -0.424  -0.845 -0.512  -0.758 -0.600  -0.658 -0.658  -0.534 -0.661  -0.423 -0.717  -0.312 -0.772  -0.198 -0.818  -0.074 -0.818  0.050 -0.818  0.175 -0.818  0.299 -0.818  0.423 -0.818  0.548 -0.818  0.644 -0.750  0.732 -0.663  0.854 -0.658  0.954 -0.599  1.042 -0.512  1.055 -0.393  1.055 -0.268  1.055 -0.144  1.055 -0.020  1.055 0.105  1.055 0.229  1.016 0.337  0.928 0.425  0.840 0.513  0.752 0.601  0.664 0.689  0.577 0.776
3#app#app35#app3537/o  0.414 1.027  0.278 1.034  0.263 1.162  0.120 1.162  0.008 1.131  -0.030 1.027  -0.160 0.994  -0.261 0.893  -0.362 0.792  -0.463 0.691  -0.563 0.590  -0.664 0.489  -0.729 0.362  -0.793 0.234  -0.889 0.130  -0.938 0.007  -0.995 -0.112  -1.073 -0.223  -1.073 -0.365  -1.073 -0.508  -1.033 -0.635  -0.932 -0.736  -0.831 -0.837  -0.706 -0.898  -0.570 -0.943  -0.435 -0.988  -0.294 -1.000  -0.151 -1.000  -0.008 -1.000  0.135 -1.000  0.238 -0.906  0.364 -0.865  0.480 -0.799  0.594 -0.730  0.737 -0.730  0.819 -0.670  0.867 -0.547  0.954 -0.440  0.954 -0.297  0.954 -0.154  0.954 -0.012  0.954 0.131  0.913 0.257  0.812 0.358  0.711 0.459  0.684 0.591  0.572 0.621  0.549 0.741  0.421 0.756  0.278 0.756
3#app#app35#app3537/n  -1.075 0.502  -0.948 0.493  -0.948 0.357  -0.928 0.229  -0.832 0.132  -0.821 0.001  -0.821 -0.135  -0.821 -0.271  -0.821 -0.407  -0.800 -0.534  -0.703 -0.630  -0.694 -0.763  -0.694 -0.899  -0.694 -1.035  -0.694 -1.122  -0.671 -0.996  -0.575 -0.900  -0.568 -0.767  -0.568 -0.631  -0.555 -0.500  -0.459 -0.404  -0.441 -0.275  -0.441 -0.139  -0.440 -0.003  -0.364 0.110  -0.289 0.223  -0.213 0.336  -0.124 0.438  -0.028 0.534  0.066 0.631  0.075 0.764  0.171 0.860  0.298 0.882  0.434 0.882  0.570 0.882  0.706 0.882  0.838 0.872  0.934 0.775  0.954 0.648  1.037 0.546  1.114 0.436  1.174 0.314  1.207 0.186  1.207 0.050  1.207 -0.086  1.207 -0.222  1.207 -0.358  1.207 -0.494  1.207 -0.630  1.207 -0.766
3#app#app35#app3537/t  -0.051 1.924  0.106 1.924  0.119 1.779  0.119 1.622  0.119 1.465  0.119 1.308  0.119 1.150  0.119 0.993  0.119 0.836  0.119 0.679  0.119 0.521  0.143 0.374  0.254 0.263  0.323 0.125  0.373 -0.024  0.422 -0.173  0.458 -0.324  0.458 -0.482  0.458 -0.639  0.463 -0.794  0.574 -0.905  0.627 -1.040  0.627 -1.198  0.627 -1.355  0.594 -1.436  0.477 -1.331  0.360 -1.226  0.243 -1.121  0.126 -1.016  0.009 -0.910  -0.108 -0.805  -0.224 -0.700  -0.341 -0.595  -0.458 -0.490  -0.575 -0.384  -0.692 -0.279  -0.809 -0.174  -0.926 -0.069  -1.043 0.036  -1.068 0.182  -0.957 0.229  -0.800 0.229  -0.643 0.229  -0.486 0.229  -0.328 0.229  -0.171 0.229  -0.014 0.229  0.143 0.229  0.301 0.229  0.458 0.229
3#app#app35#app3537/o  0.298 0.982  0.166 0.982  0.033 0.982  -0.099 0.982  -0.232 0.982  -0.364 0.982  -0.427 0.912  -0.484 0.837  -0.604 0.805  -0.697 0.712  -0.717 0.587  -0.782 0.482  -0.861 0.382  -0.865 0.250  -0.924 0.132  -0.983 0.013  -1.006 -0.114  -1.006 -0.246  -1.006 -0.379  -0.976 -0.498  -0.882 -0.592  -0.788 -0.686  -0.685 -0.757  -0.572 -0.776  -0.565 -0.902  -0.433 -0.902  -0.300 -0.902  -0.168 -0.902  -0.035 -0.902  0.088 -0.862  0.206 -0.803  0.328 -0.757  0.460 -0.757  0.591 -0.754  0.685 -0.660  0.798 -0.612  0.915 -0.575  1.009 -0.482  1.023 -0.355  1.023 -0.223  1.023 -0.090  1.023 0.042  1.023 0.175  1.023 0.307  0.996 0.429  0.903 0.523  0.809 0.616  0.733 0.717  0.721 0.837  0.588 0.837
3#app#app35#app3537/o  0.232 0.602  0.097 0.602  0.079 0.719  -0.020 0.756  -0.156 0.756  -0.291 0.756  -0.427 0.756  -0.562 0.756  -0.691 0.749  -0.691 0.614  -0.814 0.602  -0.845 0.497  -0.845 0.361  -0.893 0.246  -0.989 0.150  -0.999 0.019  -0.999 -0.117  -0.999 -0.252  -0.999 -0.388  -0.965 -0.509  -0.869 -0.605  -0.773 -0.701  -0.691 -0.802  -0.690 -0.937  -0.555 -0.937  -0.419 -0.937  -0.284 -0.937  -0.148 -0.937  -0.013 -0.937  0.123 -0.937  0.251 -0.919  0.346 -0.823  0.442 -0.727  0.538 -0.631  0.672 -0.629  0.775 -0.549  0.862 -0.447  0.923 -0.326  0.983 -0.204  1.002 -0.073  1.002 0.062  1.002 0.198  1.002 0.333  1.002 0.468  1.002 0.604  1.002 0.739  0.918 0.840  0.848 0.947  0.830 1.064  0.694 1.064
3#app#app35#app3537/k  -0.942 2.103  -0.889 1.944  -0.836 1.784  -0.836 1.602  -0.768 1.436  -0.729 1.263  -0.729 1.082  -0.630 0.941  -0.623 0.762  -0.560 0.595  -0.517 0.423  -0.517 0.241  -0.506 0.062  -0.425 -0.100  -0.363 -0.271  -0.306 -0.444  -0.198 -0.581  -0.198 -0.763  -0.147 -0.924  -0.092 -1.083  -0.012 -0.927  0.070 -0.764  0.151 -0.602  0.232 -0.439  0.313 -0.276  0.395 -0.114  0.476 0.049  0.557 0.212  0.639 0.374  0.720 0.537  0.759 0.520  0.714 0.357  0.653 0.201  0.501 0.144  0.344 0.083  0.206 -0.023  0.053 -0.091  -0.076 -0.220  -0.251 -0.236  -0.282 -0.342  -0.129 -0.411  0.000 -0.540  0.160 -0.593  0.227 -0.747  0.389 -0.767  0.533 -0.860  0.661 -0.988  0.790 -1.117  0.940 -1.193  1.078 -1.299
3#app#app35#app3537/e  0.210 -0.327  0.076 -0.312  0.076 -0.162  0.107 -0.026  0.213 0.080  0.319 0.186  0.458 0.212  0.594 0.269  0.728 0.336  0.838 0.435  0.883 0.566  0.954 0.686  1.018 0.809  1.018 0.959  0.929 1.019  0.779 1.019  0.630 1.019  0.480 1.019  0.335 1.009  0.229 0.904  0.087 0.885  -0.061 0.882  -0.167 0.777  -0.306 0.750  -0.442 0.693  -0.576 0.626  -0.597 0.490  -0.736 0.477  -0.842 0.371  -0.867 0.232  -0.867 0.082  -0.969 -0.025  -1.001 -0.161  -1.001 -0.311  -1.001 -0.460  -0.896 -0.566  -0.867 -0.704  -0.780 -0.817  -0.674 -0.923  -0.557 -1.000  -0.407 -1.000  -0.257 -1.000  -0.133 -1.061  -0.014 -1.135  0.136 -1.135  0.285 -1.135  0.435 -1.135  0.584 -1.135  0.734 -1.135  0.883 -1.135
