3#app#app35#app3552/I  -0.389 1.548  -0.317 1.548  -0.259 1.533  -0.259 1.460  -0.259 1.387  -0.259 1.315  -0.239 1.247  -0.206 1.181  -0.174 1.116  -0.141 1.051  -0.097 0.994  -0.046 0.943  0.003 0.890  0.003 0.817  0.003 0.744  0.003 0.672  0.003 0.599  0.003 0.526  0.038 0.468  0.089 0.416  0.133 0.362  0.133 0.289  0.133 0.216  0.133 0.143  0.133 0.071  0.133 -0.002  0.133 -0.075  0.133 -0.148  0.133 -0.221  0.133 -0.293  0.133 -0.366  0.133 -0.439  0.133 -0.512  0.133 -0.585  0.133 -0.657  0.133 -0.730  0.133 -0.803  0.101 -0.868  0.069 -0.933  0.036 -0.998  0.003 -1.063  0.003 -1.136  0.003 -1.209  0.003 -1.282  0.003 -1.354  0.003 -1.427  0.003 -1.500  0.003 -1.573  0.003 -1.646  0.003 -1.718
3#app#app35#app3552/'  -1.164 1.236  -1.108 1.180  -1.052 1.124  -0.995 1.067  -0.939 1.011  -0.883 0.955  -0.827 0.899  -0.770 0.842  -0.714 0.786  -0.658 0.730  -0.592 0.698  -0.512 0.698  -0.432 0.698  -0.353 0.698  -0.273 0.698  -0.194 0.698  -0.114 0.698  -0.088 0.645  -0.088 0.565  -0.088 0.486  -0.088 0.406  -0.088 0.327  -0.088 0.247  -0.088 0.168  -0.037 0.109  0.019 0.053  0.075 -0.003  0.132 -0.060  0.188 -0.116  0.244 -0.172  0.300 -0.228  0.357 -0.285  0.413 -0.341  0.450 -0.405  0.450 -0.484  0.450 -0.564  0.450 -0.643  0.450 -0.723  0.450 -0.802  0.450 -0.882  0.482 -0.948  0.538 -1.005  0.595 -1.061  0.651 -1.117  0.707 -1.173  0.763 -1.229  0.820 -1.286  0.876 -1.342  0.932 -1.398  0.988 -1.454
3#app#app35#app3552/v  -1.206 0.874  -1.206 0.762  -1.183 0.659  -1.104 0.580  -1.025 0.501  -1.013 0.394  -1.002 0.286  -0.923 0.207  -0.844 0.128  -0.821 0.025  -0.821 -0.086  -0.742 -0.166  -0.663 -0.245  -0.584 -0.324  -0.505 -0.403  -0.437 -0.487  -0.437 -0.599  -0.403 -0.697  -0.324 -0.776  -0.245 -0.855  -0.166 -0.934  -0.087 -1.014  0.011 -1.048  0.123 -1.048  0.235 -1.048  0.332 -1.032  0.332 -0.920  0.332 -0.808  0.332 -0.696  0.388 -0.607  0.467 -0.528  0.524 -0.440  0.524 -0.328  0.524 -0.216  0.524 -0.104  0.566 -0.002  0.616 0.098  0.666 0.198  0.716 0.298  0.716 0.410  0.716 0.522  0.716 0.634  0.716 0.746  0.716 0.858  0.716 0.970  0.727 1.077  0.806 1.157  0.886 1.236  0.908 1.338  0.908 1.450
3#app#app35#app3552/e  -0.712 -0.163  -0.701 -0.020  -0.597 0.085  -0.457 0.103  -0.349 0.200  -0.245 0.304  -0.124 0.369  0.003 0.419  0.117 0.502  0.219 0.547  0.279 0.635  0.352 0.710  0.352 0.858  0.352 1.005  0.352 1.153  0.218 1.167  0.070 1.167  -0.077 1.167  -0.212 1.135  -0.316 1.030  -0.421 0.926  -0.446 0.789  -0.573 0.768  -0.642 0.641  -0.708 0.509  -0.712 0.362  -0.712 0.214  -0.712 0.067  -0.712 -0.081  -0.712 -0.229  -0.712 -0.377  -0.669 -0.514  -0.603 -0.646  -0.513 -0.761  -0.393 -0.828  -0.265 -0.876  -0.152 -0.961  -0.005 -0.961  0.143 -0.961  0.291 -0.961  0.439 -0.961  0.586 -0.961  0.734 -0.961  0.882 -0.961  1.014 -0.896  1.146 -0.830  1.291 -0.820  1.395 -0.716  1.534 -0.695  1.682 -0.695
3#app#app35#app3552/r  -0.315 1.122  -0.460 1.122  -0.513 1.032  -0.487 0.898  -0.385 0.796  -0.301 0.682  -0.255 0.545  -0.209 0.408  -0.163 0.271  -0.118 0.134  -0.117 -0.011  -0.117 -0.155  -0.117 -0.300  -0.117 -0.444  -0.117 -0.589  -0.117 -0.733  -0.117 -0.878  -0.117 -1.023  -0.117 -1.167  -0.079 -1.296  0.023 -1.398  0.082 -1.519  0.076 -1.650  -0.026 -1.547  -0.117 -1.440  -0.117 -1.296  -0.117 -1.151  -0.117 -1.007  -0.117 -0.862  -0.117 -0.717  -0.117 -0.573  -0.117 -0.428  -0.117 -0.284  -0.117 -0.139  -0.117 0.005  -0.117 0.150  -0.117 0.295  -0.067 0.428  -0.003 0.557  0.062 0.686  0.182 0.726  0.280 0.772  0.280 0.917  0.377 1.021  0.480 1.123  0.582 1.226  0.686 1.325  0.815 1.390  0.945 1.455  1.074 1.519
3#app#app35#app3552/u  -0.906 1.286  -0.906 1.175  -0.906 1.063  -0.906 0.952  -0.906 0.841  -0.906 0.729  -0.906 0.618  -0.906 0.507  -0.906 0.395  -0.906 0.284  -0.831 0.204  -0.752 0.125  -0.738 0.020  -0.738 -0.092  -0.738 -0.203  -0.738 -0.314  -0.705 -0.393  -0.594 -0.393  -0.570 -0.480  -0.548 -0.583  -0.470 -0.661  -0.391 -0.740  -0.312 -0.819  -0.233 -0.897  -0.122 -0.897  -0.010 -0.897  0.101 -0.897  0.180 -0.819  0.259 -0.740  0.365 -0.729  0.438 -0.690  0.438 -0.579  0.531 -0.561  0.632 -0.535  0.710 -0.456  0.789 -0.377  0.868 -0.299  0.941 -0.218  0.941 -0.106  0.941 0.005  0.941 0.116  0.941 0.228  0.941 0.339  0.941 0.450  0.941 0.561  0.941 0.673  0.941 0.784  0.941 0.895  0.941 1.007  0.941 1.118
3#app#app35#app3552/n  -0.862 0.821  -0.862 0.668  -0.862 0.515  -0.862 0.362  -0.862 0.210  -0.862 0.057  -0.823 -0.080  -0.719 -0.189  -0.719 -0.342  -0.719 -0.494  -0.719 -0.647  -0.719 -0.800  -0.719 -0.953  -0.719 -0.985  -0.719 -0.833  -0.719 -0.680  -0.657 -0.553  -0.575 -0.434  -0.575 -0.281  -0.575 -0.129  -0.529 0.005  -0.432 0.117  -0.432 0.270  -0.417 0.419  -0.349 0.556  -0.271 0.677  -0.126 0.696  -0.018 0.804  -0.001 0.950  0.137 0.964  0.290 0.964  0.429 0.951  0.452 0.821  0.573 0.789  0.613 0.677  0.752 0.642  0.860 0.534  0.860 0.381  0.873 0.234  0.981 0.126  1.003 -0.017  1.003 -0.170  1.003 -0.323  1.003 -0.476  1.003 -0.628  1.020 -0.774  1.128 -0.882  1.147 -1.027  1.147 -1.180  1.147 -1.332
3#app#app35#app3552/o  0.267 0.821  0.267 0.959  0.246 1.076  0.109 1.076  -0.029 1.076  -0.166 1.076  -0.286 1.033  -0.384 0.935  -0.481 0.838  -0.498 0.707  -0.553 0.583  -0.615 0.460  -0.706 0.358  -0.785 0.247  -0.846 0.124  -0.880 -0.005  -0.880 -0.143  -0.880 -0.281  -0.880 -0.418  -0.880 -0.556  -0.880 -0.694  -0.880 -0.831  -0.786 -0.930  -0.689 -1.027  -0.578 -1.091  -0.440 -1.091  -0.302 -1.091  -0.165 -1.091  -0.053 -1.028  0.058 -0.963  0.179 -0.924  0.280 -0.836  0.415 -0.825  0.538 -0.764  0.659 -0.699  0.756 -0.601  0.854 -0.504  0.904 -0.387  0.904 -0.250  0.904 -0.112  0.904 0.026  0.904 0.163  0.904 0.301  0.814 0.401  0.777 0.523  0.734 0.651  0.673 0.774  0.589 0.881  0.492 0.978  0.394 1.076
3#app#app35#app3552/u  -0.577 1.207  -0.684 1.207  -0.727 1.142  -0.749 1.057  -0.856 1.057  -0.876 0.970  -0.876 0.863  -0.876 0.756  -0.876 0.649  -0.876 0.541  -0.876 0.434  -0.876 0.327  -0.876 0.220  -0.844 0.126  -0.768 0.050  -0.727 -0.040  -0.727 -0.147  -0.727 -0.255  -0.677 -0.341  -0.601 -0.417  -0.577 -0.514  -0.546 -0.591  -0.439 -0.591  -0.360 -0.658  -0.284 -0.734  -0.179 -0.741  -0.072 -0.741  0.035 -0.741  0.142 -0.741  0.250 -0.741  0.357 -0.741  0.464 -0.741  0.542 -0.671  0.618 -0.595  0.724 -0.591  0.772 -0.532  0.788 -0.441  0.896 -0.441  0.922 -0.360  0.949 -0.264  1.025 -0.188  1.072 -0.101  1.072 0.007  1.072 0.114  1.072 0.221  1.072 0.328  1.072 0.436  1.072 0.543  1.072 0.650  1.072 0.757
3#app#app35#app3552/t  -0.222 2.080  -0.222 1.926  -0.222 1.772  -0.222 1.618  -0.120 1.506  -0.065 1.375  -0.065 1.221  -0.065 1.067  -0.065 0.913  -0.065 0.759  -0.065 0.605  -0.065 0.451  -0.065 0.297  -0.065 0.143  -0.065 -0.011  -0.034 -0.152  0.075 -0.261  0.092 -0.408  0.092 -0.562  0.092 -0.716  0.092 -0.870  0.092 -1.024  0.092 -1.178  0.092 -1.332  0.092 -1.486  0.031 -1.451  -0.058 -1.325  -0.148 -1.200  -0.237 -1.075  -0.327 -0.949  -0.416 -0.824  -0.506 -0.699  -0.595 -0.574  -0.685 -0.448  -0.694 -0.297  -0.694 -0.143  -0.562 -0.121  -0.408 -0.121  -0.291 -0.032  -0.165 0.036  -0.011 0.036  0.140 0.052  0.287 0.101  0.433 0.150  0.580 0.193  0.734 0.193  0.888 0.193  1.042 0.193  1.196 0.193  1.350 0.193
3#app#app35#app3552/o  -0.225 0.223  -0.126 0.323  -0.098 0.453  -0.098 0.594  -0.103 0.730  -0.244 0.730  -0.385 0.730  -0.526 0.730  -0.606 0.668  -0.659 0.549  -0.759 0.449  -0.859 0.350  -0.959 0.250  -1.058 0.150  -1.113 0.032  -1.113 -0.109  -1.113 -0.251  -1.113 -0.392  -1.113 -0.533  -1.103 -0.664  -0.969 -0.681  -0.869 -0.781  -0.732 -0.791  -0.591 -0.791  -0.450 -0.791  -0.309 -0.791  -0.168 -0.791  -0.027 -0.791  0.114 -0.791  0.250 -0.760  0.384 -0.715  0.517 -0.670  0.645 -0.610  0.771 -0.547  0.910 -0.538  1.011 -0.442  1.111 -0.342  1.169 -0.225  1.169 -0.084  1.169 0.057  1.169 0.198  1.087 0.305  1.018 0.424  0.973 0.557  0.928 0.691  0.845 0.801  0.727 0.857  0.608 0.911  0.508 1.010  0.409 1.110
