3#app#app36#app3693/a  0.550 0.984  0.550 0.765  0.405 0.696  0.352 0.892  0.261 1.073  0.104 1.141  -0.051 1.251  -0.218 1.128  -0.424 1.075  -0.616 0.975  -0.752 0.813  -0.823 0.624  -0.977 0.469  -1.041 0.278  -1.041 0.060  -1.041 -0.158  -1.041 -0.376  -1.041 -0.594  -0.897 -0.753  -0.845 -0.949  -0.691 -1.103  -0.507 -1.187  -0.289 -1.187  -0.071 -1.187  0.096 -1.063  0.261 -0.998  0.261 -0.780  0.261 -0.561  0.261 -0.343  0.261 -0.125  0.347 0.057  0.405 0.251  0.405 0.469  0.405 0.687  0.358 0.886  0.261 1.064  0.261 0.975  0.261 0.757  0.261 0.539  0.261 0.320  0.261 0.102  0.261 -0.116  0.374 -0.287  0.426 -0.484  0.550 -0.650  0.550 -0.868  0.684 -1.031  0.736 -1.228  0.840 -1.260  0.840 -1.042
3#app#app36#app3693/q  -0.001 1.368  -0.226 1.480  -0.434 1.489  -0.608 1.355  -0.755 1.155  -0.867 0.930  -0.925 0.693  -0.925 0.441  -0.925 0.190  -0.830 -0.022  -0.625 -0.134  -0.403 -0.203  -0.254 -0.086  -0.186 0.137  -0.094 0.350  -0.001 0.579  -0.001 0.831  -0.094 1.043  -0.186 1.163  -0.186 0.912  -0.186 0.661  -0.186 0.409  -0.186 0.158  -0.186 -0.093  -0.186 -0.344  -0.176 -0.593  -0.094 -0.825  -0.075 -1.072  -0.001 -1.305  0.091 -1.518  0.183 -1.731  0.368 -1.750  0.524 -1.618  0.702 -1.440  0.830 -1.242  0.830 -0.991  0.817 -0.745  0.705 -0.540  0.571 -0.331  0.446 -0.150  0.225 -0.060  -0.008 -0.018  -0.020 -0.111  0.091 -0.156  0.264 -0.030  0.418 0.074  0.553 0.190  0.645 0.403  0.738 0.562  0.830 0.536
3#app#app36#app3693/u  -0.781 1.150  -0.781 1.335  -0.781 1.520  -0.781 1.430  -0.781 1.245  -0.781 1.061  -0.781 0.876  -0.781 0.691  -0.781 0.506  -0.781 0.322  -0.781 0.137  -0.781 -0.048  -0.781 -0.232  -0.781 -0.417  -0.721 -0.577  -0.642 -0.729  -0.642 -0.913  -0.526 -1.050  -0.489 -1.212  -0.305 -1.212  -0.151 -1.137  -0.020 -1.007  0.089 -0.861  0.172 -0.695  0.192 -0.515  0.225 -0.345  0.330 -0.204  0.330 -0.019  0.330 0.166  0.354 0.341  0.469 0.478  0.517 0.642  0.608 0.789  0.608 0.974  0.469 1.003  0.469 0.818  0.469 0.634  0.469 0.449  0.469 0.264  0.469 0.080  0.469 -0.105  0.469 -0.290  0.469 -0.474  0.473 -0.656  0.608 -0.705  0.703 -0.795  0.888 -0.795  1.025 -0.747  1.118 -0.656  1.164 -0.517
3#app#app36#app3693/i  -0.091 0.603  -0.091 0.468  -0.091 0.333  -0.091 0.198  -0.091 0.063  -0.091 -0.072  -0.091 -0.207  -0.089 -0.341  -0.028 -0.462  0.032 -0.583  0.043 -0.716  0.043 -0.851  0.043 -0.986  0.043 -1.121  0.124 -1.222  0.177 -1.335  0.177 -1.470  0.177 -1.605  0.177 -1.617  0.177 -1.482  0.177 -1.347  0.177 -1.212  0.177 -1.077  0.177 -0.942  0.167 -0.807  0.146 -0.674  0.125 -0.541  0.104 -0.407  0.083 -0.274  0.062 -0.140  0.041 -0.007  0.019 0.126  -0.002 0.260  -0.023 0.393  -0.044 0.527  -0.065 0.660  -0.086 0.793  -0.107 0.927  -0.128 1.060  -0.149 1.194  -0.170 1.327  -0.191 1.460  -0.212 1.594  -0.225 1.627  -0.189 1.507  -0.093 1.411  -0.091 1.277  0.041 1.275  -0.090 1.275  -0.091 1.140
3#app#app36#app3693/c  0.318 0.736  0.376 0.621  0.434 0.505  0.440 0.378  0.440 0.493  0.440 0.622  0.440 0.751  0.425 0.874  0.333 0.965  0.318 1.088  0.203 1.102  0.110 1.189  -0.005 1.224  -0.134 1.224  -0.169 1.130  -0.241 1.030  -0.349 0.980  -0.442 0.922  -0.500 0.806  -0.558 0.691  -0.615 0.575  -0.657 0.456  -0.657 0.327  -0.693 0.212  -0.779 0.119  -0.779 -0.010  -0.779 -0.140  -0.779 -0.269  -0.779 -0.398  -0.747 -0.514  -0.656 -0.605  -0.565 -0.697  -0.473 -0.788  -0.382 -0.879  -0.291 -0.971  -0.199 -1.062  -0.083 -1.092  0.019 -1.159  0.125 -1.214  0.237 -1.173  0.333 -1.092  0.462 -1.092  0.583 -1.072  0.674 -0.980  0.765 -0.889  0.857 -0.798  0.928 -0.698  0.953 -0.579  1.045 -0.488  1.050 -0.361
3#app#app36#app3693/k  -0.540 1.986  -0.638 1.790  -0.657 1.576  -0.657 1.358  -0.657 1.139  -0.657 0.920  -0.605 0.714  -0.540 0.510  -0.540 0.291  -0.540 0.073  -0.520 -0.138  -0.423 -0.316  -0.423 -0.535  -0.423 -0.754  -0.423 -0.973  -0.423 -0.915  -0.420 -0.697  -0.308 -0.509  -0.195 -0.322  -0.083 -0.134  0.030 0.053  0.143 0.241  0.255 0.428  0.368 0.616  0.480 0.804  0.593 0.991  0.539 0.932  0.408 0.757  0.278 0.581  0.205 0.393  0.016 0.321  -0.073 0.139  -0.211 -0.023  -0.390 -0.118  -0.609 -0.118  -0.604 -0.235  -0.502 -0.352  -0.283 -0.352  -0.181 -0.469  0.005 -0.547  0.194 -0.619  0.378 -0.702  0.549 -0.819  0.650 -0.936  0.869 -0.936  1.056 -1.013  1.258 -1.053  1.477 -1.053  1.447 -1.038  1.330 -0.936
3#app#app36#app3693/b  -0.591 1.724  -0.591 1.514  -0.591 1.304  -0.591 1.094  -0.591 0.885  -0.591 0.675  -0.571 0.470  -0.477 0.283  -0.470 0.075  -0.470 -0.135  -0.470 -0.345  -0.470 -0.554  -0.470 -0.764  -0.470 -0.974  -0.470 -1.184  -0.349 -1.102  -0.349 -0.892  -0.349 -0.683  -0.349 -0.473  -0.349 -0.263  -0.349 -0.053  -0.342 0.154  -0.180 0.268  -0.010 0.364  0.189 0.390  0.275 0.530  0.301 0.738  0.327 0.946  0.353 1.154  0.381 1.358  0.518 1.202  0.612 1.015  0.622 0.807  0.622 0.598  0.677 0.401  0.786 0.225  0.909 0.058  0.985 -0.134  0.985 -0.343  0.985 -0.553  0.925 -0.702  0.759 -0.807  0.607 -0.952  0.420 -1.045  0.215 -1.066  0.005 -1.066  -0.205 -1.066  -0.414 -1.066  -0.624 -1.066  -0.712 -0.944
3#app#app36#app3693/r  -0.669 0.354  -0.669 0.238  -0.669 0.122  -0.642 0.018  -0.560 -0.064  -0.515 -0.161  -0.515 -0.277  -0.515 -0.393  -0.515 -0.509  -0.515 -0.625  -0.515 -0.741  -0.515 -0.857  -0.515 -0.973  -0.515 -1.089  -0.515 -1.205  -0.515 -1.320  -0.515 -1.253  -0.515 -1.137  -0.515 -1.021  -0.515 -0.905  -0.515 -0.789  -0.515 -0.673  -0.515 -0.557  -0.515 -0.441  -0.449 -0.352  -0.367 -0.270  -0.285 -0.189  -0.204 -0.106  -0.153 -0.002  -0.101 0.101  -0.049 0.205  0.003 0.309  0.055 0.412  0.111 0.509  0.227 0.509  0.318 0.569  0.400 0.651  0.500 0.707  0.604 0.759  0.708 0.811  0.792 0.889  0.874 0.971  0.990 0.972  1.106 0.972  1.222 0.972  1.338 0.972  1.338 1.087  1.338 1.049  1.338 0.933  1.338 0.817
3#app#app36#app3693/o  -0.655 0.244  -0.738 0.161  -0.816 0.076  -0.816 -0.042  -0.816 -0.159  -0.816 -0.277  -0.816 -0.394  -0.816 -0.512  -0.816 -0.629  -0.816 -0.746  -0.816 -0.864  -0.746 -0.952  -0.663 -1.035  -0.548 -1.043  -0.431 -1.043  -0.313 -1.043  -0.196 -1.043  -0.078 -1.043  0.034 -1.020  0.139 -0.967  0.244 -0.915  0.341 -0.851  0.424 -0.768  0.471 -0.670  0.474 -0.553  0.527 -0.448  0.579 -0.343  0.632 -0.238  0.715 -0.155  0.792 -0.070  0.792 0.048  0.792 0.165  0.792 0.283  0.792 0.400  0.712 0.485  0.631 0.569  0.631 0.686  0.577 0.781  0.494 0.864  0.411 0.947  0.328 1.030  0.218 1.048  0.149 1.097  0.144 1.209  0.026 1.209  -0.068 1.265  -0.151 1.348  -0.260 1.370  -0.334 1.326  -0.334 1.209
3#app#app36#app3693/w  -1.370 0.995  -1.370 0.785  -1.370 0.575  -1.370 0.365  -1.294 0.173  -1.236 -0.024  -1.125 -0.188  -1.102 -0.388  -1.018 -0.564  -0.869 -0.712  -0.808 -0.882  -0.628 -0.811  -0.565 -0.626  -0.431 -0.472  -0.431 -0.262  -0.431 -0.052  -0.359 0.129  -0.297 0.313  -0.297 0.523  -0.293 0.731  -0.163 0.888  -0.163 0.893  -0.083 0.701  -0.029 0.504  -0.029 0.294  0.047 0.115  0.105 -0.071  0.105 -0.281  0.248 -0.370  0.456 -0.404  0.663 -0.439  0.870 -0.473  0.874 -0.614  0.697 -0.693  0.548 -0.841  0.400 -0.990  0.508 -0.977  0.589 -0.801  0.643 -0.613  0.776 -0.458  0.776 -0.248  0.899 -0.089  0.910 0.116  0.910 0.327  0.910 0.537  1.019 0.702  1.044 0.901  1.044 1.111  1.044 0.937  1.044 0.727
3#app#app36#app3693/n  -0.649 1.223  -0.665 1.065  -0.781 0.949  -0.792 0.789  -0.792 0.625  -0.792 0.461  -0.792 0.296  -0.792 0.132  -0.792 -0.032  -0.792 -0.196  -0.792 -0.360  -0.792 -0.524  -0.792 -0.689  -0.792 -0.853  -0.686 -0.911  -0.649 -0.784  -0.646 -0.620  -0.573 -0.473  -0.507 -0.325  -0.507 -0.161  -0.464 -0.014  -0.348 0.102  -0.232 0.218  -0.223 0.378  -0.201 0.533  -0.084 0.649  0.032 0.766  0.062 0.917  0.205 0.939  0.321 1.055  0.475 1.080  0.595 0.974  0.631 0.825  0.726 0.700  0.773 0.556  0.773 0.391  0.773 0.227  0.773 0.063  0.773 -0.101  0.773 -0.265  0.773 -0.430  0.773 -0.594  0.773 -0.758  0.773 -0.922  0.773 -1.086  0.773 -1.250  0.850 -1.338  0.916 -1.240  0.916 -1.076  0.916 -0.911
