3#app#app37#app3701/v  -0.893 1.358  -0.893 1.232  -0.893 1.105  -0.852 0.989  -0.796 0.876  -0.751 0.761  -0.747 0.636  -0.690 0.523  -0.634 0.410  -0.578 0.297  -0.521 0.185  -0.465 0.072  -0.465 -0.054  -0.465 -0.180  -0.465 -0.306  -0.411 -0.410  -0.322 -0.499  -0.322 -0.625  -0.322 -0.752  -0.281 -0.868  -0.224 -0.981  -0.179 -1.096  -0.173 -1.220  -0.084 -1.309  0.022 -1.356  0.106 -1.314  0.124 -1.196  0.213 -1.106  0.303 -1.017  0.392 -0.928  0.392 -0.802  0.392 -0.676  0.392 -0.550  0.392 -0.424  0.418 -0.304  0.475 -0.191  0.531 -0.079  0.535 0.047  0.535 0.173  0.535 0.299  0.535 0.425  0.571 0.536  0.660 0.625  0.678 0.744  0.678 0.870  0.678 0.996  0.678 1.122  0.678 1.248  0.695 1.358  0.821 1.358
3#app#app37#app3701/e  -0.730 -0.556  -0.640 -0.420  -0.549 -0.284  -0.456 -0.152  -0.303 -0.128  -0.187 -0.013  -0.072 0.103  0.007 0.245  0.081 0.390  0.197 0.506  0.347 0.528  0.347 0.692  0.347 0.855  0.440 0.925  0.481 1.047  0.470 1.206  0.355 1.321  0.194 1.329  0.078 1.283  0.002 1.195  -0.161 1.195  -0.286 1.101  -0.401 0.985  -0.496 0.855  -0.569 0.709  -0.596 0.552  -0.596 0.388  -0.615 0.233  -0.730 0.117  -0.730 -0.046  -0.730 -0.210  -0.730 -0.373  -0.730 -0.536  -0.629 -0.658  -0.513 -0.773  -0.461 -0.915  -0.342 -0.960  -0.179 -0.960  -0.016 -0.960  0.148 -0.960  0.282 -1.030  0.419 -1.094  0.582 -1.094  0.746 -1.094  0.863 -0.983  0.978 -0.867  1.124 -0.825  1.249 -0.731  1.289 -0.585  1.424 -0.556
3#app#app37#app3701/x  -1.361 1.357  -1.255 1.198  -1.150 1.040  -1.036 0.889  -0.913 0.746  -0.828 0.576  -0.715 0.426  -0.605 0.274  -0.520 0.104  -0.395 -0.037  -0.261 -0.171  -0.126 -0.306  0.044 -0.355  0.216 -0.430  0.379 -0.525  0.513 -0.660  0.648 -0.794  0.779 -0.930  0.779 -1.120  0.768 -1.113  0.747 -0.924  0.726 -0.735  0.705 -0.546  0.684 -0.357  0.663 -0.168  0.642 0.021  0.621 0.210  0.600 0.399  0.579 0.588  0.558 0.777  0.537 0.966  0.516 1.155  0.495 1.344  0.424 1.194  0.349 1.019  0.274 0.844  0.199 0.669  0.124 0.495  0.066 0.317  0.003 0.153  -0.111 0.004  -0.196 -0.166  -0.220 -0.351  -0.303 -0.522  -0.388 -0.692  -0.473 -0.862  -0.589 -1.010  -0.647 -1.175  -0.757 -1.320  -0.790 -1.496
3#app#app37#app3701/i  -0.013 0.174  -0.013 0.067  -0.013 -0.040  -0.013 -0.147  -0.013 -0.255  -0.013 -0.362  -0.013 -0.469  -0.013 -0.576  -0.013 -0.684  -0.013 -0.791  -0.013 -0.898  0.012 -0.995  0.088 -1.071  0.130 -1.161  0.130 -1.268  0.130 -1.375  0.214 -1.399  0.265 -1.352  0.247 -1.246  0.230 -1.140  0.212 -1.034  0.195 -0.928  0.177 -0.823  0.159 -0.717  0.142 -0.611  0.124 -0.505  0.106 -0.400  0.089 -0.294  0.071 -0.188  0.054 -0.082  0.036 0.024  0.018 0.129  0.001 0.235  -0.017 0.341  -0.035 0.447  -0.052 0.552  -0.070 0.658  -0.087 0.764  -0.105 0.870  -0.123 0.976  -0.140 1.081  -0.158 1.187  -0.176 1.293  -0.193 1.399  -0.211 1.504  -0.229 1.610  -0.246 1.716  -0.264 1.822  -0.281 1.928  -0.299 2.033
3#app#app37#app3701/n  -0.902 0.989  -0.902 0.824  -0.902 0.660  -0.902 0.496  -0.902 0.331  -0.864 0.176  -0.791 0.029  -0.718 -0.118  -0.718 -0.283  -0.718 -0.447  -0.718 -0.612  -0.718 -0.776  -0.718 -0.940  -0.651 -1.038  -0.534 -0.991  -0.515 -0.835  -0.398 -0.719  -0.349 -0.574  -0.349 -0.410  -0.349 -0.246  -0.349 -0.081  -0.349 0.083  -0.349 0.247  -0.236 0.365  -0.137 0.493  -0.063 0.640  0.010 0.787  0.122 0.907  0.203 1.038  0.232 1.173  0.397 1.173  0.561 1.173  0.572 1.019  0.706 0.989  0.756 0.875  0.756 0.711  0.756 0.546  0.756 0.382  0.756 0.217  0.756 0.053  0.756 -0.111  0.756 -0.276  0.756 -0.440  0.756 -0.605  0.756 -0.769  0.756 -0.933  0.756 -1.098  0.756 -1.262  0.776 -1.407  0.940 -1.407
3#app#app37#app3701/g  0.330 1.092  0.330 1.264  0.239 1.345  0.148 1.303  0.005 1.274  -0.128 1.180  -0.250 1.058  -0.307 0.909  -0.344 0.746  -0.421 0.592  -0.489 0.435  -0.496 0.266  -0.580 0.129  -0.550 -0.031  -0.489 -0.178  -0.412 -0.274  -0.278 -0.365  -0.125 -0.345  -0.054 -0.203  -0.010 -0.044  0.057 0.112  0.103 0.274  0.148 0.435  0.239 0.570  0.239 0.742  0.239 0.914  0.239 1.087  0.239 1.107  0.239 0.934  0.239 0.762  0.239 0.590  0.239 0.417  0.239 0.245  0.239 0.073  0.239 -0.099  0.239 -0.272  0.239 -0.444  0.290 -0.608  0.330 -0.774  0.330 -0.946  0.330 -1.118  0.330 -1.291  0.326 -1.461  0.205 -1.583  0.065 -1.681  -0.095 -1.731  -0.267 -1.731  -0.402 -1.639  -0.549 -1.579  -0.671 -1.457
3#app#app37#app3701/d  0.108 0.399  -0.060 0.468  -0.189 0.441  -0.343 0.399  -0.496 0.290  -0.635 0.150  -0.774 0.011  -0.821 -0.174  -0.910 -0.351  -0.980 -0.531  -0.980 -0.729  -0.980 -0.926  -0.884 -1.083  -0.744 -1.223  -0.605 -1.362  -0.416 -1.383  -0.219 -1.383  -0.071 -1.265  0.069 -1.125  0.108 -0.944  0.171 -0.762  0.260 -0.585  0.348 -0.409  0.405 -0.225  0.405 -0.028  0.427 0.166  0.489 0.353  0.504 0.548  0.504 0.745  0.438 0.927  0.461 1.103  0.460 1.279  0.405 1.464  0.405 1.661  0.232 1.685  0.207 1.512  0.207 1.315  0.207 1.118  0.207 0.921  0.207 0.723  0.207 0.526  0.207 0.329  0.207 0.132  0.207 -0.066  0.282 -0.245  0.306 -0.437  0.306 -0.634  0.336 -0.819  0.405 -0.988  0.405 -0.987
3#app#app37#app3701/a  -0.025 1.484  -0.199 1.477  -0.356 1.398  -0.511 1.316  -0.635 1.192  -0.659 1.026  -0.709 0.858  -0.765 0.692  -0.824 0.527  -0.948 0.403  -0.975 0.239  -0.975 0.063  -0.975 -0.112  -0.975 -0.288  -0.941 -0.450  -0.817 -0.574  -0.738 -0.731  -0.660 -0.888  -0.536 -1.013  -0.375 -1.049  -0.200 -1.049  -0.183 -0.890  -0.059 -0.765  -0.025 -0.604  0.121 -0.574  0.133 -0.411  0.149 -0.241  0.273 -0.117  0.291 0.051  0.409 0.178  0.450 0.336  0.450 0.512  0.450 0.688  0.570 0.813  0.608 0.974  0.608 0.870  0.608 0.694  0.608 0.519  0.608 0.343  0.608 0.167  0.608 -0.008  0.608 -0.184  0.608 -0.360  0.608 -0.535  0.608 -0.711  0.717 -0.841  0.766 -0.997  0.766 -1.172  0.907 -1.207  0.925 -1.049
3#app#app37#app3701/f  0.741 0.802  0.741 0.949  0.650 1.006  0.615 1.132  0.500 1.210  0.377 1.268  0.333 1.398  0.210 1.435  0.097 1.515  -0.051 1.515  -0.162 1.428  -0.266 1.324  -0.278 1.182  -0.278 1.034  -0.278 0.887  -0.278 0.740  -0.278 0.592  -0.278 0.445  -0.278 0.298  -0.278 0.150  -0.278 0.003  -0.278 -0.144  -0.278 -0.292  -0.224 -0.426  -0.176 -0.562  -0.176 -0.709  -0.268 -0.819  -0.218 -0.948  -0.176 -1.085  -0.176 -1.232  -0.134 -1.338  -0.074 -1.425  -0.096 -1.520  -0.176 -1.406  -0.256 -1.338  -0.266 -1.214  -0.251 -1.067  -0.236 -0.920  -0.222 -0.774  -0.207 -0.627  -0.192 -0.481  -0.178 -0.334  -0.044 -0.319  0.103 -0.319  0.245 -0.305  0.356 -0.217  0.503 -0.217  0.639 -0.206  0.639 -0.058  0.537 -0.013
3#app#app37#app3701/t  -0.035 1.946  -0.035 1.789  -0.035 1.633  -0.035 1.476  -0.096 1.333  -0.166 1.193  -0.199 1.044  -0.199 0.888  -0.199 0.731  -0.199 0.574  -0.199 0.417  -0.199 0.261  -0.199 0.104  -0.199 -0.053  -0.199 -0.210  -0.199 -0.366  -0.199 -0.523  -0.199 -0.680  -0.199 -0.836  -0.199 -0.993  -0.199 -1.150  -0.199 -1.307  -0.199 -1.463  -0.199 -1.620  -0.199 -1.537  -0.199 -1.380  -0.199 -1.223  -0.223 -1.069  -0.261 -0.917  -0.299 -0.765  -0.337 -0.613  -0.375 -0.461  -0.413 -0.309  -0.451 -0.157  -0.489 -0.005  -0.524 0.145  -0.367 0.145  -0.211 0.145  -0.054 0.145  0.103 0.145  0.221 0.237  0.348 0.308  0.505 0.308  0.662 0.308  0.819 0.308  0.975 0.308  1.111 0.330  1.125 0.472  1.282 0.472  1.439 0.472
3#app#app37#app3701/j  0.173 0.316  0.173 0.187  0.173 0.057  0.176 -0.072  0.234 -0.188  0.236 -0.317  0.236 -0.447  0.266 -0.569  0.300 -0.691  0.363 -0.794  0.363 -0.924  0.300 -1.027  0.247 -1.135  0.162 -1.231  0.101 -1.345  -0.006 -1.400  -0.136 -1.400  -0.266 -1.400  -0.369 -1.336  -0.399 -1.237  -0.445 -1.118  -0.463 -0.993  -0.463 -0.863  -0.437 -0.737  -0.401 -0.612  -0.366 -0.488  -0.330 -0.363  -0.294 -0.238  -0.259 -0.114  -0.223 0.011  -0.188 0.136  -0.152 0.260  -0.116 0.385  -0.081 0.510  -0.045 0.634  -0.009 0.759  0.026 0.884  0.104 0.952  0.120 1.076  0.130 1.205  0.141 1.335  0.152 1.464  0.163 1.593  0.173 1.707  0.173 1.577  0.173 1.448  0.154 1.320  0.122 1.195  0.143 1.075  0.173 0.952
