3#app#app37#app3732/O  -0.132 1.135  -0.259 1.199  -0.376 1.197  -0.476 1.096  -0.539 0.980  -0.581 0.848  -0.641 0.720  -0.641 0.578  -0.641 0.435  -0.641 0.293  -0.641 0.151  -0.641 0.009  -0.641 -0.133  -0.641 -0.276  -0.641 -0.418  -0.641 -0.560  -0.641 -0.702  -0.621 -0.840  -0.557 -0.967  -0.467 -1.075  -0.366 -1.175  -0.237 -1.206  -0.095 -1.206  0.047 -1.206  0.190 -1.206  0.332 -1.206  0.474 -1.206  0.576 -1.109  0.641 -0.983  0.682 -0.851  0.682 -0.708  0.695 -0.569  0.759 -0.442  0.822 -0.315  0.886 -0.188  0.822 -0.061  0.784 0.073  0.784 0.215  0.758 0.346  0.658 0.447  0.557 0.547  0.457 0.648  0.364 0.754  0.300 0.881  0.214 0.992  0.089 1.033  -0.053 1.033  -0.195 1.033  -0.334 1.032  -0.234 0.932
3#app#app37#app3732/v  -1.048 0.862  -0.914 0.862  -0.780 0.862  -0.727 0.781  -0.727 0.647  -0.727 0.513  -0.727 0.379  -0.727 0.245  -0.727 0.111  -0.727 -0.023  -0.688 -0.141  -0.593 -0.235  -0.523 -0.348  -0.464 -0.468  -0.402 -0.587  -0.307 -0.682  -0.245 -0.790  -0.226 -0.904  -0.092 -0.904  -0.085 -1.031  -0.085 -1.165  -0.032 -1.278  0.062 -1.373  0.191 -1.386  0.236 -1.298  0.236 -1.164  0.261 -1.040  0.356 -0.945  0.397 -0.828  0.397 -0.694  0.397 -0.560  0.397 -0.426  0.397 -0.292  0.397 -0.158  0.397 -0.024  0.397 0.110  0.397 0.244  0.397 0.378  0.397 0.512  0.397 0.646  0.397 0.780  0.397 0.914  0.397 1.048  0.397 1.182  0.397 1.316  0.503 1.344  0.637 1.344  0.718 1.291  0.745 1.183  0.879 1.183
3#app#app37#app3732/e  -0.582 -0.326  -0.456 -0.201  -0.331 -0.075  -0.178 -0.016  -0.117 0.101  -0.018 0.237  0.136 0.294  0.193 0.414  0.336 0.448  0.465 0.566  0.590 0.691  0.740 0.758  0.813 0.863  0.813 1.041  0.813 1.218  0.640 1.223  0.462 1.223  0.303 1.179  0.171 1.068  -0.006 1.068  -0.117 1.002  -0.206 0.913  -0.384 0.913  -0.427 0.779  -0.582 0.756  -0.599 0.586  -0.725 0.460  -0.737 0.288  -0.737 0.110  -0.737 -0.067  -0.737 -0.245  -0.737 -0.422  -0.737 -0.600  -0.737 -0.777  -0.737 -0.955  -0.705 -1.101  -0.528 -1.101  -0.350 -1.101  -0.173 -1.101  -0.117 -1.222  0.027 -1.256  0.201 -1.247  0.327 -1.122  0.496 -1.101  0.623 -0.980  0.786 -0.946  0.813 -0.795  0.826 -0.623  0.952 -0.497  0.968 -0.326
3#app#app37#app3732/r  -0.591 0.402  -0.591 0.283  -0.591 0.164  -0.591 0.045  -0.591 -0.074  -0.591 -0.193  -0.571 -0.303  -0.487 -0.387  -0.454 -0.493  -0.454 -0.612  -0.454 -0.731  -0.454 -0.850  -0.454 -0.969  -0.454 -1.088  -0.454 -1.207  -0.454 -1.326  -0.454 -1.314  -0.454 -1.195  -0.454 -1.076  -0.454 -0.957  -0.454 -0.838  -0.454 -0.718  -0.454 -0.599  -0.454 -0.480  -0.454 -0.361  -0.454 -0.242  -0.438 -0.130  -0.354 -0.046  -0.270 0.038  -0.186 0.122  -0.180 0.239  -0.097 0.307  0.009 0.360  0.111 0.420  0.195 0.504  0.279 0.588  0.364 0.672  0.481 0.676  0.572 0.743  0.662 0.814  0.781 0.815  0.865 0.899  0.962 0.951  1.081 0.951  1.197 0.958  1.282 1.042  1.382 1.088  1.428 1.088  1.327 1.070  1.327 0.951
3#app#app37#app3732/T  0.163 0.776  0.163 0.607  0.163 0.439  0.163 0.270  0.163 0.102  0.163 -0.067  0.177 -0.232  0.252 -0.383  0.303 -0.540  0.303 -0.708  0.303 -0.877  0.303 -1.045  0.303 -1.214  0.303 -1.382  0.303 -1.551  0.303 -1.493  0.203 -1.366  0.163 -1.214  0.163 -1.045  0.150 -0.880  0.075 -0.729  -0.021 -0.596  -0.161 -0.503  -0.301 -0.409  -0.442 -0.316  -0.582 -0.222  -0.722 -0.129  -0.862 -0.035  -1.003 0.058  -1.143 0.152  -1.238 0.269  -1.238 0.438  -1.127 0.496  -0.959 0.496  -0.790 0.496  -0.638 0.535  -0.511 0.636  -0.342 0.636  -0.174 0.636  -0.005 0.636  0.122 0.735  0.274 0.776  0.442 0.776  0.562 0.894  0.722 0.916  0.864 0.942  0.919 1.056  1.087 1.056  1.256 1.056  1.424 1.056
3#app#app37#app3732/h  -0.653 1.340  -0.653 1.172  -0.653 1.003  -0.653 0.835  -0.653 0.667  -0.653 0.498  -0.653 0.330  -0.653 0.161  -0.653 -0.007  -0.653 -0.176  -0.653 -0.344  -0.653 -0.513  -0.653 -0.681  -0.653 -0.849  -0.653 -1.018  -0.653 -1.096  -0.653 -0.927  -0.653 -0.759  -0.615 -0.606  -0.496 -0.487  -0.488 -0.322  -0.488 -0.154  -0.415 -0.003  -0.339 0.148  -0.230 0.274  -0.157 0.412  -0.157 0.581  -0.086 0.679  0.009 0.752  0.085 0.844  0.230 0.900  0.354 1.009  0.522 1.009  0.685 0.995  0.804 0.876  0.836 0.721  0.836 0.552  0.836 0.384  0.836 0.215  0.836 0.047  0.836 -0.121  0.836 -0.290  0.836 -0.458  0.836 -0.627  0.836 -0.795  0.836 -0.964  0.836 -1.132  0.836 -1.301  0.836 -1.469  0.836 -1.307
3#app#app37#app3732/e  -0.999 -0.298  -0.813 -0.298  -0.666 -0.259  -0.607 -0.132  -0.500 -0.053  -0.430 0.104  -0.284 0.201  -0.118 0.250  -0.001 0.387  0.039 0.534  0.166 0.593  0.244 0.700  0.402 0.770  0.499 0.915  0.567 1.033  0.665 1.121  0.557 1.199  0.371 1.199  0.185 1.199  -0.001 1.199  -0.133 1.067  -0.167 0.896  -0.324 0.867  -0.412 0.709  -0.496 0.542  -0.625 0.409  -0.666 0.240  -0.770 0.097  -0.832 -0.063  -0.832 -0.249  -0.832 -0.435  -0.832 -0.621  -0.822 -0.797  -0.645 -0.818  -0.513 -0.950  -0.382 -1.081  -0.216 -1.130  -0.030 -1.130  0.156 -1.130  0.342 -1.130  0.520 -1.109  0.651 -0.977  0.831 -0.963  0.831 -0.777  0.859 -0.603  0.991 -0.471  1.122 -0.340  1.291 -0.298  1.330 -0.151  1.330 0.035
3#app#app37#app3732/L  -0.453 1.779  -0.453 1.688  -0.453 1.596  -0.453 1.504  -0.453 1.413  -0.453 1.321  -0.453 1.230  -0.453 1.138  -0.453 1.047  -0.453 0.955  -0.453 0.863  -0.453 0.772  -0.453 0.680  -0.453 0.589  -0.435 0.501  -0.394 0.419  -0.353 0.337  -0.340 0.249  -0.340 0.157  -0.340 0.066  -0.340 -0.026  -0.340 -0.117  -0.340 -0.209  -0.340 -0.300  -0.340 -0.392  -0.337 -0.483  -0.273 -0.547  -0.227 -0.620  -0.223 -0.710  -0.158 -0.775  -0.114 -0.848  -0.106 -0.932  -0.015 -0.932  0.077 -0.932  0.152 -0.892  0.217 -0.828  0.305 -0.819  0.396 -0.819  0.488 -0.819  0.575 -0.808  0.640 -0.743  0.716 -0.706  0.802 -0.694  0.867 -0.629  0.944 -0.593  1.030 -0.579  1.094 -0.515  1.129 -0.437  1.129 -0.346  1.129 -0.254
3#app#app37#app3732/a  -0.107 1.393  -0.249 1.250  -0.277 1.064  -0.436 1.021  -0.436 0.820  -0.518 0.652  -0.601 0.485  -0.655 0.296  -0.745 0.116  -0.765 -0.080  -0.765 -0.282  -0.765 -0.483  -0.765 -0.685  -0.863 -0.846  -0.854 -0.988  -0.765 -1.153  -0.652 -1.241  -0.451 -1.241  -0.256 -1.226  -0.113 -1.083  -0.087 -0.892  0.055 -0.750  0.198 -0.607  0.223 -0.416  0.250 -0.226  0.387 -0.082  0.387 0.120  0.387 0.321  0.387 0.523  0.387 0.724  0.387 0.926  0.387 1.127  0.387 1.329  0.387 1.530  0.387 1.383  0.387 1.182  0.387 0.980  0.387 0.779  0.387 0.577  0.387 0.376  0.387 0.175  0.387 -0.027  0.387 -0.228  0.387 -0.430  0.387 -0.631  0.448 -0.808  0.552 -0.966  0.552 -1.168  0.552 -1.369  0.552 -1.241
3#app#app37#app3732/z  -1.120 0.597  -1.110 0.463  -0.997 0.575  -0.847 0.597  -0.730 0.698  -0.618 0.811  -0.489 0.885  -0.350 0.934  -0.238 1.046  -0.125 1.159  0.027 1.173  0.186 1.173  0.345 1.173  0.504 1.173  0.610 1.120  0.543 1.029  0.466 0.947  0.466 0.788  0.387 0.661  0.292 0.536  0.221 0.394  0.133 0.264  0.034 0.146  0.010 -0.003  -0.102 -0.116  -0.214 -0.228  -0.327 -0.341  -0.439 -0.453  -0.555 -0.557  -0.687 -0.584  -0.687 -0.743  -0.687 -0.902  -0.687 -1.061  -0.601 -1.134  -0.442 -1.134  -0.283 -1.134  -0.124 -1.134  -0.109 -0.990  0.045 -0.978  0.158 -0.866  0.308 -0.846  0.425 -0.743  0.566 -0.701  0.726 -0.701  0.847 -0.609  0.984 -0.557  1.143 -0.557  1.187 -0.443  1.058 -0.413  0.899 -0.413
3#app#app37#app3732/y  -0.926 1.082  -0.814 0.971  -0.782 0.826  -0.671 0.714  -0.585 0.591  -0.528 0.457  -0.471 0.322  -0.384 0.200  -0.273 0.088  -0.240 -0.054  -0.096 -0.088  0.016 -0.200  0.055 -0.282  0.011 -0.199  0.061 -0.049  0.111 0.100  0.161 0.250  0.211 0.400  0.261 0.550  0.311 0.700  0.361 0.850  0.411 1.000  0.461 1.150  0.511 1.300  0.552 1.395  0.552 1.237  0.552 1.079  0.552 0.921  0.552 0.763  0.456 0.645  0.438 0.494  0.410 0.343  0.339 0.201  0.268 0.060  0.198 -0.081  0.127 -0.223  0.056 -0.364  -0.014 -0.505  -0.016 -0.663  -0.016 -0.821  -0.074 -0.965  -0.153 -1.101  -0.244 -1.221  -0.244 -1.379  -0.244 -1.537  -0.244 -1.695  -0.244 -1.853  -0.244 -1.962  -0.244 -1.804  -0.244 -1.646
