3#app#app37#app3738/A  -0.061 1.326  -0.169 1.056  -0.277 0.786  -0.289 0.498  -0.331 0.217  -0.461 -0.043  -0.516 -0.320  -0.568 -0.598  -0.630 -0.874  -0.726 -1.142  -0.744 -1.384  -0.744 -1.094  -0.744 -0.803  -0.630 -0.560  -0.580 -0.281  -0.516 -0.006  -0.516 0.285  -0.516 0.575  -0.439 0.834  -0.402 1.109  -0.350 1.378  -0.289 1.643  -0.033 1.640  0.108 1.439  0.167 1.208  0.281 0.965  0.339 0.698  0.489 0.453  0.603 0.206  0.739 -0.049  0.831 -0.325  0.932 -0.578  1.171 -0.703  1.305 -0.958  1.235 -0.951  1.174 -0.944  0.907 -0.829  0.640 -0.715  0.378 -0.593  0.172 -0.387  -0.116 -0.382  -0.372 -0.465  -0.644 -0.510  -0.711 -0.482  -0.441 -0.375  -0.172 -0.265  0.067 -0.140  0.272 0.065  0.559 0.073  0.622 0.301
3#app#app37#app3738/c  0.562 0.230  0.562 0.346  0.562 0.461  0.562 0.577  0.562 0.693  0.562 0.808  0.562 0.924  0.562 1.039  0.510 1.103  0.401 1.119  0.319 1.200  0.223 1.248  0.107 1.248  -0.008 1.248  -0.020 1.144  -0.094 1.103  -0.197 1.071  -0.279 0.989  -0.311 0.887  -0.311 0.771  -0.315 0.657  -0.367 0.553  -0.419 0.450  -0.456 0.343  -0.456 0.228  -0.456 0.112  -0.456 -0.004  -0.456 -0.119  -0.456 -0.235  -0.456 -0.351  -0.456 -0.466  -0.494 -0.573  -0.546 -0.676  -0.597 -0.780  -0.526 -0.863  -0.456 -0.950  -0.456 -1.065  -0.384 -1.151  -0.299 -1.224  -0.183 -1.224  -0.067 -1.224  0.048 -1.224  0.164 -1.224  0.277 -1.218  0.359 -1.137  0.451 -1.079  0.565 -1.076  0.647 -0.994  0.707 -0.904  0.707 -0.788
3#app#app37#app3738/q  -0.052 1.513  -0.272 1.586  -0.475 1.542  -0.656 1.422  -0.735 1.231  -0.775 1.009  -0.775 0.778  -0.775 0.547  -0.775 0.315  -0.659 0.132  -0.454 0.068  -0.252 0.139  -0.153 0.329  -0.143 0.556  -0.143 0.787  -0.143 1.018  -0.143 1.054  -0.184 0.839  -0.143 0.666  -0.143 0.435  -0.143 0.203  -0.143 -0.028  -0.143 -0.259  -0.143 -0.490  -0.143 -0.721  -0.143 -0.953  -0.233 -1.146  -0.143 -1.340  -0.052 -1.481  0.065 -1.648  0.259 -1.738  0.400 -1.648  0.496 -1.455  0.599 -1.248  0.670 -1.034  0.760 -0.840  0.760 -0.609  0.756 -0.380  0.651 -0.203  0.490 -0.080  0.354 0.068  0.122 0.068  -0.019 -0.023  -0.143 -0.183  0.055 -0.149  0.241 -0.023  0.424 0.093  0.588 0.256  0.751 0.420  0.851 0.610
3#app#app37#app3738/u  -0.615 1.670  -0.615 1.499  -0.636 1.338  -0.756 1.217  -0.771 1.053  -0.771 0.883  -0.771 0.713  -0.771 0.543  -0.771 0.372  -0.771 0.202  -0.771 0.032  -0.771 -0.138  -0.771 -0.308  -0.860 -0.442  -0.872 -0.562  -0.771 -0.690  -0.742 -0.848  -0.621 -0.969  -0.501 -1.089  -0.460 -1.019  -0.333 -0.975  -0.304 -0.834  -0.149 -0.819  -0.028 -0.699  0.092 -0.578  0.162 -0.437  0.201 -0.276  0.277 -0.124  0.318 0.036  0.318 0.207  0.366 0.366  0.442 0.518  0.544 0.651  0.629 0.786  0.629 0.956  0.629 0.968  0.629 0.798  0.629 0.628  0.629 0.457  0.629 0.287  0.629 0.117  0.629 -0.053  0.629 -0.223  0.629 -0.394  0.668 -0.547  0.785 -0.670  0.805 -0.819  0.965 -0.844  1.085 -0.964  1.251 -0.975
3#app#app37#app3738/i  0.129 0.816  0.129 0.689  0.129 0.561  0.129 0.434  0.129 0.307  0.129 0.179  0.129 0.052  0.085 -0.065  0.028 -0.179  -0.029 -0.293  -0.030 -0.420  -0.030 -0.548  -0.030 -0.675  -0.030 -0.802  -0.030 -0.930  -0.030 -1.057  -0.030 -1.184  -0.030 -1.312  0.003 -1.406  0.129 -1.408  0.129 -1.535  0.120 -1.467  0.108 -1.340  0.097 -1.213  0.085 -1.086  0.074 -0.959  0.062 -0.832  0.051 -0.706  0.039 -0.579  0.027 -0.452  0.016 -0.325  0.004 -0.198  -0.007 -0.071  -0.019 0.055  -0.030 0.182  -0.042 0.309  -0.053 0.436  -0.065 0.563  -0.076 0.690  -0.088 0.817  -0.099 0.943  -0.111 1.070  -0.122 1.197  -0.134 1.324  -0.146 1.451  -0.157 1.578  -0.169 1.704  -0.180 1.831  -0.157 1.927  -0.030 1.927
3#app#app37#app3738/r  -0.387 1.081  -0.387 0.941  -0.387 0.801  -0.387 0.661  -0.387 0.521  -0.387 0.381  -0.387 0.241  -0.387 0.100  -0.387 -0.040  -0.387 -0.180  -0.387 -0.320  -0.387 -0.460  -0.387 -0.600  -0.387 -0.740  -0.319 -0.852  -0.220 -0.951  -0.218 -1.090  -0.218 -1.230  -0.218 -1.370  -0.218 -1.510  -0.218 -1.613  -0.218 -1.473  -0.218 -1.333  -0.218 -1.193  -0.218 -1.053  -0.218 -0.913  -0.218 -0.773  -0.218 -0.633  -0.163 -0.506  -0.101 -0.381  -0.048 -0.253  -0.048 -0.113  -0.048 0.027  0.025 0.137  0.122 0.237  0.122 0.377  0.236 0.403  0.291 0.488  0.330 0.611  0.429 0.710  0.461 0.838  0.527 0.911  0.630 0.948  0.630 1.088  0.630 1.228  0.748 1.250  0.800 1.339  0.859 1.420  0.999 1.420  1.139 1.420
3#app#app37#app3738/e  -0.133 -0.139  -0.133 0.017  0.019 0.022  0.028 0.169  0.129 0.284  0.240 0.395  0.350 0.506  0.507 0.506  0.513 0.657  0.513 0.814  0.513 0.971  0.513 1.127  0.513 1.284  0.386 1.314  0.229 1.314  0.072 1.314  -0.052 1.234  -0.162 1.123  -0.273 1.012  -0.295 0.865  -0.416 0.829  -0.456 0.713  -0.535 0.589  -0.618 0.466  -0.633 0.313  -0.704 0.173  -0.774 0.033  -0.779 -0.122  -0.779 -0.279  -0.779 -0.436  -0.779 -0.592  -0.779 -0.749  -0.779 -0.906  -0.663 -0.947  -0.618 -1.058  -0.512 -1.108  -0.355 -1.108  -0.198 -1.108  -0.042 -1.108  0.115 -1.108  0.272 -1.108  0.429 -1.108  0.564 -1.057  0.675 -0.946  0.786 -0.835  0.896 -0.724  0.997 -0.609  0.997 -0.453  0.997 -0.296  0.997 -0.139
3#app#app37#app3738/2  -0.757 0.733  -0.632 0.747  -0.539 0.840  -0.413 0.853  -0.320 0.946  -0.227 1.039  -0.134 1.132  -0.042 1.225  0.061 1.295  0.177 1.331  0.277 1.407  0.408 1.407  0.477 1.344  0.477 1.213  0.432 1.092  0.373 0.975  0.365 0.846  0.365 0.714  0.338 0.594  0.253 0.498  0.253 0.367  0.218 0.250  0.125 0.157  0.032 0.064  -0.028 -0.052  -0.088 -0.169  -0.181 -0.261  -0.274 -0.354  -0.345 -0.463  -0.404 -0.580  -0.487 -0.680  -0.580 -0.773  -0.645 -0.877  -0.645 -1.008  -0.645 -1.140  -0.548 -1.174  -0.417 -1.174  -0.286 -1.174  -0.154 -1.174  -0.041 -1.131  0.062 -1.062  0.178 -1.025  0.270 -0.932  0.363 -0.839  0.494 -0.838  0.589 -0.802  0.589 -0.780  0.589 -0.912  0.589 -0.857  0.477 -0.838
3#app#app37#app3738/%  -0.748 0.975  -0.748 0.752  -0.748 0.529  -0.850 0.349  -0.748 0.228  -0.593 0.160  -0.370 0.160  -0.239 0.251  -0.239 0.474  -0.239 0.697  -0.305 0.904  -0.382 1.077  -0.485 1.222  -0.609 1.281  -0.386 1.281  -0.163 1.281  0.060 1.281  0.181 1.383  0.404 1.383  0.475 1.231  0.475 1.008  0.475 0.785  0.399 0.594  0.335 0.391  0.215 0.206  0.169 0.002  0.044 -0.169  -0.035 -0.359  -0.127 -0.544  -0.139 -0.762  -0.239 -0.961  -0.239 -1.184  -0.239 -1.407  -0.119 -1.416  -0.048 -1.204  0.022 -0.993  0.093 -0.781  0.163 -0.570  0.067 -0.716  0.067 -0.939  0.067 -1.162  0.185 -1.267  0.398 -1.242  0.585 -1.156  0.678 -0.972  0.780 -0.791  0.780 -0.568  0.780 -0.345  0.662 -0.231  0.475 -0.146
3#app#app37#app3738/M  -0.590 0.584  -0.590 0.350  -0.590 0.115  -0.590 -0.119  -0.590 -0.353  -0.590 -0.588  -0.590 -0.822  -0.709 -1.007  -0.709 -1.241  -0.709 -1.405  -0.709 -1.171  -0.709 -0.936  -0.709 -0.702  -0.709 -0.468  -0.709 -0.233  -0.709 0.001  -0.709 0.235  -0.796 0.433  -0.743 0.635  -0.820 0.815  -0.754 0.867  -0.657 0.703  -0.556 0.550  -0.471 0.351  -0.393 0.149  -0.311 -0.052  -0.230 -0.252  -0.113 -0.438  0.022 -0.607  0.244 -0.594  0.363 -0.479  0.451 -0.281  0.542 -0.069  0.601 0.155  0.601 0.390  0.619 0.620  0.720 0.830  0.720 1.064  0.721 1.298  0.955 1.298  0.958 1.067  0.958 0.833  0.958 0.599  1.003 0.375  1.077 0.158  1.077 -0.076  1.077 -0.310  1.077 -0.545  1.115 -0.763  1.196 -0.964
3#app#app37#app3738/I  0.160 1.648  0.160 1.578  0.160 1.508  0.136 1.448  0.087 1.398  0.037 1.349  -0.012 1.299  -0.017 1.231  -0.017 1.161  -0.017 1.091  -0.017 1.021  -0.017 0.951  -0.017 0.882  -0.017 0.812  -0.017 0.742  -0.017 0.672  -0.017 0.602  -0.017 0.532  -0.017 0.462  -0.017 0.392  -0.017 0.322  -0.017 0.252  -0.017 0.182  -0.017 0.112  -0.017 0.042  -0.017 -0.028  -0.017 -0.098  -0.017 -0.168  -0.017 -0.238  -0.017 -0.308  -0.017 -0.378  -0.017 -0.448  -0.017 -0.518  -0.017 -0.588  -0.017 -0.658  -0.017 -0.728  -0.017 -0.798  -0.017 -0.868  -0.017 -0.937  -0.017 -1.007  -0.017 -1.077  -0.017 -1.147  -0.017 -1.217  -0.017 -1.287  -0.017 -1.357  -0.017 -1.427  -0.017 -1.497  -0.017 -1.567  -0.017 -1.637  -0.017 -1.707
