3#app#app37#app3746/{  -0.020 1.534  -0.132 1.534  -0.172 1.462  -0.248 1.426  -0.248 1.314  -0.276 1.230  -0.261 1.230  -0.156 1.214  -0.069 1.154  0.025 1.109  0.124 1.078  0.207 1.050  0.207 0.938  0.197 0.829  0.147 0.729  0.055 0.697  0.005 0.597  -0.060 0.508  -0.139 0.428  -0.172 0.331  -0.217 0.229  -0.290 0.167  -0.324 0.089  -0.286 0.015  -0.174 0.015  -0.063 0.015  0.049 0.015  0.132 -0.014  0.132 -0.126  0.120 -0.235  0.070 -0.335  0.020 -0.435  -0.035 -0.531  -0.108 -0.615  -0.158 -0.715  -0.228 -0.800  -0.248 -0.904  -0.248 -1.016  -0.245 -1.124  -0.172 -1.163  -0.119 -1.253  -0.017 -1.276  0.084 -1.304  0.176 -1.352  0.287 -1.352  0.399 -1.352  0.511 -1.352  0.612 -1.326  0.663 -1.236  0.663 -1.124
3#app#app37#app3746/B  -0.482 0.839  -0.482 0.584  -0.482 0.329  -0.531 0.095  -0.526 -0.116  -0.482 -0.360  -0.482 -0.615  -0.366 -0.822  -0.366 -1.077  -0.366 -1.332  -0.394 -1.141  -0.460 -0.895  -0.526 -0.648  -0.591 -0.402  -0.657 -0.156  -0.723 0.090  -0.788 0.337  -0.830 0.586  -0.664 0.773  -0.526 0.983  -0.325 1.070  -0.123 1.198  0.057 1.378  0.271 1.477  0.503 1.534  0.560 1.337  0.560 1.082  0.470 0.864  0.329 0.668  0.199 0.464  0.079 0.241  -0.136 0.143  -0.316 -0.037  -0.250 -0.020  -0.104 0.174  0.115 0.260  0.370 0.260  0.625 0.260  0.820 0.116  1.000 -0.065  1.140 -0.194  1.140 -0.449  1.032 -0.659  1.012 -0.899  0.801 -1.006  0.621 -1.186  0.409 -1.322  0.163 -1.362  -0.044 -1.246  -0.250 -1.130
3#app#app37#app3746/r  -0.342 0.916  -0.342 0.779  -0.342 0.642  -0.342 0.505  -0.342 0.368  -0.342 0.231  -0.342 0.094  -0.342 -0.043  -0.342 -0.180  -0.342 -0.317  -0.342 -0.454  -0.342 -0.591  -0.342 -0.728  -0.305 -0.850  -0.208 -0.947  -0.185 -1.074  -0.185 -1.211  -0.185 -1.348  -0.185 -1.485  -0.185 -1.574  -0.185 -1.437  -0.185 -1.300  -0.185 -1.163  -0.185 -1.026  -0.185 -0.889  -0.185 -0.752  -0.185 -0.615  -0.200 -0.484  -0.297 -0.387  -0.342 -0.269  -0.342 -0.132  -0.320 -0.004  -0.223 0.093  -0.185 0.214  -0.140 0.332  -0.043 0.429  0.054 0.526  0.150 0.623  0.247 0.720  0.344 0.817  0.441 0.914  0.538 1.011  0.635 1.107  0.732 1.204  0.858 1.230  0.914 1.310  0.975 1.387  1.072 1.347  1.092 1.230  1.229 1.230
3#app#app37#app3746/a  0.301 0.979  0.269 1.149  0.132 1.212  0.037 1.318  -0.164 1.318  -0.319 1.207  -0.496 1.149  -0.547 0.998  -0.628 0.816  -0.716 0.636  -0.716 0.434  -0.716 0.233  -0.716 0.032  -0.716 -0.169  -0.716 -0.370  -0.716 -0.571  -0.716 -0.772  -0.716 -0.974  -0.716 -1.175  -0.609 -1.332  -0.434 -1.394  -0.233 -1.394  -0.083 -1.270  -0.038 -1.087  -0.038 -0.886  -0.038 -0.685  0.006 -0.502  0.132 -0.353  0.132 -0.152  0.132 0.049  0.215 0.216  0.301 0.381  0.301 0.582  0.301 0.784  0.301 0.985  0.338 1.149  0.471 1.080  0.471 0.879  0.471 0.678  0.471 0.477  0.471 0.276  0.471 0.075  0.471 -0.127  0.471 -0.328  0.471 -0.529  0.481 -0.726  0.623 -0.868  0.765 -1.010  0.810 -1.193  0.979 -1.225
3#app#app37#app3746/c  0.278 0.936  0.353 0.861  0.410 0.829  0.410 0.935  0.335 1.010  0.278 1.093  0.278 1.199  0.278 1.305  0.199 1.331  0.093 1.331  0.014 1.304  0.013 1.198  -0.062 1.123  -0.137 1.048  -0.212 0.973  -0.250 0.883  -0.250 0.777  -0.250 0.671  -0.325 0.596  -0.382 0.514  -0.382 0.408  -0.382 0.302  -0.418 0.204  -0.465 0.109  -0.512 0.015  -0.514 -0.091  -0.514 -0.197  -0.514 -0.303  -0.514 -0.409  -0.514 -0.515  -0.439 -0.590  -0.382 -0.673  -0.382 -0.779  -0.382 -0.885  -0.326 -0.967  -0.251 -1.042  -0.176 -1.117  -0.094 -1.175  0.012 -1.175  0.118 -1.175  0.224 -1.175  0.330 -1.175  0.429 -1.156  0.504 -1.081  0.594 -1.043  0.692 -1.024  0.767 -0.949  0.805 -0.859  0.805 -0.753  0.805 -0.647
3#app#app37#app3746/e  -0.850 -0.474  -0.675 -0.474  -0.539 -0.434  -0.497 -0.276  -0.373 -0.152  -0.250 -0.029  -0.126 0.095  -0.002 0.219  0.083 0.359  0.136 0.513  0.269 0.615  0.394 0.665  0.464 0.770  0.549 0.860  0.549 1.035  0.549 1.210  0.549 1.386  0.381 1.392  0.215 1.369  0.091 1.245  -0.073 1.229  -0.100 1.081  -0.228 1.034  -0.276 0.878  -0.399 0.754  -0.523 0.631  -0.539 0.462  -0.539 0.287  -0.565 0.122  -0.689 -0.002  -0.695 -0.175  -0.695 -0.350  -0.695 -0.525  -0.695 -0.700  -0.631 -0.849  -0.507 -0.973  -0.383 -1.097  -0.259 -1.220  -0.096 -1.251  0.079 -1.251  0.254 -1.251  0.419 -1.226  0.543 -1.102  0.667 -0.978  0.826 -0.940  0.860 -0.799  0.974 -0.671  1.016 -0.513  1.016 -0.338  1.016 -0.163
3#app#app37#app3746/Y  -0.939 0.684  -0.939 0.843  -0.866 0.826  -0.829 0.684  -0.700 0.635  -0.629 0.493  -0.523 0.375  -0.486 0.231  -0.362 0.146  -0.294 0.055  -0.193 -0.062  -0.081 -0.175  -0.079 -0.333  -0.079 -0.290  -0.040 -0.136  0.001 0.018  0.042 0.172  0.083 0.325  0.124 0.479  0.165 0.633  0.206 0.787  0.247 0.941  0.288 1.095  0.329 1.248  0.404 1.383  0.459 1.354  0.459 1.195  0.459 1.036  0.443 0.883  0.351 0.762  0.351 0.603  0.351 0.444  0.351 0.284  0.351 0.125  0.351 -0.034  0.343 -0.191  0.272 -0.334  0.201 -0.476  0.136 -0.620  0.136 -0.779  0.136 -0.939  0.093 -1.080  0.028 -1.212  0.028 -1.372  0.028 -1.531  0.028 -1.690  0.028 -1.849  -0.079 -1.901  -0.079 -1.948  -0.079 -1.789
3#app#app37#app3746/o  -0.413 1.138  -0.474 1.017  -0.534 0.896  -0.575 0.770  -0.575 0.635  -0.575 0.500  -0.575 0.365  -0.620 0.240  -0.680 0.119  -0.736 -0.002  -0.736 -0.138  -0.736 -0.273  -0.736 -0.408  -0.736 -0.543  -0.707 -0.666  -0.612 -0.762  -0.516 -0.857  -0.421 -0.953  -0.325 -1.049  -0.230 -1.144  -0.134 -1.240  -0.017 -1.283  0.118 -1.283  0.247 -1.269  0.343 -1.173  0.438 -1.077  0.534 -0.982  0.555 -0.856  0.611 -0.744  0.706 -0.648  0.716 -0.517  0.716 -0.382  0.716 -0.247  0.716 -0.112  0.716 0.023  0.716 0.159  0.716 0.294  0.716 0.429  0.666 0.543  0.570 0.638  0.474 0.734  0.394 0.836  0.394 0.971  0.302 1.068  0.196 1.138  0.063 1.145  -0.032 1.240  -0.143 1.299  -0.252 1.273  -0.252 1.138
3#app#app37#app3746/u  -0.722 1.129  -0.722 1.269  -0.722 1.083  -0.722 0.896  -0.722 0.710  -0.722 0.524  -0.722 0.338  -0.722 0.151  -0.722 -0.035  -0.722 -0.221  -0.722 -0.407  -0.722 -0.593  -0.722 -0.780  -0.722 -0.966  -0.722 -1.152  -0.707 -1.332  -0.576 -1.464  -0.444 -1.364  -0.312 -1.233  -0.181 -1.101  -0.070 -0.961  -0.046 -0.780  0.037 -0.613  0.136 -0.458  0.256 -0.322  0.256 -0.135  0.301 0.032  0.419 0.170  0.419 0.356  0.419 0.542  0.481 0.702  0.582 0.847  0.582 1.033  0.582 1.219  0.582 1.406  0.582 1.318  0.582 1.132  0.582 0.946  0.582 0.760  0.582 0.573  0.519 0.413  0.419 0.268  0.419 0.082  0.419 -0.104  0.419 -0.290  0.419 -0.476  0.419 -0.663  0.549 -0.795  0.722 -0.828  0.908 -0.828
3#app#app37#app3746/r  -0.267 1.083  -0.267 0.942  -0.267 0.800  -0.267 0.659  -0.267 0.518  -0.267 0.376  -0.267 0.235  -0.267 0.094  -0.267 -0.047  -0.267 -0.189  -0.267 -0.330  -0.267 -0.471  -0.196 -0.583  -0.096 -0.683  -0.090 -0.822  -0.090 -0.963  -0.090 -1.105  -0.090 -1.246  -0.090 -1.387  -0.090 -1.529  -0.184 -1.575  -0.267 -1.517  -0.267 -1.375  -0.267 -1.234  -0.267 -1.093  -0.267 -0.952  -0.267 -0.810  -0.267 -0.669  -0.267 -0.528  -0.267 -0.386  -0.267 -0.245  -0.267 -0.104  -0.267 0.038  -0.267 0.179  -0.180 0.284  -0.090 0.388  -0.090 0.530  -0.005 0.636  0.095 0.736  0.195 0.836  0.307 0.906  0.446 0.910  0.546 1.010  0.619 1.121  0.621 1.260  0.763 1.260  0.904 1.260  1.045 1.260  1.187 1.260  1.328 1.260
3#app#app37#app3746/s  0.327 1.555  0.194 1.555  0.093 1.479  -0.005 1.396  -0.138 1.396  -0.236 1.310  -0.329 1.216  -0.423 1.122  -0.467 1.007  -0.512 0.919  -0.626 0.900  -0.626 0.767  -0.537 0.671  -0.443 0.577  -0.349 0.483  -0.233 0.442  -0.115 0.408  -0.021 0.314  0.073 0.220  0.167 0.126  0.299 0.125  0.401 0.051  0.499 -0.034  0.632 -0.034  0.730 -0.119  0.832 -0.193  0.963 -0.195  0.963 -0.328  0.963 -0.461  0.880 -0.511  0.804 -0.568  0.774 -0.670  0.642 -0.673  0.548 -0.767  0.454 -0.861  0.360 -0.955  0.241 -0.988  0.108 -0.988  -0.025 -0.988  -0.158 -0.988  -0.291 -0.988  -0.424 -0.988  -0.467 -0.899  -0.530 -0.829  -0.663 -0.829  -0.793 -0.821  -0.887 -0.727  -0.944 -0.618  -0.918 -0.511  -0.785 -0.511
