3#app#app41#app4102/@  0.497 0.033  0.651 0.119  0.651 0.359  0.549 0.496  0.309 0.496  0.104 0.412  -0.107 0.342  -0.192 0.188  -0.278 0.033  -0.429 -0.055  -0.429 -0.295  -0.429 -0.535  -0.239 -0.584  0.001 -0.584  0.034 -0.377  0.034 -0.137  0.104 -0.275  0.188 -0.431  0.275 -0.584  0.360 -0.738  0.600 -0.738  0.686 -0.584  0.805 -0.464  0.951 -0.284  0.960 -0.048  0.960 0.192  0.960 0.431  0.960 0.671  0.960 0.911  0.779 0.986  0.609 1.155  0.416 1.268  0.176 1.268  -0.064 1.268  -0.304 1.268  -0.510 1.187  -0.659 1.001  -0.792 0.801  -0.892 0.591  -0.892 0.352  -0.892 0.112  -0.892 -0.128  -0.892 -0.368  -0.892 -0.608  -0.892 -0.848  -0.864 -1.076  -0.710 -1.257  -0.603 -1.472  -0.445 -1.649  -0.275 -1.819
3#app#app41#app4102/1  0.079 1.004  0.079 1.088  0.079 1.172  0.079 1.256  0.079 1.340  0.079 1.424  0.079 1.508  0.079 1.445  0.079 1.361  0.079 1.277  0.079 1.193  0.079 1.109  0.079 1.025  0.079 0.941  0.079 0.857  0.079 0.773  0.079 0.688  0.079 0.604  0.079 0.520  0.079 0.436  0.079 0.352  0.079 0.268  0.079 0.184  0.079 0.100  0.079 0.016  0.079 -0.068  0.079 -0.152  0.079 -0.236  0.079 -0.321  0.079 -0.405  0.079 -0.489  0.047 -0.541  -0.037 -0.541  -0.121 -0.541  -0.179 -0.568  -0.179 -0.652  -0.179 -0.736  -0.179 -0.820  -0.179 -0.904  -0.179 -0.988  -0.179 -1.072  -0.179 -1.156  -0.179 -1.240  -0.179 -1.324  -0.179 -1.408  -0.179 -1.493  -0.173 -1.571  -0.089 -1.571  -0.005 -1.571  0.079 -1.571
3#app#app41#app4102/2  -0.573 0.679  -0.421 0.679  -0.385 0.794  -0.330 0.922  -0.223 1.029  -0.197 1.170  -0.119 1.242  -0.010 1.284  -0.004 1.429  0.147 1.429  0.298 1.429  0.449 1.429  0.553 1.382  0.553 1.231  0.553 1.080  0.553 0.928  0.553 0.777  0.553 0.626  0.536 0.492  0.385 0.492  0.365 0.360  0.365 0.209  0.339 0.064  0.272 -0.071  0.204 -0.206  0.113 -0.324  0.006 -0.431  -0.010 -0.576  -0.075 -0.699  -0.182 -0.806  -0.197 -0.951  -0.291 -1.009  -0.385 -1.066  -0.405 -1.197  -0.557 -1.197  -0.573 -1.332  -0.573 -1.285  -0.573 -1.134  -0.573 -0.983  -0.573 -0.832  -0.432 -0.821  -0.385 -0.717  -0.317 -0.634  -0.166 -0.634  -0.015 -0.634  0.136 -0.634  0.287 -0.634  0.365 -0.707  0.402 -0.821  0.553 -0.821
3#app#app41#app4102/:  -0.594 1.296  -0.507 1.296  -0.419 1.296  -0.331 1.296  -0.244 1.296  -0.156 1.296  -0.129 1.236  -0.129 1.148  -0.129 1.060  -0.129 0.973  -0.129 0.885  -0.095 0.831  -0.007 0.831  0.080 0.831  0.168 0.831  0.255 0.831  0.336 0.824  0.336 0.736  0.336 0.649  0.336 0.561  0.336 0.473  0.336 0.386  0.305 0.305  0.266 0.227  0.227 0.148  0.188 0.070  0.148 -0.008  0.109 -0.087  0.070 -0.165  0.031 -0.244  -0.008 -0.322  -0.048 -0.401  -0.087 -0.479  -0.126 -0.557  -0.129 -0.644  -0.129 -0.732  -0.129 -0.820  -0.129 -0.907  -0.129 -0.995  -0.129 -1.083  -0.129 -1.170  -0.129 -1.258  -0.129 -1.346  -0.129 -1.433  -0.103 -1.494  -0.015 -1.494  0.073 -1.494  0.160 -1.494  0.248 -1.494  0.336 -1.494
3#app#app41#app4102/3  -0.940 1.005  -0.812 1.005  -0.683 1.005  -0.555 1.005  -0.426 1.005  -0.298 1.005  -0.169 1.005  -0.041 1.005  0.062 1.069  0.153 1.159  0.243 1.230  0.334 1.139  0.425 1.048  0.468 0.938  0.468 0.809  0.378 0.771  0.249 0.771  0.233 0.658  0.227 0.536  0.098 0.536  -0.001 0.507  -0.001 0.379  -0.052 0.301  -0.181 0.301  -0.236 0.228  -0.236 0.100  -0.141 0.067  -0.012 0.067  0.116 0.067  0.233 0.055  0.233 -0.073  0.233 -0.202  0.233 -0.330  0.233 -0.459  0.233 -0.587  0.233 -0.716  0.233 -0.844  0.233 -0.973  0.233 -1.101  0.233 -1.230  0.216 -1.341  0.088 -1.341  -0.001 -1.381  -0.001 -1.509  -0.063 -1.576  -0.191 -1.576  -0.236 -1.492  -0.236 -1.364  -0.342 -1.341  -0.471 -1.341
3#app#app41#app4102/4  -0.857 0.697  -0.857 0.508  -0.857 0.319  -0.857 0.130  -0.892 -0.024  -1.081 -0.024  -1.097 -0.197  -1.097 -0.386  -1.027 -0.504  -0.844 -0.491  -0.710 -0.358  -0.560 -0.264  -0.371 -0.264  -0.182 -0.264  0.007 -0.264  0.195 -0.264  0.344 -0.305  0.344 -0.494  0.364 -0.328  0.384 -0.140  0.405 0.048  0.426 0.236  0.447 0.423  0.468 0.611  0.489 0.799  0.510 0.987  0.530 1.174  0.551 1.362  0.572 1.550  0.584 1.577  0.584 1.388  0.584 1.199  0.584 1.010  0.584 0.821  0.555 0.639  0.471 0.470  0.386 0.301  0.344 0.122  0.344 -0.067  0.344 -0.256  0.216 -0.392  0.104 -0.534  0.104 -0.723  0.104 -0.912  0.022 -1.067  -0.112 -1.200  -0.137 -1.379  -0.137 -1.568  -0.137 -1.757  -0.137 -1.946
3#app#app41#app4102/:  -0.015 1.454  0.067 1.454  0.148 1.454  0.230 1.454  0.311 1.454  0.375 1.437  0.375 1.355  0.375 1.274  0.375 1.192  0.375 1.111  0.375 1.029  0.375 0.948  0.375 0.866  0.375 0.785  0.375 0.703  0.352 0.627  0.315 0.555  0.279 0.482  0.243 0.409  0.206 0.336  0.170 0.263  0.133 0.190  0.097 0.117  0.060 0.044  0.024 -0.028  -0.013 -0.101  -0.015 -0.182  -0.015 -0.264  -0.015 -0.345  -0.015 -0.427  -0.015 -0.508  -0.015 -0.590  -0.015 -0.671  -0.015 -0.753  -0.015 -0.834  -0.044 -0.886  -0.126 -0.886  -0.207 -0.886  -0.289 -0.886  -0.370 -0.886  -0.405 -0.933  -0.405 -1.014  -0.405 -1.096  -0.405 -1.177  -0.405 -1.259  -0.469 -1.276  -0.551 -1.276  -0.632 -1.276  -0.714 -1.276  -0.795 -1.276
3#app#app41#app4102/5  -0.128 0.940  -0.319 0.940  -0.372 0.802  -0.457 0.697  -0.648 0.697  -0.839 0.697  -0.858 0.525  -0.774 0.369  -0.639 0.234  -0.458 0.210  -0.372 0.106  -0.320 -0.033  -0.129 -0.033  0.006 -0.167  0.151 -0.277  0.342 -0.277  0.533 -0.277  0.602 -0.399  0.602 -0.589  0.602 -0.780  0.602 -0.971  0.492 -1.116  0.358 -1.252  0.358 -1.442  0.218 -1.493  0.115 -1.581  0.109 -1.701  0.075 -1.514  0.040 -1.326  0.006 -1.138  -0.028 -0.951  -0.062 -0.763  -0.096 -0.575  -0.130 -0.388  -0.164 -0.200  -0.198 -0.012  -0.233 0.175  -0.267 0.363  -0.301 0.551  -0.335 0.738  -0.369 0.926  -0.195 0.940  -0.128 1.064  -0.056 1.183  0.134 1.183  0.325 1.183  0.516 1.183  0.707 1.183  0.897 1.183  1.088 1.183
3#app#app41#app4102/6  -0.330 1.812  -0.330 1.647  -0.330 1.482  -0.330 1.317  -0.493 1.314  -0.579 1.236  -0.579 1.071  -0.579 0.906  -0.579 0.741  -0.579 0.576  -0.690 0.457  -0.807 0.340  -0.829 0.184  -0.829 0.019  -0.829 -0.146  -0.829 -0.311  -0.829 -0.477  -0.829 -0.642  -0.829 -0.807  -0.784 -0.927  -0.619 -0.927  -0.454 -0.927  -0.289 -0.927  -0.124 -0.927  0.029 -0.872  0.176 -0.798  0.324 -0.724  0.478 -0.678  0.643 -0.678  0.766 -0.577  0.883 -0.461  1.035 -0.429  1.164 -0.393  1.164 -0.227  1.164 -0.062  1.164 0.103  1.164 0.268  1.049 0.318  0.884 0.318  0.719 0.318  0.587 0.239  0.470 0.122  0.327 0.069  0.168 0.063  0.168 -0.102  0.081 -0.180  -0.081 -0.183  -0.081 -0.348  -0.081 -0.513  -0.081 -0.678
3#app#app41#app4102/_  -1.724 0.063  -1.647 0.063  -1.571 0.063  -1.494 0.063  -1.418 0.063  -1.341 0.063  -1.265 0.063  -1.188 0.063  -1.112 0.063  -1.036 0.063  -0.959 0.063  -0.883 0.063  -0.806 0.063  -0.752 0.009  -0.698 -0.045  -0.644 -0.099  -0.590 -0.153  -0.536 -0.207  -0.474 -0.243  -0.398 -0.243  -0.321 -0.243  -0.245 -0.243  -0.168 -0.243  -0.092 -0.243  -0.015 -0.243  0.061 -0.243  0.137 -0.243  0.214 -0.243  0.290 -0.243  0.367 -0.243  0.436 -0.225  0.490 -0.171  0.544 -0.117  0.598 -0.063  0.652 -0.009  0.706 0.045  0.775 0.063  0.852 0.063  0.928 0.063  1.005 0.063  1.066 0.099  1.120 0.153  1.174 0.207  1.228 0.261  1.283 0.315  1.337 0.369  1.413 0.369  1.490 0.369  1.566 0.369  1.643 0.369
3#app#app41#app4102/J  0.293 0.386  0.284 0.547  0.132 0.565  0.152 0.689  0.272 0.568  0.293 0.406  0.293 0.236  0.406 0.112  0.455 -0.039  0.455 -0.209  0.540 -0.345  0.616 -0.484  0.616 -0.654  0.616 -0.825  0.616 -0.995  0.616 -1.166  0.508 -1.229  0.338 -1.229  0.167 -1.229  -0.004 -1.229  -0.174 -1.229  -0.345 -1.229  -0.354 -1.067  -0.522 -1.059  -0.642 -0.939  -0.675 -0.782  -0.542 -0.744  -0.559 -0.609  -0.613 -0.447  -0.667 -0.285  -0.721 -0.124  -0.775 0.038  -0.828 0.200  -0.882 0.362  -0.936 0.524  -0.990 0.686  -0.851 0.708  -0.726 0.819  -0.577 0.870  -0.406 0.870  -0.236 0.870  -0.065 0.870  0.106 0.870  0.276 0.870  0.431 0.939  0.583 1.015  0.750 1.031  0.921 1.031  1.091 1.031  1.262 1.031
