3#app#app41#app4117/f  0.870 0.663  0.870 0.818  0.870 0.973  0.870 1.128  0.870 1.283  0.786 1.354  0.631 1.354  0.476 1.354  0.321 1.354  0.166 1.354  0.011 1.354  0.006 1.204  -0.127 1.182  -0.167 1.067  -0.167 0.912  -0.167 0.757  -0.167 0.602  -0.167 0.447  -0.167 0.291  -0.167 0.136  -0.167 -0.019  -0.167 -0.174  -0.167 -0.329  -0.167 -0.484  -0.167 -0.639  -0.167 -0.794  -0.167 -0.949  -0.167 -1.105  -0.167 -1.260  -0.167 -1.415  -0.167 -1.570  -0.217 -1.454  -0.271 -1.308  -0.325 -1.163  -0.380 -1.018  -0.434 -0.873  -0.489 -0.728  -0.543 -0.582  -0.598 -0.437  -0.652 -0.292  -0.627 -0.202  -0.472 -0.202  -0.317 -0.202  -0.163 -0.206  -0.054 -0.315  0.077 -0.375  0.232 -0.375  0.387 -0.375  0.542 -0.375  0.697 -0.375
3#app#app41#app4117/a  0.539 0.818  0.539 1.004  0.539 1.191  0.398 1.236  0.212 1.236  0.026 1.236  -0.161 1.236  -0.298 1.187  -0.298 1.000  -0.301 0.818  -0.488 0.818  -0.674 0.818  -0.716 0.673  -0.716 0.487  -0.716 0.301  -0.716 0.114  -0.769 -0.019  -0.956 -0.019  -1.134 -0.026  -1.134 -0.213  -1.134 -0.399  -0.986 -0.437  -0.799 -0.437  -0.716 -0.540  -0.716 -0.726  -0.658 -0.855  -0.472 -0.855  -0.286 -0.855  -0.100 -0.855  0.087 -0.855  0.121 -0.703  0.121 -0.516  0.121 -0.330  0.121 -0.144  0.182 -0.019  0.368 -0.019  0.539 -0.003  0.539 0.183  0.539 0.370  0.539 0.243  0.539 0.057  0.617 -0.097  0.749 -0.229  0.881 -0.360  0.957 -0.515  0.957 -0.701  0.980 -0.878  1.112 -1.010  1.244 -1.142  1.376 -1.273
3#app#app41#app4117/i  -0.717 0.311  -0.601 0.311  -0.486 0.311  -0.388 0.294  -0.388 0.178  -0.388 0.063  -0.388 -0.052  -0.388 -0.167  -0.388 -0.283  -0.388 -0.398  -0.388 -0.513  -0.388 -0.629  -0.388 -0.744  -0.388 -0.859  -0.388 -0.974  -0.388 -1.090  -0.388 -1.205  -0.388 -1.320  -0.284 -1.331  -0.169 -1.331  -0.058 -1.325  -0.036 -1.212  -0.013 -1.099  0.009 -0.986  0.032 -0.873  0.055 -0.760  0.077 -0.647  0.100 -0.534  0.122 -0.421  0.145 -0.307  0.168 -0.194  0.190 -0.081  0.213 0.032  0.235 0.145  0.258 0.258  0.281 0.371  0.303 0.484  0.326 0.597  0.348 0.710  0.371 0.823  0.394 0.936  0.416 1.049  0.439 1.162  0.462 1.275  0.484 1.388  0.507 1.501  0.529 1.614  0.552 1.727  0.575 1.840  0.597 1.953
3#app#app41#app4117/l  0.150 1.702  0.150 1.625  0.150 1.547  0.150 1.469  0.150 1.391  0.150 1.313  0.150 1.236  0.150 1.158  0.150 1.080  0.150 1.002  0.150 0.924  0.150 0.847  0.150 0.769  0.150 0.691  0.150 0.613  0.119 0.566  0.042 0.566  -0.036 0.566  -0.114 0.566  -0.134 0.508  -0.134 0.431  -0.134 0.353  -0.134 0.275  -0.134 0.197  -0.134 0.119  -0.134 0.041  -0.134 -0.036  -0.134 -0.114  -0.134 -0.192  -0.134 -0.270  -0.134 -0.348  -0.134 -0.425  -0.134 -0.503  -0.134 -0.581  -0.134 -0.659  -0.134 -0.737  -0.134 -0.814  -0.134 -0.892  -0.134 -0.970  -0.134 -1.048  -0.134 -1.126  -0.089 -1.185  -0.034 -1.240  0.021 -1.295  0.076 -1.350  0.131 -1.405  0.150 -1.475  0.150 -1.553  0.150 -1.630  0.150 -1.708
3#app#app41#app4117/e  -0.789 -0.090  -0.620 -0.090  -0.451 -0.090  -0.283 -0.090  -0.114 -0.090  0.055 -0.090  0.223 -0.090  0.392 -0.090  0.561 -0.090  0.698 -0.058  0.698 0.111  0.698 0.280  0.698 0.448  0.698 0.617  0.698 0.786  0.698 0.954  0.698 1.123  0.698 1.292  0.634 1.397  0.466 1.397  0.306 1.376  0.186 1.257  0.067 1.138  -0.045 1.016  -0.045 0.847  -0.045 0.678  -0.190 0.654  -0.358 0.654  -0.417 0.544  -0.417 0.375  -0.417 0.206  -0.417 0.038  -0.459 -0.090  -0.627 -0.090  -0.789 -0.097  -0.789 -0.266  -0.789 -0.434  -0.689 -0.562  -0.569 -0.681  -0.450 -0.800  -0.417 -0.955  -0.417 -1.124  -0.329 -1.205  -0.160 -1.205  -0.007 -1.243  0.112 -1.362  0.231 -1.481  0.360 -1.576  0.529 -1.576  0.698 -1.576
3#app#app41#app4117/d  -0.055 -1.043  -0.055 -0.871  -0.191 -0.835  -0.362 -0.835  -0.534 -0.835  -0.679 -0.862  -0.679 -1.034  -0.679 -1.206  -0.552 -1.251  -0.380 -1.251  -0.263 -1.197  -0.245 -1.043  -0.073 -1.043  -0.055 -0.889  0.062 -0.835  0.153 -0.754  0.153 -0.582  0.153 -0.411  0.153 -0.239  0.153 -0.067  0.153 0.104  0.153 0.276  0.153 0.448  0.153 0.619  0.153 0.791  0.153 0.963  0.153 1.134  0.108 1.288  -0.013 1.409  -0.055 1.563  -0.055 1.735  -0.055 1.826  -0.055 1.654  -0.055 1.482  -0.055 1.311  -0.055 1.139  -0.055 0.967  -0.055 0.796  -0.055 0.624  0.063 0.501  0.153 0.367  0.153 0.195  0.153 0.023  0.217 -0.133  0.294 -0.287  0.361 -0.443  0.361 -0.614  0.472 -0.739  0.568 -0.871  0.568 -1.043
3#app#app41#app4117/w  -1.050 0.726  -1.050 0.915  -1.050 1.023  -1.050 0.834  -1.050 0.646  -1.050 0.457  -1.050 0.268  -1.050 0.080  -1.050 -0.109  -1.050 -0.298  -1.050 -0.486  -0.998 -0.623  -0.809 -0.623  -0.712 -0.531  -0.712 -0.342  -0.619 -0.192  -0.486 -0.059  -0.375 0.084  -0.375 0.273  -0.302 0.389  -0.114 0.389  -0.038 0.502  -0.038 0.690  -0.038 0.573  -0.038 0.384  -0.038 0.196  -0.038 0.007  -0.038 -0.182  -0.038 -0.370  -0.038 -0.559  0.087 -0.623  0.276 -0.623  0.299 -0.788  0.316 -0.960  0.504 -0.960  0.637 -0.904  0.637 -0.715  0.733 -0.623  0.922 -0.623  0.974 -0.486  0.974 -0.298  0.974 -0.109  1.002 0.051  1.191 0.051  1.311 0.120  1.311 0.309  1.311 0.497  1.311 0.686  1.311 0.875  1.311 1.063
3#app#app41#app4117/i  -0.246 0.019  -0.246 -0.101  -0.246 -0.221  -0.246 -0.342  -0.156 -0.372  -0.036 -0.372  0.084 -0.372  0.145 -0.432  0.145 -0.552  0.145 -0.672  0.145 -0.793  0.145 -0.913  0.145 -1.033  0.145 -1.153  0.145 -1.274  0.145 -1.394  0.145 -1.514  0.132 -1.456  0.115 -1.337  0.098 -1.218  0.081 -1.099  0.064 -0.980  0.047 -0.861  0.030 -0.742  0.013 -0.623  -0.004 -0.504  -0.021 -0.385  -0.038 -0.266  -0.055 -0.147  -0.072 -0.028  -0.089 0.091  -0.106 0.210  -0.123 0.329  -0.140 0.448  -0.157 0.567  -0.174 0.686  -0.191 0.806  -0.208 0.925  -0.225 1.044  -0.242 1.163  -0.156 1.192  -0.035 1.192  0.085 1.192  0.145 1.252  0.145 1.373  0.145 1.493  0.145 1.613  0.145 1.733  0.145 1.854  0.145 1.974
3#app#app41#app4117/z  -0.741 1.640  -0.741 1.403  -0.614 1.292  -0.382 1.304  -0.213 1.472  -0.045 1.640  -0.045 1.403  -0.045 1.165  -0.045 0.928  -0.045 0.690  -0.045 0.452  -0.078 0.247  -0.315 0.247  -0.393 0.088  -0.393 -0.150  -0.393 -0.388  -0.393 -0.625  -0.327 -0.797  -0.090 -0.797  -0.045 -0.990  0.037 -1.145  0.275 -1.145  0.513 -1.145  0.750 -1.145  0.988 -1.145  1.000 -0.919  1.115 -0.797  1.343 -0.795  1.125 -0.702  0.906 -0.608  0.688 -0.514  0.469 -0.421  0.251 -0.327  0.033 -0.234  -0.186 -0.140  -0.404 -0.046  -0.623 0.047  -0.841 0.141  -1.060 0.235  -1.090 0.042  -0.995 -0.101  -0.758 -0.101  -0.520 -0.101  -0.282 -0.101  -0.045 -0.100  0.123 0.068  0.291 0.236  0.524 0.247  0.762 0.247  1.000 0.247
3#app#app41#app4117/a  0.167 0.316  0.306 0.455  0.446 0.594  0.521 0.759  0.521 0.956  0.392 1.024  0.195 1.024  0.167 1.193  0.155 1.378  -0.042 1.378  -0.187 1.326  -0.187 1.129  -0.278 1.024  -0.475 1.024  -0.634 0.931  -0.773 0.792  -0.895 0.646  -0.895 0.449  -0.895 0.252  -0.895 0.055  -0.895 -0.142  -0.895 -0.339  -0.895 -0.535  -0.895 -0.732  -0.895 -0.929  -0.870 -1.101  -0.673 -1.101  -0.495 -1.055  -0.356 -0.916  -0.217 -0.777  -0.032 -0.747  0.164 -0.747  0.167 -0.553  0.167 -0.356  0.167 -0.159  0.244 -0.039  0.441 -0.039  0.521 0.078  0.521 0.275  0.521 0.160  0.521 -0.037  0.521 -0.234  0.521 -0.431  0.521 -0.628  0.599 -0.747  0.796 -0.747  0.875 -0.864  0.875 -1.061  1.033 -1.101  1.229 -1.101
3#app#app41#app4117/r  -0.733 -0.259  -0.733 -0.375  -0.733 -0.491  -0.733 -0.607  -0.652 -0.643  -0.536 -0.643  -0.420 -0.643  -0.349 -0.688  -0.349 -0.804  -0.349 -0.920  -0.349 -1.036  -0.349 -1.153  -0.349 -1.269  -0.349 -1.385  -0.349 -1.319  -0.349 -1.203  -0.349 -1.087  -0.349 -0.971  -0.349 -0.855  -0.349 -0.739  -0.349 -0.623  -0.349 -0.506  -0.349 -0.390  -0.349 -0.274  -0.278 -0.188  -0.196 -0.105  -0.114 -0.023  -0.032 0.059  0.034 0.148  0.034 0.264  0.034 0.380  0.034 0.496  0.107 0.582  0.190 0.664  0.272 0.746  0.354 0.828  0.418 0.918  0.418 1.034  0.418 1.150  0.418 1.266  0.524 1.276  0.640 1.276  0.756 1.276  0.802 1.205  0.802 1.089  0.802 0.973  0.837 0.892  0.953 0.892  1.069 0.892  1.186 0.892
