3#app#app41#app4136/T  0.368 0.466  0.368 0.304  0.368 0.142  0.305 0.007  0.191 -0.108  0.170 -0.261  0.170 -0.422  0.170 -0.584  0.170 -0.746  0.170 -0.907  0.170 -1.069  0.170 -1.230  0.247 -1.316  0.368 -1.356  0.366 -1.511  0.271 -1.380  0.176 -1.249  0.081 -1.119  -0.014 -0.988  -0.109 -0.857  -0.204 -0.726  -0.300 -0.596  -0.395 -0.465  -0.490 -0.334  -0.585 -0.204  -0.680 -0.073  -0.775 0.058  -0.870 0.189  -0.965 0.319  -1.060 0.450  -1.155 0.581  -1.156 0.663  -0.994 0.663  -0.832 0.663  -0.671 0.663  -0.509 0.663  -0.348 0.663  -0.186 0.663  -0.024 0.663  0.137 0.663  0.299 0.663  0.368 0.756  0.424 0.861  0.586 0.861  0.748 0.861  0.909 0.861  0.962 0.970  1.034 1.059  1.196 1.059  1.358 1.059
3#app#app41#app4136/w  -1.341 0.886  -1.191 0.886  -1.058 0.869  -1.058 0.718  -1.058 0.568  -1.058 0.418  -1.058 0.268  -1.058 0.117  -1.058 -0.033  -1.058 -0.183  -1.058 -0.334  -1.058 -0.484  -0.954 -0.530  -0.804 -0.530  -0.654 -0.530  -0.503 -0.530  -0.492 -0.391  -0.486 -0.247  -0.336 -0.247  -0.209 -0.224  -0.209 -0.074  -0.209 0.077  -0.209 0.227  -0.209 0.262  -0.209 0.111  -0.209 -0.039  -0.209 -0.189  -0.116 -0.247  0.034 -0.247  0.075 -0.357  0.075 -0.507  0.202 -0.530  0.352 -0.530  0.502 -0.530  0.653 -0.530  0.803 -0.530  0.924 -0.501  0.924 -0.351  0.971 -0.247  1.121 -0.247  1.208 -0.183  1.208 -0.033  1.208 0.117  1.208 0.268  1.208 0.418  1.208 0.568  1.208 0.718  1.208 0.869  1.341 0.886  1.491 0.886
3#app#app41#app4136/o  0.787 1.035  0.655 1.035  0.523 1.035  0.391 1.035  0.259 1.035  0.127 1.035  -0.005 1.035  -0.137 1.035  -0.269 1.035  -0.400 1.035  -0.532 1.035  -0.664 1.035  -0.705 0.944  -0.705 0.812  -0.705 0.680  -0.705 0.548  -0.705 0.416  -0.705 0.285  -0.705 0.153  -0.705 0.021  -0.705 -0.111  -0.705 -0.243  -0.705 -0.375  -0.705 -0.507  -0.705 -0.639  -0.705 -0.771  -0.705 -0.903  -0.624 -0.953  -0.492 -0.953  -0.360 -0.953  -0.228 -0.953  -0.096 -0.953  0.036 -0.953  0.168 -0.953  0.300 -0.953  0.432 -0.953  0.564 -0.953  0.696 -0.953  0.787 -0.913  0.787 -0.781  0.787 -0.649  0.787 -0.517  0.787 -0.385  0.787 -0.253  0.787 -0.121  0.787 0.011  0.787 0.142  0.787 0.274  0.787 0.406  0.787 0.538
3#app#app41#app4136/f  1.021 0.548  1.021 0.712  1.021 0.876  0.927 0.945  0.823 1.005  0.798 1.143  0.634 1.143  0.625 1.298  0.505 1.341  0.341 1.341  0.177 1.341  0.030 1.325  0.030 1.161  -0.115 1.143  -0.168 1.032  -0.222 0.891  -0.338 0.775  -0.366 0.623  -0.366 0.459  -0.366 0.296  -0.366 0.132  -0.366 -0.032  -0.366 -0.195  -0.366 -0.359  -0.331 -0.514  -0.257 -0.661  -0.184 -0.807  -0.168 -0.967  -0.168 -1.131  -0.109 -1.236  0.030 -1.260  0.030 -1.423  0.183 -1.434  0.152 -1.343  0.048 -1.217  -0.057 -1.091  -0.162 -0.965  -0.267 -0.840  -0.372 -0.714  -0.476 -0.588  -0.581 -0.462  -0.686 -0.337  -0.719 -0.245  -0.556 -0.245  -0.392 -0.245  -0.228 -0.245  -0.064 -0.245  0.099 -0.245  0.263 -0.245  0.427 -0.245
3#app#app41#app4136/l  0.122 1.354  0.199 1.354  0.276 1.354  0.352 1.354  0.383 1.308  0.383 1.231  0.383 1.154  0.368 1.093  0.291 1.093  0.214 1.093  0.137 1.093  0.122 1.031  0.122 0.954  0.122 0.877  0.122 0.801  0.122 0.724  0.122 0.647  0.122 0.570  0.067 0.516  0.013 0.461  -0.041 0.407  -0.096 0.353  -0.139 0.294  -0.139 0.217  -0.139 0.140  -0.139 0.063  -0.139 -0.013  -0.139 -0.090  -0.139 -0.167  -0.139 -0.244  -0.139 -0.321  -0.139 -0.398  -0.139 -0.475  -0.139 -0.551  -0.139 -0.628  -0.139 -0.705  -0.139 -0.782  -0.139 -0.859  -0.139 -0.936  -0.139 -1.013  -0.139 -1.089  -0.139 -1.166  -0.139 -1.243  -0.139 -1.320  -0.139 -1.397  -0.139 -1.474  -0.139 -1.551  -0.139 -1.627  -0.139 -1.704  -0.139 -1.781
3#app#app41#app4136/o  0.594 0.915  0.594 0.743  0.594 0.571  0.594 0.659  0.594 0.831  0.506 0.915  0.334 0.915  0.162 0.915  -0.010 0.915  -0.183 0.915  -0.355 0.915  -0.527 0.915  -0.566 0.781  -0.566 0.609  -0.657 0.529  -0.829 0.529  -0.952 0.479  -0.952 0.307  -0.952 0.135  -0.952 -0.038  -0.952 -0.210  -0.855 -0.342  -0.734 -0.464  -0.612 -0.585  -0.566 -0.739  -0.566 -0.911  -0.520 -1.064  -0.398 -1.186  -0.276 -1.308  -0.144 -1.405  0.028 -1.405  0.200 -1.405  0.208 -1.240  0.208 -1.067  0.330 -1.018  0.503 -1.018  0.594 -0.937  0.594 -0.765  0.594 -0.593  0.594 -0.421  0.594 -0.248  0.594 -0.076  0.594 0.096  0.594 0.268  0.594 0.441  0.594 0.613  0.594 0.785  0.552 0.915  0.380 0.915  0.208 0.915
3#app#app41#app4136/w  -1.287 0.894  -1.287 0.742  -1.287 0.590  -1.287 0.438  -1.287 0.286  -1.287 0.134  -1.287 -0.017  -1.287 -0.169  -1.287 -0.321  -1.287 -0.473  -1.242 -0.580  -1.090 -0.580  -0.939 -0.580  -0.787 -0.580  -0.635 -0.580  -0.483 -0.580  -0.352 -0.530  -0.244 -0.422  -0.137 -0.315  -0.030 -0.208  0.078 -0.100  0.185 0.007  0.187 0.158  0.187 0.310  0.187 0.462  0.187 0.584  0.187 0.432  0.187 0.280  0.187 0.129  0.187 -0.023  0.187 -0.175  0.217 -0.315  0.324 -0.422  0.432 -0.530  0.562 -0.580  0.714 -0.580  0.777 -0.491  0.777 -0.339  0.875 -0.285  1.027 -0.285  1.072 -0.178  1.072 -0.026  1.072 0.126  1.072 0.277  1.072 0.429  1.072 0.581  1.072 0.733  1.072 0.885  1.215 0.894  1.367 0.894
3#app#app41#app4136/e  -0.358 -0.246  -0.197 -0.246  -0.036 -0.246  0.109 -0.208  0.223 -0.094  0.336 0.020  0.450 0.134  0.591 0.182  0.752 0.182  0.913 0.182  0.927 0.329  0.927 0.490  0.927 0.651  0.927 0.812  0.927 0.973  0.831 1.038  0.670 1.038  0.509 1.038  0.349 1.038  0.188 1.038  0.027 1.038  -0.134 1.038  -0.295 1.038  -0.358 0.940  -0.358 0.779  -0.358 0.618  -0.511 0.610  -0.672 0.610  -0.786 0.564  -0.786 0.403  -0.786 0.242  -0.786 0.081  -0.786 -0.080  -0.786 -0.241  -0.786 -0.402  -0.786 -0.563  -0.786 -0.724  -0.786 -0.885  -0.786 -1.045  -0.683 -1.103  -0.522 -1.103  -0.361 -1.103  -0.200 -1.103  -0.039 -1.103  0.122 -1.103  0.283 -1.103  0.444 -1.103  0.605 -1.103  0.766 -1.103  0.927 -1.103
3#app#app41#app4136/r  -0.715 0.245  -0.596 0.245  -0.476 0.245  -0.356 0.245  -0.351 0.131  -0.351 0.012  -0.351 -0.108  -0.351 -0.227  -0.351 -0.347  -0.351 -0.466  -0.453 -0.484  -0.572 -0.484  -0.692 -0.484  -0.715 -0.580  -0.715 -0.700  -0.715 -0.819  -0.715 -0.939  -0.715 -1.058  -0.715 -1.178  -0.715 -1.129  -0.715 -1.009  -0.715 -0.889  -0.660 -0.793  -0.575 -0.708  -0.490 -0.624  -0.406 -0.539  -0.321 -0.455  -0.237 -0.370  -0.152 -0.286  -0.068 -0.201  0.017 -0.117  0.101 -0.032  0.186 0.053  0.270 0.137  0.355 0.222  0.440 0.306  0.524 0.391  0.609 0.475  0.693 0.560  0.778 0.644  0.862 0.729  0.947 0.814  1.031 0.898  1.108 0.986  1.108 1.106  1.108 1.225  1.114 1.339  1.233 1.339  1.353 1.339  1.472 1.339
3#app#app41#app4136/h  -0.792 1.046  -0.792 1.183  -0.792 1.261  -0.792 1.123  -0.792 0.986  -0.792 0.849  -0.792 0.712  -0.792 0.575  -0.792 0.438  -0.792 0.301  -0.792 0.164  -0.792 0.026  -0.792 -0.111  -0.792 -0.248  -0.792 -0.385  -0.792 -0.522  -0.792 -0.659  -0.792 -0.796  -0.768 -0.910  -0.631 -0.910  -0.509 -0.872  -0.412 -0.775  -0.315 -0.678  -0.218 -0.581  -0.121 -0.484  -0.058 -0.373  -0.058 -0.236  -0.003 -0.122  0.094 -0.025  0.186 0.074  0.186 0.211  0.186 0.348  0.186 0.485  0.252 0.557  0.389 0.557  0.431 0.462  0.431 0.325  0.519 0.224  0.616 0.127  0.713 0.030  0.810 -0.067  0.907 -0.164  1.004 -0.261  1.101 -0.358  1.212 -0.421  1.349 -0.421  1.486 -0.421  1.623 -0.421  1.761 -0.421  1.898 -0.421
3#app#app41#app4136/a  0.653 0.326  0.653 0.509  0.653 0.691  0.653 0.873  0.653 1.056  0.643 1.228  0.461 1.228  0.278 1.228  0.203 1.121  0.203 0.938  0.182 0.777  -0.001 0.777  -0.183 0.777  -0.365 0.777  -0.548 0.777  -0.698 0.745  -0.698 0.563  -0.698 0.381  -0.789 0.236  -0.918 0.107  -1.047 -0.022  -1.149 -0.162  -1.149 -0.344  -1.149 -0.527  -1.149 -0.709  -1.149 -0.891  -1.101 -1.026  -0.919 -1.026  -0.736 -1.026  -0.554 -1.026  -0.372 -1.026  -0.206 -0.984  -0.077 -0.855  0.052 -0.726  0.180 -0.597  0.354 -0.575  0.536 -0.575  0.653 -0.510  0.653 -0.328  0.653 -0.145  0.653 0.037  0.653 0.219  0.653 0.251  0.653 0.069  0.653 -0.114  0.653 -0.296  0.653 -0.478  0.739 -0.575  0.922 -0.575  1.104 -0.575
